,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
0,2019-01-25,Friday,2019-01-31,6,10900,C,86.2,11:18:00,108.95,0.05,2019-01-31,15:21:00,0,EOD exit,86.15,0.8625,1318.6813186813188,112467.03296703298,11.246703296703298,2019,1,89.55,0.05,11.360439560439561,179.67032967032966
602,2019-01-25,Friday,2019-01-31,6,10850,P,43.8,09:15:00,58.85,58.85,2019-01-25,13:36:00,0,SL hit,-15.050000000000004,1.0265,1843.3179723502303,-29634.101382488483,-2.963410138248848,2019,1,61.0,37.75,1.115207373271889,250.0
604,2019-01-29,Tuesday,2019-01-31,2,10600,P,48.65,14:54:00,71.65,0.05,2019-01-31,15:21:00,0,EOD exit,48.6,0.487,1304.347826086956,62756.086956521714,6.2756086956521715,2019,1,54.9,0.05,6.339130434782607,172.8260869565217
603,2019-01-29,Tuesday,2019-01-31,2,10650,P,51.35,12:21:00,78.1,78.1,2019-01-29,12:51:00,0,SL hit,-26.749999999999993,1.2945,1121.4953271028041,-31451.77570093458,-3.145177570093458,2019,1,78.35,50.25,0.12336448598130863,149.2990654205608
605,2019-02-11,Monday,2019-02-14,3,11000,P,121.9,11:51:00,151.8,151.8,2019-02-12,14:45:00,0,SL hit,-29.900000000000006,2.7370000000000005,1003.344481605351,-32746.153846153848,-3.2746153846153847,2019,2,155.0,91.0,3.100334448160535,137.95986622073576
1,2019-02-11,Monday,2019-02-14,3,10950,C,28.1,13:48:00,71.1,0.05,2019-02-14,15:27:00,0,EOD exit,28.05,0.28150000000000003,697.6744186046512,19373.372093023256,1.9373372093023256,2019,2,45.5,0.05,1.956976744186047,95.49418604651163
606,2019-02-14,Thursday,2019-02-14,0,10750,P,7.35,13:57:00,32.5,0.5,2019-02-14,15:21:00,0,EOD exit,6.85,0.0785,1192.8429423459245,8077.335984095427,0.8077335984095426,2019,2,14.4,0.5,0.8170974155069584,160.28827037773362
607,2019-02-15,Friday,2019-02-21,6,10750,P,117.9,13:42:00,157.2,157.2,2019-02-19,15:12:00,0,SL hit,-39.29999999999998,2.7510000000000003,763.3587786259545,-32100.0,-3.2099999999999995,2019,2,158.85,55.95,4.729007633587789,102.57633587786263
2,2019-02-15,Friday,2019-02-21,6,10800,C,46.7,09:54:00,73.0,0.05,2019-02-21,15:21:00,0,EOD exit,46.650000000000006,0.4675,1140.684410646388,52679.657794676816,5.267965779467682,2019,2,54.7,0.05,5.3212927756654,153.9923954372624
608,2019-02-20,Wednesday,2019-02-21,1,10650,P,23.75,12:39:00,59.35,0.05,2019-02-21,15:21:00,0,EOD exit,23.7,0.23800000000000002,842.6966292134831,19771.34831460674,1.977134831460674,2019,2,41.75,0.05,1.9971910112359552,112.18398876404494
4,2019-02-22,Friday,2019-02-28,6,10800,C,65.55,12:51:00,77.65,77.65,2019-02-22,14:18:00,0,SL hit,-12.100000000000009,1.432,1851.851851851852,-25059.259259259277,-2.505925925925928,2019,2,79.5,63.8,0.3240740740740741,250.0
3,2019-02-22,Friday,2019-02-28,6,10800,C,68.9,09:15:00,75.0,75.0,2019-02-22,10:12:00,0,SL hit,-6.099999999999994,1.439,1851.851851851852,-13961.111111111102,-1.3961111111111102,2019,2,77.65,61.0,1.462962962962964,250.0
609,2019-02-22,Friday,2019-02-28,6,10750,P,49.6,10:09:00,64.9,64.9,2019-02-26,09:54:00,0,SL hit,-15.300000000000004,1.145,1860.4651162790697,-30595.34883720931,-3.059534883720931,2019,2,65.0,14.35,6.558139534883721,250.0
5,2019-02-25,Monday,2019-02-28,3,10850,C,40.85,09:39:00,54.95,54.95,2019-02-25,14:09:00,0,SL hit,-14.100000000000001,0.9580000000000002,1843.3179723502303,-27756.68202764977,-2.7756682027649773,2019,2,55.0,38.35,0.4608294930875576,250.0
610,2019-02-26,Tuesday,2019-02-28,2,10750,P,41.85,11:36:00,90.0,0.05,2019-02-28,15:21:00,0,EOD exit,41.800000000000004,0.419,623.0529595015577,25782.55451713396,2.5782554517133964,2019,2,85.45,0.05,2.6043613707165116,83.72274143302181
6,2019-02-26,Tuesday,2019-02-28,2,10800,C,68.5,09:18:00,86.25,86.25,2019-02-26,11:51:00,0,SL hit,-17.75,1.5475,1690.1408450704225,-32615.49295774648,-3.2615492957746484,2019,2,89.15,42.2,4.445070422535211,228.16901408450704
