,date,day,expiry,DTE,strike,type,Entry Price,Entry Time,initial sl,Exit Price,Exit date,Exit Time,RSI on Entry,Remark,Points Captured,Slippage,Qty,PnL,ROI%,Trade Year,Trade Month,Highest High,Lowest Low,Max ROI%,Margin
0,2023-08-29,Tuesday,2023-09-01,3,65300,C,192.95,09:55:00,231.6,231.6,2023-08-30,09:15:00,46.12794612794613,SL hit,-38.650000000000006,4.2455,183.76722817764164,-7882.787136294028,-0.7882787136294027,2023,8,240.15,137.15,1.0254211332312402,200.0
92,2023-08-29,Tuesday,2023-09-01,3,65200,P,302.45,10:40:00,369.65,369.65,2023-08-31,15:25:00,11.748251748251718,SL hit,-67.19999999999999,6.720999999999999,184.04907975460122,-13605.092024539876,-1.3605092024539875,2023,8,444.9,110.0,3.5420245398773003,200.0
1,2023-08-30,Wednesday,2023-09-01,2,65400,C,168.65,10:30:00,193.0,0.1,2023-09-01,15:20:00,31.081081081081052,EOD exit,168.55,1.6875,183.4862385321101,30616.972477064224,3.0616972477064226,2023,9,193.0,0.1,3.092660550458716,200.0
93,2023-09-01,Friday,2023-09-01,0,64800,P,46.4,10:15:00,179.85,0.05,2023-09-01,15:20:00,34.96062992125984,EOD exit,46.35,0.46449999999999997,149.86886474334958,6876.807793180967,0.6876807793180967,2023,9,48.8,0.05,0.6946421880854253,161.85837392281752
2,2023-09-04,Monday,2023-09-08,4,65700,C,243.95,13:25:00,286.7,286.7,2023-09-05,09:45:00,49.22239502332815,SL hit,-42.75,5.3065,182.64840182648402,-8777.44292237443,-0.877744292237443,2023,9,290.9,214.25,0.5424657534246573,200.0
94,2023-09-05,Tuesday,2023-09-08,3,65600,P,156.9,14:50:00,229.85,229.85,2023-09-06,12:45:00,40.99290780141844,SL hit,-72.94999999999999,3.8675,182.9268292682927,-14051.981707317073,-1.4051981707317074,2023,9,240.0,139.0,0.327439024390244,200.0
3,2023-09-07,Thursday,2023-09-08,1,65900,C,136.6,11:30:00,463.75,506.4,2023-09-08,09:15:00,23.592233009708735,Gap SL hit,-369.79999999999995,6.43,61.134036374751645,-23000.45850527281,-2.300045850527281,2023,9,522.0,92.7,0.2683784196851597,67.14554995160222
95,2023-09-08,Friday,2023-09-08,0,66400,P,20.7,13:20:00,218.85,0.1,2023-09-08,15:20:00,31.535947712418306,EOD exit,20.599999999999998,0.20800000000000002,100.93363613424174,2058.2387080494573,0.2058238708049457,2023,9,26.85,0.05,0.20842795861720914,111.69989065522752
4,2023-09-08,Friday,2023-09-08,0,66500,C,148.0,12:00:00,229.0,103.55,2023-09-08,15:20:00,34.28345209817893,EOD exit,44.45,2.5155000000000003,180.45112781954887,7567.127819548872,0.7567127819548872,2023,9,229.0,59.25,1.6015037593984962,200.0
96,2023-09-13,Wednesday,2023-09-15,2,67200,P,143.85,13:50:00,550.2,0.1,2023-09-15,15:20:00,26.41509433962264,EOD exit,143.75,1.4395,49.218653869816656,7004.331241540543,0.7004331241540542,2023,9,157.0,0.05,0.7077642426479634,55.124892334194655
5,2023-09-18,Monday,2023-09-22,4,67700,C,373.7,12:45:00,489.9,0.05,2023-09-22,15:20:00,8.629441624365512,EOD exit,373.65,3.7375000000000003,172.11703958691913,63668.244406196216,6.366824440619621,2023,9,388.5,0.05,6.431153184165233,194.20539300057376
97,2023-09-21,Thursday,2023-09-22,1,66500,P,321.75,13:55:00,394.4,196.4,2023-09-22,09:15:00,33.51424694708275,Gap SL hit,125.35,5.1815,180.45112781954887,21684.541353383458,2.168454135338346,2023,9,440.75,192.85,2.326015037593985,200.0
98,2023-09-22,Friday,2023-09-22,0,66200,P,147.5,10:20:00,782.5,192.15,2023-09-22,15:20:00,9.560117302052788,EOD exit,-44.650000000000006,3.3964999999999996,31.496062992125985,-1513.2755905511815,-0.15132755905511813,2023,9,216.2,12.55,0.4250393700787401,34.750656167979
6,2023-09-25,Monday,2023-09-29,4,66100,C,281.15,10:55:00,396.0,396.0,2023-09-25,12:30:00,46.11353711790394,SL hit,-114.85000000000002,6.7715,174.14018284719197,-21179.190248149764,-2.1179190248149764,2023,9,443.75,253.0,0.490204614714845,191.84443476998982
99,2023-09-25,Monday,2023-09-29,4,66000,P,267.15,14:30:00,390.0,390.0,2023-09-27,09:30:00,28.373983739837385,SL hit,-122.85000000000002,6.5715,162.80016280016278,-21069.841269841272,-2.1069841269841274,2023,9,410.0,225.0,0.6862026862026858,179.08017908017905
7,2023-10-03,Tuesday,2023-10-06,3,65900,C,183.0,13:00:00,590.0,109.15,2023-10-06,15:20:00,55.13888888888887,EOD exit,73.85,2.9215,49.14004914004914,3485.4299754299755,0.34854299754299756,2023,10,209.85,28.4,0.7597051597051597,53.97215397215398
100,2023-10-04,Wednesday,2023-10-06,2,65300,P,414.1,09:45:00,538.9,0.05,2023-10-06,15:20:00,43.540669856459324,EOD exit,414.05,4.141500000000001,160.2564102564103,65690.46474358976,6.569046474358976,2023,10,538.9,0.05,6.635416666666669,174.41239316239324
8,2023-10-10,Tuesday,2023-10-13,3,65700,C,586.9,14:40:00,628.45,791.15,2023-10-11,09:15:00,39.136013686911916,Gap SL hit,-204.25,13.7805,182.64840182648402,-39822.922374429225,-3.982292237442923,2023,10,804.2,576.7,0.18630136986301243,200.0
101,2023-10-10,Tuesday,2023-10-13,3,65600,P,142.35,14:00:00,331.55,0.05,2023-10-13,15:20:00,39.926739926739955,EOD exit,142.29999999999998,1.4240000000000002,105.70824524312896,14891.754756871032,1.4891754756871034,2023,10,157.3,0.05,1.5042283298097248,115.57434813248766
9,2023-10-11,Wednesday,2023-10-13,2,66400,C,348.2,11:40:00,392.85,392.85,2023-10-12,09:15:00,41.76587301587302,SL hit,-44.650000000000034,7.4105,180.72289156626505,-9408.524096385547,-0.9408524096385547,2023,10,400.1,275.25,1.3183734939759033,200.0
10,2023-10-13,Friday,2023-10-13,0,66100,C,78.45,09:45:00,391.5,180.55,2023-10-13,15:20:00,51.48968678380443,EOD exit,-102.10000000000001,2.59,63.887557898099345,-6688.388436352021,-0.6688388436352022,2023,10,391.5,63.8,0.09359527232071559,70.38279295107279
102,2023-10-16,Monday,2023-10-20,4,66200,P,312.2,11:30:00,462.0,658.15,2023-10-19,09:15:00,37.99860041987401,Gap SL hit,-345.95,9.7035,133.5113484646195,-47483.77837116155,-4.748377837116155,2023,10,667.1,127.45,2.466622162883845,147.30752113929682
11,2023-10-18,Wednesday,2023-10-20,2,66500,C,112.05,11:40:00,250.15,0.05,2023-10-20,15:20:00,53.33333333333332,EOD exit,112.0,1.121,144.8225923244026,16057.784214337436,1.6057784214337436,2023,10,119.25,0.05,1.622013034033309,160.51170649287957
103,2023-10-20,Friday,2023-10-20,0,65400,P,52.35,12:50:00,169.0,5.0,2023-10-20,15:20:00,59.30232558139535,EOD exit,47.35,0.5735,171.45306472353192,8019.974282040291,0.8019974282040291,2023,10,72.85,2.2,0.8598371195885125,186.8838405486498
104,2023-10-23,Monday,2023-10-27,4,65400,P,434.0,11:55:00,500.0,500.0,2023-10-23,13:30:00,55.00608025942439,SL hit,-66.0,9.34,183.4862385321101,-13823.853211009175,-1.3823853211009174,2023,10,562.65,426.8,0.13211009174311905,200.0
105,2023-10-25,Wednesday,2023-10-27,2,64600,P,225.3,09:50:00,750.5,873.55,2023-10-26,09:15:00,16.410030796304426,Gap SL hit,-648.25,10.9885,38.080731150038076,-25104.284082254377,-2.510428408225438,2023,10,893.05,219.8,0.02094440213252094,41.000253871541
12,2023-10-27,Friday,2023-10-27,0,63600,C,140.75,10:10:00,301.0,185.3,2023-10-27,15:20:00,36.544461778471145,EOD exit,-44.55000000000001,3.2605000000000004,124.80499219968799,-5966.989079563184,-0.5966989079563184,2023,10,301.0,113.55,0.33946957878315137,132.29329173166929
