Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,PnL,Remarks,Qty,Leverage,ROI%,Trade Year,Trade Month,DD%,Index,Portfolio,Allocation,Qty apAlloc,PnL apAlloc,ROI% PF
2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,8166.55,8112.65077,8223.091250000001,2017-01-09 14:15:00,8235.2,68.65000000000055,65.36965000000055,55564.20250000047,MACD Reversal,850,7,5.556420250000047,2017,1,0.0,NIFTY,1000000,500000.0,425.0,27782.101250000233,2.7782101250000233
2017-01-02 12:15:00,LONG,2017-01-02 13:15:00,26540.57,26381.32658,26381.32658,2017-01-09 15:15:00,26711.96,171.38999999999942,166.0647469999994,49819.42409999982,MACD Reversal,300,8,4.981942409999983,2017,1,0.0,SENSEX,1000000,500000.0,150.0,24909.712049999907,2.490971204999991
2017-01-10 10:15:00,LONG,2017-01-10 11:15:00,26863.63,26702.44822,27177.240833333333,2017-01-20 10:15:00,27199.24,335.6100000000006,330.20371300000056,99061.11390000016,MACD Reversal,300,8,9.906111390000016,2017,1,0.0,SENSEX,1000000,500000.0,150.0,49530.556950000086,4.953055695000009
2017-01-10 12:15:00,LONG,2017-01-10 13:15:00,8274.9,8220.28566,8410.596249999999,2017-01-20 10:15:00,8407.6,132.70000000000073,129.36350000000073,109958.97500000062,TSL Hit,850,7,10.99589750000006,2017,1,0.0,NIFTY,1000000,500000.0,425.0,54979.48750000031,5.497948750000031
2017-01-20 10:15:00,LONG,2017-01-20 11:15:00,8411.9,8356.381459999999,8356.381459999999,2017-01-20 11:15:00,8413.1,1.2000000000007276,-2.1649999999992726,-1786.1249999994,MACD Reversal,825,7,-0.17861249999994,2017,1,-0.1786124999999394,NIFTY,1000000,500000.0,412.5,-893.0624999997,-0.08930624999997
2017-01-24 09:15:00,LONG,2017-01-24 10:15:00,8434.35,8378.683289999999,8528.711249999998,2017-01-31 11:15:00,8561.7,127.35000000000036,123.95079000000035,102259.40175000032,MACD Reversal,825,7,10.225940175000032,2017,1,0.0,NIFTY,1000000,500000.0,412.5,51129.70087500015,5.112970087500014
2017-01-24 11:15:00,LONG,2017-01-24 12:15:00,27268.5,27104.889,27476.671333333332,2017-02-01 09:15:00,27655.32,386.8199999999997,381.3276179999997,110585.0092199999,MACD Reversal,290,8,11.05850092199999,2017,1,0.0,SENSEX,1000000,500000.0,145.0,55292.50460999995,5.529250460999996
2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,28003.13,27835.111220000003,28123.293,2017-02-09 11:15:00,28221.6,218.46999999999755,212.8475269999975,61725.78282999928,MACD Reversal,290,8,6.172578282999928,2017,2,0.0,SENSEX,1000000,500000.0,145.0,30862.891414999638,3.0862891414999636
2017-02-01 13:15:00,LONG,2017-02-01 14:15:00,8692.8,8635.42752,8755.213749999999,2017-02-09 10:15:00,8742.1,49.30000000000109,45.81302000000109,36650.41600000087,TSL Hit,800,7,3.665041600000088,2017,2,0.0,NIFTY,1000000,500000.0,400.0,18325.208000000435,1.8325208000000437
2017-02-09 14:15:00,LONG,2017-02-09 15:15:00,28334.77,28164.76138,28258.359333333334,2017-02-13 12:15:00,28236.79,-97.97999999999956,-103.63715599999956,-29018.40367999988,TSL Hit,280,8,-2.901840367999988,2017,2,-2.901840367999988,SENSEX,1000000,500000.0,140.0,-14509.20183999994,-1.4509201839999941
