,DATETIME,TODAYS OPEN,TODAYS CLOSE,POINTS CAPTURED TODAY,QTY,MTM,Signal Generated At,Trade Type,Entry Time,Entry Price,Initial SL,Final SL,Exit Time,Exit Price,Points Captured,After Costs,THEO PnL,Remarks,Qty,ROI%,Trade Year,Trade Month
0,2017-01-09,8248.19931,8234.55,-13.649310000000696,909.4712334248868,-12413.654801099276,,,,,,,,,,,,,,,,
1,2017-01-10,8234.55,8290.3,55.75,909.4712334248868,50703.02126343744,,,,,,,,,,,,,,,,
2,2017-01-11,8290.3,8374.3,84.0,909.4712334248868,76395.5836076905,,,,,,,,,,,,,,,,
3,2017-01-12,8374.3,8409.15,34.850000000000364,909.4712334248868,31695.072484857636,,,,,,,,,,,,,,,,
4,2017-01-13,8409.15,8397.8,-11.350000000000364,909.4712334248868,-10322.498499372796,,,,,,,,,,,,,,,,
5,2017-01-16,8397.8,8418.7,20.900000000001455,909.4712334248868,19007.948778581456,,,,,,,,,,,,,,,,
6,2017-01-17,8418.7,8388.8,-29.900000000001455,909.4712334248868,-27193.18987940544,,,,,,,,,,,,,,,,
7,2017-01-18,8388.8,8413.75,24.950000000000728,909.4712334248868,22691.30727395159,,,,,,,,,,,,,,,,
8,2017-01-19,8413.75,8431.2,17.450000000000728,909.4712334248868,15870.273023264937,,,,,,,,,,,,,,,,
9,2017-01-20,8431.2,8405.91848,-25.281520000000455,909.4712334248868,-22992.815177256358,,,,,,,,,,,,,,,,
10,,,,,,,2017-01-09 10:15:00,LONG,2017-01-09 11:15:00,8246.55,8227.75,8410.596249999999,2017-01-20 10:15:00,8407.6,161.0500000000011,157.7191700000011,146470.342143079,TSL Hit,909.4712334248868,14.34410480746504,2017.0,1.0
11,2017-01-24,8445.3,8427.56415,-17.735849999999118,888.0679194344784,-15750.639408901212,,,,,,,,,,,,,,,,
12,,,,,,,2017-01-24 12:15:00,LONG,2017-01-24 13:15:00,8445.3,8429.25,8429.25,2017-01-24 13:15:00,8429.25,-16.049999999999272,-19.424909999999272,-14253.490106922733,Initial SL hit,888.0679194344784,-1.725063940890135,2017.0,1.0
13,2017-01-24,8477.79522,8476.75,-1.045219999999972,884.8409056051721,-924.8534113566133,,,,,,,,,,,,,,,,
14,2017-01-25,8476.75,8597.5,120.75,884.8409056051721,106844.53935182453,,,,,,,,,,,,,,,,
15,2017-01-27,8597.5,8641.95,44.45000000000073,884.8409056051721,39331.178254150545,,,,,,,,,,,,,,,,
16,2017-01-30,8641.95,8633.7,-8.25,884.8409056051721,-7299.93747124267,,,,,,,,,,,,,,,,
17,2017-01-31,8633.7,8556.55,-77.15000000000146,884.8409056051721,-68265.47586744031,,,,,,,,,,,,,,,,
18,2017-02-01,8556.55,8545.390580000001,-11.159419999998136,884.8409056051721,-9874.31129882682,,,,,,,,,,,,,,,,
19,,,,,,,2017-01-24 14:15:00,LONG,2017-01-24 15:15:00,8476.1,8454.5,8563.572499999998,2017-02-01 11:15:00,8547.1,71.0,67.59536,62823.70429796722,TSL Hit,884.8409056051721,5.981113955710763,2017.0,1.0
20,2017-02-01,8660.53176,8715.5,54.96824000000015,866.1708319859565,47611.88617360387,,,,,,,,,,,,,,,,
21,2017-02-02,8715.5,8722.3,6.799999999999272,866.1708319859565,5889.961657503874,,,,,,,,,,,,,,,,
22,2017-02-03,8722.3,8738.55,16.25,866.1708319859565,14075.276019771793,,,,,,,,,,,,,,,,
23,2017-02-06,8738.55,8796.1,57.55000000000109,866.1708319859565,49848.13138079274,,,,,,,,,,,,,,,,
24,2017-02-07,8796.1,8770.75,-25.350000000000364,866.1708319859565,-21957.430590844313,,,,,,,,,,,,,,,,
25,2017-02-08,8770.75,8775.8,5.049999999999272,866.1708319859565,4374.16270152845,,,,,,,,,,,,,,,,
26,2017-02-09,8775.8,8740.35158,-35.448419999998805,866.1708319859565,-30704.387443986587,,,,,,,,,,,,,,,,
27,,,,,,,2017-02-01 12:15:00,LONG,2017-02-01 13:15:00,8658.8,8540.7,8755.213749999999,2017-02-09 10:15:00,8742.1,83.30000000000109,79.81982000000109,72152.03030443113,TSL Hit,866.1708319859565,6.913759989837024,2017.0,2.0
28,2017-02-09,8757.301109999999,8786.55,29.248890000000756,856.5995282991931,25054.585377275635,,,,,,,,,,,,,,,,
29,2017-02-10,8786.55,8794.05,7.5,856.5995282991931,6424.496462243948,,,,,,,,,,,,,,,,
30,2017-02-13,8794.05,8768.49595,-25.554049999998824,856.5995282991931,-21889.58717613299,,,,,,,,,,,,,,,,
31,,,,,,,2017-02-09 11:15:00,LONG,2017-02-09 12:15:00,8755.55,8724.1,8780.695,2017-02-13 11:15:00,8770.25,14.700000000000728,11.194840000000728,12592.013065998763,TSL Hit,856.5995282991931,0.9589494663385564,2017.0,2.0
32,2017-02-13,8805.560759999998,8802.05,-3.510759999999209,851.9048592653173,-2990.8335037136317,,,,,,,,,,,,,,,,
33,2017-02-14,8802.05,8784.15,-17.899999999999636,851.9048592653173,-15249.09698084887,,,,,,,,,,,,,,,,
34,2017-02-15,8784.15,8762.29719,-21.852810000000318,851.9048592653173,-18616.51502760199,,,,,,,,,,,,,,,,
35,,,,,,,2017-02-13 13:15:00,LONG,2017-02-13 14:15:00,8803.8,8763.65,8782.68625,2017-02-15 10:15:00,8764.05,-39.75,-43.26357,-33863.21815579636,TSL Hit,851.9048592653173,-3.685644551216521,2017.0,2.0
36,2017-02-17,8836.8,8812.58713,-24.212869999999384,848.7235198261815,-20550.03225149323,,,,,,,,,,,,,,,,
37,,,,,,,2017-02-17 10:15:00,LONG,2017-02-17 11:15:00,8836.8,8814.35,8814.35,2017-02-17 13:15:00,8814.35,-22.44999999999891,-25.980229999998908,-19053.843020096847,Initial SL hit,848.7235198261815,-2.205003225149283,2017.0,2.0
38,2017-02-20,8842.46814,8884.25,41.78185999999914,848.3491126268282,35445.603854897636,,,,,,,,,,,,,,,,
39,2017-02-21,8884.25,8903.25,19.0,848.3491126268282,16118.633139909736,,,,,,,,,,,,,,,,
40,2017-02-22,8903.25,8930.1,26.850000000000364,848.3491126268282,22778.173674030644,,,,,,,,,,,,,,,,
41,2017-02-23,8930.1,8941.2,11.100000000000364,848.3491126268282,9416.675150158102,,,,,,,,,,,,,,,,
42,2017-02-27,8941.2,8896.45,-44.75,848.3491126268282,-37963.62279005056,,,,,,,,,,,,,,,,
43,2017-02-27,8896.45,8894.67071,-1.779290000000401,848.3491126268282,-1509.4590926061294,,,,,,,,,,,,,,,,
44,,,,,,,2017-02-20 10:15:00,LONG,2017-02-20 11:15:00,8840.7,8827.0,8897.61875,2017-02-27 15:15:00,8896.45,55.75,52.20257,47295.46302894567,TSL Hit,848.3491126268282,4.428600393633989,2017.0,2.0
45,2017-02-28,8894.5,8877.42416,-17.075839999999516,843.2177188149981,-14398.650851649489,,,,,,,,,,,,,,,,
46,,,,,,,2017-02-28 11:15:00,LONG,2017-02-28 12:15:00,8894.5,8879.2,8879.2,2017-02-28 13:15:00,8879.2,-15.299999999999272,-18.85473999999927,-12901.231097868857,Initial SL Hit,843.2177188149981,-1.5898650851649283,2017.0,2.0
47,2017-03-01,8936.75,8925.564530000001,-11.185469999998531,839.2312641620276,-9387.196128345202,,,,,,,,,,,,,,,,
48,,,,,,,2017-03-01 11:15:00,LONG,2017-03-01 12:15:00,8936.75,8927.35,8927.35,2017-03-01 12:15:00,8927.35,-9.399999999999636,-12.972819999999636,-7888.773883122754,Initial SL hit,839.2312641620276,-1.0887196128346128,2017.0,3.0
49,2017-03-01,8944.23849,8941.8,-2.4384900000004563,838.6963304239889,-2045.1526147759755,,,,,,,,,,,,,,,,
50,2017-03-02,8941.8,8925.914460000002,-15.88553999999749,838.6963304239889,-13323.144104801388,,,,,,,,,,,,,,,,
51,,,,,,,2017-03-01 13:15:00,LONG,2017-03-01 14:15:00,8942.45,8927.7,8930.06875,2017-03-02 14:15:00,8927.7,-14.75,-18.32403,-12370.770873753836,Initial SL hit,838.6963304239889,-1.5368296719579086,2017.0,3.0
52,2017-03-06,8962.04205,8962.6,0.5579500000003463,837.0302167908261,467.0210094587313,,,,,,,,,,,,,,,,
53,2017-03-07,8962.6,8944.95,-17.649999999999636,837.0302167908261,-14773.583326357777,,,,,,,,,,,,,,,,
54,2017-03-08,8944.95,8912.217200000001,-32.73279999999977,837.0302167908261,-27398.34268017056,,,,,,,,,,,,,,,,
55,,,,,,,2017-03-06 09:15:00,LONG,2017-03-06 10:15:00,8960.25,8914.0,8927.73125,2017-03-08 10:15:00,8914.0,-46.25,-49.82485,-38712.64752657571,Initial SL hit,837.0302167908261,-4.170490499707039,2017.0,3.0
56,2017-03-09,8915.2,8903.81888,-11.38112000000001,841.2598707824837,-9574.479540559949,,,,,,,,,,,,,,,,
57,,,,,,,2017-03-09 12:15:00,LONG,2017-03-09 13:15:00,8915.2,8905.6,8905.6,2017-03-09 13:15:00,8905.6,-9.600000000000364,-13.164160000000365,-8076.09475951215,Initial SL Hit,841.2598707824837,-1.107447954056025,2017.0,3.0
58,2017-03-10,8941.8,8926.06443,-15.735569999998916,838.7572971884856,-13198.324162919309,,,,,,,,,,,,,,,,
59,,,,,,,2017-03-10 11:15:00,LONG,2017-03-10 12:15:00,8941.8,8927.85,8927.85,2017-03-10 13:15:00,8927.85,-13.949999999998909,-17.52392999999891,-11700.664295778459,Initial SL hit,838.7572971884856,-1.4698324162919303,2017.0,3.0
60,2017-03-14,9082.9,9070.38556,-12.514439999999013,825.7274658974557,-10333.51682832494,,,,,,,,,,,,,,,,
61,,,,,,,2017-03-14 12:15:00,LONG,2017-03-14 13:15:00,9082.9,9072.2,9072.2,2017-03-14 14:15:00,9072.2,-10.699999999998909,-14.331019999998908,-8835.283885101875,Initial SL hit,825.7274658974557,-1.1833516828324853,2017.0,3.0
62,2017-03-15,9093.71838,9082.6,-11.118379999999888,824.9100848007567,-9171.663788646945,,,,,,,,,,,,,,,,
63,2017-03-16,9082.6,9157.3,74.69999999999891,824.9100848007567,61620.783334615626,,,,,,,,,,,,,,,,
64,2017-03-17,9157.3,9152.15,-5.149999999999636,824.9100848007567,-4248.286936723597,,,,,,,,,,,,,,,,
65,2017-03-20,9152.15,9129.55,-22.600000000000364,824.9100848007567,-18642.967916497404,,,,,,,,,,,,,,,,
66,2017-03-21,9129.55,9102.47914,-27.07085999999981,824.9100848007567,-22331.02541822926,,,,,,,,,,,,,,,,
67,,,,,,,2017-03-14 15:15:00,LONG,2017-03-15 09:15:00,9091.9,9073.2,9111.17375,2017-03-21 11:15:00,9104.3,12.399999999999636,8.760759999999637,10228.885051529083,TSL Hit,824.9100848007567,0.7226839274518778,2017.0,3.0
68,2017-03-21,9105.95,9085.98244,-19.967560000000958,823.6372921002201,-16446.02704824946,,,,,,,,,,,,,,,,
69,,,,,,,2017-03-21 12:15:00,LONG,2017-03-21 13:15:00,9105.95,9087.8,9087.8,2017-03-21 13:15:00,9087.8,-18.150000000001455,-21.788750000001457,-14949.016851620192,Initial SL Hit,823.6372921002201,-1.7946027048249868,2017.0,3.0
70,2017-03-21,9127.475129999999,9126.1,-1.375129999998535,821.8592648194923,-1130.1633308300243,,,,,,,,,,,,,,,,
71,2017-03-22,9126.1,9045.79048,-80.3095200000007,821.8592648194923,-66003.12306520689,,,,,,,,,,,,,,,,
72,,,,,,,2017-03-21 14:15:00,LONG,2017-03-21 15:15:00,9125.65,9097.05,9097.05,2017-03-22 09:15:00,9047.6,-78.04999999999927,-81.68464999999927,-64146.11561916077,Gap Open Outside ISL,821.8592648194923,-6.713328639603694,2017.0,3.0
73,2017-03-28,9096.9,9078.983839999999,-17.916160000000673,824.4566830458728,-14771.097846519699,,,,,,,,,,,,,,,,
74,,,,,,,2017-03-28 09:15:00,LONG,2017-03-28 10:15:00,9096.9,9080.8,9080.8,2017-03-28 14:15:00,9080.8,-16.100000000000364,-19.735540000000363,-13273.75259703885,Initial SL hit,824.4566830458728,-1.6271097846519442,2017.0,3.0
75,2017-03-29,9126.1,9116.12641,-9.973589999999604,821.8187396587808,-8196.483163673094,,,,,,,,,,,,,,,,
76,,,,,,,2017-03-29 10:15:00,LONG,2017-03-29 11:15:00,9126.1,9117.95,9117.95,2017-03-29 14:15:00,9117.95,-8.149999999999636,-11.798809999999637,-6697.8227282187645,Initial SL hit,821.8187396587808,-0.9696483163673121,2017.0,3.0
77,2017-03-30,9153.15,9141.27138,-11.8786199999995,819.3900460497206,-9733.222988806723,,,,,,,,,,,,,,,,
78,,,,,,,2017-03-29 15:15:00,LONG,2017-03-30 09:15:00,9153.15,9143.1,9143.1,2017-03-30 09:15:00,9143.1,-10.049999999999272,-13.709249999999273,-8234.869962799095,Initial SL hit,819.3900460497206,-1.1233222988806535,2017.0,3.0
79,2017-03-30,9157.85,9146.72029,-11.129710000001069,818.9695179545417,-9114.893233674718,,,,,,,,,,,,,,,,
80,,,,,,,2017-03-30 12:15:00,LONG,2017-03-30 13:15:00,9157.85,9148.55,9148.55,2017-03-30 13:15:00,9148.55,-9.300000000001091,-12.961280000001093,-7616.416516978132,Initial SL hit,818.9695179545417,-1.0614893233674738,2017.0,3.0
81,2017-03-30,9183.43632,9158.95,-24.486319999999978,816.8510934913304,-20001.677267578616,,,,,,,,,,,,,,,,
82,2017-03-31,9158.95,9170.7,11.75,816.8510934913304,9598.000348523132,,,,,,,,,,,,,,,,
83,2017-04-03,9170.7,9243.0,72.29999999999927,816.8510934913304,59058.334059422596,,,,,,,,,,,,,,,,
84,2017-04-05,9243.0,9256.9,13.899999999999636,816.8510934913304,11354.230199529195,,,,,,,,,,,,,,,,
85,2017-04-06,9256.9,9256.65,-0.25,816.8510934913304,-204.2127733728326,,,,,,,,,,,,,,,,
86,2017-04-07,9256.65,9191.911250000001,-64.73874999999862,816.8510934913304,-52881.918728760735,,,,,,,,,,,,,,,,
87,,,,,,,2017-03-30 14:15:00,LONG,2017-03-30 15:15:00,9181.6,9145.95,9213.715,2017-04-07 14:15:00,9193.75,12.149999999999636,8.474929999999636,9924.740785919366,TSL Hit,816.8510934913304,0.6922755837762183,2017.0,3.0
88,2017-04-24,9168.78339,9217.7,48.91661000000022,818.1565297072635,40021.443882643805,,,,,,,,,,,,,,,,
89,2017-04-25,9217.7,9303.75,86.04999999999927,818.1565297072635,70402.36938130943,,,,,,,,,,,,,,,,
90,2017-04-26,9303.75,9344.1,40.350000000000364,818.1565297072635,33012.61597368838,,,,,,,,,,,,,,,,
91,2017-04-27,9344.1,9328.7,-15.399999999999636,818.1565297072635,-12599.61055749156,,,,,,,,,,,,,,,,
92,2017-04-28,9328.7,9304.65,-24.05000000000109,818.1565297072635,-19676.66453946058,,,,,,,,,,,,,,,,
93,2017-05-02,9304.65,9317.3,12.649999999999636,818.1565297072635,10349.680100796586,,,,,,,,,,,,,,,,
94,2017-05-03,9317.3,9307.23818,-10.061819999998988,818.1565297072635,-8232.14373373831,,,,,,,,,,,,,,,,
95,,,,,,,2017-04-24 10:15:00,LONG,2017-04-24 11:15:00,9166.95,9153.8,9312.797499999999,2017-05-03 11:15:00,9309.1,142.14999999999964,138.45478999999963,116300.95069788721,TSL Hit,818.1565297072635,11.327769050774764,2017.0,4.0
96,2017-05-03,9318.26328,9304.0,-14.263279999999213,805.0319866042678,-11482.396633892287,,,,,,,,,,,,,,,,
97,2017-05-04,9304.0,9356.75,52.75,805.0319866042678,42465.43729337513,,,,,,,,,,,,,,,,
98,2017-05-05,9356.75,9322.33516,-34.41483999999946,805.0319866042678,-27705.047013867585,,,,,,,,,,,,,,,,
99,,,,,,,2017-05-03 12:15:00,LONG,2017-05-03 13:15:00,9316.4,9298.4,9325.87375,2017-05-05 09:15:00,9324.2,7.800000000001091,4.071880000001091,6279.249495514167,TSL Hit,805.0319866042678,0.3277993645615064,2017.0,5.0
100,2017-05-08,9326.064840000001,9310.75,-15.314840000000913,804.3585508676347,-12318.62250917042,,,,,,,,,,,,,,,,
101,2017-05-09,9310.75,9316.03642,5.286420000000362,804.3585508676347,4252.177130477972,,,,,,,,,,,,,,,,
102,,,,,,,2017-05-08 09:15:00,LONG,2017-05-08 10:15:00,9324.2,9297.95,9318.33375,2017-05-09 14:15:00,9317.9,-6.300000000001091,-10.028420000001091,-5067.458870466976,TSL Hit,804.3585508676347,-0.8066445378692882,2017.0,5.0
