Entry Time,Entry Date,ROI% MACD,ROI% MTrend,Dates 1,Dates,,,,ROI% PF
2017-01-02 13:15:00,2017-01-02,1.121089498,,02/01/2017,02/01/2017,2.120799274,0,0,1.060399637
2017-01-02 13:15:00,2017-01-02,0.9997097769,,02/01/2017,03/01/2017,-2.315997069,0,0,-1.157998534
2017-01-03 10:15:00,2017-01-03,-0.518445351,,03/01/2017,05/01/2017,11.45217672,-1.1015,-1.65225,4.899963361
2017-01-03 10:45:00,2017-01-03,-0.7424855952,,03/01/2017,10/01/2017,7.1547207,0,0,3.57736035
2017-01-03 14:15:00,2017-01-03,-0.5184219954,,03/01/2017,13/01/2017,0.8613497025,0,0,0.4306748513
2017-01-03 14:15:00,2017-01-03,-0.145077114,,03/01/2017,17/01/2017,0.6238597838,0,0,0.3119298919
2017-01-03 14:15:00,2017-01-03,-0.3915670133,,03/01/2017,18/01/2017,-0.5430073158,0,0,-0.2715036579
2017-01-05 10:45:00,2017-01-05,1.383721699,,05/01/2017,19/01/2017,-0.3400848792,0,0,-0.1700424396
2017-01-05 11:15:00,2017-01-05,6.110515082,,05/01/2017,20/01/2017,-0.03604725,0,0,-0.018023625
2017-01-05 13:15:00,2017-01-05,3.95793994,,05/01/2017,24/01/2017,18.70229448,0,0,9.351147242
2017-01-10 09:15:00,2017-01-10,3.000463421,,10/01/2017,25/01/2017,0,39.66875142,59.50312713,29.75156356
2017-01-10 11:15:00,2017-01-10,1.968014129,,10/01/2017,30/01/2017,-1.125113613,0,0,-0.5625568065
2017-01-10 13:15:00,2017-01-10,2.18624315,,10/01/2017,01/02/2017,3.277686467,0,0,1.638843233
2017-01-13 10:45:00,2017-01-13,0.8613497025,,13/01/2017,02/02/2017,0,-2.093302067,-3.1399531,-1.56997655
2017-01-17 12:45:00,2017-01-17,0.6238597838,,17/01/2017,03/02/2017,1.096156839,0,0,0.5480784194
2017-01-18 14:15:00,2017-01-18,-0.5430073158,,18/01/2017,07/02/2017,-0.3476729808,0,0,-0.1738364904
2017-01-19 13:45:00,2017-01-19,-0.2159799273,,19/01/2017,08/02/2017,-0.258367035,0,0,-0.1291835175
2017-01-19 14:45:00,2017-01-19,-0.1241049519,,19/01/2017,09/02/2017,-0.8279177373,0,0,-0.4139588687
2017-01-20 11:15:00,2017-01-20,-0.03604725,,20/01/2017,10/02/2017,-0.7898091322,0,0,-0.3949045661
2017-01-24 10:15:00,2017-01-24,2.057583114,,24/01/2017,13/02/2017,-1.494095192,0,0,-0.7470475962
2017-01-24 10:15:00,2017-01-24,3.513766687,,24/01/2017,14/02/2017,-0.8823754123,0,0,-0.4411877062
2017-01-24 12:15:00,2017-01-24,7.630224643,,24/01/2017,15/02/2017,-0.9433550856,0,0,-0.4716775428
2017-01-24 12:15:00,2017-01-24,2.234579841,,24/01/2017,16/02/2017,3.22825874,-1.046153846,-1.569230769,0.8295139855
