time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend
2012-01-02T09:15:00+05:30,122.8,123.75,120.05,120.25,NaN,NaN,NaN,178.44020534543446
2012-01-02T10:15:00+05:30,120.25,120.25,117,117.45,NaN,NaN,NaN,NaN
2012-01-02T11:15:00+05:30,117.4,117.45,111,113.05,NaN,NaN,NaN,NaN
2012-01-02T12:15:00+05:30,113,114.3,111.75,114.05,NaN,NaN,NaN,NaN
2012-01-02T13:15:00+05:30,114,115.25,113.95,114.15,NaN,NaN,NaN,NaN
2012-01-02T14:15:00+05:30,114.1,115.4,114.1,114.5,NaN,NaN,NaN,NaN
2012-01-02T15:15:00+05:30,114.5,115.15,114.2,115,NaN,NaN,NaN,NaN
2012-01-03T09:15:00+05:30,117.5,119.4,115,118.9,NaN,NaN,NaN,NaN
2012-01-03T10:15:00+05:30,118.9,119.15,117.65,118.75,NaN,NaN,NaN,NaN
2012-01-03T11:15:00+05:30,118.8,119.7,118.5,119.25,NaN,127.08,NaN,NaN
2012-01-03T12:15:00+05:30,119.2,120.6,118.6,120.2,NaN,127.08,NaN,NaN
2012-01-03T13:15:00+05:30,120.2,120.4,119.6,120.05,NaN,127.08,NaN,NaN
2012-01-03T14:15:00+05:30,120.05,120.75,119.9,120.35,NaN,127.08,NaN,NaN
2012-01-03T15:15:00+05:30,120.3,120.9,119.45,120.4,NaN,126.70697800000002,NaN,NaN
2012-01-04T09:15:00+05:30,121,121.45,118,120.65,NaN,126.6387802,NaN,NaN
2012-01-04T10:15:00+05:30,120.7,122.6,120.3,120.5,NaN,126.6387802,NaN,NaN
2012-01-04T11:15:00+05:30,120.5,120.8,118.75,119.3,NaN,126.61116196200001,NaN,NaN
2012-01-04T12:15:00+05:30,119.3,120.2,119,119.95,NaN,126.1125457658,NaN,NaN
2012-01-04T13:15:00+05:30,119.8,121.45,119.8,121.2,NaN,126.1125457658,NaN,NaN
2012-01-04T14:15:00+05:30,121.2,123.5,120.75,123.15,NaN,126.1125457658,NaN,NaN
2012-01-04T15:15:00+05:30,123.25,123.3,122.2,122.3,NaN,126.1125457658,NaN,NaN
2012-01-05T09:15:00+05:30,122,126.4,121.3,124.45,NaN,126.1125457658,NaN,NaN
2012-01-05T10:15:00+05:30,124.6,124.7,123.5,124.05,NaN,126.1125457658,NaN,NaN
2012-01-05T11:15:00+05:30,124.05,125.25,123.9,125.15,NaN,126.1125457658,NaN,NaN
2012-01-05T12:15:00+05:30,125.1,125.35,124.65,125.35,NaN,126.1125457658,NaN,NaN
2012-01-05T13:15:00+05:30,125.2,125.4,124.85,125,NaN,126.1125457658,NaN,NaN
2012-01-05T14:15:00+05:30,125,127.4,124.5,127.2,120.02036389332888,NaN,NaN,NaN
2012-01-05T15:15:00+05:30,127.15,127.6,126.25,127,121.183327503996,NaN,NaN,NaN
2012-01-06T09:15:00+05:30,126.25,127.3,125,125.7,121.183327503996,NaN,NaN,NaN
2012-01-06T10:15:00+05:30,125.7,125.95,124.3,124.7,121.183327503996,NaN,NaN,NaN
2012-01-06T11:15:00+05:30,124.75,126.5,124.5,126.15,121.183327503996,NaN,NaN,NaN
2012-01-06T12:15:00+05:30,126.3,126.4,125.05,125.85,121.183327503996,NaN,NaN,NaN
2012-01-06T13:15:00+05:30,125.95,126.25,125.05,126.1,121.183327503996,NaN,NaN,NaN
2012-01-06T14:15:00+05:30,126.2,128.75,126.05,127.75,121.71698222705113,NaN,NaN,NaN
2012-01-06T15:15:00+05:30,127.9,127.9,126.2,127,121.71698222705113,NaN,NaN,NaN
2012-01-09T09:15:00+05:30,128.7,128.7,126,127,121.71698222705113,NaN,NaN,NaN
2012-01-09T10:15:00+05:30,126.9,127.75,126.35,127.55,121.71698222705113,NaN,NaN,NaN
2012-01-09T11:15:00+05:30,127.6,128.7,127.55,128.45,122.64548203916826,NaN,NaN,NaN
2012-01-09T12:15:00+05:30,128.25,129.3,128.1,128.9,123.4084338352514,NaN,NaN,NaN
2012-01-09T13:15:00+05:30,128.9,130.25,128.75,130.2,124.28759045172627,NaN,NaN,NaN
2012-01-09T14:15:00+05:30,130.1,133.4,130,133.25,125.98883140655363,NaN,NaN,NaN
2012-01-09T15:15:00+05:30,133.25,133.35,131.1,131.45,126.40994826589828,NaN,NaN,NaN
2012-01-10T09:15:00+05:30,133.85,135.45,132.85,134.75,127.71645343930842,NaN,NaN,NaN
2012-01-10T10:15:00+05:30,134.75,135.95,134.65,135.7,129.11980809537764,NaN,NaN,NaN
2012-01-10T11:15:00+05:30,135.8,135.95,135.4,135.85,129.94782728583988,NaN,NaN,NaN
2012-01-10T12:15:00+05:30,135.9,136,135.05,135.35,130.08554455725587,NaN,NaN,NaN
2012-01-10T13:15:00+05:30,135.35,136.9,135.2,136.2,130.6444901015303,NaN,NaN,NaN
2012-01-10T14:15:00+05:30,136.2,136.95,136,136.35,131.32504109137724,NaN,NaN,NaN
2012-01-10T15:15:00+05:30,136.35,137,135.9,136.65,131.48503698223954,NaN,NaN,NaN
2012-01-11T09:15:00+05:30,136,136.8,134.75,136,131.48503698223954,NaN,NaN,NaN
2012-01-11T10:15:00+05:30,135.95,137.4,135.95,136.65,131.66487995561403,NaN,NaN,NaN
2012-01-11T11:15:00+05:30,136.6,136.95,136,136.7,131.6808919600526,NaN,NaN,NaN
2012-01-11T12:15:00+05:30,136.7,136.95,136.5,136.95,132.27530276404735,NaN,NaN,NaN
2012-01-11T13:15:00+05:30,136.95,137.5,135.8,135.8,132.27530276404735,NaN,NaN,NaN
2012-01-11T14:15:00+05:30,135.65,140.7,135.65,137.3,132.59674523887838,NaN,NaN,NaN
2012-01-11T15:15:00+05:30,137.3,137.4,135.5,135.5,132.59674523887838,NaN,NaN,NaN
2012-01-12T09:15:00+05:30,137.5,137.5,132.6,133.6,132.59674523887838,NaN,NaN,NaN
2012-01-12T10:15:00+05:30,133.55,133.8,133.3,133.45,132.59674523887838,NaN,NaN,NaN
2012-01-12T11:15:00+05:30,133.45,133.65,131.2,131.55,NaN,138.04005173410172,NaN,NaN
2012-01-12T12:15:00+05:30,131.5,132.75,131.3,132.35,NaN,137.98251065389474,NaN,NaN
2012-01-12T13:15:00+05:30,132.35,133.75,131.7,133.5,NaN,137.98251065389474,NaN,NaN
