time,open,high,low,close,MA,MA,EMA
2000-01-03,1054.8101,1054.8101,1054.8101,1054.8101,NaN,NaN,NaN
2000-01-04,1092.08,1092.08,1092.08,1092.08,NaN,NaN,NaN
2000-01-05,1055.99,1055.99,1055.99,1055.99,NaN,NaN,NaN
2000-01-06,1086.67,1086.67,1086.67,1086.67,NaN,NaN,NaN
2000-01-07,1126.99,1126.99,1126.99,1126.99,NaN,NaN,NaN
2000-01-10,1088.97,1088.97,1088.97,1088.97,NaN,NaN,NaN
2000-01-11,1033.55,1033.55,1033.55,1033.55,NaN,NaN,NaN
2000-01-12,1036.63,1036.63,1036.63,1036.63,NaN,NaN,NaN
2000-01-13,1034.1899,1034.1899,1034.1899,1034.1899,NaN,NaN,NaN
2000-01-14,1023.41,1023.41,1023.41,1023.41,NaN,NaN,NaN
2000-01-17,1035.99,1035.99,1035.99,1035.99,NaN,NaN,NaN
2000-01-18,1021.69,1021.69,1021.69,1021.69,NaN,NaN,NaN
2000-01-19,1057.89,1057.89,1057.89,1057.89,NaN,NaN,NaN
2000-01-20,1046.3101,1046.3101,1046.3101,1046.3101,NaN,NaN,NaN
2000-01-21,1058.91,1058.91,1058.91,1058.91,NaN,NaN,NaN
2000-01-24,1049.8199,1049.8199,1049.8199,1049.8199,NaN,NaN,NaN
2000-01-25,1061.6,1061.6,1061.6,1061.6,NaN,NaN,NaN
2000-01-27,1096.45,1096.45,1096.45,1096.45,NaN,NaN,NaN
2000-01-28,1153.35,1153.35,1153.35,1153.35,NaN,NaN,NaN
2000-01-31,1148.89,1148.89,1148.89,1148.89,NaN,NaN,1068.2095000000002
2000-02-01,1175.15,1175.15,1175.15,1175.15,NaN,NaN,1078.3943095238096
2000-02-02,1186.97,1186.97,1186.97,1186.97,NaN,NaN,1088.734851473923
2000-02-03,1185.11,1185.11,1185.11,1185.11,NaN,NaN,1097.9134370478353
2000-02-04,1172.21,1172.21,1172.21,1172.21,NaN,NaN,1104.9893001861367
2000-02-07,1158.08,1158.08,1158.08,1158.08,NaN,NaN,1110.0455573112665
2000-02-08,1150.2,1150.2,1150.2,1150.2,1091.9965384615384,1091.9965384615384,1113.8697899482888
2000-02-09,1154.25,1154.25,1154.25,1154.25,1095.82115,1095.82115,1117.715524238928
2000-02-10,1181.48,1181.48,1181.48,1181.48,1099.2596115384617,1099.2596115384617,1123.7883314542682
2000-02-11,1156.67,1156.67,1156.67,1156.67,1103.1319192307692,1103.1319192307692,1126.9199189348142
2000-02-14,1212.66,1212.66,1212.66,1212.66,1107.9776884615385,1107.9776884615385,1135.0856409410223
2000-02-15,1148.1,1148.1,1148.1,1148.1,1108.7896115384615,1108.7896115384615,1136.325103708544
2000-02-16,1167.64,1167.64,1167.64,1167.64,1111.8153807692308,1111.8153807692308,1139.3074747839207
