time,open,high,low,close,MA,Shapes,Shapes,RSI
2015-03-02,3069,3177,3040,3149,NaN,0,0,NaN
2015-03-03,3134,3155,3083,3138,NaN,0,0,NaN
2015-03-04,3148,3200,3112,3163,NaN,0,0,NaN
2015-03-05,3189,3279,3185,3212,NaN,0,0,NaN
2015-03-06,3209,3209,3121,3138,NaN,0,0,NaN
2015-03-09,3120,3197,3103,3163,NaN,0,0,NaN
2015-03-10,3166,3166,3052,3061,NaN,0,0,NaN
2015-03-11,3069,3094,2990,3000,NaN,0,0,NaN
2015-03-12,3021,3059,2956,2982,NaN,0,0,NaN
2015-03-13,2964,2978,2846,2866,NaN,0,0,NaN
2015-03-16,2852,2852,2704,2741,NaN,0,0,NaN
2015-03-17,2754,2782,2683,2759,NaN,0,0,NaN
2015-03-18,2752,2752,2643,2666,NaN,0,0,NaN
2015-03-19,2673,2754,2668,2706,NaN,1,0,NaN
2015-03-20,2885,2986,2832,2948,NaN,0,1,NaN
2015-03-23,2930,2965,2859,2930,NaN,0,0,39.233038348082594
2015-03-24,2929,3047,2929,2995,NaN,0,0,43.32399626517273
2015-03-25,2982,3111,2961,3094,NaN,0,0,46.98689956331877
2015-03-26,3114,3368,3114,3253,NaN,0,0,51.633466135458164
2015-03-27,3214,3222,3127,3152,NaN,0,0,50.54602184087363
2015-03-30,3125,3125,2999,3017,NaN,0,0,44.75574712643678
2015-03-31,3025,3055,2977,3025,NaN,0,0,48.61325115562404
2015-04-01,3007,3150,2952,3118,NaN,0,0,54.43609022556391
2015-04-02,3102,3117,3007,3037,NaN,0,0,51.97415649676956
2015-04-06,3075,3263,3075,3254,NaN,0,0,62.98527443105756
2015-04-07,3240,3365,3203,3325,NaN,0,0,70.27777777777777
2015-04-08,3303,3321,3166,3182,NaN,0,0,63.51437699680511
2015-04-09,3195,3250,3162,3215,NaN,0,0,68.23920265780731
2015-04-10,3183,3240,3132,3220,NaN,0,0,67.48299319727892
2015-04-13,3222,3319,3222,3273,NaN,0,0,62.685402029664324
2015-04-14,3276,3354,3261,3342,NaN,0,0,65.46546546546546
2015-04-15,3354,3505,3342,3496,NaN,0,0,67.62843068261787
2015-04-16,3512,3580,3435,3559,NaN,0,0,66.7870036101083
2015-04-17,3536,3554,3481,3494,NaN,0,0,59.33384972889234
2015-04-20,3529,3577,3426,3531,NaN,0,0,65.44417277913611
2015-04-21,3651,3677,3580,3593,NaN,0,0,74.95667244367418
2015-04-22,3580,3621,3520,3568,NaN,0,0,73.18531169940222
2015-04-23,3561,3710,3545,3688,NaN,0,0,73.78964941569282
2015-04-24,3670,3698,3614,3650,NaN,0,0,76.53679653679653
2015-04-27,3642,3693,3601,3611,NaN,0,0,68.27021494370521
2015-04-28,3607,3668,3573,3626,NaN,0,0,66.34093376764386
2015-04-29,3607,3771,3590,3755,NaN,0,0,81.58765159867696
2015-04-30,3745,3805,3730,3790,NaN,0,0,81.62816281628163
2015-05-01,3780,3807,3731,3754,NaN,0,0,78.40425531914894
2015-05-04,3795,3813,3731,3752,NaN,0,0,76.94038245219348
2015-05-05,3746,3886,3738,3857,NaN,0,0,77.83783783783784
2015-05-06,3882,3989,3870,3882,NaN,0,0,74.2462311557789
2015-05-07,3874,3946,3777,3790,NaN,0,0,64
2015-05-08,3766,3830,3723,3796,NaN,0,0,69.71279373368147
2015-05-11,3805,3827,3763,3788,NaN,0,0,67.43554952510176
2015-05-12,3806,3935,3801,3887,NaN,0,0,68.9922480620155
2015-05-13,3900,3965,3876,3909,NaN,0,0,72.11413748378729
2015-05-14,3895,3895,3767,3776,NaN,0,0,55.612244897959194
2015-05-15,3796,3807,3717,3779,NaN,0,0,58.611481975967955
2015-05-18,3805,3968,3766,3772,NaN,0,0,61.227336122733604
2015-05-19,3859,3869,3728,3737,NaN,0,0,57.530529172320215
2015-05-20,3757,3795,3725,3775,NaN,0,0,51.54798761609907
2015-05-21,3786,3891,3782,3861,NaN,0,0,55.09325681492109
2015-05-22,3862,3883,3793,3813,NaN,0,0,54.160789844851905
2015-05-25,3823,3848,3772,3830,NaN,0,0,55.386740331491715
2015-05-26,3826,3841,3710,3725,NaN,0,0,40.88397790055248
2015-05-27,3746,3790,3697,3713,NaN,0,0,38.11533052039381
2015-05-28,3708,3721,3625,3668,NaN,0,0,40.81325301204819
2015-05-29,3670,3878,3670,3869,NaN,0,0,54.24912689173457
2015-06-01,3847,3867,3788,3830,NaN,0,0,52.359550561797754
2015-06-02,3832,3935,3832,3918,NaN,0,0,51.76336746302617
2015-06-03,3899,3933,3815,3825,NaN,0,0,45.57894736842105
2015-06-04,3832,3850,3712,3720,NaN,0,0,46.96312364425163
2015-06-05,3724,3759,3656,3742,NaN,0,0,48.034006376195535
2015-06-08,3762,3798,3718,3731,NaN,0,0,47.83068783068783
2015-06-09,3745,3865,3732,3854,NaN,0,0,55.66311713455954
2015-06-10,3870,3955,3870,3887,NaN,0,0,55.44747081712062
2015-06-11,3892,3937,3856,3895,NaN,0,0,51.78947368421053
2015-06-12,3874,3879,3835,3858,NaN,0,0,52.3961661341853
2015-06-15,3852,3852,3770,3818,NaN,0,0,49.37629937629937
2015-06-16,3825,3874,3822,3849,NaN,0,0,56.98198198198198
2015-06-17,3857,3940,3780,3795,NaN,0,0,54.40860215053764
2015-06-18,3795,3880,3783,3846,NaN,0,0,59.50854700854701
2015-06-22,3815,3869,3783,3807,NaN,0,0,45.99483204134367
2015-06-23,3818,3920,3809,3910,3493.7875,0,0,54.773269689737475
2015-06-24,3906,3934,3820,3830,3502.3,0,0,44.6987951807229
2015-06-25,3844,3856,3792,3810,3510.7,0,0,49.00924702774108
2015-06-26,3808,3828,3755,3815,3518.85,0,0,57.22983257229833
2015-06-29,3792,3797,3723,3735,3525.3875,0,0,49.510489510489506
2015-06-30,3727,3787,3714,3776,3533.3625,0,0,53.02013422818792
2015-07-01,3762,3762,3635,3649,3539.4375,0,0,36.3150867823765
2015-07-02,3636,3684,3621,3641,3546.6875,0,0,33.01104972375691
2015-07-03,3632,3632,3510,3520,3553.1875,0,0,27.59856630824372
2015-07-06,3505,3517,3374,3384,3558.2125,0,0,24.679487179487182
2015-07-07,3370,3397,3226,3306,3563.7125,0,0,23.71663244353182
2015-07-08,3296,3377,3245,3276,3570.4,1,0,20.554984583761552
2015-07-09,3309,3398,3309,3361,3577.925,0,1,28.38645418326692
2015-07-10,3380,3418,3302,3331,3586.2375,0,0,23.80467955239064
2015-07-13,3316,3379,3260,3350,3594.2875,0,0,26.27206645898235
2015-07-14,3340,3385,3235,3347,3599.275,0,0,17.381228273464657
2015-07-15,3376,3389,3272,3288,3603.75,1,0,17.814726840855116
2015-07-16,3298,3314,3241,3255,3607,0,0,17.54385964912281
2015-07-17,3250,3250,3187,3208,3608.425,0,0,16.16499442586398
2015-07-20,3218,3255,3172,3181,3607.525,0,0,17.180094786729853
2015-07-21,3224,3285,3206,3235,3608.5625,0,0,18.43640606767795
2015-07-22,3230,3238,3183,3197,3610.8125,0,0,20.572916666666657
2015-07-23,3186,3186,3098,3111,3611.8875,0,0,18.67612293144208
2015-07-24,3130,3158,3080,3098,3611.6375,0,0,21.409214092140914
2015-07-27,3087,3102,3052,3079,3612.1625,0,0,25.44283413848632
2015-07-28,3071,3113,3008,3083,3610.025,0,0,29.61608775137111
2015-07-29,3071,3177,3045,3148,3607.8125,1,0,39.00343642611684
2015-07-30,3144,3174,3122,3132,3607.1875,0,0,27.68031189083821
2015-07-31,3121,3121,3030,3038,3604.975,0,0,24.610051993067586
2015-08-03,3035,3035,2907,2918,3601.2,0,0,18.141592920353986
2015-08-04,2925,2959,2918,2935,3596.975,1,0,20.23121387283237
2015-08-05,2948,2989,2873,2888,3591.3,0,1,20.588235294117652
2015-08-06,2885,2895,2826,2847,3583.1875,0,0,20.34883720930233
2015-08-07,2857,2887,2815,2824,3574,0,0,21.0843373493976
2015-08-10,2815,2885,2786,2860,3566.075,0,0,26.1515601783061
