time,open,high,low,close
2020-06-22T09:00:00+05:30,3045,3057,3038,3046
2020-06-22T10:00:00+05:30,3046,3050,3027,3035
2020-06-22T11:00:00+05:30,3036,3036,3017,3032
2020-06-22T12:00:00+05:30,3032,3063,3027,3062
2020-06-22T13:00:00+05:30,3062,3065,2992,3037
2020-06-22T14:00:00+05:30,3038,3055,3031,3051
2020-06-22T15:00:00+05:30,3051,3051,3027,3036
2020-06-22T16:00:00+05:30,3036,3043,3013,3023
2020-06-22T17:00:00+05:30,3024,3033,3004,3013
2020-06-22T18:00:00+05:30,3012,3046,3012,3041
2020-06-22T19:00:00+05:30,3041,3061,3031,3048
2020-06-22T20:00:00+05:30,3049,3071,3036,3071
2020-06-22T21:00:00+05:30,3072,3081,3054,3057
2020-06-22T22:00:00+05:30,3057,3074,3054,3065
2020-06-22T23:00:00+05:30,3064,3072,3055,3067
2020-06-23T09:00:00+05:30,3094,3094,3075,3088
2020-06-23T10:00:00+05:30,3089,3094,3082,3085
2020-06-23T11:00:00+05:30,3085,3088,3062,3066
2020-06-23T12:00:00+05:30,3065,3103,3061,3101
2020-06-23T13:00:00+05:30,3101,3121,3098,3120
2020-06-23T14:00:00+05:30,3120,3126,3097,3122
2020-06-23T15:00:00+05:30,3123,3153,3123,3143
2020-06-23T16:00:00+05:30,3143,3153,3136,3139
2020-06-23T17:00:00+05:30,3139,3152,3130,3133
2020-06-23T18:00:00+05:30,3133,3134,3097,3116
2020-06-23T19:00:00+05:30,3117,3118,3079,3107
2020-06-23T20:00:00+05:30,3107,3127,3088,3123
2020-06-23T21:00:00+05:30,3124,3131,3085,3101
2020-06-23T22:00:00+05:30,3101,3111,3059,3069
2020-06-23T23:00:00+05:30,3069,3079,3050,3053
2020-06-24T09:00:00+05:30,3043,3047,3028,3044
2020-06-24T10:00:00+05:30,3045,3052,3041,3047
2020-06-24T11:00:00+05:30,3047,3067,3044,3064
2020-06-24T12:00:00+05:30,3065,3077,3056,3070
2020-06-24T13:00:00+05:30,3070,3073,3006,3025
