time,open,high,low,close
2015-03-02T09:00:00+05:30,3069,3080,3066,3068
2015-03-02T13:00:00+05:30,3068,3085,3053,3056
2015-03-02T17:00:00+05:30,3056,3140,3040,3124
2015-03-02T21:00:00+05:30,3124,3177,3118,3145
2015-03-03T09:00:00+05:30,3134,3134,3104,3112
2015-03-03T13:00:00+05:30,3113,3147,3108,3133
2015-03-03T17:00:00+05:30,3133,3155,3083,3115
2015-03-03T21:00:00+05:30,3114,3151,3102,3137
2015-03-04T09:00:00+05:30,3148,3150,3139,3148
2015-03-04T13:00:00+05:30,3148,3184,3141,3170
2015-03-04T17:00:00+05:30,3172,3200,3157,3168
2015-03-04T21:00:00+05:30,3147,3180,3112,3177
2015-03-05T09:00:00+05:30,3189,3245,3189,3236
2015-03-05T13:00:00+05:30,3237,3279,3225,3256
2015-03-05T17:00:00+05:30,3255,3258,3185,3215
2015-03-05T21:00:00+05:30,3215,3248,3200,3210
2015-03-06T17:00:00+05:30,3209,3209,3143,3178
2015-03-06T21:00:00+05:30,3178,3178,3121,3121
2015-03-09T09:00:00+05:30,3120,3132,3107,3125
2015-03-09T13:00:00+05:30,3125,3138,3109,3125
2015-03-09T17:00:00+05:30,3125,3197,3103,3176
2015-03-09T21:00:00+05:30,3177,3187,3151,3152
2015-03-10T09:00:00+05:30,3166,3166,3141,3143
2015-03-10T13:00:00+05:30,3143,3147,3121,3128
2015-03-10T17:00:00+05:30,3128,3148,3095,3120
2015-03-10T21:00:00+05:30,3120,3123,3052,3057
2015-03-11T09:00:00+05:30,3069,3094,3069,3077
2015-03-11T13:00:00+05:30,3077,3083,3048,3063
2015-03-11T17:00:00+05:30,3062,3085,2992,3026
2015-03-11T21:00:00+05:30,3027,3031,2990,3012
2015-03-12T09:00:00+05:30,3021,3047,3021,3041
2015-03-12T13:00:00+05:30,3040,3059,3035,3045
2015-03-12T17:00:00+05:30,3047,3058,2985,3000
2015-03-12T21:00:00+05:30,2999,3001,2956,2960
2015-03-13T09:00:00+05:30,2964,2974,2958,2973
2015-03-13T13:00:00+05:30,2974,2978,2931,2932
2015-03-13T17:00:00+05:30,2932,2937,2862,2871
2015-03-13T21:00:00+05:30,2872,2888,2846,2865
