time,open,high,low,close
2017-06-02T12:15:00+05:30,784,785,783.8,784.7
2017-06-02T13:15:00+05:30,784.55,784.9,783,783.35
2017-06-02T14:15:00+05:30,783.7,784.5,776.85,780.1
2017-06-02T15:15:00+05:30,780.1,780.2,777.5,780
2017-06-05T09:15:00+05:30,782.5,811,775.3,800.5
2017-06-05T10:15:00+05:30,800.5,800.9,792.1,794.7
2017-06-05T11:15:00+05:30,794.1,794.85,788,793.95
2017-06-05T12:15:00+05:30,794,795,789,790.5
2017-06-05T13:15:00+05:30,791,793.8,790.05,792.7
2017-06-05T14:15:00+05:30,792.7,792.7,788.5,789.75
2017-06-05T15:15:00+05:30,789.75,792.5,788,792.5
2017-06-06T09:15:00+05:30,792.5,800.5,773.7,782.05
2017-06-06T10:15:00+05:30,782.4,794.35,781,785
2017-06-06T11:15:00+05:30,784.75,785.7,783,783.05
2017-06-06T12:15:00+05:30,783.05,783.65,775.25,777.95
2017-06-06T13:15:00+05:30,777.95,779.7,775,776.55
2017-06-06T14:15:00+05:30,776.1,778,772.55,774.65
2017-06-06T15:15:00+05:30,774.25,776.7,774.25,776
2017-06-07T09:15:00+05:30,779.8,784.5,773,779
2017-06-07T10:15:00+05:30,779,779.6,777.1,777.2
2017-06-07T11:15:00+05:30,777.15,777.65,773.15,776.5
2017-06-07T12:15:00+05:30,775.85,776.95,773.1,774.45
2017-06-07T13:15:00+05:30,774.5,774.95,773.1,773.3
2017-06-07T14:15:00+05:30,773.8,775.6,771.25,775
2017-06-07T15:15:00+05:30,775.9,776,772.05,775
2017-06-08T09:15:00+05:30,776.9,781.45,768.05,776.05
2017-06-08T10:15:00+05:30,776.2,779.8,776.2,778
2017-06-08T11:15:00+05:30,778,799.8,776.7,789.5
2017-06-08T12:15:00+05:30,789.6,797.8,788.1,792.9
2017-06-08T13:15:00+05:30,792.9,794.5,790,791.7
2017-06-08T14:15:00+05:30,792.45,794,785.25,790.6
2017-06-08T15:15:00+05:30,790.55,793.6,788,789
2017-06-09T09:15:00+05:30,788.25,811,783.15,804.35
2017-06-09T10:15:00+05:30,804.3,806,800,801.3
2017-06-09T11:15:00+05:30,801.75,806.7,800.05,802.6
2017-06-09T12:15:00+05:30,802.65,804.95,800.1,801.5
2017-06-09T13:15:00+05:30,802,802,786,794
2017-06-09T14:15:00+05:30,794,805,793.3,801.95
2017-06-09T15:15:00+05:30,802,805,800,802
2017-06-12T09:15:00+05:30,802.25,823,797,814.7
2017-06-12T10:15:00+05:30,814.85,819.45,813,816
2017-06-12T11:15:00+05:30,816,817,807.75,810.35
2017-06-12T12:15:00+05:30,810.35,812.8,809.75,810
2017-06-12T13:15:00+05:30,810.05,811.45,809.1,809.2
2017-06-12T14:15:00+05:30,809.15,810.5,803.1,803.6
2017-06-12T15:15:00+05:30,803.65,806,798.95,806
2017-06-13T09:15:00+05:30,807.7,815,806,808.95
2017-06-13T10:15:00+05:30,808.5,812.95,806.5,806.75
2017-06-13T11:15:00+05:30,806.75,809.65,804.5,805.75
2017-06-13T12:15:00+05:30,806.3,806.3,803.1,803.85
2017-06-13T13:15:00+05:30,803.85,804.4,796.65,800.5
2017-06-13T14:15:00+05:30,800.35,800.35,795.1,798.7
2017-06-13T15:15:00+05:30,798.55,799.85,797.65,799.8
2017-06-14T09:15:00+05:30,801.1,807,797.1,802.95
2017-06-14T10:15:00+05:30,802.8,803.5,799,800
2017-06-14T11:15:00+05:30,800.85,800.85,792,794.95
2017-06-14T12:15:00+05:30,794.95,798,794,796.1
2017-06-14T13:15:00+05:30,797,798,795.1,797.65
2017-06-14T14:15:00+05:30,797.65,801,796,797
2017-06-14T15:15:00+05:30,797.95,801,797.05,799.8
2017-06-15T09:15:00+05:30,800.1,807,795.1,802.3
