time,open,high,low,close,King Candle,Queen Candle,MA
2015-03-02,26600,26769,26500,26510,0,0,NaN
2015-03-03,26500,26590,26380,26427,0,0,NaN
2015-03-04,26411,26579,26409,26547,0,1,NaN
2015-03-05,26565,26627,26435,26484,0,0,NaN
2015-03-06,26460,26484,25982,26012,1,0,NaN
2015-03-09,26073,26129,26001,26024,0,1,NaN
2015-03-10,25962,26079,25780,25919,0,0,NaN
2015-03-11,25950,25950,25653,25685,0,0,NaN
2015-03-12,25660,25860,25562,25655,0,0,NaN
2015-03-13,25720,25918,25720,25890,0,1,NaN
2015-03-16,25875,25941,25706,25783,0,0,NaN
2015-03-17,25721,25830,25521,25617,1,0,NaN
2015-03-18,25631,25697,25500,25637,0,0,NaN
2015-03-19,25740,25997,25740,25962,0,1,NaN
2015-03-20,25980,26236,25900,26182,0,0,NaN
2015-03-23,26162,26220,26080,26198,1,0,NaN
2015-03-24,26169,26389,26135,26351,0,0,NaN
2015-03-25,26280,26498,26212,26483,0,0,NaN
2015-03-26,26590,26988,26562,26801,0,0,NaN
2015-03-27,26675,26758,26387,26569,1,0,NaN
2015-03-30,26430,26459,26235,26270,0,0,NaN
2015-03-31,26389,26517,26225,26269,0,0,NaN
2015-04-01,26350,26760,26238,26719,0,1,NaN
2015-04-02,26728,26728,26500,26597,1,0,NaN
2015-04-06,26645,27095,26645,26997,0,0,NaN
2015-04-07,26980,26980,26852,26875,1,0,NaN
2015-04-08,26880,26929,26671,26760,0,0,NaN
2015-04-09,26700,26700,26462,26521,0,0,NaN
2015-04-10,26577,26840,26534,26781,0,1,NaN
2015-04-13,26760,26815,26629,26699,1,0,NaN
2015-04-14,26622,26622,26387,26544,0,0,NaN
2015-04-15,26532,26765,26476,26737,0,1,NaN
2015-04-16,26710,26845,26568,26645,0,0,NaN
2015-04-17,26617,26840,26617,26812,1,0,NaN
2015-04-20,26845,26967,26768,26837,0,0,NaN
2015-04-21,26880,26950,26753,26936,1,0,NaN
2015-04-22,26853,26960,26606,26624,0,0,NaN
2015-04-23,26640,26917,26635,26900,1,1,NaN
2015-04-24,26867,26959,26630,26701,0,0,NaN
2015-04-27,26771,27135,26707,27083,0,1,NaN
2015-04-28,27070,27212,26970,27190,0,0,NaN
2015-04-29,27123,27274,27064,27238,0,0,NaN
2015-04-30,27160,27279,26655,26716,0,0,NaN
2015-05-01,26660,26689,26490,26636,1,0,NaN
2015-05-04,26697,26959,26697,26868,0,1,NaN
2015-05-05,26836,27020,26776,26880,0,0,NaN
2015-05-06,26950,27054,26813,26911,0,0,NaN
2015-05-07,26912,27040,26845,26934,1,0,NaN
2015-05-08,26912,27014,26821,26889,0,0,NaN
2015-05-11,26913,26952,26778,26839,0,0,NaN
2015-05-12,26860,27241,26860,27167,0,1,26535.50980392157
2015-05-13,27110,27568,27051,27528,0,0,26555.470588235294
2015-05-14,27450,27595,27370,27434,0,0,26575.21568627451
2015-05-15,27400,27480,27246,27463,1,0,26593.176470588234
2015-05-18,27519,27685,27505,27617,0,1,26615.392156862745
2015-05-19,27580,27580,27258,27296,1,0,26640.56862745098
2015-05-20,27260,27364,27186,27284,0,0,26665.274509803923
2015-05-21,27278,27318,27089,27108,0,0,26688.58823529412
2015-05-22,27159,27297,27053,27082,0,0,26715.980392156864
2015-05-25,27096,27175,27082,27161,0,1,26745.50980392157
2015-05-26,27140,27195,26862,26892,0,0,26765.156862745098
2015-05-27,26957,26975,26835,26877,1,0,26786.607843137255
2015-05-28,26860,26916,26712,26861,0,0,26811
2015-05-29,26875,26925,26780,26860,0,1,26834.980392156864
2015-06-01,26831,26984,26666,26692,0,0,26849.29411764706
2015-06-02,27033,27220,27003,27142,0,1,26868.117647058825
2015-06-03,27111,27189,27008,27078,1,0,26885.37254901961
