time,open,high,low,close
2015-03-02T09:00:00+05:30,26600,26732,26600,26710
2015-03-02T11:00:00+05:30,26710,26769,26686,26700
2015-03-02T13:00:00+05:30,26709,26730,26657,26660
2015-03-02T15:00:00+05:30,26662,26700,26653,26680
2015-03-02T17:00:00+05:30,26684,26742,26625,26700
2015-03-02T19:00:00+05:30,26692,26692,26576,26619
2015-03-02T21:00:00+05:30,26623,26624,26512,26542
2015-03-02T23:00:00+05:30,26542,26547,26500,26506
2015-03-03T09:00:00+05:30,26500,26525,26470,26472
2015-03-03T11:00:00+05:30,26470,26510,26444,26463
2015-03-03T13:00:00+05:30,26470,26505,26453,26500
2015-03-03T15:00:00+05:30,26500,26533,26480,26498
2015-03-03T17:00:00+05:30,26499,26550,26476,26495
2015-03-03T19:00:00+05:30,26495,26590,26437,26550
2015-03-03T21:00:00+05:30,26548,26566,26380,26430
2015-03-03T23:00:00+05:30,26428,26448,26411,26440
2015-03-04T09:00:00+05:30,26411,26460,26409,26449
2015-03-04T11:00:00+05:30,26447,26475,26432,26439
2015-03-04T13:00:00+05:30,26438,26485,26415,26465
2015-03-04T15:00:00+05:30,26463,26560,26445,26537
2015-03-04T17:00:00+05:30,26540,26579,26499,26552
2015-03-04T19:00:00+05:30,26550,26575,26480,26525
2015-03-04T21:00:00+05:30,26524,26568,26502,26506
2015-03-04T23:00:00+05:30,26506,26560,26503,26535
2015-03-05T09:00:00+05:30,26565,26579,26546,26554
2015-03-05T11:00:00+05:30,26555,26565,26475,26480
2015-03-05T13:00:00+05:30,26484,26499,26443,26490
2015-03-05T15:00:00+05:30,26494,26495,26435,26453
2015-03-05T17:00:00+05:30,26453,26540,26450,26520
2015-03-05T19:00:00+05:30,26513,26586,26490,26574
2015-03-05T21:00:00+05:30,26576,26627,26500,26531
2015-03-05T23:00:00+05:30,26532,26536,26462,26475
2015-03-06T17:00:00+05:30,26460,26484,26422,26461
2015-03-06T19:00:00+05:30,26437,26474,26170,26200
2015-03-06T21:00:00+05:30,26200,26235,26050,26069
2015-03-06T23:00:00+05:30,26077,26082,25982,25987
2015-03-09T09:00:00+05:30,26073,26096,26036,26046
2015-03-09T11:00:00+05:30,26042,26089,26041,26063
2015-03-09T13:00:00+05:30,26062,26125,26056,26080
2015-03-09T15:00:00+05:30,26081,26109,26066,26076
2015-03-09T17:00:00+05:30,26075,26129,26050,26055
2015-03-09T19:00:00+05:30,26052,26099,26006,26027
2015-03-09T21:00:00+05:30,26027,26045,26001,26020
2015-03-09T23:00:00+05:30,26020,26038,26016,26022
2015-03-10T09:00:00+05:30,25962,25962,25885,25900
2015-03-10T11:00:00+05:30,25894,25928,25825,25861
2015-03-10T13:00:00+05:30,25860,25880,25780,25855
2015-03-10T15:00:00+05:30,25857,25950,25830,25943
2015-03-10T17:00:00+05:30,25944,26079,25941,25993
2015-03-10T19:00:00+05:30,25994,26049,25894,25937
2015-03-10T21:00:00+05:30,25935,25975,25873,25907
2015-03-10T23:00:00+05:30,25914,25935,25906,25916
2015-03-11T09:00:00+05:30,25950,25950,25891,25891
2015-03-11T11:00:00+05:30,25897,25947,25885,25925
2015-03-11T13:00:00+05:30,25921,25934,25875,25889
2015-03-11T15:00:00+05:30,25888,25890,25821,25882
2015-03-11T17:00:00+05:30,25878,25883,25805,25846
2015-03-11T19:00:00+05:30,25849,25850,25653,25704
2015-03-11T21:00:00+05:30,25708,25750,25660,25694
2015-03-11T23:00:00+05:30,25700,25707,25665,25685
2015-03-12T09:00:00+05:30,25660,25678,25626,25658
2015-03-12T11:00:00+05:30,25656,25860,25645,25809
2015-03-12T13:00:00+05:30,25810,25812,25733,25758
2015-03-12T15:00:00+05:30,25750,25789,25732,25745
2015-03-12T17:00:00+05:30,25746,25759,25650,25700
2015-03-12T19:00:00+05:30,25700,25705,25615,25643
2015-03-12T21:00:00+05:30,25646,25648,25562,25644
2015-03-12T23:00:00+05:30,25643,25669,25635,25648
2015-03-13T09:00:00+05:30,25720,25810,25720,25787
2015-03-13T11:00:00+05:30,25785,25846,25771,25787
2015-03-13T13:00:00+05:30,25788,25830,25761,25775
2015-03-13T15:00:00+05:30,25774,25872,25773,25841
2015-03-13T17:00:00+05:30,25840,25890,25791,25865
2015-03-13T19:00:00+05:30,25870,25918,25785,25798
2015-03-13T21:00:00+05:30,25810,25845,25800,25837
2015-03-13T23:00:00+05:30,25840,25915,25837,25912
2015-03-16T09:00:00+05:30,25875,25900,25860,25875
