time,open,high,low,close,MA,Shapes,Shapes,RSI
2015-03-02T09:00:00+05:30,26600,26769,26600,26700,NaN,0,0,NaN
2015-03-02T13:00:00+05:30,26709,26730,26653,26680,NaN,0,0,NaN
2015-03-02T17:00:00+05:30,26684,26742,26576,26619,NaN,0,0,NaN
2015-03-02T21:00:00+05:30,26623,26624,26500,26506,NaN,0,0,NaN
2015-03-03T09:00:00+05:30,26500,26525,26444,26463,NaN,0,0,NaN
2015-03-03T13:00:00+05:30,26470,26533,26453,26498,NaN,1,0,12.867647058823522
2015-03-03T17:00:00+05:30,26499,26590,26437,26550,NaN,0,1,28.618421052631575
2015-03-03T21:00:00+05:30,26548,26566,26380,26440,NaN,0,0,24.64589235127478
2015-03-04T09:00:00+05:30,26411,26475,26409,26439,NaN,0,0,36.09958506224066
2015-03-04T13:00:00+05:30,26438,26560,26415,26537,NaN,0,0,62.50000000000001
2015-03-04T17:00:00+05:30,26540,26579,26480,26525,NaN,0,0,54.94505494505495
2015-03-04T21:00:00+05:30,26524,26568,26502,26535,NaN,0,0,46.75324675324675
2015-03-05T09:00:00+05:30,26565,26579,26475,26480,NaN,0,0,61.36363636363637
2015-03-05T13:00:00+05:30,26484,26499,26435,26453,NaN,0,0,53.46534653465347
2015-03-05T17:00:00+05:30,26453,26586,26450,26574,NaN,0,0,58.222222222222214
2015-03-05T21:00:00+05:30,26576,26627,26462,26475,NaN,0,0,41.98717948717949
2015-03-06T17:00:00+05:30,26460,26484,26170,26200,NaN,0,0,20.97053726169844
2015-03-06T21:00:00+05:30,26200,26235,25982,25987,NaN,0,0,16.462585034013614
2015-03-09T09:00:00+05:30,26073,26096,26036,26063,NaN,0,0,25.127551020408163
2015-03-09T13:00:00+05:30,26062,26125,26056,26076,NaN,0,0,13.165680473372788
2015-03-09T17:00:00+05:30,26075,26129,26006,26027,NaN,0,0,14.217252396166131
2015-03-09T21:00:00+05:30,26027,26045,26001,26022,NaN,0,0,25.000000000000014
2015-03-10T09:00:00+05:30,25962,25962,25825,25861,NaN,0,0,29.276315789473685
2015-03-10T13:00:00+05:30,25860,25950,25780,25943,NaN,0,0,30.645161290322577
2015-03-10T17:00:00+05:30,25944,26079,25894,25937,NaN,0,0,27.06270627062706
2015-03-10T21:00:00+05:30,25935,25975,25873,25916,NaN,0,0,29.818181818181813
2015-03-11T09:00:00+05:30,25950,25950,25885,25925,NaN,0,0,32.61648745519713
2015-03-11T13:00:00+05:30,25921,25934,25821,25882,NaN,0,0,56.52173913043478
2015-03-11T17:00:00+05:30,25878,25883,25653,25704,NaN,0,0,3.5019455252918306
2015-03-11T21:00:00+05:30,25708,25750,25660,25685,NaN,1,0,3.333333333333343
2015-03-12T09:00:00+05:30,25660,25860,25626,25809,NaN,0,1,35.656836461126005
2015-03-12T13:00:00+05:30,25810,25812,25732,25745,NaN,0,0,28.971962616822438
2015-03-12T17:00:00+05:30,25746,25759,25615,25643,NaN,0,0,25.46201232032854
2015-03-12T21:00:00+05:30,25646,25669,25562,25648,NaN,0,0,41.0828025477707
2015-03-13T09:00:00+05:30,25720,25846,25720,25787,NaN,0,0,61.75115207373271
2015-03-13T13:00:00+05:30,25788,25872,25761,25841,NaN,0,0,54.39560439560439
2015-03-13T17:00:00+05:30,25840,25918,25785,25798,NaN,0,0,57.72594752186589
2015-03-13T21:00:00+05:30,25810,25915,25800,25912,NaN,0,0,87.88732394366197
2015-03-16T09:00:00+05:30,25875,25941,25860,25908,NaN,0,0,86.7231638418079
2015-03-16T13:00:00+05:30,25909,25910,25780,25790,NaN,0,0,50.45045045045046
2015-03-16T17:00:00+05:30,25791,25850,25706,25739,NaN,0,0,34.54545454545455
2015-03-16T21:00:00+05:30,25739,25796,25725,25775,NaN,0,0,46.43962848297213
2015-03-17T09:00:00+05:30,25721,25749,25687,25735,NaN,0,0,14.4578313253012
2015-03-17T13:00:00+05:30,25732,25738,25676,25692,NaN,0,0,12.5
2015-03-17T17:00:00+05:30,25688,25830,25521,25660,NaN,0,0,17.82178217821783
2015-03-17T21:00:00+05:30,25663,25680,25592,25619,NaN,1,0,18.75
2015-03-18T09:00:00+05:30,25631,25650,25500,25508,NaN,0,0,0
2015-03-18T13:00:00+05:30,25508,25670,25501,25620,NaN,0,0,33.038348082595874
