time,open,high,low,close,Volume
2012-01-02T09:15:00+05:30,1915.05,1918.8,1877.9,1883.25,117331
2012-01-02T10:15:00+05:30,1881.75,1885,1812.7,1831.25,204307
2012-01-02T11:15:00+05:30,1830.95,1842,1797.55,1814,175433
2012-01-02T12:15:00+05:30,1814.05,1828,1811,1822.8,81996
2012-01-02T13:15:00+05:30,1823.9,1827.45,1808.2,1818.85,123602
2012-01-02T14:15:00+05:30,1819.1,1842,1818,1840,107047
2012-01-02T15:15:00+05:30,1840,1843.55,1833.45,1836.1,92988
2012-01-03T09:15:00+05:30,1864,1884.65,1844.2,1846.35,154989
2012-01-03T10:15:00+05:30,1846.35,1861,1843.85,1854,56916
2012-01-03T11:15:00+05:30,1854,1859.7,1850,1854.95,48042
2012-01-03T12:15:00+05:30,1854.65,1857.25,1845,1846.25,32956
2012-01-03T13:15:00+05:30,1848.1,1848.65,1808.65,1811.75,138577
2012-01-03T14:15:00+05:30,1811.8,1832.9,1801,1826.2,147534
2012-01-03T15:15:00+05:30,1826.6,1833.85,1824.75,1825,48763
2012-01-04T09:15:00+05:30,1825.5,1827.9,1788.05,1797.65,133841
2012-01-04T10:15:00+05:30,1797.65,1814.5,1772.2,1779.5,180701
2012-01-04T11:15:00+05:30,1779.5,1782,1765.1,1780,105936
2012-01-04T12:15:00+05:30,1780.15,1791,1779.25,1785.05,66827
2012-01-04T13:15:00+05:30,1785,1794.8,1784,1785,50390
2012-01-04T14:15:00+05:30,1785,1789,1776,1786,82796
2012-01-04T15:15:00+05:30,1786,1788,1785.95,1787.3,44122
2012-01-05T09:15:00+05:30,1789.95,1837,1782.1,1826.8,162446
2012-01-05T10:15:00+05:30,1826.75,1830.75,1822.65,1825.4,45919
2012-01-05T11:15:00+05:30,1825.5,1833.2,1817.15,1826,60917
2012-01-05T12:15:00+05:30,1826,1832,1825,1829,38527
2012-01-05T13:15:00+05:30,1829,1831,1825.7,1827.1,61425
2012-01-05T14:15:00+05:30,1827,1843,1827,1828.45,186015
2012-01-05T15:15:00+05:30,1828.45,1831.4,1828,1828,71036
2012-01-06T09:15:00+05:30,1820,1820,1766.5,1792.15,161294
2012-01-06T10:15:00+05:30,1792.4,1792.4,1767.7,1775.2,83907
2012-01-06T11:15:00+05:30,1775,1778.25,1749,1755.4,203115
2012-01-06T12:15:00+05:30,1755.65,1756.6,1737.25,1744,197708
2012-01-06T13:15:00+05:30,1744.2,1754,1744,1748,104460
2012-01-06T14:15:00+05:30,1747.5,1755,1731,1732,188011
2012-01-06T15:15:00+05:30,1732,1735,1724.75,1728.9,93085
2012-01-09T09:15:00+05:30,1729.05,1730,1704,1714.65,102748
2012-01-09T10:15:00+05:30,1714.6,1722.1,1713,1720.4,30936
2012-01-09T11:15:00+05:30,1719.6,1735,1717.5,1726.75,60490
2012-01-09T12:15:00+05:30,1726,1731.5,1721,1726.15,48541
2012-01-09T13:15:00+05:30,1726.2,1729,1716,1720.9,75095
2012-01-09T14:15:00+05:30,1720.9,1732,1716,1728.35,115708
2012-01-09T15:15:00+05:30,1729.6,1735,1725.1,1729.65,35947
2012-01-10T09:15:00+05:30,1731,1757.45,1731,1752.15,121271
2012-01-10T10:15:00+05:30,1752.2,1753.8,1747.1,1748.05,58293
2012-01-10T11:15:00+05:30,1748.05,1771.75,1740,1757.9,124090
2012-01-10T12:15:00+05:30,1757.9,1759.95,1749,1756.8,68640
2012-01-10T13:15:00+05:30,1756.2,1774.7,1753,1771,121177
2012-01-10T14:15:00+05:30,1771,1779.95,1769.2,1775.05,104637
2012-01-10T15:15:00+05:30,1775.95,1777.45,1774,1775.05,42690
2012-01-11T09:15:00+05:30,1780,1822.4,1779.5,1820.6,177330
2012-01-11T10:15:00+05:30,1820.45,1828,1815.05,1821.3,87672
2012-01-11T11:15:00+05:30,1821.65,1821.65,1799.35,1809.75,156197
2012-01-11T12:15:00+05:30,1809.15,1814.95,1804.8,1809.9,59294
2012-01-11T13:15:00+05:30,1810,1812,1807,1807.15,56660
2012-01-11T14:15:00+05:30,1807,1813.05,1798,1809,93407
2012-01-11T15:15:00+05:30,1809,1811,1808.95,1809,52244
2012-01-12T09:15:00+05:30,1797,1819.3,1782,1806,92663
2012-01-12T10:15:00+05:30,1806.05,1812.85,1792.25,1806.05,61869
2012-01-12T11:15:00+05:30,1806.05,1811.85,1797,1797,72906
2012-01-12T12:15:00+05:30,1798.15,1811.1,1797,1809,54261
2012-01-12T13:15:00+05:30,1809.35,1815,1808,1812.4,69466
2012-01-12T14:15:00+05:30,1812.4,1823.1,1810,1812,75488
2012-01-12T15:15:00+05:30,1812,1820.95,1810,1819,62990
2012-01-13T09:15:00+05:30,1813,1818.95,1788.2,1791.2,106183
2012-01-13T10:15:00+05:30,1791.75,1804.7,1790.5,1792,48315
2012-01-13T11:15:00+05:30,1793,1798,1790.55,1792.95,46241
2012-01-13T12:15:00+05:30,1792.2,1796.5,1783.9,1794,45928
2012-01-13T13:15:00+05:30,1794,1796,1776.05,1781,63772
2012-01-13T14:15:00+05:30,1780,1799,1777,1792,76398
2012-01-13T15:15:00+05:30,1791.75,1796.3,1789.15,1790,32492
2012-01-16T09:15:00+05:30,1785,1793.7,1770,1775,56909
2012-01-16T10:15:00+05:30,1775,1787.05,1774,1785,30793
2012-01-16T11:15:00+05:30,1785,1799,1783,1796,35585
2012-01-16T12:15:00+05:30,1796,1799.95,1788.05,1789.9,44722
2012-01-16T13:15:00+05:30,1790,1799,1786,1791,45421
2012-01-16T14:15:00+05:30,1791,1807.3,1789.05,1801.5,66917
2012-01-16T15:15:00+05:30,1799.15,1803,1792,1800,32074
2012-01-17T09:15:00+05:30,1807.3,1830.5,1806,1827,82788
2012-01-17T10:15:00+05:30,1827,1830,1816.35,1817.65,47736
2012-01-17T11:15:00+05:30,1817.75,1840,1816.5,1829.5,78161
2012-01-17T12:15:00+05:30,1829.7,1832.8,1829.05,1830.4,39217
2012-01-17T13:15:00+05:30,1830.35,1835,1826.25,1830.05,80089
2012-01-17T14:15:00+05:30,1830,1832.05,1826.3,1827.05,68285
2012-01-17T15:15:00+05:30,1827.3,1828.3,1815.1,1825,26261
2012-01-18T09:15:00+05:30,1837,1866,1836.9,1865,67274
2012-01-18T10:15:00+05:30,1864.95,1870,1860,1865.1,45932
2012-01-18T11:15:00+05:30,1865.05,1868.5,1855.25,1857.25,55542
2012-01-18T12:15:00+05:30,1857.3,1865,1857,1860.1,39636
2012-01-18T13:15:00+05:30,1860.05,1864,1855.6,1856.25,48471
2012-01-18T14:15:00+05:30,1856.3,1866.6,1856.25,1860.1,83119
2012-01-18T15:15:00+05:30,1860.05,1863,1856,1863,37079
2012-01-19T09:15:00+05:30,1879.85,1908.5,1879.15,1900.9,214897
2012-01-19T10:15:00+05:30,1900.9,1907.95,1897.15,1907.95,50549
2012-01-19T11:15:00+05:30,1907.55,1908,1899.95,1905.9,64617
