time,open,high,low,close
2015-03-02,169,171.7,167.8,169
2015-03-03,168.8,170.2,165.4,169.6
2015-03-04,170,174.3,169.5,173.7
2015-03-05,174,178.1,171.9,177.4
2015-03-06,176.2,180.9,175.5,178.7
2015-03-09,176.3,176.3,169.4,170.1
2015-03-10,170.8,173.5,169.6,172.4
2015-03-11,172,179.4,168.5,178.6
2015-03-12,177.9,179.9,171.5,172
2015-03-13,172.5,174.5,169.4,173.5
2015-03-16,172.2,173.4,169.4,171.3
2015-03-17,172.4,179.4,172.4,178.5
2015-03-18,179,184.2,175,182.9
2015-03-19,183.6,183.6,174.3,174.9
2015-03-20,176,182.1,172.6,174.7
2015-03-23,173.5,173.5,167.9,170.4
2015-03-24,170.9,175.7,170.6,174
2015-03-25,173.1,174.2,169.2,171
2015-03-26,170.9,172.6,166.1,166.8
2015-03-27,170.5,170.5,166,166.6
2015-03-30,167.5,168.6,164.7,166.7
2015-03-31,166.6,169.3,165.3,167
2015-04-01,166.1,167.8,162.2,163.8
2015-04-02,163.5,170.2,162.9,169
2015-04-06,168,168.6,165,165.8
2015-04-07,166.5,169.9,166.1,168.4
2015-04-08,167.3,167.3,163.4,163.9
2015-04-09,164.1,165.5,158.2,158.6
2015-04-10,159.4,160,157.6,157.9
2015-04-13,157.8,159.4,155.7,156.3
2015-04-14,158,159.7,157.5,158
2015-04-15,157.1,164.2,156.2,163.9
2015-04-16,163,168.2,159.3,166.9
2015-04-17,167.3,168.3,164.6,164.9
2015-04-20,164.2,164.2,160.3,161
2015-04-21,161.1,164,160.7,162.3
2015-04-22,161.7,165.4,160.8,164.1
2015-04-23,163.5,164.5,159.7,160.5
2015-04-24,160.8,163.1,160.3,161.3
2015-04-28,159.7,162.2,158.7,161.5
2015-04-29,161.1,166.6,160.1,165.6
2015-04-30,165.8,178.5,163.2,175.6
2015-05-01,174.5,179.4,173.7,178.6
2015-05-04,176.6,180.1,175.9,179.1
2015-05-05,178.8,179.8,176.5,177.1
2015-05-06,177.7,180.7,175.5,178.8
2015-05-07,177.5,181.7,174.5,175.7
2015-05-08,175.5,184.5,175.1,183.3
2015-05-11,184.3,186.3,180.3,180.8
2015-05-12,180.5,189.2,179.6,187
2015-05-13,187,190.5,183.2,188.3
2015-05-14,188.3,192.1,183.3,190.6
2015-05-15,191.2,192.9,188.8,192.4
2015-05-18,191.5,194.5,189.9,191.6
2015-05-19,191.9,198.3,187.8,189.7
2015-05-20,189.6,192.9,185.4,186
2015-05-21,186.1,192.3,186.1,188.4
2015-05-22,188.2,188.4,183.4,184.5
2015-05-25,183.7,183.7,178.3,179.6
2015-05-27,182.7,188,181.8,183.7
2015-05-28,183,183,174,174.4
2015-05-29,174.2,175.1,169.5,169.8
2015-06-01,169,171.1,167.6,170.2
2015-06-02,170,172.6,166.9,171.7
2015-06-03,172.1,175.1,169.2,169.6
2015-06-04,169.8,172.3,165,168.1
2015-06-05,168.7,169.8,166.4,166.9
2015-06-08,167.6,174.4,167.6,173.2
2015-06-09,173.5,182.9,173.1,182.5
2015-06-10,183,187.1,181.1,185.1
2015-06-11,184.2,187,180.7,182.4
2015-06-12,181.3,181.3,176.3,177.5
2015-06-15,177.5,185.9,177.5,185.4
2015-06-16,186,188.6,182.5,184.7
2015-06-17,186,189.8,182.5,183.3
2015-06-18,182.5,183.7,176.7,177.2
2015-06-19,176.8,180.2,174.3,179.5
2015-06-22,177.3,177.3,172.7,173.2
2015-06-23,173,177.8,172.7,173.9
2015-06-24,173.6,176.9,172.7,174.8
2015-06-26,182.5,183.3,177,177.6
2015-06-29,178,182,175.8,181.2
2015-06-30,180.6,180.7,176.3,179.9
2015-07-01,180.3,182.5,176.8,177.6
2015-07-02,178.6,183.8,178.6,181.2
2015-07-03,180.9,181.9,175.5,176.1
2015-07-06,175.5,177,174.1,175.7
2015-07-07,176,178.4,171.6,173.2
2015-07-08,172.6,176,171.2,171.8
2015-07-09,171.4,173.3,168.4,173
2015-07-10,173.5,178.4,173.5,177.4
2015-07-13,178.4,183.5,177.4,182
