time,open,high,low,close,Volume
2010-04-06,180.800005,223.649995,180.800005,203.175005,29890642
2010-04-07,204,205.25,196.375,201.274995,7656100
2010-04-08,200,215.949995,199.149995,207.149995,16736458
2010-04-09,207.5,209.925005,204.149995,205.300005,3160216
2010-04-12,205.899995,207.625,197.800005,200.675005,1546928
2010-04-13,200,204.949995,198.5,200.100005,1673172
2010-04-15,202,204.399995,197.800005,198.975005,1256608
2010-04-16,198.949995,202,197.5,200.050005,791808
2010-04-19,198.5,199.925005,192.5,195.449995,684288
2010-04-20,196,198.399995,192.5,196.350005,364116
2010-04-21,197,206.425005,196.774995,201.324995,1821970
2010-04-22,200,204.699995,199.050005,200.550005,750496
2010-04-23,200.800005,203.949995,196.649995,198.175005,488752
2010-04-26,201.050005,205.5,199.5,200.975005,864868
2010-04-27,201.5,201.899995,196.399995,197.25,365768
2010-04-28,202.75,205,191.274995,192.475005,242528
2010-04-29,193.5,200.75,193.5,198.475005,447320
2010-04-30,199,202.949995,198,199.324995,475910
2010-05-03,197.399995,201.300005,197.399995,199.774995,441704
2010-05-04,199.5,202.225005,196,196.574995,347874
2010-05-05,194.5,199.300005,180.100005,198.225005,274078
2010-05-06,198.949995,199.5,192.125,193.225005,200326
2010-05-07,191.5,192.449995,187.5,188.074995,190912
2010-05-10,192.5,194.5,189.975005,193.625,135854
2010-05-11,194.449995,194.449995,190.5,191.149995,109142
2010-05-12,191,192.5,188.675005,189.925005,168864
2010-05-13,190.125,193.5,189,190.800005,127534
2010-05-14,189.524995,192.925005,187.699995,190,120790
2010-05-17,188.5,190.375,187.550005,189.149995,97132
2010-05-18,187.600005,198.824995,187.600005,193.274995,272212
2010-05-19,192.5,195.25,188.5,189.024995,208592
2010-05-20,190,193.850005,188.5,189.074995,103062
2010-05-21,187.550005,191.75,182.600005,189.925005,128022
2010-05-24,191.425005,193.5,189,189.149995,77542
2010-05-25,186.550005,192.399995,182.5,183.425005,293074
2010-05-26,184.25,187.449995,182.5,184.75,84496
2010-05-27,185.625,186.75,183.774995,185.399995,102590
2010-05-28,186.475005,190,186.050005,189.600005,97224
2010-05-31,189.25,194.475005,188,193.399995,75504
2010-06-01,191.5,196.5,190.050005,193.375,115420
2010-06-02,193.949995,195.100005,189.449995,194.274995,90578
2010-06-03,195.324995,196.899995,192.300005,194.199995,39566
2010-06-04,194.574995,197.100005,191.75,196.300005,89442
2010-06-07,189.024995,192.5,189.024995,190.75,32608
2010-06-08,190.5,193.5,185,190.899995,70572
2010-06-09,191.5,193.5,189,190.175005,38654
2010-06-10,191.125,191.899995,189.5,190.25,22610
2010-06-11,190.5,192.024995,189,190.975005,39572
2010-06-14,191.725005,192.100005,189.25,190.5,34250
2010-06-15,186.5,204,186.5,199.800005,314850
2010-06-16,200.75,206,196.100005,203.899995,396364
2010-06-17,204,208.949995,203.5,204.75,424138
2010-06-18,204.375,206.25,197.5,197.800005,139330
2010-06-21,198.949995,202,198.25,198.949995,84366
2010-06-22,198.925005,200.425005,196,198.625,53442
2010-06-23,196,204.425005,194.5,202.300005,195800
2010-06-24,203.125,208.800005,202.375,205.975005,262240
2010-06-25,205,207.149995,200.050005,201.524995,67394
2010-06-28,201.800005,208.5,201.5,204.524995,195094
2010-06-29,204.899995,211.725005,204.899995,206.975005,518378
2010-06-30,207.524995,208.649995,203.5,206,99226
2010-07-01,207.225005,217,205,214.925005,1301982
2010-07-02,217.399995,244.5,216,237.274995,7076174
2010-07-05,237.5,243.5,229.375,237.350005,3958272
2010-07-06,238.875,241.449995,233,235.600005,1131000
2010-07-07,237,240.5,227.550005,230.800005,915876
2010-07-08,232.550005,237.375,231.800005,233.725005,421152
2010-07-09,235,253.649995,232.774995,246.225005,4044740
2010-07-12,230.5,250.949995,230.5,242.100005,1341082
2010-07-13,241.725005,252.350005,240.625,248.850005,1737808
2010-07-14,250.5,251.949995,237.774995,239.774995,446020
2010-07-15,241.5,244.149995,236.449995,241.375,591562
2010-07-16,242,246.75,241.050005,242.024995,430514
2010-07-19,242.100005,244.399995,239,240.175005,158058
2010-07-20,241.5,245.949995,241.100005,242.149995,326888
2010-07-21,243.949995,244.725005,238.75,241.125,173176
2010-07-22,242.5,251.550005,239,239.75,1057006
2010-07-23,242.550005,243.5,231.675005,233.5,243870
2010-07-26,234.949995,235.5,220.625,222.600005,497262
2010-07-27,223,228.475005,220,225.274995,532308
2010-07-28,225.949995,235.449995,225.949995,231.524995,428092
2010-07-29,231.050005,233.399995,228,229.675005,152072
2010-07-30,230,232.399995,225.800005,227.25,114454
2010-08-02,228.475005,238.850005,226.225005,233.524995,472562
2010-08-03,234.899995,236.5,230.5,233.024995,201436
2010-08-04,233.949995,242,232.324995,238.050005,386064
2010-08-05,240,245.75,235.5,241.675005,674088
2010-08-06,240.5,248.949995,238.25,239.875,499558
2010-08-09,241.425005,244.975005,238.625,242.524995,183568
2010-08-10,242.024995,244.175005,234.5,236.5,196738
2010-08-11,237.699995,240,232.5,233.074995,124038
2010-08-12,229.625,236.050005,227.5,231.125,91330
2010-08-13,232.5,240,230.149995,233.675005,269138
2010-08-16,234.375,234.850005,228.850005,230.225005,68150
2010-08-17,231.449995,238,229.675005,234.050005,259052
2010-08-18,234.25,237.899995,231.5,233.350005,195654
2010-08-19,233.625,239.5,230.949995,237.300005,267508
2010-08-20,237,245.949995,236.350005,239.975005,697466
2010-08-23,240.449995,242,236.949995,238,151546
2010-08-24,238,239.5,236,236.824995,96202
2010-08-25,236.824995,244.899995,235.5,237.050005,249010
2010-08-26,237.5,240.899995,233.300005,234.375,97896
2010-08-27,235.25,238.324995,227.625,229.125,101922
2010-08-30,231.725005,234.399995,227.75,230.149995,76402
2010-08-31,229.5,232.5,225.600005,227.125,103100
2010-09-01,228.475005,232.399995,226.675005,227.324995,158940
2010-09-02,228.725005,229.75,223.550005,224.199995,92636
2010-09-03,224.149995,227.875,220.5,221.524995,233056
2010-09-06,223.699995,236,223,233.875,353868
2010-09-07,234.975005,235.5,227.949995,228.975005,100932
2010-09-08,229.449995,237.399995,227,229.649995,382624
2010-09-09,230.800005,232.25,228.25,229.375,83490
2010-09-13,230.050005,232.149995,227,227.600005,93254
2010-09-14,228.925005,230.699995,226.574995,228.975005,127498
2010-09-15,229.875,229.875,222.100005,223.024995,147948
2010-09-16,224.25,224.25,213.550005,214.975005,422952
2010-09-17,215.875,221.75,214.975005,215.625,166884
2010-09-20,216.125,218.399995,208.524995,210.024995,192770
2010-09-21,211.800005,217.25,205.399995,208.449995,503868
2010-09-22,208.5,212.125,205.149995,205.875,172344
2010-09-23,201.5,207.25,190,204.024995,322392
2010-09-24,204.975005,209,203.5,207.649995,145542
2010-09-27,208.625,212.399995,207.800005,210.300005,109730
2010-09-28,211.225005,222.100005,210.550005,220.050005,504150
2010-09-29,222.5,224,218.774995,219.850005,298326
2010-09-30,218.024995,226.25,216.5,223.175005,277780
2010-10-01,223.875,227,221.5,223.5,166240
2010-10-04,225.625,225.625,220,220.125,53602
2010-10-05,221.399995,221.5,218.024995,219.925005,42602
2010-10-06,221.975005,226.5,219,222.125,115288
2010-10-07,219.050005,223.975005,216.75,218.225005,149860
2010-10-08,218.300005,221,216,217.375,44700
2010-10-11,218.75,222,216.5,220.75,55244
2010-10-12,218.5,221.399995,211.5,213,70202
2010-10-13,214.899995,219.975005,213.600005,218.375,66972
2010-10-14,215.550005,223.5,215.550005,220.274995,86762
2010-10-15,220.75,221.5,211.524995,212.649995,40210
2010-10-18,214.5,215.725005,208.5,210,120830
2010-10-19,212.475005,218.175005,211.050005,217.274995,51036
2010-10-20,217.5,222.399995,214.5,216.600005,85534
2010-10-21,213,221,211.149995,212.375,76544
2010-10-22,214.800005,217.5,207.199995,208.100005,101924
2010-10-25,210.5,210.850005,204,205.024995,79706
2010-10-26,206.75,208.875,199.550005,201.925005,209282
2010-10-27,203.899995,205,203,204.300005,42580
2010-10-28,202,205.975005,200.625,201.600005,33696
2010-10-29,200.050005,205,197.5,201.625,91914
2010-11-01,201.675005,207.050005,200.75,203.375,64102
2010-11-02,204,205.899995,202.524995,204.475005,25270
2010-11-03,205.625,205.625,202.5,203.149995,54198
2010-11-04,202.625,204.199995,200.5,202.5,96906
2010-11-05,204,209,204,207.824995,32260
2010-11-08,208,208,204,206.475005,24988
2010-11-09,206.875,207,203.175005,203.875,40082
2010-11-10,203.5,212.5,202.5,208.324995,95838
2010-11-11,209.475005,212.449995,206.050005,207.024995,119318
2010-11-12,205,207.25,202.5,202.600005,17462
2010-11-15,202.800005,206.5,201.75,203.149995,22230
2010-11-16,201.375,204.350005,196.274995,197.774995,31092
2010-11-18,198.5,201,197,199.75,88356
2010-11-19,200,202,195.274995,196.550005,56446
2010-11-22,197.5,199,195.5,197.800005,67904
2010-11-23,196.899995,199.399995,194.024995,195.274995,360626
2010-11-24,195.5,198.5,195,195.425005,301604
2010-11-25,196.425005,198.699995,190.625,193.074995,19794
2010-11-26,193.074995,194.925005,185.774995,189.199995,93424
2010-11-29,190.399995,192.475005,188,190.800005,22246
2010-11-30,190,194.5,189.5,191.225005,20396
2010-12-01,191.975005,199.75,190,198.675005,32136
