time,open,high,low,close,Volume
2017-01-02T09:15:00+05:30,619.95,620,617.1,619.7,1557
2017-01-02T09:45:00+05:30,619.65,619.7,614.05,614.35,1155
2017-01-02T10:15:00+05:30,614.5,618.5,614.35,615.75,2648
2017-01-02T10:45:00+05:30,615.75,618.05,614,614.35,1304
2017-01-02T11:15:00+05:30,614.55,616.95,614,614.95,652
2017-01-02T11:45:00+05:30,614.95,616.6,614.3,615.3,262
2017-01-02T12:15:00+05:30,616,618.45,615.5,618.45,1724
2017-01-02T12:45:00+05:30,618.45,619.8,618,619,1157
2017-01-02T13:15:00+05:30,619.2,622,619.2,620.65,2611
2017-01-02T13:45:00+05:30,620,620.55,619.05,620.1,2386
2017-01-02T14:15:00+05:30,620.1,621.45,620,620.05,1761
2017-01-02T14:45:00+05:30,620.05,622.6,617.15,620.5,5241
2017-01-02T15:15:00+05:30,618.75,630.85,615,630,11539
2017-01-03T09:15:00+05:30,623.6,627.5,620,624.6,2385
2017-01-03T09:45:00+05:30,624.7,624.75,623.05,623.95,299
2017-01-03T10:15:00+05:30,624,624,623.6,623.6,214
2017-01-03T10:45:00+05:30,623.6,623.8,623,623,517
2017-01-03T11:15:00+05:30,623.65,623.7,623.05,623.7,338
2017-01-03T11:45:00+05:30,623,625,620.05,623.75,2112
2017-01-03T12:15:00+05:30,623.3,623.3,621.8,622.15,486
2017-01-03T12:45:00+05:30,623.25,623.25,620.2,623,805
2017-01-03T13:15:00+05:30,623,623.3,620.45,622.7,345
2017-01-03T13:45:00+05:30,622.95,623.5,621,622,1432
2017-01-03T14:15:00+05:30,621.05,623.75,620.25,621.65,1068
2017-01-03T14:45:00+05:30,621.95,623.75,621.1,623.55,1049
2017-01-03T15:15:00+05:30,625.05,630,625,625.05,6274
2017-01-04T09:15:00+05:30,624.8,629.45,623,627.65,1834
2017-01-04T09:45:00+05:30,627.65,633.6,627.45,629.95,3385
2017-01-04T10:15:00+05:30,629.8,630.95,629.6,630.95,1575
2017-01-04T10:45:00+05:30,630.5,635,630.5,632,1337
2017-01-04T11:15:00+05:30,633,634.05,632,632.65,815
2017-01-04T11:45:00+05:30,632.65,632.7,631.8,632.5,681
2017-01-04T12:15:00+05:30,632.5,635,632,634.45,2101
2017-01-04T12:45:00+05:30,632.5,641.95,632.5,640,10331
2017-01-04T13:15:00+05:30,640,640,638,638.95,916
2017-01-04T13:45:00+05:30,638.75,647.9,637,647.8,13604
2017-01-04T14:15:00+05:30,647.85,661.5,646.2,653.95,54591
2017-01-04T14:45:00+05:30,653.6,654,637.05,650,24793
2017-01-04T15:15:00+05:30,650.25,652.3,646.1,647,11795
2017-01-05T09:15:00+05:30,654,654.85,635,647,5617
2017-01-05T09:45:00+05:30,647,647,639.4,643,3947
2017-01-05T10:15:00+05:30,643,647,641.75,642.85,4216
2017-01-05T10:45:00+05:30,642.9,645,639.1,639.65,2789
2017-01-05T11:15:00+05:30,640,641.95,638,638.3,2407
2017-01-05T11:45:00+05:30,639.05,641,637.3,640.3,5813
2017-01-05T12:15:00+05:30,640.3,640.9,640,640.05,340
2017-01-05T12:45:00+05:30,640.05,641,640.05,640.4,653
2017-01-05T13:15:00+05:30,640.8,641,640.05,640.85,637
2017-01-05T13:45:00+05:30,640.7,641.4,640.3,640.95,825
2017-01-05T14:15:00+05:30,640.9,640.9,638.3,638.3,761
2017-01-05T14:45:00+05:30,638.25,648.05,637.3,644,8409
2017-01-05T15:15:00+05:30,645,646.9,640.55,644.9,4078
2017-01-06T09:15:00+05:30,645,647.8,639,640.4,3619
2017-01-06T09:45:00+05:30,640.7,641.5,635,637.5,3487
2017-01-06T10:15:00+05:30,638,638.25,635.65,635.7,1360
2017-01-06T10:45:00+05:30,636.9,638.05,635,635.2,1837
2017-01-06T11:15:00+05:30,635.2,637.5,632,633.3,3578
2017-01-06T11:45:00+05:30,633.3,634.45,631.55,634.1,3780
2017-01-06T12:15:00+05:30,633.6,635,633.3,634.5,337
2017-01-06T12:45:00+05:30,634,635.45,633.25,634.95,2120
2017-01-06T13:15:00+05:30,635.45,635.45,633.55,634,630
2017-01-06T13:45:00+05:30,634.75,635.95,634,634,491
2017-01-06T14:15:00+05:30,634.45,641.85,634,637.2,18980
2017-01-06T14:45:00+05:30,636.9,640.8,635.5,639.9,4799
2017-01-06T15:15:00+05:30,639.9,643.5,638,640,4967
2017-01-09T09:15:00+05:30,639.9,643.85,635.05,638,1733
2017-01-09T09:45:00+05:30,638.85,638.85,636,636,545
2017-01-09T10:15:00+05:30,636,636.8,633.95,636.5,1149
2017-01-09T10:45:00+05:30,636,636.5,633.25,634,2450
2017-01-09T11:15:00+05:30,633.4,634,633.4,634,1017
2017-01-09T11:45:00+05:30,633.5,634,633.5,634,554
2017-01-09T12:15:00+05:30,634,635,633.55,634.2,554
2017-01-09T12:45:00+05:30,634.95,635,633.5,633.9,6593
2017-01-09T13:15:00+05:30,633.9,634,633.4,633.75,1812
2017-01-09T13:45:00+05:30,634,634.85,633.4,634,1293
2017-01-09T14:15:00+05:30,634,634.9,633.4,634.9,877
2017-01-09T14:45:00+05:30,634.9,638,634,636,5969
2017-01-09T15:15:00+05:30,636,637,633.4,634.75,3767
2017-01-10T09:15:00+05:30,635,635.05,633.5,633.95,1063
2017-01-10T09:45:00+05:30,634.45,634.85,633,634.2,1033
2017-01-10T10:15:00+05:30,634.5,635.5,634.5,635.3,1746
2017-01-10T10:45:00+05:30,635,635.05,634.25,634.3,378
2017-01-10T11:15:00+05:30,634.3,636,634.3,635,801
2017-01-10T11:45:00+05:30,635,635,634,635,1067
2017-01-10T12:15:00+05:30,634,634.75,634,634,730
2017-01-10T12:45:00+05:30,634.4,634.95,632.6,634,2466
2017-01-10T13:15:00+05:30,633.35,634,633.35,633.35,340
2017-01-10T13:45:00+05:30,633.35,634.9,632.85,632.9,3106
2017-01-10T14:15:00+05:30,632.9,634.25,631.45,634.25,1667
2017-01-10T14:45:00+05:30,634.25,634.95,633.1,633.6,1479
2017-01-10T15:15:00+05:30,633.75,635,633.1,633.45,5007
2017-01-11T09:15:00+05:30,635.25,638,633.5,633.5,1733
2017-01-11T09:45:00+05:30,634,634,630.95,631.95,1544
2017-01-11T10:15:00+05:30,631.95,635,631.95,633.6,1265
2017-01-11T10:45:00+05:30,633.3,634.45,632.2,634.45,854
2017-01-11T11:15:00+05:30,634.9,635.2,633.35,633.9,442
2017-01-11T11:45:00+05:30,633.9,635,633.9,634.25,313
2017-01-11T12:15:00+05:30,635.9,635.9,634,634.2,430
2017-01-11T12:45:00+05:30,635,635,633.35,633.35,632
2017-01-11T13:15:00+05:30,633.75,633.75,633.15,633.65,1705
2017-01-11T13:45:00+05:30,633.35,633.4,632,632.15,3279
2017-01-11T14:15:00+05:30,632,634.5,631,633.95,3527
2017-01-11T14:45:00+05:30,633.9,635.95,632.95,635.9,3873
2017-01-11T15:15:00+05:30,635,636.95,624.5,635,8007
2017-01-12T09:15:00+05:30,635,644.1,633.2,644.05,4723
2017-01-12T09:45:00+05:30,644.05,644.65,636,642.6,4101
2017-01-12T10:15:00+05:30,642.65,643.5,635.4,636,4737
2017-01-12T10:45:00+05:30,635.4,637.2,634.25,636.95,1618
