time,open,high,low,close,Volume
2017-01-02T09:15:00+05:30,98.36,98.36,96.52,97.72,240178
2017-01-02T09:45:00+05:30,97.72,98.44,97.4,98.08,232872
2017-01-02T10:15:00+05:30,98.08,98.32,97.88,98.2,97480
2017-01-02T10:45:00+05:30,98.2,99,98.04,99,191001
2017-01-02T11:15:00+05:30,99.04,99.04,98.52,99.04,135904
2017-01-02T11:45:00+05:30,98.96,99.04,98.4,98.48,122163
2017-01-02T12:15:00+05:30,98.48,98.92,98.36,98.84,132831
2017-01-02T12:45:00+05:30,98.84,98.84,98.44,98.72,89868
2017-01-02T13:15:00+05:30,98.72,98.8,98.56,98.76,129911
2017-01-02T13:45:00+05:30,98.76,99.28,98.64,99.2,159225
2017-01-02T14:15:00+05:30,99.2,99.28,98.52,98.96,187369
2017-01-02T14:45:00+05:30,99,99.36,98.76,99.08,193783
2017-01-02T15:15:00+05:30,99.12,99.44,99,99.2,172597
2017-01-03T09:15:00+05:30,99.6,99.6,98.56,99.36,168655
2017-01-03T09:45:00+05:30,99.24,100.24,99.08,100.12,172892
2017-01-03T10:15:00+05:30,100.2,100.6,99.92,100.48,197554
2017-01-03T10:45:00+05:30,100.52,100.72,100.24,100.4,178602
2017-01-03T11:15:00+05:30,100.4,100.6,100.04,100.04,104852
2017-01-03T11:45:00+05:30,100.04,100.24,99.88,99.96,133174
2017-01-03T12:15:00+05:30,99.96,100.16,99.68,99.88,86774
2017-01-03T12:45:00+05:30,99.84,100.52,99.8,100.32,52227
2017-01-03T13:15:00+05:30,100.28,100.36,99.76,99.8,160598
2017-01-03T13:45:00+05:30,99.76,100.28,99.76,100.2,74808
2017-01-03T14:15:00+05:30,100.2,100.36,100.08,100.28,76185
2017-01-03T14:45:00+05:30,100.2,100.4,100,100.16,139207
2017-01-03T15:15:00+05:30,100.2,100.28,99.84,100.16,151529
2017-01-04T09:15:00+05:30,100.2,100.96,99.92,100.32,310559
2017-01-04T09:45:00+05:30,100.36,100.4,99.88,100.28,171612
2017-01-04T10:15:00+05:30,100.32,100.56,100.2,100.44,115788
2017-01-04T10:45:00+05:30,100.44,100.44,99.68,100.24,189772
2017-01-04T11:15:00+05:30,100.2,100.24,99.28,99.84,237761
2017-01-04T11:45:00+05:30,99.84,99.96,99.08,99.4,121694
2017-01-04T12:15:00+05:30,99.36,99.56,99.12,99.24,80602
2017-01-04T12:45:00+05:30,99.32,99.48,99.12,99.44,49054
2017-01-04T13:15:00+05:30,99.48,99.64,99.24,99.36,51124
2017-01-04T13:45:00+05:30,99.4,99.44,99.08,99.2,46609
2017-01-04T14:15:00+05:30,99.24,99.24,98.8,99.08,81379
2017-01-04T14:45:00+05:30,99.08,99.36,98.48,99.12,578925
2017-01-04T15:15:00+05:30,99.08,99.2,98.6,98.76,275583
2017-01-05T09:15:00+05:30,99.36,100.32,99.2,100,170854
2017-01-05T09:45:00+05:30,100,100.36,99.64,99.76,139519
2017-01-05T10:15:00+05:30,99.76,100.64,99.68,100.24,149864
2017-01-05T10:45:00+05:30,100.24,100.6,100.2,100.24,43235
2017-01-05T11:15:00+05:30,100.32,100.36,99.92,100.16,65741
2017-01-05T11:45:00+05:30,100.2,100.48,100.08,100.32,77727
2017-01-05T12:15:00+05:30,100.24,100.52,99.96,100.08,230436
2017-01-05T12:45:00+05:30,100.12,101.16,100.04,100.96,293216
2017-01-05T13:15:00+05:30,101,101.68,100.96,101.68,276177
2017-01-05T13:45:00+05:30,101.68,102.6,101.64,101.96,436180
2017-01-05T14:15:00+05:30,101.96,103.12,101.84,102.96,436068
2017-01-05T14:45:00+05:30,103,103.28,102.76,103,398716
2017-01-05T15:15:00+05:30,103,103.04,102.44,102.72,387473
2017-01-06T09:15:00+05:30,102.4,104.16,102,104,1011952
2017-01-06T09:45:00+05:30,104.08,105.12,104,105,922320
2017-01-06T10:15:00+05:30,104.96,105.52,104.8,104.88,1091602
2017-01-06T10:45:00+05:30,104.84,104.84,103.04,103.28,891710
2017-01-06T11:15:00+05:30,103.28,104.2,103.28,104,463654
2017-01-06T11:45:00+05:30,104,104.28,103.76,104,479814
2017-01-06T12:15:00+05:30,104,104.4,103.84,103.96,208903
2017-01-06T12:45:00+05:30,104,104,102.44,103.28,2007418
2017-01-06T13:15:00+05:30,103.24,104.72,102.72,104.2,961502
2017-01-06T13:45:00+05:30,104.28,104.56,103.84,103.96,504595
2017-01-06T14:15:00+05:30,104,104.4,103.24,103.52,458772
2017-01-06T14:45:00+05:30,103.6,103.88,103.2,103.56,689080
2017-01-06T15:15:00+05:30,103.64,104.12,103.44,103.8,429750
2017-01-09T09:15:00+05:30,103.56,104.28,103.48,103.64,310483
