time,open,high,low,close,MA,MA,Shapes,Shapes,RSI
2015-03-02T21:00:00+05:30,37129,37145,36808,36846,NaN,NaN,0,0,NaN
2015-03-03T09:00:00+05:30,36980,37003,36809,36851,NaN,NaN,0,0,NaN
2015-03-03T13:00:00+05:30,36859,36859,36736,36786,NaN,NaN,0,0,NaN
2015-03-03T17:00:00+05:30,36782,37075,36555,36741,NaN,NaN,0,0,NaN
2015-03-03T21:00:00+05:30,36745,36772,36300,36525,NaN,NaN,0,0,NaN
2015-03-04T09:00:00+05:30,36415,36596,36415,36480,NaN,NaN,1,0,1.3297872340425414
2015-03-04T13:00:00+05:30,36480,36695,36449,36646,NaN,NaN,0,1,30.91247672253259
2015-03-04T17:00:00+05:30,36660,36775,36340,36544,NaN,NaN,0,0,28.919860627177712
2015-03-04T21:00:00+05:30,36537,36586,36418,36504,NaN,NaN,0,0,29.17398945518454
2015-03-05T09:00:00+05:30,36709,36709,36465,36514,NaN,NaN,0,0,48.48484848484849
2015-03-05T13:00:00+05:30,36526,36590,36436,36475,NaN,NaN,0,0,49.299719887955185
2015-03-05T17:00:00+05:30,36462,36725,36450,36725,NaN,NaN,0,0,58.95691609977324
2015-03-05T21:00:00+05:30,36720,36790,36500,36534,NaN,NaN,0,0,49.056603773584904
2015-03-06T17:00:00+05:30,36460,36460,35917,36060,NaN,NaN,0,0,26.970954356846462
2015-03-06T21:00:00+05:30,36068,36150,35911,35999,NaN,NaN,0,0,24.63054187192118
2015-03-09T09:00:00+05:30,36000,36044,35838,36000,NaN,NaN,0,0,25.690890481064486
2015-03-09T13:00:00+05:30,36010,36188,36001,36099,NaN,NaN,1,0,12.106537530266351
2015-03-09T17:00:00+05:30,36097,36124,35861,35935,NaN,NaN,0,0,12.515644555694607
2015-03-09T21:00:00+05:30,35935,35984,35864,35901,NaN,NaN,0,0,27.855153203342624
2015-03-10T09:00:00+05:30,35846,35846,35655,35712,NaN,NaN,0,0,20.533880903490754
2015-03-10T13:00:00+05:30,35713,35844,35557,35821,NaN,NaN,0,0,34.9579831932773
2015-03-10T17:00:00+05:30,35824,35990,35764,35825,NaN,NaN,0,0,22.599999999999994
2015-03-10T21:00:00+05:30,35822,35850,35664,35713,NaN,NaN,0,0,25.223214285714292
2015-03-11T09:00:00+05:30,35725,35820,35701,35780,NaN,NaN,0,0,37.42203742203742
2015-03-11T13:00:00+05:30,35784,35828,35550,35692,NaN,NaN,0,0,47.368421052631575
2015-03-11T17:00:00+05:30,35695,35703,34887,35070,NaN,NaN,0,0,7.950727883538633
2015-03-11T21:00:00+05:30,35085,35144,34981,35080,NaN,NaN,1,0,8.565072302558391
2015-03-12T09:00:00+05:30,35173,35539,35080,35428,NaN,NaN,0,1,37.44493392070484
2015-03-12T13:00:00+05:30,35428,35524,35353,35440,NaN,NaN,0,0,34.25925925925925
2015-03-12T17:00:00+05:30,35440,35456,35200,35300,NaN,NaN,0,0,32.68551236749117
2015-03-12T21:00:00+05:30,35300,35379,35136,35328,NaN,NaN,0,0,73.97769516728624
2015-03-13T09:00:00+05:30,35422,35575,35410,35461,NaN,NaN,0,0,78.81996974281392
2015-03-13T13:00:00+05:30,35455,35545,35390,35508,NaN,NaN,0,0,61.11111111111111
