time,open,high,low,close
2015-03-02T09:00:00+05:30,37222,37469,37210,37397
2015-03-02T13:00:00+05:30,37406,37449,37222,37262
2015-03-02T17:00:00+05:30,37265,37357,37001,37120
2015-03-02T21:00:00+05:30,37129,37145,36808,36846
2015-03-03T09:00:00+05:30,36980,37003,36809,36851
2015-03-03T13:00:00+05:30,36859,36859,36736,36786
2015-03-03T17:00:00+05:30,36782,37075,36555,36741
2015-03-03T21:00:00+05:30,36745,36772,36300,36525
2015-03-04T09:00:00+05:30,36415,36596,36415,36480
2015-03-04T13:00:00+05:30,36480,36695,36449,36646
2015-03-04T17:00:00+05:30,36660,36775,36340,36544
2015-03-04T21:00:00+05:30,36537,36586,36418,36504
2015-03-05T09:00:00+05:30,36709,36709,36465,36514
2015-03-05T13:00:00+05:30,36526,36590,36436,36475
2015-03-05T17:00:00+05:30,36462,36725,36450,36725
2015-03-05T21:00:00+05:30,36720,36790,36500,36534
2015-03-06T17:00:00+05:30,36460,36460,35917,36060
2015-03-06T21:00:00+05:30,36068,36150,35911,35999
2015-03-09T09:00:00+05:30,36000,36044,35838,36000
2015-03-09T13:00:00+05:30,36010,36188,36001,36099
2015-03-09T17:00:00+05:30,36097,36124,35861,35935
2015-03-09T21:00:00+05:30,35935,35984,35864,35901
2015-03-10T09:00:00+05:30,35846,35846,35655,35712
2015-03-10T13:00:00+05:30,35713,35844,35557,35821
2015-03-10T17:00:00+05:30,35824,35990,35764,35825
2015-03-10T21:00:00+05:30,35822,35850,35664,35713
2015-03-11T09:00:00+05:30,35725,35820,35701,35780
2015-03-11T13:00:00+05:30,35784,35828,35550,35692
2015-03-11T17:00:00+05:30,35695,35703,34887,35070
2015-03-11T21:00:00+05:30,35085,35144,34981,35080
2015-03-12T09:00:00+05:30,35173,35539,35080,35428
2015-03-12T13:00:00+05:30,35428,35524,35353,35440
2015-03-12T17:00:00+05:30,35440,35456,35200,35300
2015-03-12T21:00:00+05:30,35300,35379,35136,35328
2015-03-13T09:00:00+05:30,35422,35575,35410,35461
2015-03-13T13:00:00+05:30,35455,35545,35390,35508
2015-03-13T17:00:00+05:30,35509,35636,35370,35429
2015-03-13T21:00:00+05:30,35429,35568,35429,35564
2015-03-16T09:00:00+05:30,35571,35846,35571,35755
2015-03-16T13:00:00+05:30,35760,35799,35562,35572
2015-03-16T17:00:00+05:30,35574,35775,35352,35507
2015-03-16T21:00:00+05:30,35509,35627,35460,35551
2015-03-17T09:00:00+05:30,35425,35425,35254,35373
2015-03-17T13:00:00+05:30,35374,35465,35300,35312
2015-03-17T17:00:00+05:30,35307,35650,35019,35423
2015-03-17T21:00:00+05:30,35420,35443,35306,35357
2015-03-18T09:00:00+05:30,35331,35331,35130,35147
2015-03-18T13:00:00+05:30,35135,35373,35135,35245
2015-03-18T17:00:00+05:30,35248,35325,35138,35282
2015-03-18T21:00:00+05:30,35287,35468,35232,35400
2015-03-19T09:00:00+05:30,35500,36086,35500,35950
2015-03-19T13:00:00+05:30,35951,35974,35793,35860
2015-03-19T17:00:00+05:30,35860,36178,35777,36139
2015-03-19T21:00:00+05:30,36142,36436,36134,36340
2015-03-20T09:00:00+05:30,36466,36466,36239,36291
2015-03-20T13:00:00+05:30,36286,36539,36265,36441
2015-03-20T17:00:00+05:30,36440,37490,36314,37409
2015-03-20T21:00:00+05:30,37395,37825,37386,37809
2015-03-23T09:00:00+05:30,37721,37721,37353,37448
2015-03-23T13:00:00+05:30,37448,37494,37333,37442
2015-03-23T17:00:00+05:30,37450,37990,37447,37769
2015-03-23T21:00:00+05:30,37767,37868,37702,37736
2015-03-24T09:00:00+05:30,37751,37845,37669,37780
2015-03-24T13:00:00+05:30,37783,38090,37740,38045
2015-03-24T17:00:00+05:30,38045,38098,37731,37965
2015-03-24T21:00:00+05:30,37967,38036,37855,37984
2015-03-25T09:00:00+05:30,37870,37915,37750,37871
