time,open,high,low,close,MA,Plot,Zero line
2016-08-24T13:15:00+05:30,840,840,837,840,839.6633333333355,-0.04043456553063152,0
2016-08-24T14:15:00+05:30,840,850,840,848.95,839.9666666666687,1.5686877854221848,0
2016-08-24T15:15:00+05:30,849,850,848.15,850,840.5333333333352,2.5104098080375934,0
2016-08-25T09:15:00+05:30,843.9,848.35,843,846.05,840.7500000000019,2.2734454683709373,0
2016-08-25T10:15:00+05:30,846.45,849.65,843.35,846.05,841.0466666666687,2.006407618348476,0
2016-08-25T11:15:00+05:30,847,847.95,846.35,847.5,841.2333333333353,1.9588471172241952,0
2016-08-25T12:15:00+05:30,848,850,847.25,848.25,841.6233333333354,1.9278233822337825,0
2016-08-25T13:15:00+05:30,848.05,849.85,847.5,849.5,842.0633333333354,1.9834575036187516,0
2016-08-25T14:15:00+05:30,849.15,849.65,835.4,837.6,842.130000000002,0.09056353930634486,0
2016-08-25T15:15:00+05:30,837.5,839.9,835,837,842.0566666666687,-1.0383218678523463,0
2016-08-26T09:15:00+05:30,842.05,846,836.05,836.05,842.2933333333353,-1.7350883403720445,0
2016-08-26T10:15:00+05:30,837,842,835.15,835.6,842.2033333333353,-2.0781677289966183,0
2016-08-26T11:15:00+05:30,835.9,837,833,837,842.4033333333354,-1.9272311695192457,0
2016-08-26T12:15:00+05:30,838,843,835.15,836.05,842.4000000000019,-1.8720396419546432,0
2016-08-26T13:15:00+05:30,836.6,837.9,835,835,842.040000000002,-1.8875691334676503,0
2016-08-26T14:15:00+05:30,833,844,831,843,842.240000000002,-0.5695204237797498,0
2016-08-26T15:15:00+05:30,842.25,844.3,836.4,838.5,841.5433333333353,-0.49788655644817936,0
2016-08-29T09:15:00+05:30,844,844.05,833.05,835.15,840.5533333333353,-0.9362143526643649,0
2016-08-29T10:15:00+05:30,836,838.2,833.3,835.35,839.840000000002,-1.08825894740869,0
2016-08-29T11:15:00+05:30,836,836,833.35,835.45,839.1333333333353,-1.0900857598504672,0
2016-08-29T12:15:00+05:30,836.95,840,836.25,837.45,838.4633333333352,-0.7219860963430165,0
2016-08-29T13:15:00+05:30,836.6,841,833,835.1,837.5866666666686,-0.8335083346514693,0
2016-08-29T14:15:00+05:30,837.45,849.9,837.4,837.55,836.790000000002,-0.4726108685983945,0
2016-08-29T15:15:00+05:30,838,839.55,832,832.4,836.4433333333353,-1.0274176526543215,0
2016-08-30T09:15:00+05:30,843.35,847.6,832.6,834,836.2433333333354,-1.0253475559179606,0
2016-08-30T10:15:00+05:30,835.4,837.4,835.4,837,836.3066666666688,-0.5075306815818976,0
2016-08-30T11:15:00+05:30,838,839.75,833.35,836.5,836.3666666666687,-0.27008325427232194,0
2016-08-30T12:15:00+05:30,834.55,841,834.55,839.25,836.5166666666687,0.29246887300394064,0
2016-08-30T13:15:00+05:30,839.3,839.9,836.65,839.9,836.7733333333355,0.6800749501240944,0
2016-08-30T14:15:00+05:30,844.8,844.8,838,838,836.9733333333354,0.5624009952123288,0
2016-08-30T15:15:00+05:30,838,838.5,833.75,833.75,836.3566666666688,-0.1798091011160068,0
2016-08-31T09:15:00+05:30,840.05,849.6,839,847.95,836.9866666666688,1.5777617009542837,0
2016-08-31T10:15:00+05:30,846.75,849.75,838.25,842,837.4433333333355,1.5392996111166894,0
2016-08-31T11:15:00+05:30,841.95,841.95,836,836.85,837.5433333333353,0.6447263735617526,0
2016-08-31T12:15:00+05:30,836.85,839,834.15,835.95,837.5766666666689,-0.018660627138615382,0
2016-08-31T13:15:00+05:30,835.95,836,832,834,837.3466666666687,-0.6748316804213346,0
2016-08-31T14:15:00+05:30,834,834.8,823.75,825,836.6733333333356,-2.3554806379439697,0
2016-08-31T15:15:00+05:30,824.85,827,818.55,822.7,835.6833333333356,-3.477926697323255,0
2016-09-01T09:15:00+05:30,827,830,823.1,825,835.1900000000022,-3.530901717752954,0
2016-09-01T10:15:00+05:30,823.8,828.35,822,828.15,834.8000000000023,-2.868530412669088,0
2016-09-01T11:15:00+05:30,828.15,834,819,826.9,834.1266666666689,-2.5227805848857088,0
2016-09-01T12:15:00+05:30,825.6,838,825.6,838,834.226666666669,-0.4994757948895767,0
2016-09-01T13:15:00+05:30,838,845,831.35,840.95,834.3400000000023,1.081385956919803,0
2016-09-01T14:15:00+05:30,840,840,833.05,833.05,833.8833333333356,0.6811659453660468,0
2016-09-01T15:15:00+05:30,833,839,829.55,838,833.8833333333356,1.1715813363146026,0
2016-09-02T09:15:00+05:30,839.45,849,839.4,847.5,834.8000000000023,2.8074696503886116,0
2016-09-02T10:15:00+05:30,847,847.5,842.5,843,834.4700000000024,2.8478045095570224,0
2016-09-02T11:15:00+05:30,843.15,848.3,840.05,842.65,834.5133333333357,2.644180826099955,0
2016-09-02T12:15:00+05:30,843,844.1,835.1,840.1,834.7300000000025,1.9864963426324493,0
2016-09-02T13:15:00+05:30,839.95,840.85,832.4,838.75,834.9166666666691,1.3028201793694052,0
2016-09-02T14:15:00+05:30,838,842.2,831.6,832,834.7833333333357,-0.17178016297816612,0
2016-09-02T15:15:00+05:30,834.4,838.3,829.3,830.15,835.126666666669,-1.245999733775193,0
2016-09-06T09:15:00+05:30,835,843,832.35,836.1,836.0200000000024,-0.8549073945871442,0
2016-09-06T10:15:00+05:30,837.5,842.4,836.1,838,836.886666666669,-0.30189294323690774,0
2016-09-06T11:15:00+05:30,838,840.3,836,838,837.5433333333356,0.018047844968464233,0
2016-09-06T12:15:00+05:30,838.5,841.15,837.75,841.15,838.4933333333356,0.668739920658254,0
2016-09-06T13:15:00+05:30,841.15,842.3,838,840,838.6266666666689,0.8088907546308519,0
2016-09-06T14:15:00+05:30,840,840.95,838.6,839,838.496666666669,0.6847978304565459,0
2016-09-06T15:15:00+05:30,839,839.85,838.4,838.5,838.8600000000023,0.49985030633376937,0
2016-09-07T09:15:00+05:30,844.05,848,836.1,838.35,838.8833333333356,0.3459486079435692,0
2016-09-07T10:15:00+05:30,838.8,840,835.6,839.45,838.3466666666689,0.4077023113704854,0
2016-09-07T11:15:00+05:30,839.1,839.85,836.3,838.45,838.0433333333356,0.26516176709606043,0
2016-09-07T12:15:00+05:30,838.7,839,835.6,838.85,837.7900000000024,0.23194802978900952,0
2016-09-07T13:15:00+05:30,839,840,837.05,839,837.716666666669,0.22250126217977595,0
2016-09-07T14:15:00+05:30,839,839,835,838,837.666666666669,0.0523484033517434,0
2016-09-07T15:15:00+05:30,838.95,839,836.3,839,838.1333333333356,0.10788027409080314,0
2016-09-08T09:15:00+05:30,839,846.05,836,836.6,838.5633333333357,-0.23200417666305384,0
2016-09-08T10:15:00+05:30,836.1,840.4,835,836.5,838.5900000000023,-0.4184863512158472,0
2016-09-08T11:15:00+05:30,836.5,838,835.1,836.6,838.4966666666691,-0.4796895766558009,0
2016-09-08T12:15:00+05:30,836.6,839.9,836.6,837.7,838.4766666666691,-0.3173343919469289,0
2016-09-08T13:15:00+05:30,838.45,841,837.6,840,838.4000000000023,0.13894021740611606,0
2016-09-08T14:15:00+05:30,840.5,842.95,837.05,837.05,838.2033333333358,-0.067573039153217,0
2016-09-08T15:15:00+05:30,837.7,840.75,836,836,838.0033333333357,-0.33521220702471055,0
2016-09-09T09:15:00+05:30,834.85,841,834.35,840,838.1033333333356,0.14517928971361016,0
2016-09-09T10:15:00+05:30,838.25,840.85,837,839.1,838.1533333333356,0.2620486340124444,0
2016-09-09T11:15:00+05:30,839.1,839.85,837.75,839,838.1233333333356,0.2947622985382168,0
2016-09-09T12:15:00+05:30,838,838,833,836,837.9600000000023,-0.15980372072272075,0
2016-09-09T13:15:00+05:30,836,836.95,830.05,830.55,837.406666666669,-1.2238213239121478,0
2016-09-09T14:15:00+05:30,832.55,832.55,826,829.45,836.7700000000023,-1.8966902393541432,0
2016-09-09T15:15:00+05:30,831.45,838,828.25,838,836.7700000000023,-0.8533041787252387,0
2016-09-12T09:15:00+05:30,821,831.4,821,827.3,835.9900000000023,-1.8536812257322026,0
