time,open,high,low,close
2018-11-05T09:15:00+05:30,72,75.6,72,75.6
2018-11-05T10:15:00+05:30,75.6,75.6,75.6,75.6
2018-11-05T11:15:00+05:30,75.6,75.6,75.6,75.6
2018-11-05T12:15:00+05:30,75.6,75.6,75.6,75.6
2018-11-05T13:15:00+05:30,75.6,75.6,75.6,75.6
2018-11-05T14:15:00+05:30,75.6,75.6,75.6,75.6
2018-11-05T15:15:00+05:30,75.6,75.6,75.6,75.6
2018-11-06T09:15:00+05:30,77.3,79.35,75.7,77.5
2018-11-06T10:15:00+05:30,77.35,78,77,77.9
2018-11-06T11:15:00+05:30,77.05,77.9,76.05,77.6
2018-11-06T12:15:00+05:30,77.6,77.8,76.9,77.6
2018-11-06T13:15:00+05:30,77.6,78.2,76.9,77.1
2018-11-06T14:15:00+05:30,77.1,78.25,76.75,78.2
2018-11-06T15:15:00+05:30,78.3,78.45,77.75,78.45
2018-11-09T09:15:00+05:30,83.9,83.9,77.25,77.25
2018-11-09T10:15:00+05:30,77.25,78.05,77.25,77.25
2018-11-09T11:15:00+05:30,77.25,78,77.25,77.3
2018-11-09T12:15:00+05:30,77.3,78,77.25,77.25
2018-11-09T13:15:00+05:30,77.75,77.75,77.25,77.25
2018-11-09T14:15:00+05:30,77.25,80,77.25,79.5
2018-11-09T15:15:00+05:30,80,81,79,80
2018-11-12T09:15:00+05:30,79.5,79.6,76.45,77
2018-11-12T10:15:00+05:30,77,77.9,76.4,76.5
2018-11-12T11:15:00+05:30,76.55,77.4,76.25,77.15
2018-11-12T12:15:00+05:30,77.15,77.15,76.75,76.75
2018-11-12T13:15:00+05:30,77,77,76.25,76.3
2018-11-12T14:15:00+05:30,76.5,76.5,76,76
2018-11-12T15:15:00+05:30,76,76.05,76,76
2018-11-13T09:15:00+05:30,73,74.7,72.5,74
2018-11-13T10:15:00+05:30,74,74.15,73.75,74
2018-11-13T11:15:00+05:30,73.75,74.3,73.5,74.2
2018-11-13T12:15:00+05:30,74.2,75.75,74.2,75.5
2018-11-13T13:15:00+05:30,75.5,76.4,75.25,76
2018-11-13T14:15:00+05:30,76,78,75.75,78
2018-11-13T15:15:00+05:30,76.75,77.95,76.5,77.2
2018-11-14T09:15:00+05:30,78,78.25,75.5,76.5
2018-11-14T10:15:00+05:30,76.7,77.5,76.4,77.45
2018-11-14T11:15:00+05:30,77.45,77.6,77,77.5
2018-11-14T12:15:00+05:30,77.5,78.65,77.5,78
2018-11-14T13:15:00+05:30,78,78.05,77.5,77.75
2018-11-14T14:15:00+05:30,77.75,78.6,77.5,78.5
2018-11-14T15:15:00+05:30,78.3,78.65,78,78.3
2018-11-15T09:15:00+05:30,76.65,78.8,75.5,77.85
2018-11-15T10:15:00+05:30,78.2,78.6,77.75,78.35
2018-11-15T11:15:00+05:30,78.35,79,77.9,77.9
2018-11-15T12:15:00+05:30,78.5,79.6,77.25,79.5
2018-11-15T13:15:00+05:30,79.5,79.9,79.25,79.5
2018-11-15T14:15:00+05:30,79.5,80,79,79.25
2018-11-15T15:15:00+05:30,79.25,79.6,79.25,79.6
2018-11-16T09:15:00+05:30,79.4,79.75,78.3,78.5
2018-11-16T10:15:00+05:30,78.5,79.35,78.4,78.6
2018-11-16T11:15:00+05:30,78.6,79.2,77.5,78.5
2018-11-16T12:15:00+05:30,78.5,79.4,78.5,78.75
2018-11-16T13:15:00+05:30,78.75,79,78.05,78.5
2018-11-16T14:15:00+05:30,78.55,79.5,78.05,78.55
2018-11-16T15:15:00+05:30,78.55,79.5,78.5,79
2018-11-19T09:15:00+05:30,78.85,78.95,77.2,78.05
2018-11-19T10:15:00+05:30,78.05,78.4,77.5,77.55
2018-11-19T11:15:00+05:30,77.55,78,77.4,77.75
2018-11-19T12:15:00+05:30,77.75,78.5,77.75,78.25
2018-11-19T13:15:00+05:30,78.25,78.25,77.3,77.5
2018-11-19T14:15:00+05:30,77.5,78.5,77.5,77.75
2018-11-19T15:15:00+05:30,77.7,77.75,77.6,77.75
2018-11-20T09:15:00+05:30,81.1,88.5,81.1,84.45
2018-11-20T10:15:00+05:30,84.4,84.5,82.65,84.45
2018-11-20T11:15:00+05:30,84.4,84.95,83,84.5
2018-11-20T12:15:00+05:30,84.55,84.65,83.6,83.8
2018-11-20T13:15:00+05:30,83.95,84.4,83.6,83.95
2018-11-20T14:15:00+05:30,83.9,84.1,80.4,80.4
2018-11-20T15:15:00+05:30,80.55,81.7,80.1,81.5
2018-11-21T09:15:00+05:30,82,88.85,81.7,86
2018-11-21T10:15:00+05:30,85.9,94.75,85.9,93.6
2018-11-21T11:15:00+05:30,93.55,97.05,92.35,97.05
2018-11-21T12:15:00+05:30,97.05,97.05,97.05,97.05
2018-11-21T13:15:00+05:30,97.05,97.05,97.05,97.05
2018-11-21T14:15:00+05:30,97.05,97.05,97.05,97.05
2018-11-21T15:15:00+05:30,97.05,97.05,97.05,97.05
2018-11-22T09:15:00+05:30,107,112,105,111.4
2018-11-22T10:15:00+05:30,111.5,112.7,109,110.3
2018-11-22T11:15:00+05:30,110.45,111.5,109.55,110.6
2018-11-22T12:15:00+05:30,110.65,114.8,110.4,113.6
2018-11-22T13:15:00+05:30,113.6,114.3,111.2,113.85
2018-11-22T14:15:00+05:30,113.95,115.4,110.6,111.9
2018-11-22T15:15:00+05:30,111.9,112.5,109.7,110.8
2018-11-26T09:15:00+05:30,114.65,114.7,105,106.4
2018-11-26T10:15:00+05:30,106.5,107,104,104.3
2018-11-26T11:15:00+05:30,104.3,105.6,103.2,103.95
2018-11-26T12:15:00+05:30,103.85,104.3,103,103.8
2018-11-26T13:15:00+05:30,103.8,106.25,103.7,104.7
2018-11-26T14:15:00+05:30,104.8,105.2,103.75,104.3
2018-11-26T15:15:00+05:30,104.35,104.9,102,102.9
2018-11-27T09:15:00+05:30,100.5,105.25,98.25,102.3
2018-11-27T10:15:00+05:30,102.3,102.35,101.45,101.9
2018-11-27T11:15:00+05:30,101.95,103.3,100.4,101
2018-11-27T12:15:00+05:30,100.9,102,100.75,101.7
2018-11-27T13:15:00+05:30,101.7,103.3,101.5,101.8
2018-11-27T14:15:00+05:30,101.8,102.05,100.7,101.05
2018-11-27T15:15:00+05:30,101.1,101.55,100.25,100.55
2018-11-28T09:15:00+05:30,101.6,102.6,98.3,99.2
2018-11-28T10:15:00+05:30,99.2,99.3,94.1,97.15
2018-11-28T11:15:00+05:30,97.15,102.15,96.6,99.95
2018-11-28T12:15:00+05:30,100,100,98.4,99.65
2018-11-28T13:15:00+05:30,99.5,101.9,99.25,99.9
2018-11-28T14:15:00+05:30,99.85,99.9,98.2,99.15
2018-11-28T15:15:00+05:30,99.25,99.25,98.05,98.5
2018-11-29T09:15:00+05:30,99.8,101.7,98.1,99.75
2018-11-29T10:15:00+05:30,99.75,100.2,99.25,99.3
2018-11-29T11:15:00+05:30,99.3,99.6,98.45,99.05
2018-11-29T12:15:00+05:30,99.05,100.7,98.2,100.3
2018-11-29T13:15:00+05:30,100.4,100.45,99.25,99.3
2018-11-29T14:15:00+05:30,99.3,99.9,98.7,99.75
2018-11-29T15:15:00+05:30,99.75,99.85,99,99
2018-11-30T09:15:00+05:30,99.4,101.4,97.65,98.8
2018-11-30T10:15:00+05:30,98.8,99,98.75,99
2018-11-30T11:15:00+05:30,99.25,100.5,99,99.65
2018-11-30T12:15:00+05:30,99.65,99.85,99.5,99.5
2018-11-30T13:15:00+05:30,99.6,100.4,99.15,99.3
2018-11-30T14:15:00+05:30,99.3,99.8,98.1,98.15
2018-11-30T15:15:00+05:30,98.1,99.5,97.8,98.7
2018-12-03T09:15:00+05:30,99.05,99.75,96.45,98.1
2018-12-03T10:15:00+05:30,98.25,98.4,97.5,97.55
2018-12-03T11:15:00+05:30,97.65,98,96.3,96.7
2018-12-03T12:15:00+05:30,96.9,97.8,96.75,97.4
2018-12-03T13:15:00+05:30,97.4,97.4,96.8,96.85
2018-12-03T14:15:00+05:30,96.85,98,96.6,97.5
2018-12-03T15:15:00+05:30,97.5,97.6,97.1,97.3
2018-12-04T09:15:00+05:30,97.5,97.85,95.2,96.7
2018-12-04T10:15:00+05:30,96.6,96.6,95.7,95.7
2018-12-04T11:15:00+05:30,95.85,96.45,95.5,96.25
