time,open,high,low,close,Up Trend,Down Trend,Up Trend,Down Trend
2014-11-10T09:15:00+05:30,897,932.5,896.5,927.55,NaN,NaN,578.6569668181727,NaN
2014-11-10T10:15:00+05:30,927.35,927.6,916.15,920,NaN,NaN,NaN,NaN
2014-11-10T11:15:00+05:30,920,920.65,915,915.25,NaN,NaN,NaN,NaN
2014-11-10T12:15:00+05:30,915.65,920,913.75,918.55,NaN,NaN,NaN,NaN
2014-11-10T13:15:00+05:30,918.55,921,916.9,919.85,NaN,NaN,NaN,NaN
2014-11-10T14:15:00+05:30,919.85,920.1,907.1,910,NaN,NaN,NaN,NaN
2014-11-10T15:15:00+05:30,909.55,915.95,906.2,914.25,NaN,NaN,NaN,NaN
2014-11-11T09:15:00+05:30,914,924,910.1,915.4,NaN,NaN,NaN,NaN
2014-11-11T10:15:00+05:30,915.5,921.6,912.7,919.35,NaN,NaN,NaN,NaN
2014-11-11T11:15:00+05:30,919.45,919.95,915.05,916.95,NaN,951.6700000000001,NaN,NaN
2014-11-11T12:15:00+05:30,916.8,920.9,916.75,919.6,NaN,950.8230000000001,NaN,NaN
2014-11-11T13:15:00+05:30,919.65,919.65,915.35,916.9,NaN,947.5882,NaN,NaN
2014-11-11T14:15:00+05:30,916.9,917,910.6,916.75,NaN,942.7993799999999,NaN,NaN
2014-11-11T15:15:00+05:30,916.75,921,915.9,920.85,NaN,942.7993799999999,NaN,NaN
2014-11-12T09:15:00+05:30,924,924.85,911.15,914,NaN,942.7993799999999,NaN,NaN
2014-11-12T10:15:00+05:30,914,915.5,911.1,913.65,NaN,940.69884802,NaN,NaN
2014-11-12T11:15:00+05:30,913.85,915,910.25,912.25,NaN,938.708963218,NaN,NaN
2014-11-12T12:15:00+05:30,912.4,912.5,906.95,907.65,NaN,934.8655668962,NaN,NaN
2014-11-12T13:15:00+05:30,907.65,909.15,903.5,904.75,NaN,930.64651020658,NaN,NaN
2014-11-12T14:15:00+05:30,904.9,906.9,890.1,905.85,NaN,925.429359185922,NaN,NaN
2014-11-12T15:15:00+05:30,905.5,909.55,904.4,908,NaN,925.429359185922,NaN,NaN
2014-11-13T09:15:00+05:30,907,921,904.95,916.4,NaN,925.429359185922,NaN,NaN
2014-11-13T10:15:00+05:30,916.6,920.4,912.9,916.95,NaN,925.429359185922,NaN,NaN
2014-11-13T11:15:00+05:30,916.65,917.9,915.2,917.3,NaN,925.429359185922,NaN,NaN
2014-11-13T12:15:00+05:30,917,924.75,916.5,921.05,NaN,925.429359185922,NaN,NaN
2014-11-13T13:15:00+05:30,921.05,921.8,912,914,NaN,925.429359185922,NaN,NaN
2014-11-13T14:15:00+05:30,914.1,914.4,900.75,909,NaN,925.429359185922,NaN,NaN
2014-11-13T15:15:00+05:30,909.4,909.45,906,906.15,NaN,925.429359185922,NaN,NaN
2014-11-14T09:15:00+05:30,915,915.75,892.65,898.45,NaN,925.429359185922,NaN,NaN
2014-11-14T10:15:00+05:30,898.45,899.8,894.7,895.2,NaN,925.429359185922,NaN,NaN
2014-11-14T11:15:00+05:30,895.2,896.45,888.8,892.4,NaN,920.6137293894453,NaN,NaN
2014-11-14T12:15:00+05:30,892.35,893,888,890.2,NaN,917.1898564505009,NaN,NaN
2014-11-14T13:15:00+05:30,890.2,892,880.15,884,NaN,913.6508708054508,NaN,NaN
2014-11-14T14:15:00+05:30,883.7,888,880.25,886.05,NaN,911.2682837249057,NaN,NaN
2014-11-14T15:15:00+05:30,886,888.35,885.1,887,NaN,911.2682837249057,NaN,NaN
2014-11-17T09:15:00+05:30,887.9,887.9,870,878.75,NaN,907.1835598171737,NaN,NaN
2014-11-17T10:15:00+05:30,878.1,878.9,872.55,874.5,NaN,903.0402038354562,NaN,NaN
2014-11-17T11:15:00+05:30,874.5,879,871.2,878.4,NaN,902.0236834519106,NaN,NaN
2014-11-17T12:15:00+05:30,878.25,879.9,876.1,878.3,NaN,902.0236834519106,NaN,NaN
2014-11-17T13:15:00+05:30,878.3,884,877.45,883,NaN,902.0236834519106,NaN,NaN
2014-11-17T14:15:00+05:30,883,889,877.15,883.7,NaN,902.0236834519106,NaN,NaN
2014-11-17T15:15:00+05:30,883.7,885.9,882,884.6,NaN,902.0236834519106,NaN,NaN
2014-11-18T09:15:00+05:30,882.9,896.9,881,890.75,NaN,902.0236834519106,NaN,NaN
2014-11-18T10:15:00+05:30,890.4,891.65,885.1,886.8,NaN,902.0236834519106,NaN,NaN
2014-11-18T11:15:00+05:30,886.95,889.8,883.05,884.6,NaN,902.0236834519106,NaN,NaN
2014-11-18T12:15:00+05:30,884.3,886,880.3,882.3,NaN,902.0236834519106,NaN,NaN
2014-11-18T13:15:00+05:30,882.3,882.8,871,871.25,NaN,902.0236834519106,NaN,NaN
2014-11-18T14:15:00+05:30,871.1,872.15,865,866,NaN,893.8705656223684,NaN,NaN
2014-11-18T15:15:00+05:30,866.1,867.8,865.05,866.55,NaN,890.0160090601314,NaN,NaN
2014-11-19T09:15:00+05:30,866,873.7,855.25,860.15,NaN,890.0160090601314,NaN,NaN
2014-11-19T10:15:00+05:30,860,860.4,855,856,NaN,883.4102173387066,NaN,NaN
2014-11-19T11:15:00+05:30,855.8,860.6,855,855.75,NaN,882.6191956048358,NaN,NaN
2014-11-19T12:15:00+05:30,855.75,855.9,849.1,852.2,NaN,876.8772760443522,NaN,NaN
2014-11-19T13:15:00+05:30,852.2,854.75,849,851.1,NaN,875.5395484399171,NaN,NaN
2014-11-19T14:15:00+05:30,850.95,851.55,842.3,850.45,NaN,870.9980935959253,NaN,NaN
2014-11-19T15:15:00+05:30,850.05,852.05,849.1,851,NaN,870.9980935959253,NaN,NaN
2014-11-20T09:15:00+05:30,851.3,854.7,842.45,848.9,NaN,870.9980935959253,NaN,NaN
2014-11-20T10:15:00+05:30,848.9,860.85,848.35,857.8,NaN,870.9980935959253,NaN,NaN
2014-11-20T11:15:00+05:30,857.75,859.75,852.15,855.2,NaN,870.9980935959253,NaN,NaN
2014-11-20T12:15:00+05:30,855.2,859.4,853.1,855.5,NaN,870.9980935959253,NaN,NaN
2014-11-20T13:15:00+05:30,855.9,857.5,850,850.1,NaN,870.9980935959253,NaN,NaN
2014-11-20T14:15:00+05:30,850.25,858.9,850,852.75,NaN,870.9980935959253,NaN,NaN
2014-11-20T15:15:00+05:30,852.75,852.8,848.6,850.3,NaN,870.9980935959253,NaN,NaN
2014-11-21T09:15:00+05:30,850,857,845.5,846.95,NaN,870.9980935959253,NaN,NaN
2014-11-21T10:15:00+05:30,847,853.45,845.1,846.45,NaN,870.9980935959253,NaN,NaN
2014-11-21T11:15:00+05:30,846,848,843.5,845.7,NaN,869.1438645271312,NaN,NaN
2014-11-21T12:15:00+05:30,845.7,850.9,845.2,848.9,NaN,869.1438645271312,NaN,NaN
2014-11-21T13:15:00+05:30,848.75,849.65,844.3,845,NaN,869.0680302669762,NaN,NaN
2014-11-21T14:15:00+05:30,845,845.7,839.5,840.8,NaN,864.3437272402787,NaN,NaN
2014-11-21T15:15:00+05:30,840.05,843.85,839,839.55,NaN,862.4493545162508,NaN,NaN
2014-11-24T09:15:00+05:30,841.15,846.95,835.05,842.15,NaN,862.4493545162508,NaN,NaN
2014-11-24T10:15:00+05:30,842.25,853.7,842.15,846.6,NaN,862.4493545162508,NaN,NaN
2014-11-24T11:15:00+05:30,846.8,847.9,843,843.65,NaN,862.4493545162508,NaN,NaN
2014-11-24T12:15:00+05:30,843.5,843.7,840,840.05,NaN,862.4493545162508,NaN,NaN
2014-11-24T13:15:00+05:30,840,847.9,837,840.7,NaN,862.4493545162508,NaN,NaN
2014-11-24T14:15:00+05:30,840.7,841.5,835,837.15,NaN,860.6683697884708,NaN,NaN
2014-11-24T15:15:00+05:30,837,837.15,833.35,834.9,NaN,856.5665328096237,NaN,NaN
2014-11-25T09:15:00+05:30,837.4,845,837.15,839.55,NaN,856.5665328096237,NaN,NaN
2014-11-25T10:15:00+05:30,839.6,840.25,832.3,838.7,NaN,856.5665328096237,NaN,NaN
2014-11-25T11:15:00+05:30,838.75,840.9,835.15,836.8,NaN,856.5665328096237,NaN,NaN
2014-11-25T12:15:00+05:30,836.5,840.4,835.5,840,NaN,856.5665328096237,NaN,NaN
2014-11-25T13:15:00+05:30,840,840.7,838.1,838.95,NaN,856.5665328096237,NaN,NaN
2014-11-25T14:15:00+05:30,838.95,843.95,837.6,839.65,NaN,856.5665328096237,NaN,NaN
2014-11-25T15:15:00+05:30,839.65,841.75,837.75,840.7,NaN,856.5665328096237,NaN,NaN
2014-11-26T09:15:00+05:30,842,845.2,836.25,836.4,NaN,856.5665328096237,NaN,NaN
2014-11-26T10:15:00+05:30,836.5,841.2,835.55,838.75,NaN,856.5665328096237,NaN,NaN
2014-11-26T11:15:00+05:30,838.55,838.75,834.6,836.25,NaN,855.4450469084201,NaN,NaN
2014-11-26T12:15:00+05:30,836.4,839.8,836.1,837.7,NaN,855.4450469084201,NaN,NaN
2014-11-26T13:15:00+05:30,837.8,842.3,837.5,839.75,NaN,855.4450469084201,NaN,NaN
2014-11-26T14:15:00+05:30,840,842,839.2,840,NaN,855.4450469084201,NaN,NaN
2014-11-26T15:15:00+05:30,839.9,840.6,837.2,838.45,NaN,854.9666177766145,NaN,NaN
2014-11-27T09:15:00+05:30,840.5,844.65,840,841.8,NaN,854.9666177766145,NaN,NaN
2014-11-27T10:15:00+05:30,841.8,849.8,840.25,849,NaN,854.9666177766145,NaN,NaN
2014-11-27T11:15:00+05:30,849,852,846.2,849,NaN,854.9666177766145,NaN,NaN
2014-11-27T12:15:00+05:30,849.2,849.4,843.1,844.05,NaN,854.9666177766145,NaN,NaN
2014-11-27T13:15:00+05:30,844.45,844.95,840.55,843.8,NaN,854.9666177766145,NaN,NaN
2014-11-27T14:15:00+05:30,844,847,840.6,841.1,NaN,854.9666177766145,NaN,NaN
2014-11-27T15:15:00+05:30,841.15,843,840.15,842.4,NaN,854.9666177766145,NaN,NaN
2014-11-28T09:15:00+05:30,842.5,848.95,842.1,844.5,NaN,854.9666177766145,NaN,NaN
2014-11-28T10:15:00+05:30,844.5,848.5,843.5,846.15,NaN,854.9666177766145,NaN,NaN
2014-11-28T11:15:00+05:30,846.15,846.15,843,844.4,NaN,854.9666177766145,NaN,NaN
2014-11-28T12:15:00+05:30,844.4,846.15,842.2,845.45,NaN,854.9666177766145,NaN,NaN
2014-11-28T13:15:00+05:30,845.1,847,843.7,845.85,NaN,854.9666177766145,NaN,NaN
2014-11-28T14:15:00+05:30,845.85,847,838.2,840.35,NaN,854.9666177766145,NaN,NaN
2014-11-28T15:15:00+05:30,840,840.8,838.05,839.65,NaN,854.7989688515407,626.6712666363554,NaN
2014-12-01T09:15:00+05:30,853.35,856.5,843,843.55,NaN,854.7989688515407,NaN,NaN
2014-12-01T10:15:00+05:30,843.55,851,843.55,849.55,NaN,854.7989688515407,NaN,NaN
2014-12-01T11:15:00+05:30,849.1,850.7,845.95,848.35,NaN,854.7989688515407,NaN,NaN
2014-12-01T12:15:00+05:30,848.75,850.5,847.45,848.6,NaN,854.7989688515407,NaN,NaN
2014-12-01T13:15:00+05:30,848.85,849,844.5,845.5,NaN,854.7989688515407,NaN,NaN
2014-12-01T14:15:00+05:30,845.75,846.5,829,836.2,NaN,854.7989688515407,NaN,NaN
2014-12-01T15:15:00+05:30,836.55,836.9,832.5,833.9,NaN,854.7989688515407,NaN,NaN
2014-12-02T09:15:00+05:30,835,844.7,833.8,836.75,NaN,854.7989688515407,NaN,NaN
2014-12-02T10:15:00+05:30,836.65,838.45,832.5,837.4,NaN,854.7989688515407,NaN,NaN
2014-12-02T11:15:00+05:30,837,838.4,836,838.35,NaN,854.7989688515407,NaN,NaN
2014-12-02T12:15:00+05:30,838.35,840.65,837.1,840.05,NaN,854.7989688515407,NaN,NaN
2014-12-02T13:15:00+05:30,840.05,847.3,839.65,846.2,NaN,854.7989688515407,NaN,NaN
2014-12-02T14:15:00+05:30,846.2,847.25,839.1,839.1,NaN,854.7989688515407,NaN,NaN
2014-12-02T15:15:00+05:30,839,840.9,838.5,840,NaN,854.7989688515407,NaN,NaN
2014-12-03T09:15:00+05:30,842,844.1,837.3,837.5,NaN,854.7989688515407,NaN,NaN
2014-12-03T10:15:00+05:30,837.85,843.75,837.05,842.75,NaN,854.7989688515407,NaN,NaN
2014-12-03T11:15:00+05:30,842.8,846.9,842,843.2,NaN,854.7989688515407,NaN,NaN
2014-12-03T12:15:00+05:30,843.15,846,840.95,844.9,NaN,854.7989688515407,NaN,NaN
2014-12-03T13:15:00+05:30,844.85,845.4,841.15,841.15,NaN,854.7989688515407,NaN,NaN
2014-12-03T14:15:00+05:30,841.4,843.9,838,842.95,NaN,854.7989688515407,NaN,NaN
2014-12-03T15:15:00+05:30,842.95,843.1,841.5,842.2,NaN,854.7989688515407,NaN,NaN
2014-12-04T09:15:00+05:30,840,844.25,836.2,838.95,NaN,854.7989688515407,NaN,NaN
2014-12-04T10:15:00+05:30,838.95,838.95,836.7,838.65,NaN,853.8461380011936,NaN,NaN
2014-12-04T11:15:00+05:30,839,839.6,836,838.3,NaN,853.2990242010742,NaN,NaN
2014-12-04T12:15:00+05:30,838.3,838.35,836.2,836.6,NaN,851.8691217809669,NaN,NaN
2014-12-04T13:15:00+05:30,836.65,838.95,836.15,837.8,NaN,851.5247096028701,NaN,NaN
2014-12-04T14:15:00+05:30,837.9,840.05,836.95,839.3,NaN,851.5247096028701,NaN,NaN
2014-12-04T15:15:00+05:30,839.3,840.15,838.2,839,NaN,851.5247096028701,NaN,NaN
2014-12-05T09:15:00+05:30,837.2,844.65,835.75,838.45,NaN,851.5247096028701,NaN,NaN
2014-12-05T10:15:00+05:30,838,838.9,835.5,836.25,NaN,850.9436269704431,NaN,NaN
