time,open,high,low,close,Volume
2012-01-02T09:15:00+05:30,90.95,90.95,89.1,89.65,71418
2012-01-02T10:15:00+05:30,89.6,91.8,89.45,91.65,165050
2012-01-02T11:15:00+05:30,91.6,91.7,90.75,91.4,87317
2012-01-02T12:15:00+05:30,91.3,91.9,91.1,91.55,102049
2012-01-02T13:15:00+05:30,91.6,91.7,91,91.4,51787
2012-01-02T14:15:00+05:30,91.4,91.6,90.85,90.9,155904
2012-01-02T15:15:00+05:30,90.95,91,90.5,90.85,60508
2012-01-03T09:15:00+05:30,91.8,93.75,91.6,93.4,332886
2012-01-03T10:15:00+05:30,93.35,94.2,93.2,94.1,205473
2012-01-03T11:15:00+05:30,94.15,94.35,93.6,94.2,124201
2012-01-03T12:15:00+05:30,94.2,94.25,93.4,94.2,119709
2012-01-03T13:15:00+05:30,94.15,94.2,93.8,94.1,115134
2012-01-03T14:15:00+05:30,94.1,94.8,94.1,94.4,205275
2012-01-03T15:15:00+05:30,94.45,94.8,94.3,94.8,72262
2012-01-04T09:15:00+05:30,94.95,96.25,94.55,96.25,419098
2012-01-04T10:15:00+05:30,96.2,97,95.15,95.55,257872
2012-01-04T11:15:00+05:30,95.5,96.15,95.3,95.7,176497
2012-01-04T12:15:00+05:30,95.75,95.85,94.3,95.3,303440
2012-01-04T13:15:00+05:30,95.4,96.5,95.2,95.55,200771
2012-01-04T14:15:00+05:30,95.65,96,95.1,95.8,158069
2012-01-04T15:15:00+05:30,95.75,95.9,94.55,94.95,132919
2012-01-05T09:15:00+05:30,95,95.4,93.85,93.95,203593
2012-01-05T10:15:00+05:30,93.95,94.15,93.5,93.9,130786
2012-01-05T11:15:00+05:30,93.9,94.25,93.25,94,93236
2012-01-05T12:15:00+05:30,94,94.05,93.4,93.9,154085
2012-01-05T13:15:00+05:30,93.9,94,93.2,93.3,78906
2012-01-05T14:15:00+05:30,93.3,93.5,92.8,93.15,109308
2012-01-05T15:15:00+05:30,93.1,93.3,92.5,92.7,76162
2012-01-06T09:15:00+05:30,92.5,94.7,91.4,92.6,172308
2012-01-06T10:15:00+05:30,92.7,93.3,91.35,92.3,161198
2012-01-06T11:15:00+05:30,92.45,92.6,91.65,91.8,81256
2012-01-06T12:15:00+05:30,91.9,92.55,91.75,92.5,47763
2012-01-06T13:15:00+05:30,92.45,92.6,92.05,92.4,53982
2012-01-06T14:15:00+05:30,92.45,94.1,92.3,93.35,185556
2012-01-06T15:15:00+05:30,93.35,94.2,93.35,93.95,31520
2012-01-09T09:15:00+05:30,94,94.95,92.5,92.8,56609
2012-01-09T10:15:00+05:30,92.8,94.6,92.65,94.3,97983
2012-01-09T11:15:00+05:30,94.3,94.5,94,94.2,35746
2012-01-09T12:15:00+05:30,94.1,94.55,93.25,94.05,185163
2012-01-09T13:15:00+05:30,94.05,94.15,93.15,93.5,97789
2012-01-09T14:15:00+05:30,93.35,93.7,92.5,93,105061
2012-01-09T15:15:00+05:30,93.15,93.5,92.6,93.1,70525
2012-01-10T09:15:00+05:30,93.25,94.4,93.25,93.9,57335
2012-01-10T10:15:00+05:30,93.9,94.8,93.75,94.15,113374
2012-01-10T11:15:00+05:30,94.2,94.5,93.8,93.9,59677
2012-01-10T12:15:00+05:30,93.85,94,93.1,93.3,69881
2012-01-10T13:15:00+05:30,93.3,93.8,92.75,93.8,213265
2012-01-10T14:15:00+05:30,93.5,94,93.3,93.85,188204
2012-01-10T15:15:00+05:30,93.75,94.25,93.5,94.2,99651
2012-01-11T09:15:00+05:30,94.65,95.4,93.8,94.8,151057
2012-01-11T10:15:00+05:30,94.7,94.85,94.1,94.25,40948
2012-01-11T11:15:00+05:30,94.25,94.75,94,94.75,72127
2012-01-11T12:15:00+05:30,94.75,94.9,93.4,93.7,88202
2012-01-11T13:15:00+05:30,93.7,93.95,93.4,93.75,52514
2012-01-11T14:15:00+05:30,93.65,93.75,92.45,92.85,174456
2012-01-11T15:15:00+05:30,92.95,93,92.65,92.95,67606
2012-01-12T09:15:00+05:30,92.95,93.5,92.5,93,65587
2012-01-12T10:15:00+05:30,92.8,94.6,92.55,94,130655
2012-01-12T11:15:00+05:30,94,94.25,92.55,92.6,85338
2012-01-12T12:15:00+05:30,92.6,93,92.6,92.7,41706
2012-01-12T13:15:00+05:30,92.7,93.15,92.55,92.8,63015
2012-01-12T14:15:00+05:30,92.7,93.1,92.65,92.8,107488
2012-01-12T15:15:00+05:30,92.7,93,92.5,93,73877
2012-01-13T09:15:00+05:30,93.9,94.7,93.1,94,139848
2012-01-13T10:15:00+05:30,94,94.45,92.85,92.9,117823
2012-01-13T11:15:00+05:30,92.95,96.3,92.85,95.7,635620
2012-01-13T12:15:00+05:30,95.8,96.5,95.4,95.5,264324
2012-01-13T13:15:00+05:30,95.4,96,94.35,94.6,501587
2012-01-13T14:15:00+05:30,94.6,94.75,93.7,93.8,305766
2012-01-13T15:15:00+05:30,93.85,94.75,93.8,94.75,144392
2012-01-16T09:15:00+05:30,86,96.4,86,95.7,319583
2012-01-16T10:15:00+05:30,95.7,96,94.25,95.65,189173
2012-01-16T11:15:00+05:30,95.5,98.05,95.1,97.6,499596
2012-01-16T12:15:00+05:30,97.6,98.8,97.4,97.9,479488
2012-01-16T13:15:00+05:30,97.9,98.05,97.45,97.8,179710
2012-01-16T14:15:00+05:30,97.8,99.2,97.65,99,669660
2012-01-16T15:15:00+05:30,99,99.1,98.25,98.65,521767
2012-01-17T09:15:00+05:30,99.95,100.8,99.3,100.25,603223
2012-01-17T10:15:00+05:30,100.25,100.35,98.15,98.5,495677
2012-01-17T11:15:00+05:30,98.4,99.25,97.7,97.95,595184
2012-01-17T12:15:00+05:30,97.95,98.5,97.05,97.7,429855
2012-01-17T13:15:00+05:30,97.7,97.8,96.45,96.9,477116
2012-01-17T14:15:00+05:30,96.85,97.95,96.85,97.25,419988
2012-01-17T15:15:00+05:30,97.25,97.35,96.7,97,150780
2012-01-18T09:15:00+05:30,97,97.5,96.15,96.45,194191
2012-01-18T10:15:00+05:30,96.4,96.55,95.9,96.25,93620
2012-01-18T11:15:00+05:30,96.3,96.7,95.55,95.85,124544
2012-01-18T12:15:00+05:30,95.75,95.95,93.1,93.7,276970
2012-01-18T13:15:00+05:30,93.6,94.15,92.7,94.05,255107
2012-01-18T14:15:00+05:30,94,94.6,93.25,93.6,294823
2012-01-18T15:15:00+05:30,93.4,93.6,92.15,92.9,182241
2012-01-19T09:15:00+05:30,94.75,94.75,93.6,94.05,161790
2012-01-19T10:15:00+05:30,94.1,96.1,93.7,95.6,436442
2012-01-19T11:15:00+05:30,95.5,95.8,94.75,94.85,329160
2012-01-19T12:15:00+05:30,94.85,94.95,94.4,94.45,73484
2012-01-19T13:15:00+05:30,94.45,94.5,93.35,93.7,154863
2012-01-19T14:15:00+05:30,93.7,94.1,93.5,93.85,216095
2012-01-19T15:15:00+05:30,93.8,94,93.75,93.95,146410
2012-01-20T09:15:00+05:30,94.55,95.5,94.2,94.95,199927
2012-01-20T10:15:00+05:30,94.9,95,94.35,94.9,49055
2012-01-20T11:15:00+05:30,94.85,96.2,94.75,94.85,376983
2012-01-20T12:15:00+05:30,94.85,95.15,94.05,94.3,155749
2012-01-20T13:15:00+05:30,94.1,94.5,92.85,93.05,196000
2012-01-20T14:15:00+05:30,93.15,93.15,91.5,92.8,367033
2012-01-20T15:15:00+05:30,92.85,92.95,92.15,92.8,137706
2012-01-23T09:15:00+05:30,93,93.5,91.15,93.1,126607
2012-01-23T10:15:00+05:30,93.1,93.3,92.3,92.4,69728
2012-01-23T11:15:00+05:30,92.4,93,92.25,92.5,63206
2012-01-23T12:15:00+05:30,92.65,93.9,92.2,93.75,102634
2012-01-23T13:15:00+05:30,93.75,93.9,92.55,92.9,169381
2012-01-23T14:15:00+05:30,92.8,92.95,91.9,91.9,410435
2012-01-23T15:15:00+05:30,91.9,92,91.9,91.95,101316
2012-01-24T09:15:00+05:30,92.15,93.55,92.15,93.15,240341
2012-01-24T10:15:00+05:30,93.15,93.4,92.8,93.1,91867
2012-01-24T11:15:00+05:30,93.15,93.7,93,93.5,146046
2012-01-24T12:15:00+05:30,93.5,94.1,93.1,93.75,137989
2012-01-24T13:15:00+05:30,93.8,93.8,92.8,92.95,130924
2012-01-24T14:15:00+05:30,92.95,93.25,92.4,93,242603
2012-01-24T15:15:00+05:30,93.05,93.65,93,93.5,180185
2012-01-25T09:15:00+05:30,93.5,95.75,93.1,95.55,631529
2012-01-25T10:15:00+05:30,95.55,96.1,94.7,95.55,324195
2012-01-25T11:15:00+05:30,95.55,95.95,95.15,95.7,183036
2012-01-25T12:15:00+05:30,95.75,95.85,94.8,95.3,283261
2012-01-25T13:15:00+05:30,95.25,95.6,91.8,94.15,1165562
2012-01-25T14:15:00+05:30,94.2,96.2,94.1,95.15,1176449
2012-01-25T15:15:00+05:30,95.2,95.9,94.8,95.5,488147
2012-01-27T09:15:00+05:30,95,96.95,95,96,481712
2012-01-27T10:15:00+05:30,96,96,95.65,95.75,269350
2012-01-27T11:15:00+05:30,95.75,95.75,94.7,94.75,228027
2012-01-27T12:15:00+05:30,94.7,95.05,94.5,94.85,111931
2012-01-27T13:15:00+05:30,94.8,94.9,94.25,94.65,75876
2012-01-27T14:15:00+05:30,94.65,94.95,94.35,94.45,307350
2012-01-27T15:15:00+05:30,94.4,98.95,94,98.5,1418930
2012-01-30T09:15:00+05:30,98,99.95,97.15,99.25,951206
2012-01-30T10:15:00+05:30,99.25,99.7,97.5,97.85,514944
2012-01-30T11:15:00+05:30,97.85,100.2,97.7,98.8,688557
2012-01-30T12:15:00+05:30,98.8,99.3,98.75,99,282993
2012-01-30T13:15:00+05:30,98.95,99.8,98.65,99.2,577276
2012-01-30T14:15:00+05:30,99.25,99.65,97.1,97.2,420505
2012-01-30T15:15:00+05:30,97.3,99.15,96.55,98.85,306619
2012-01-31T09:15:00+05:30,102,103.95,100.75,101.05,4579409
2012-01-31T10:15:00+05:30,101.05,103.5,100.9,102.95,2603297
2012-01-31T11:15:00+05:30,102.95,103.15,102.4,102.75,932530
2012-01-31T12:15:00+05:30,102.8,107.45,102.7,107.15,4254960
2012-01-31T13:15:00+05:30,107.1,108.45,105.7,107.25,2848364
2012-01-31T14:15:00+05:30,107.3,108.85,106.55,107.75,1936958
2012-01-31T15:15:00+05:30,107.8,108.2,107.55,108.2,751979
2012-02-01T09:15:00+05:30,116,116,108,111.3,3342652
2012-02-01T10:15:00+05:30,111.2,112.4,110.65,111.5,1493971
2012-02-01T11:15:00+05:30,111.5,111.7,110.25,110.95,884331
2012-02-01T12:15:00+05:30,110.95,111.5,110,110.85,962055
2012-02-01T13:15:00+05:30,110.85,110.95,108.15,109.2,1934591
2012-02-01T14:15:00+05:30,109.25,110.75,108.25,108.95,1643247
2012-02-01T15:15:00+05:30,108.95,109.5,108.8,109.15,543806
2012-02-02T09:15:00+05:30,110.2,111.5,107.45,108.95,1817464
2012-02-02T10:15:00+05:30,108.95,109.2,107.4,108,775941
2012-02-02T11:15:00+05:30,108.05,111.15,107.7,110.55,740159
2012-02-02T12:15:00+05:30,110.55,110.85,109.6,110.15,609029
2012-02-02T13:15:00+05:30,110.25,112.9,109.25,112.8,1330114
2012-02-02T14:15:00+05:30,112.8,113.35,109.6,109.9,1560289
2012-02-02T15:15:00+05:30,109.9,110.6,109.7,110.5,375123
2012-02-03T09:15:00+05:30,110,114,108.15,113,1312078
2012-02-03T10:15:00+05:30,113,113.5,112.5,113.2,450819
2012-02-03T11:15:00+05:30,113.2,117,112.75,116.35,2238449
2012-02-03T12:15:00+05:30,116.35,116.75,114.8,115.2,1189631
2012-02-03T13:15:00+05:30,115.15,117.75,114.9,117.15,1032401
2012-02-03T14:15:00+05:30,117.15,119.95,117,119.55,2538286
2012-02-03T15:15:00+05:30,119.55,120.5,119.25,120.5,801275
2012-02-06T09:15:00+05:30,120,122.3,116.65,118.05,1890141
2012-02-06T10:15:00+05:30,118,121.15,117.5,118.95,1411064
2012-02-06T11:15:00+05:30,119,119.45,118.05,118.5,431153
2012-02-06T12:15:00+05:30,118.3,119.8,116.8,117.5,553734
2012-02-06T13:15:00+05:30,117.25,118.3,116.85,117.3,535826
2012-02-06T14:15:00+05:30,117.3,117.3,114.2,116.95,1709080
2012-02-06T15:15:00+05:30,116.95,116.95,115.1,115.1,630103
2012-02-07T09:15:00+05:30,116.2,117.5,114.15,114.9,1090427
2012-02-07T10:15:00+05:30,115.05,116.55,113.95,114.85,1160492
2012-02-07T11:15:00+05:30,114.9,116.25,114.6,115.75,532611
2012-02-07T12:15:00+05:30,115.75,117,115,116,928552
2012-02-07T13:15:00+05:30,116.05,116.05,114.35,114.6,603544
2012-02-07T14:15:00+05:30,114.55,115,112,113.35,1629782
2012-02-07T15:15:00+05:30,113.1,113.95,112.9,113.35,348085
2012-02-08T09:15:00+05:30,113.4,116.95,113,116,950636
2012-02-08T10:15:00+05:30,116,116.5,115.15,115.15,410009
2012-02-08T11:15:00+05:30,115.2,116.25,114.15,115.75,875547
2012-02-08T12:15:00+05:30,115.8,115.8,114.7,114.95,597942
2012-02-08T13:15:00+05:30,114.95,117.9,114.95,117.1,1582215
2012-02-08T14:15:00+05:30,117,117.65,116,117.05,1450548
2012-02-08T15:15:00+05:30,117,119,117,118.7,849405
2012-02-09T09:15:00+05:30,117.5,120.25,117,119.65,762933
2012-02-09T10:15:00+05:30,119.7,119.8,117.75,118.95,478899
2012-02-09T11:15:00+05:30,119,126.4,118.35,123.05,5283965
2012-02-09T12:15:00+05:30,123.1,124,122,122.3,1754751
2012-02-09T13:15:00+05:30,122.35,122.55,121.1,122.45,1395364
2012-02-09T14:15:00+05:30,122.4,124,121.6,122.8,1451835
2012-02-09T15:15:00+05:30,122.8,123,122.5,122.7,636602
2012-02-10T09:15:00+05:30,123.05,124.5,122,124.2,1164036
2012-02-10T10:15:00+05:30,124.4,124.75,122.2,122.4,996581
2012-02-10T11:15:00+05:30,122.35,122.6,119.5,120.35,866946
2012-02-10T12:15:00+05:30,120.4,120.6,119.55,119.9,283057
2012-02-10T13:15:00+05:30,119.9,120.45,117.8,118.8,768829
2012-02-10T14:15:00+05:30,118.65,119.85,118.25,118.9,697206
2012-02-10T15:15:00+05:30,118.9,119,118.3,118.85,309779
2012-02-13T09:15:00+05:30,119.7,121.55,116.1,120.85,988676
2012-02-13T10:15:00+05:30,120.9,123.45,120.8,123.1,1136920
2012-02-13T11:15:00+05:30,123.1,123.15,121.75,122,498292
2012-02-13T12:15:00+05:30,122,122.5,121.6,121.9,401075
2012-02-13T13:15:00+05:30,121.9,122.5,121.65,121.65,557473
2012-02-13T14:15:00+05:30,121.8,122.4,120.7,121.05,571606
2012-02-13T15:15:00+05:30,121.1,122,120.6,121.8,301557
2012-02-14T09:15:00+05:30,121.4,122.8,121,121.7,405279
2012-02-14T10:15:00+05:30,121.7,121.7,120.35,120.85,315175
2012-02-14T11:15:00+05:30,120.85,121.3,120.4,121,202800
2012-02-14T12:15:00+05:30,121.05,121.65,119.45,120,433430
2012-02-14T13:15:00+05:30,119.85,120.95,119.8,120.75,344208
2012-02-14T14:15:00+05:30,120.8,121.2,120.6,120.9,276826
2012-02-14T15:15:00+05:30,120.9,121,120.15,120.25,155819
2012-02-15T09:15:00+05:30,121.5,121.95,120.4,120.85,425473
2012-02-15T10:15:00+05:30,120.9,122.6,120.7,121.25,535897
2012-02-15T11:15:00+05:30,121.25,121.4,120.55,121.05,264335
2012-02-15T12:15:00+05:30,121.05,122,120.95,121.85,329225
2012-02-15T13:15:00+05:30,121.95,121.95,119.35,119.85,405800
2012-02-15T14:15:00+05:30,119.8,121.5,119.75,121,344279
2012-02-15T15:15:00+05:30,120.9,121.3,120.6,120.9,156201
2012-02-16T09:15:00+05:30,120.5,121.1,117.25,119.45,731829
2012-02-16T10:15:00+05:30,119.55,123.6,119.45,121.8,1115209
2012-02-16T11:15:00+05:30,122,122,119.7,120.3,312605
2012-02-16T12:15:00+05:30,120.4,121,119.9,120.65,158828
2012-02-16T13:15:00+05:30,120.65,120.85,119.7,119.9,195301
2012-02-16T14:15:00+05:30,119.9,121.7,119.9,121.25,362616
2012-02-16T15:15:00+05:30,121.25,121.4,119.95,120.25,185103
2012-02-17T09:15:00+05:30,121.45,122.85,121.1,121.8,273150
2012-02-17T10:15:00+05:30,121.8,121.8,120.5,120.6,172257
2012-02-17T11:15:00+05:30,120.6,121.55,120.6,121.15,197753
2012-02-17T12:15:00+05:30,121.2,121.3,120.2,120.5,163114
2012-02-17T13:15:00+05:30,120.45,120.6,119.2,119.3,222634
2012-02-17T14:15:00+05:30,119.3,119.9,118.2,119.35,470179
2012-02-17T15:15:00+05:30,119.3,119.6,118.85,119.25,244180
2012-02-21T09:15:00+05:30,119.95,122.95,119.3,121.1,701325
2012-02-21T10:15:00+05:30,121.25,121.75,119.8,120.05,421491
2012-02-21T11:15:00+05:30,120.05,121.2,120,120.8,129420
2012-02-21T12:15:00+05:30,120.8,121.1,119.85,120.7,476905
2012-02-21T13:15:00+05:30,120.65,120.8,119.75,120.35,292791
2012-02-21T14:15:00+05:30,120.3,121,120.25,120.8,373500
2012-02-21T15:15:00+05:30,120.8,121,120.6,120.75,166333
