,Unnamed: 0,trade_id,entry_datetime,trade_type,entry_price,exit_datetime,exit_price,pnl,sl_price,open_pct,close_pct,exit_type,vix_open,vix_close,expiry_date_exit,strike,entry_slippage,exit_slippage,holding period
0,0,1,2019-01-11 12:00:00,C,10775.3,2019-01-15 09:30:00,10802.2,-26.90000000000146,,-0.02041706495411476,-0.245932827856301,exit_rule,15.57,15.73,2019-01-31,10800,10773.14494,10801.1998,3
1,1,2,2019-01-15 09:45:00,P,10821.0,2019-01-17 13:30:00,10876.2,55.20000000000073,,0.6284077257185103,0.5193605027261873,exit_rule,15.72,16.3,2019-01-31,10800,10818.8358,10875.1998,2
2,2,3,2019-01-23 10:30:00,P,10923.3,2019-01-23 14:30:00,10889.5,-33.79999999999927,,0.03204159915043989,-0.3048529290598929,exit_rule,18.06,17.85,2019-01-31,10900,10921.11534,10888.4998,0
3,3,4,2019-01-23 15:00:00,C,10864.8,2019-01-25 09:30:00,10924.5,-59.70000000000073,,0.04602017524482734,-0.5513216994330449,exit_rule,17.83,16.94,2019-01-31,10850,10862.62704,10923.4998,1
4,4,5,2019-01-25 10:45:00,P,10907.3,2019-01-25 14:15:00,10828.0,-79.29999999999927,,-0.4107340955140069,-0.7242855702144436,exit_rule,16.95,17.76,2019-01-31,10900,10905.11854,10826.9998,0
5,5,6,2019-01-31 13:30:00,P,10784.2,2019-02-04 11:00:00,10846.7,62.5,,0.6018063463214669,0.5786242836742608,exit_rule,17.29,16.2,2019-02-14,10800,10782.043160000001,10845.6998,3
6,6,7,2019-02-11 09:15:00,C,10930.9,2019-02-18 09:15:00,10738.7,192.1999999999989,,1.853461288640463,1.848887099872841,exit_rule,15.62,16.39,2019-02-21,10950,10928.713819999999,10737.6998,7
7,7,8,2019-02-21 11:45:00,P,10771.7,2019-02-26 10:15:00,10758.2,-13.5,,-0.08076719552160501,-0.1244000482746591,exit_rule,16.44,17.5,2019-02-28,10750,10769.545660000002,10757.1998,4
8,8,9,2019-02-28 14:45:00,P,10826.3,2019-02-28 15:15:00,10789.5,-36.79999999999927,,0.0,-0.3408366662664035,exit_rule,18.24,18.37,2019-02-28,10850,10824.13474,10788.4998,0
9,9,10,2019-03-01 11:15:00,P,10844.3,2019-03-08 10:00:00,11014.6,170.3000000000011,,1.639571018876286,1.574098835332854,exit_rule,16.45,15.33,2019-03-14,10850,10842.13114,11013.5998,6
10,10,11,2019-03-25 09:30:00,C,11368.5,2019-03-26 13:15:00,11377.7,-9.200000000000728,,-0.03078682323965343,-0.08356423450763073,exit_rule,16.28,16.17,2019-03-28,11350,11366.2263,11376.6998,1
11,11,12,2019-03-26 13:45:00,P,11405.8,2019-03-27 15:15:00,11449.3,43.5,,0.5365691139595709,0.3857686440232163,exit_rule,16.21,16.98,2019-03-28,11400,11403.518839999999,11448.299799999999,1
12,12,13,2019-04-04 14:45:00,C,11579.9,2019-04-05 14:00:00,11645.9,-66.0,,-0.5924058066131863,-0.5682259777718383,exit_rule,18.61,18.47,2019-04-11,11600,11577.58402,11644.8998,0
13,13,14,2019-04-05 14:15:00,P,11637.2,2019-04-08 12:15:00,11626.0,-11.20000000000073,,-0.07733819131749904,-0.09796170900217796,exit_rule,18.47,20.18,2019-04-11,11650,11634.872560000002,11624.9998,2
14,14,15,2019-04-08 13:45:00,C,11598.2,2019-04-09 14:15:00,11636.2,-38.0,,-0.2552120156575895,-0.3259126416167963,exit_rule,20.14,20.38,2019-04-11,11600,11595.880360000001,11635.1998,1
15,15,16,2019-04-09 14:30:00,P,11650.1,2019-04-10 14:15:00,11612.3,-37.80000000000109,,-0.2858344563566071,-0.3278941811658331,exit_rule,20.38,21.11,2019-04-11,11650,11647.769980000001,11611.299799999999,0
16,16,17,2019-04-10 14:30:00,C,11592.9,2019-04-12 09:45:00,11617.1,-24.20000000000073,,-0.2113362489109714,-0.2035728765020001,exit_rule,21.11,21.18,2019-04-18,11600,11590.58142,11616.0998,1
17,17,18,2019-04-12 10:00:00,P,11617.2,2019-04-12 12:30:00,11589.7,-27.5,,-0.2487690665564977,-0.2358571772888601,exit_rule,21.18,21.12,2019-04-18,11600,11614.87656,11588.6998,0
