,Contract,Strike,Trade Type,Expiry Date,DTE,Entry Date,Entry Time,Entry Price,Initial SL,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Remarks,Qty,ROI%,Trade Year,Trade Month
0,BANKNIFTY1710518100CE,18100,CE,2017-01-05,3 days,2017-01-02,09:18:00,132.8,166.0,2017-01-02,15:22:00,71.65,61.150000000000006,59.105500000000006,EOD,329.05290348055706,1.9448836386670068,2017,1
1,BANKNIFTY1710518200PE,18200,PE,2017-01-05,3 days,2017-01-02,09:18:00,185.6,232.0,2017-01-02,09:31:00,232.0,-46.400000000000006,-50.57600000000001,SL Hit,329.05290348055706,-1.6642179646432658,2017,1
2,BANKNIFTY1710517900PE,17900,PE,2017-01-05,3 days,2017-01-02,09:32:00,85.4,117.42500000000001,2017-01-02,10:48:00,117.42500000000001,-32.025000000000006,-34.053250000000006,SL Hit,329.05290348055706,-1.1205320785449282,2017,1
3,BANKNIFTY1710517800PE,17800,PE,2017-01-05,3 days,2017-01-02,10:49:00,82.1,112.88749999999999,2017-01-02,11:21:00,112.88749999999999,-30.787499999999994,-32.73737499999999,SL Hit,329.05290348055706,-1.07723282960818,2017,1
0,BANKNIFTY1711218400CE,18400,CE,2017-01-12,1 days,2017-01-11,09:18:00,133.0,166.25,2017-01-11,09:40:00,166.25,-33.25,-36.2425,SL Hit,323.41352191935147,-1.1721314568162096,2017,1
1,BANKNIFTY1711218600PE,18600,PE,2017-01-12,1 days,2017-01-11,09:18:00,125.0,156.25,2017-01-11,15:22:00,11.0,114.0,112.64,EOD,323.41352191935147,3.642929910899575,2017,1
0,BANKNIFTY1711218500CE,18500,CE,2017-01-12,0 days,2017-01-12,09:18:00,333.05,416.3125,2017-01-12,09:40:00,416.3125,-83.26249999999999,-90.75612499999998,SL Hit,317.45275906129217,-2.8810782282961513,2017,1
1,BANKNIFTY1711218700CE,18700,CE,2017-01-12,0 days,2017-01-12,09:41:00,232.0,319.0,2017-01-12,15:22:00,162.3,69.69999999999999,65.75699999999999,EOD,317.45275906129217,2.0874741077593386,2017,1
2,BANKNIFTY1711219000PE,19000,PE,2017-01-12,0 days,2017-01-12,09:18:00,153.15,191.4375,2017-01-12,15:22:00,121.5,31.650000000000006,28.903500000000005,EOD,317.45275906129217,0.9175495821528059,2017,1
0,BANKNIFTY17JAN18700CE,18700,CE,2017-01-25,2 days,2017-01-23,09:18:00,184.35,230.4375,2017-01-23,09:37:00,230.4375,-46.087500000000006,-50.235375000000005,SL Hit,319.7663573815399,-1.6063582875445677,2017,1
