Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs,Cumulative_PnL
0,2015-03-24 13:00:00+05:30,2015-03-30 21:00:00+05:30,Long,26330.0,26260,-70.0,52.59,-122.59,-122.59
1,2015-04-01 17:00:00+05:30,2015-04-09 09:00:00+05:30,Long,26620.0,26506,-114.0,53.126,-167.126,-289.716
2,2015-04-28 17:00:00+05:30,2015-04-30 17:00:00+05:30,Long,27171.0,26695,-476.0,53.866,-529.866,-819.582
3,2015-05-13 17:00:00+05:30,2015-05-21 17:00:00+05:30,Long,27455.0,27141,-314.0,54.596000000000004,-368.596,-1188.1779999999999
4,2015-05-26 21:00:00+05:30,2015-06-02 09:00:00+05:30,Short,26886.0,27065,-179.0,53.951,-232.951,-1421.129
5,2015-06-24 09:00:00+05:30,2015-08-07 17:00:00+05:30,Short,26555.0,24926,1629.0,51.481,1577.519,156.3900000000001
6,2015-08-10 17:00:00+05:30,2015-08-27 21:00:00+05:30,Long,25149.0,26291,1142.0,51.44,1090.56,1246.95
7,2015-09-01 09:00:00+05:30,2015-09-03 13:00:00+05:30,Long,26850.0,26493,-357.0,53.343,-410.343,836.607
8,2015-09-09 17:00:00+05:30,2015-09-16 17:00:00+05:30,Short,26193.0,26329,-136.0,52.522,-188.522,648.085
9,2015-09-24 17:00:00+05:30,2015-09-30 09:00:00+05:30,Long,27034.0,26291,-743.0,53.325,-796.325,-148.24
10,2015-10-12 09:00:00+05:30,2015-10-22 21:00:00+05:30,Long,26822.0,26855,33.0,53.677,-20.677,-168.917
11,2015-10-29 21:00:00+05:30,2015-12-01 09:00:00+05:30,Short,26614.0,25420,1194.0,52.034,1141.966,973.0489999999999
12,2015-12-04 17:00:00+05:30,2015-12-10 17:00:00+05:30,Long,25752.0,25413,-339.0,51.165,-390.165,582.8839999999998
13,2015-12-11 21:00:00+05:30,2015-12-14 21:00:00+05:30,Long,25673.0,25350,-323.0,51.023,-374.023,208.86099999999976
14,2015-12-17 17:00:00+05:30,2015-12-21 17:00:00+05:30,Short,24907.0,25340,-433.0,50.247,-483.247,-274.38600000000025
15,2016-01-06 13:00:00+05:30,2016-01-13 09:00:00+05:30,Long,25659.0,25570,-89.0,51.229,-140.22899999999998,-414.61500000000024
16,2016-01-14 09:00:00+05:30,2016-01-14 21:00:00+05:30,Long,25819.0,25596,-223.0,51.415,-274.415,-689.0300000000002
17,2016-01-15 17:00:00+05:30,2016-03-02 09:00:00+05:30,Long,26032.0,29113,3081.0,55.145,3025.855,2336.825
18,2016-03-04 09:00:00+05:30,2016-03-09 17:00:00+05:30,Long,29760.0,29381,-379.0,59.141,-438.141,1898.6839999999997
19,2016-03-10 21:00:00+05:30,2016-03-14 09:00:00+05:30,Long,29957.0,29445,-512.0,59.402,-571.402,1327.2819999999997
20,2016-03-14 21:00:00+05:30,2016-03-17 09:00:00+05:30,Short,29126.0,29439,-313.0,58.565,-371.565,955.7169999999996
21,2016-03-21 09:00:00+05:30,2016-04-05 13:00:00+05:30,Short,28928.0,28830,98.0,57.758,40.242,995.9589999999996
