Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Exit_Price,PnL,Slippage,PnL w cs
0,2015-03-18 21:00:00+05:30,2015-03-19 17:00:00+05:30,Long,184.0,175.7,-8.300000000000011,0.3597,-8.659700000000011
1,2015-04-30 17:00:00+05:30,2015-05-20 09:00:00+05:30,Long,173.5,189.0,15.5,0.3625,15.1375
1,2015-05-07 17:00:00+05:30,2015-05-20 09:00:00+05:30,Add_Long,180.7,189.0,8.300000000000011,0.3697,7.9303000000000115
1,2015-05-08 17:00:00+05:30,2015-05-20 09:00:00+05:30,Add_Long,181.7,189.0,7.300000000000011,0.3707,6.929300000000011
2,2015-06-09 17:00:00+05:30,2015-06-12 13:00:00+05:30,Long,181.2,178.8,-2.3999999999999773,0.36,-2.759999999999977
3,2015-07-13 17:00:00+05:30,2015-07-17 17:00:00+05:30,Long,182.9,181.3,-1.5999999999999943,0.3642000000000001,-1.9641999999999944
4,2015-10-23 17:00:00+05:30,2015-10-28 09:00:00+05:30,Short,149.7,155.2,-5.5,0.3049,-5.8049
5,2015-11-23 09:00:00+05:30,2015-11-25 17:00:00+05:30,Short,138.5,153.5,-15.0,0.292,-15.292
6,2015-12-14 09:00:00+05:30,2015-12-21 17:00:00+05:30,Short,128.5,127.9,0.5999999999999943,0.25639999999999996,0.34359999999999435
7,2015-12-24 17:00:00+05:30,2016-01-06 21:00:00+05:30,Long,133.3,151.6,18.299999999999983,0.2849,18.015099999999983
8,2016-01-14 21:00:00+05:30,2016-01-21 09:00:00+05:30,Short,144.9,146.9,-2.0,0.2918,-2.2918
9,2016-02-02 17:00:00+05:30,2016-02-08 09:00:00+05:30,Short,137.1,143.9,-6.800000000000011,0.281,-7.081000000000011
10,2016-05-31 17:00:00+05:30,2016-06-17 09:00:00+05:30,Long,152.8,172.9,20.099999999999994,0.32570000000000005,19.774299999999993
10,2016-06-15 21:00:00+05:30,2016-06-17 09:00:00+05:30,Add_Long,177.0,172.9,-4.099999999999994,0.3499,-4.449899999999994
11,2016-10-26 21:00:00+05:30,2016-10-27 09:00:00+05:30,Short,176.5,204.7,-28.19999999999999,0.3812,-28.58119999999999
12,2016-11-08 17:00:00+05:30,2016-11-14 17:00:00+05:30,Short,179.0,186.9,-7.900000000000006,0.3659,-8.265900000000006
13,2016-11-21 09:00:00+05:30,2016-12-08 13:00:00+05:30,Long,200.1,239.0,38.900000000000006,0.43910000000000005,38.4609
14,2016-12-28 21:00:00+05:30,2016-12-30 21:00:00+05:30,Long,262.4,251.9,-10.499999999999972,0.5143,-11.014299999999972
15,2017-01-03 09:00:00+05:30,2017-01-10 21:00:00+05:30,Short,237.1,224.4,12.699999999999989,0.4615,12.238499999999988
16,2017-02-20 09:00:00+05:30,2017-02-24 17:00:00+05:30,Short,184.9,184.7,0.20000000000001705,0.36960000000000004,-0.169599999999983
17,2017-03-06 09:00:00+05:30,2017-03-14 17:00:00+05:30,Long,194.8,195.4,0.5999999999999943,0.39020000000000005,0.20979999999999427
18,2017-06-01 17:00:00+05:30,2017-06-07 09:00:00+05:30,Short,193.6,197.4,-3.8000000000000114,0.391,-4.191000000000011
19,2017-07-05 17:00:00+05:30,2017-07-10 17:00:00+05:30,Short,186.3,189.4,-3.0999999999999943,0.37570000000000003,-3.4756999999999945
20,2017-08-10 17:00:00+05:30,2017-08-16 09:00:00+05:30,Long,191.5,187.4,-4.099999999999994,0.37889999999999996,-4.478899999999994
21,2017-11-24 21:00:00+05:30,2017-11-28 09:00:00+05:30,Short,182.1,197.6,-15.5,0.3797,-15.8797
22,2018-01-23 17:00:00+05:30,2018-01-29 09:00:00+05:30,Long,217.7,198.2,-19.5,0.4159,-19.9159
23,2018-02-05 17:00:00+05:30,2018-02-19 09:00:00+05:30,Short,177.8,168.7,9.100000000000023,0.34650000000000003,8.753500000000022
24,2018-11-05 09:00:00+05:30,2018-11-15 21:00:00+05:30,Long,253.4,294.8,41.400000000000006,0.5482,40.851800000000004
25,2018-12-17 09:00:00+05:30,2018-12-24 09:00:00+05:30,Short,261.3,266.8,-5.5,0.5281,-6.0281
26,2018-12-26 13:00:00+05:30,2019-01-08 17:00:00+05:30,Short,237.0,213.1,23.900000000000006,0.45010000000000006,23.449900000000007
27,2019-01-14 09:00:00+05:30,2019-01-18 09:00:00+05:30,Long,234.1,240.2,6.099999999999994,0.47429999999999994,5.625699999999995
28,2019-01-23 21:00:00+05:30,2019-02-11 09:00:00+05:30,Short,212.7,190.7,22.0,0.4034,21.5966
29,2019-02-25 09:00:00+05:30,2019-03-06 17:00:00+05:30,Long,196.8,201.4,4.599999999999994,0.39820000000000005,4.201799999999994
30,2019-06-20 17:00:00+05:30,2019-06-24 21:00:00+05:30,Short,153.2,159.6,-6.400000000000006,0.31279999999999997,-6.712800000000006
31,2019-07-05 17:00:00+05:30,2019-07-11 21:00:00+05:30,Long,168.2,165.0,-3.1999999999999886,0.3332,-3.533199999999989
32,2019-10-28 17:00:00+05:30,2019-11-07 21:00:00+05:30,Long,181.4,197.3,15.900000000000006,0.37870000000000004,15.521300000000005
32,2019-11-04 09:00:00+05:30,2019-11-07 21:00:00+05:30,Add_Long,194.8,197.3,2.5,0.3921,2.1079
33,2019-11-29 17:00:00+05:30,2019-12-03 21:00:00+05:30,Short,169.5,179.0,-9.5,0.34850000000000003,-9.8485
34,2019-12-09 09:00:00+05:30,2019-12-13 17:00:00+05:30,Short,159.1,163.9,-4.800000000000011,0.323,-5.123000000000012
35,2020-01-17 09:00:00+05:30,2020-01-23 17:00:00+05:30,Short,146.0,140.7,5.300000000000011,0.2867,5.013300000000012
36,2020-02-17 09:00:00+05:30,2020-02-21 17:00:00+05:30,Long,136.2,137.1,0.9000000000000057,0.2733,0.6267000000000057
37,2020-03-09 09:00:00+05:30,2020-03-09 21:00:00+05:30,Short,121.5,131.7,-10.199999999999989,0.2532,-10.453199999999988
38,2020-03-10 17:00:00+05:30,2020-03-12 09:00:00+05:30,Long,141.8,135.2,-6.600000000000023,0.277,-6.877000000000023
39,2020-03-18 09:00:00+05:30,2020-03-24 17:00:00+05:30,Short,125.5,127.5,-2.0,0.253,-2.253
40,2020-04-07 09:00:00+05:30,2020-04-15 09:00:00+05:30,Long,135.6,125.0,-10.599999999999994,0.26060000000000005,-10.860599999999994
41,2020-05-05 09:00:00+05:30,2020-05-06 17:00:00+05:30,Long,159.3,150.8,-8.5,0.31010000000000004,-8.8101
42,2020-05-12 17:00:00+05:30,2020-05-18 13:00:00+05:30,Short,132.0,132.1,-0.09999999999999432,0.2641,-0.3640999999999943
43,2020-05-27 09:00:00+05:30,2020-05-29 09:00:00+05:30,Long,147.6,137.2,-10.400000000000006,0.28479999999999994,-10.684800000000006
44,2020-06-15 17:00:00+05:30,2020-06-19 17:00:00+05:30,Short,127.5,128.0,-0.5,0.2555,-0.7555000000000001
45,2020-06-25 09:00:00+05:30,2020-06-29 09:00:00+05:30,Short,119.6,122.0,-2.4000000000000057,0.2416,-2.6416000000000057
46,2020-07-20 17:00:00+05:30,2020-07-23 09:00:00+05:30,Short,120.7,127.3,-6.599999999999994,0.248,-6.8479999999999945
47,2020-07-29 09:00:00+05:30,2020-07-31 21:00:00+05:30,Long,138.9,135.6,-3.3000000000000114,0.2745,-3.5745000000000116
48,2020-08-03 17:00:00+05:30,2020-08-10 21:00:00+05:30,Long,157.8,161.1,3.299999999999983,0.31889999999999996,2.9810999999999828
49,2020-08-14 17:00:00+05:30,2020-08-21 13:00:00+05:30,Long,176.6,174.0,-2.5999999999999943,0.3506,-2.9505999999999943
50,2020-08-24 17:00:00+05:30,2020-08-31 17:00:00+05:30,Long,188.8,186.5,-2.3000000000000114,0.3753,-2.6753000000000116
51,2020-09-17 17:00:00+05:30,2020-09-23 17:00:00+05:30,Short,150.1,154.5,-4.400000000000006,0.30460000000000004,-4.7046000000000054
52,2020-09-28 09:00:00+05:30,2020-10-01 17:00:00+05:30,Long,205.9,180.9,-25.0,0.38680000000000003,-25.3868
53,2020-10-09 17:00:00+05:30,2020-10-14 09:00:00+05:30,Long,203.6,199.6,-4.0,0.4032,-4.4032
54,2020-10-28 09:00:00+05:30,2020-11-03 09:00:00+05:30,Long,243.6,236.6,-7.0,0.4802,-7.4802
55,2020-11-16 17:00:00+05:30,2020-11-24 13:00:00+05:30,Short,205.0,202.1,2.9000000000000057,0.4071,2.492900000000006
56,2020-12-03 09:00:00+05:30,2020-12-10 21:00:00+05:30,Short,200.7,190.5,10.199999999999989,0.3912,9.808799999999989
56,2020-12-10 09:00:00+05:30,2020-12-10 21:00:00+05:30,Add_Short,176.4,190.5,-14.099999999999994,0.3669,-14.466899999999994
57,2020-12-28 09:00:00+05:30,2020-12-31 09:00:00+05:30,Short,167.7,181.9,-14.200000000000017,0.3496,-14.549600000000018
