,index,Trade No.,Entry_Date,Exit_Date,Trade_Type,Entry_Price,Initial SL,Exit_Price,Exit Remark,PnL,Slippage,PnL w cs,Qty,Profit_Loss INR,ROI%,Trade Year
0,0,0,2017-01-05 10:15:00+05:30,2017-01-20 12:15:00+05:30,Long,26841.85,26654.256666666668,27120.28,Trailing SL Hit,278.4300000000003,5.396213,273.0337870000003,2980.420500077305,813755.4959885413,8.137554959885412,2017
1,1,1,2017-01-24 13:15:00+05:30,2017-02-15 10:15:00+05:30,Long,27321.79,27139.137777777778,28241.12,Trailing SL Hit,919.3299999999981,5.556291000000001,913.7737089999981,2928.0658404884894,2675589.5832593637,26.755895832593637,2017
2,2,2,2017-02-17 09:15:00+05:30,2017-03-03 09:15:00+05:30,Long,28461.55,28236.655555555553,28791.0,Trailing SL Hit,329.4500000000007,5.725255000000001,323.7247450000007,2810.8096712933766,909928.6440829842,9.099286440829841,2017
3,3,3,2017-03-06 09:15:00+05:30,2017-03-08 10:15:00+05:30,Long,29011.91,28766.6,28866.1,Trailing SL Hit,-145.8100000000013,5.787801,-151.5978010000013,2757.4882177698746,-418029.15009732574,-4.180291500973257,2017
4,4,4,2017-03-14 09:15:00+05:30,2017-03-22 09:15:00+05:30,Long,29436.63,28972.90777777778,29230.35,Trailing SL Hit,-206.28000000000247,5.8666979999999995,-212.14669800000246,2717.7024000369606,-576551.590314523,-5.765515903145229,2017
5,5,5,2017-03-24 09:15:00+05:30,2017-03-27 09:15:00+05:30,Long,29476.18,29248.824444444443,29278.51,Trailing SL Hit,-197.6700000000019,5.875469000000001,-203.5454690000019,2714.05589191001,-552433.7794110414,-5.524337794110415,2017
6,6,6,2017-04-03 11:15:00+05:30,2017-04-07 14:15:00+05:30,Long,29825.05,29629.954444444447,29695.5,Trailing SL Hit,-129.54999999999927,5.9520550000000005,-135.50205499999927,2682.3089986437576,-363458.3814612194,-3.6345838146121943,2017
7,7,7,2017-04-18 09:15:00+05:30,2017-04-18 12:15:00+05:30,Long,29679.63,29413.199999999997,29556.57,Trailing SL Hit,-123.06000000000131,5.92362,-128.9836200000013,2695.451392082718,-347669.0780848718,-3.4766907808487186,2017
8,8,8,2017-04-24 13:15:00+05:30,2017-05-05 11:15:00+05:30,Long,29650.0,29405.033333333333,29902.94,Trailing SL Hit,252.9399999999987,5.955294,246.98470599999868,2698.1450252951095,666400.5558178716,6.664005558178716,2017
9,9,9,2017-05-10 09:15:00+05:30,2017-05-23 10:15:00+05:30,Long,30176.81,29931.029999999995,30410.03,Trailing SL Hit,233.21999999999753,6.0586839999999995,227.16131599999753,2651.042306990036,602214.259227526,6.0221425922752605,2017
