,Trade No.,Entry Date,Entry Time,Entry Price,Entry Remark,Initial SL,Final SL,TSL Time,Exit Date,Exit Time,Exit Price,Remarks,Trade Year,Trade Month,Points Captured,Slippage,Points w cs,Qty,PnL,ROI%
0,1,2015-03-24,13:00:00,26330,Long,26000.875,26000.875,2015-04-24 21:00:00+05:30,2015-05-01,17:00:00,26599,Trailing SL,2015,3,269,52.929,216.071,1519.1796429927838,328250.66464109375,3.282506646410938
1,1,2015-04-06,09:00:00,26988,Pyr Long,26650.65,26225.0,2015-04-24 21:00:00+05:30,2015-05-01,17:00:00,26599,Trailing SL,2015,3,-389,53.587,-442.587,592.8560841855665,-262390.3957314373,-2.623903957314373
2,1,2015-04-16,13:00:00,26840,Pyr Long,26504.5,26387.0,2015-04-24 21:00:00+05:30,2015-05-01,17:00:00,26599,Trailing SL,2015,3,-241,53.439,-294.439,596.1251862891207,-175522.50372578244,-1.7552250372578244
3,1,2015-04-20,09:00:00,26845,Pyr Long,26509.4375,26387.0,2015-04-24 21:00:00+05:30,2015-05-01,17:00:00,26599,Trailing SL,2015,3,-246,53.444,-299.444,596.0141553361892,-178472.86273048987,-1.7847286273048986
4,2,2015-05-07,17:00:00,26927,Long,26590.412500000002,26590.412500000002,2015-05-15 13:00:00+05:30,2015-05-20,09:00:00,27227,Trailing SL,2015,5,300,54.154,245.846,1485.497827459437,365203.6988895928,3.652036988895928
5,2,2015-05-12,13:00:00,27040,Pyr Long,26702.0,26590.412500000002,2015-05-15 13:00:00+05:30,2015-05-20,09:00:00,27227,Trailing SL,2015,5,187,54.267,132.733,591.7159763313609,78540.23668639053,0.7854023668639054
6,2,2015-05-18,09:00:00,27595,Pyr Long,27250.0625,26778.0,2015-05-15 13:00:00+05:30,2015-05-20,09:00:00,27227,Trailing SL,2015,5,-368,54.822,-422.822,579.8151839101287,-245158.61569124841,-2.451586156912484
7,3,2015-06-05,09:00:00,26804,Long,26468.95,26468.95,2015-05-15 13:00:00+05:30,2015-06-05,21:00:00,26719,MA Bear Cross,2015,6,-85,53.523,-138.523,1492.314579913449,-206719.89255335068,-2.067198925533507
8,4,2015-06-17,13:00:00,26875,Long,26539.0625,26539.0625,2015-05-15 13:00:00+05:30,2015-06-17,17:00:00,26851,MA Bear Cross,2015,6,-24,53.726,-77.726,1488.3720930232557,-115685.20930232557,-1.1568520930232558
9,5,2015-06-18,09:00:00,26945,Long,26608.1875,26608.1875,2015-06-17 17:00:00+05:30,2015-06-22,17:00:00,26755,Trailing SL,2015,6,-190,53.7,-243.7,1484.5054741139359,-361773.98404156615,-3.6177398404156618
