,Trade No.,Entry Date,Entry Time,Entry Price,Entry Remark,Initial SL,Final SL,TSL Time,Exit Date,Exit Time,Exit Price,Remarks,Trade Year,Trade Month,Points Captured,Slippage,Points w cs,Qty,PnL,ROI%
0,1,2015-04-07,00:00:00,26875,Long,26337.5,26337.5,2015-06-05 00:00:00,2015-06-12,00:00:00,26894,MA Bear Cross,2015,4,19,53.769,-34.769,930.2325581395348,-32343.255813953485,-0.32343255813953486
1,1,2015-04-27,00:00:00,26967,Pyr Long,26427.66,26387.0,2015-06-05 00:00:00,2015-06-12,00:00:00,26894,MA Bear Cross,2015,4,-73,53.861000000000004,-126.861,185.41179960692693,-23521.526309934357,-0.23521526309934357
2,2,2015-06-18,00:00:00,27156,Long,26612.88,26612.88,2015-06-15 00:00:00,2015-06-22,00:00:00,26702,Trailing SL,2015,6,-454,53.858000000000004,-507.858,920.6068640447801,-467537.5607600539,-4.6753756076005395
3,3,2015-08-25,00:00:00,26740,Long,26205.2,26205.2,2015-06-15 00:00:00,2015-08-27,00:00:00,26205.2,Initial SL,2015,8,-534.7999999999993,52.9452,-587.7451999999993,934.9289454001508,-549500.0,-5.495
4,4,2016-01-18,00:00:00,26065,Long,25543.7,25543.7,2016-03-02 00:00:00,2016-03-15,00:00:00,29037,Trailing SL,2016,1,2972,55.102000000000004,2916.898,959.1406100134293,2797715.327066952,27.97715327066952
5,4,2016-03-04,00:00:00,29936,Pyr Long,29337.28,25516.0,2016-03-02 00:00:00,2016-03-15,00:00:00,29037,Trailing SL,2016,1,-899,58.973,-957.973,167.02298236237274,-160003.5074826293,-1.600035074826293
6,5,2016-06-15,00:00:00,30444,Long,29835.12,29835.12,2016-08-08 00:00:00,2016-08-25,00:00:00,30928,Trailing SL,2016,6,484,61.372,422.628,821.1798712389948,347053.6066219939,3.4705360662199385
7,5,2016-06-24,00:00:00,31245,Pyr Long,30620.1,29835.12,2016-08-08 00:00:00,2016-08-25,00:00:00,30928,Trailing SL,2016,6,-317,62.173,-379.173,160.0256040966551,-60677.388382141,-0.60677388382141
8,6,2016-09-21,00:00:00,31205,Long,30580.899999999998,30580.899999999998,2016-08-08 00:00:00,2016-09-29,00:00:00,31165,MA Bear Cross,2016,9,-40,62.370000000000005,-102.37,801.1536612722292,-82014.1003044381,-0.8201410030443811
9,7,2017-01-20,00:00:00,28625,Long,28052.5,28052.5,2017-02-15 00:00:00,2017-03-07,00:00:00,28751,Trailing SL,2017,1,126,57.376,68.624,873.3624454148471,59933.62445414846,0.5993362445414847
10,7,2017-02-01,00:00:00,28857,Pyr Long,28279.86,28052.5,2017-02-15 00:00:00,2017-03-07,00:00:00,28751,Trailing SL,2017,1,-106,57.608000000000004,-163.608,173.26818449596303,-28348.06112901552,-0.2834806112901552
11,8,2017-04-06,00:00:00,28721,Long,28146.579999999998,28146.579999999998,2017-04-10 00:00:00,2017-05-02,00:00:00,28582,Trailing SL,2017,4,-139,57.303000000000004,-196.303,870.4432296925565,-170870.61731833793,-1.7087061731833793
12,8,2017-04-11,00:00:00,29145,Pyr Long,28562.1,28146.579999999998,2017-04-10 00:00:00,2017-05-02,00:00:00,28582,Trailing SL,2017,4,-563,57.727000000000004,-620.727,171.55601303825657,-106489.44930519788,-1.0648944930519788
13,9,2017-06-02,00:00:00,29088,Long,28506.239999999998,28506.239999999998,2017-04-10 00:00:00,2017-06-20,00:00:00,28506.239999999998,Initial SL,2017,6,-581.760000000002,57.59424,-639.354240000002,859.4609460946065,-549499.9999999999,-5.494999999999998
14,10,2017-08-04,00:00:00,28406,Long,27837.88,27837.88,2017-09-21 00:00:00,2017-10-04,00:00:00,29406,Trailing SL,2017,8,1000,57.812000000000005,942.188,880.0957544180823,829215.6586636641,8.292156586636642
15,10,2017-08-09,00:00:00,28814,Pyr Long,28237.72,27837.88,2017-09-21 00:00:00,2017-10-04,00:00:00,29406,Trailing SL,2017,8,592,58.22,533.78,173.52675782605712,92625.11279239277,0.9262511279239276
16,11,2017-11-23,00:00:00,29439,Long,28850.22,28850.22,2017-11-21 00:00:00,2017-11-29,00:00:00,29223,Trailing SL,2017,11,-216,58.662,-274.662,849.2136281803067,-233246.7135432594,-2.332467135432594
17,12,2018-01-11,00:00:00,29390,Long,28802.2,28802.2,2018-06-04 00:00:00,2018-06-20,00:00:00,30781,Trailing SL,2018,1,1391,60.171,1330.829,850.6294658046966,1132042.3613473985,11.320423613473984
18,12,2018-02-16,00:00:00,30714,Pyr Long,30099.72,29805.0,2018-06-04 00:00:00,2018-06-20,00:00:00,30781,Trailing SL,2018,1,67,61.495000000000005,5.5049999999999955,162.79221202057724,896.171127173277,0.00896171127173277
19,13,2018-09-07,00:00:00,30494,Long,29884.12,29884.12,2018-09-14 00:00:00,2018-09-27,00:00:00,30324,Trailing SL,2018,9,-170,60.818,-230.81799999999998,819.8334098511169,-189232.3079950151,-1.892323079950151
20,14,2018-12-17,00:00:00,31630,Long,30997.399999999998,30997.399999999998,2019-02-13 00:00:00,2019-03-01,00:00:00,32640,Trailing SL,2018,12,1010,64.27,945.73,790.388871324689,747494.4672778982,7.474944672778982
21,14,2019-01-03,00:00:00,31768,Pyr Long,31132.64,31002.0,2019-02-13 00:00:00,2019-03-01,00:00:00,32640,Trailing SL,2018,12,872,64.408,807.592,157.39108536892456,127107.78141526053,1.2710778141526053
22,15,2019-06-07,00:00:00,32936,Long,32277.28,32277.28,2019-09-20 00:00:00,2019-09-30,00:00:00,37323,Trailing SL,2019,6,4387,70.259,4316.741,759.0478503764864,3276612.976682044,32.76612976682044
23,15,2019-06-14,00:00:00,33040,Pyr Long,32379.2,32277.28,2019-09-20 00:00:00,2019-09-30,00:00:00,37323,Trailing SL,2019,6,4283,70.363,4212.637,151.33171912832947,637505.5992736084,6.375055992736084
24,16,2019-11-28,00:00:00,37723,Long,36968.54,36968.54,2019-11-27 00:00:00,2019-12-06,00:00:00,37699,MA Bear Cross,2019,11,-24,75.422,-99.422,662.7256580865793,-65889.51037828389,-0.6588951037828389
25,17,2019-12-27,00:00:00,39080,Long,38298.4,38298.4,2020-02-28 00:00:00,2020-03-13,00:00:00,40348,Trailing SL,2019,12,1268,79.428,1188.5720000000001,639.7134083930412,760345.4452405338,7.603454452405338
26,17,2020-02-18,00:00:00,41185,Pyr Long,40361.299999999996,39900.0,2020-02-28 00:00:00,2020-03-13,00:00:00,40348,Trailing SL,2019,12,-837,81.533,-918.533,121.40342357654421,-111513.05086803388,-1.1151305086803387
