,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
0,SHORT,2022-01-21 13:15:00,2022-01-21 14:15:00,7607.25,7676.75,2022-01-25 11:15:00,7308.0,Reversed,299.25,293.2839,525.8141904104637,4,157349.89648033126,154212.83643892338,15.734989648033125,15.421283643892338,2022
1,LONG,2022-01-25 10:15:00,2022-01-25 11:15:00,7308.0,7098.3,2022-01-28 13:15:00,7544.7,Reversed,236.69999999999982,230.75891999999982,547.3453749315818,4,129556.6502463053,126304.82758620678,12.95566502463053,12.630482758620678,2022
2,SHORT,2022-01-28 12:15:00,2022-01-28 13:15:00,7544.7,7579.5,2022-01-31 12:15:00,7524.5,Reversed,20.199999999999818,14.172319999999818,530.1734992776386,4,10709.504685408203,7513.788487282367,1.0709504685408202,0.7513788487282368,2022
3,LONG,2022-01-31 11:15:00,2022-01-31 12:15:00,7524.5,7459.15,2022-01-31 15:15:00,7511.35,Reversed,-13.149999999999636,-19.164339999999637,531.5967838394578,4,-6990.4977074886765,-10187.70150840568,-0.6990497707488676,-1.018770150840568,2022
4,SHORT,2022-01-31 14:15:00,2022-01-31 15:15:00,7511.35,7543.7,2022-02-01 09:15:00,7586.7,Gap Outside Initial SL,-75.34999999999945,-81.38921999999945,532.5274418047355,4,-40125.94273998653,-43341.99311708253,-4.012594273998653,-4.334199311708253,2022
5,LONG,2022-02-01 09:15:00,2022-02-01 10:15:00,7586.7,7506.55,2022-02-01 12:15:00,7509.95,Reversed,-76.75,-82.78866,527.238456773037,4,-40465.55155733059,-43649.365336707655,-4.046555155733059,-4.3649365336707655,2022
6,SHORT,2022-02-01 11:15:00,2022-02-01 12:15:00,7509.95,7589.55,2022-02-01 14:15:00,7589.55,Initial SL Hit,-79.60000000000036,-85.63980000000036,532.6267152244689,4,-42397.08653186791,-45614.04536648066,-4.239708653186792,-4.561404536648067,2022
7,LONG,2022-02-01 14:15:00,2022-02-01 15:15:00,7610.05,7462.55,2022-02-03 15:15:00,7624.5,Reversed,14.449999999999818,8.356179999999817,525.6207252251957,4,7595.219479503981,4392.181391712179,0.7595219479503981,0.43921813917121794,2022
8,SHORT,2022-02-03 14:15:00,2022-02-03 15:15:00,7624.5,7679.8,2022-02-07 12:15:00,7480.4,Reversed,144.10000000000036,138.05804000000037,524.6245655452817,4,75598.39989507529,72428.63925503333,7.559839989507529,7.2428639255033325,2022
9,LONG,2022-02-07 11:15:00,2022-02-07 12:15:00,7480.4,7434.5,2022-02-07 13:15:00,7434.5,Initial SL Hit,-45.899999999999636,-51.86595999999964,534.730763060799,4,-24544.142024490477,-27734.32436768068,-2.4544142024490476,-2.773432436768068,2022
