,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
0,LONG,2022-01-10 12:15:00+05:30,2022-01-10 13:15:00+05:30,7730.7,7707.65,2022-01-11 14:15:00+05:30,7773.8,Reversed,43.100000000000364,36.898200000000365,388.06317668516436,3,16725.522915130725,14318.832705964673,1.6725522915130726,1.4318832705964673,2022
1,SHORT,2022-01-11 13:15:00+05:30,2022-01-11 14:15:00+05:30,7773.8,7794.8,2022-01-12 09:15:00+05:30,7812.85,Gap Outside Initial SL,-39.05000000000018,-45.28466000000018,385.9116519591448,3,-15069.850009004675,-17475.877949008278,-1.5069850009004675,-1.7475877949008278,2022
2,SHORT,2022-01-12 10:15:00+05:30,2022-01-12 11:15:00+05:30,7815.65,7837.85,2022-01-12 12:15:00+05:30,7837.85,Initial SL Hit,-22.200000000000728,-28.46140000000073,383.84523360181174,3,-8521.3641859605,-10924.772731634885,-0.85213641859605,-1.0924772731634884,2022
3,LONG,2022-01-13 10:15:00+05:30,2022-01-13 11:15:00+05:30,7895.45,7840.05,2022-01-13 13:15:00+05:30,7888.55,Reversed,-6.899999999999636,-13.213599999999637,379.96567643389545,3,-2621.7631673937403,-5020.7144621267835,-0.262176316739374,-0.5020714462126783,2022
4,LONG,2022-01-13 12:15:00+05:30,2022-01-13 13:15:00+05:30,7888.55,7921.35,2022-01-13 13:15:00+05:30,7921.35,Initial SL Hit,32.80000000000018,26.476040000000182,380.2980268870705,3,12473.775281895982,10068.785771783223,1.247377528189598,1.0068785771783222,2022
5,SHORT,2022-01-13 12:15:00+05:30,2022-01-13 13:15:00+05:30,7888.55,7921.35,2022-01-13 13:15:00+05:30,7921.35,Initial SL Hit,-32.80000000000018,-39.12396000000018,380.2980268870705,3,-12473.775281895982,-14878.764792008738,-1.247377528189598,-1.4878764792008738,2022
6,LONG,2022-01-14 12:15:00+05:30,2022-01-14 13:15:00+05:30,7931.5,7899.55,2022-01-17 11:15:00+05:30,7936.65,Reversed,5.149999999999636,-1.1972600000003641,378.2386685998865,3,1947.929143289278,-452.8500283680379,0.1947929143289278,-0.04528500283680379,2022
7,SHORT,2022-01-17 10:15:00+05:30,2022-01-17 11:15:00+05:30,7936.65,7977.0,2022-01-17 14:15:00+05:30,7953.85,Reversed,-17.200000000000728,-23.55620000000073,377.99323392111285,3,-6501.483623443416,-8904.084216892794,-0.6501483623443416,-0.8904084216892794,2022
8,LONG,2022-01-17 13:15:00+05:30,2022-01-17 14:15:00+05:30,7953.85,7927.9,2022-01-18 09:15:00+05:30,7935.95,Reversed,-17.900000000000546,-24.255920000000547,377.1758330871213,3,-6751.447412259678,-9148.746833294774,-0.6751447412259678,-0.9148746833294773,2022
9,SHORT,2022-01-17 15:15:00+05:30,2022-01-18 09:15:00+05:30,7935.95,7958.35,2022-01-18 09:15:00+05:30,7969.8,Gap Outside Initial SL,-33.850000000000364,-40.21230000000036,378.02657526824134,3,-12796.199572830106,-15201.318052659239,-1.2796199572830107,-1.520131805265924,2022
10,SHORT,2022-01-18 12:15:00+05:30,2022-01-18 13:15:00+05:30,7919.6,7941.35,2022-01-19 14:15:00+05:30,7754.15,Reversed,165.45000000000073,159.18050000000073,378.80701045507345,3,62673.619879792175,60298.6893277441,6.267361987979218,6.029868932774409,2022
11,LONG,2022-01-19 13:15:00+05:30,2022-01-19 14:15:00+05:30,7754.15,7707.6,2022-01-20 11:15:00+05:30,7751.5,Reversed,-2.649999999999636,-8.852259999999635,386.88960105233974,3,-1025.2574427885595,-3424.847339811444,-0.10252574427885595,-0.3424847339811444,2022
12,SHORT,2022-01-20 10:15:00+05:30,2022-01-20 11:15:00+05:30,7751.5,7797.55,2022-01-20 15:15:00+05:30,7754.95,Reversed,-3.449999999999818,-9.65257999999982,387.02186673547055,3,-1335.225440237303,-3735.7595304133984,-0.1335225440237303,-0.37357595304133984,2022
13,LONG,2022-01-20 14:15:00+05:30,2022-01-20 15:15:00+05:30,7754.95,7708.0,2022-01-21 09:15:00+05:30,7705.95,Gap Outside Initial SL,-49.0,-55.18436,386.84968955312416,3,-18955.634788103085,-21348.052534187842,-1.8955634788103084,-2.1348052534187842,2022
14,SHORT,2022-01-21 09:15:00+05:30,2022-01-21 10:15:00+05:30,7645.1,7755.75,2022-01-25 11:15:00+05:30,7308.0,Reversed,337.10000000000036,331.11876000000035,392.40820917973605,3,132280.80731448915,129933.71963741495,13.228080731448914,12.993371963741494,2022
15,LONG,2022-01-25 10:15:00+05:30,2022-01-25 11:15:00+05:30,7308.0,7097.75,2022-01-28 13:15:00+05:30,7544.7,Reversed,236.69999999999982,230.75891999999982,410.5090311986864,3,97167.487684729,94728.6206896551,9.7167487684729,9.47286206896551,2022
16,SHORT,2022-01-28 12:15:00+05:30,2022-01-28 13:15:00+05:30,7544.7,7579.8,2022-01-31 12:15:00+05:30,7524.5,Reversed,20.199999999999818,14.172319999999818,397.630124458229,3,8032.128514056153,5635.341365461775,0.8032128514056154,0.5635341365461776,2022
17,LONG,2022-01-31 11:15:00+05:30,2022-01-31 12:15:00+05:30,7524.5,7458.8,2022-01-31 15:15:00+05:30,7511.35,Reversed,-13.149999999999636,-19.164339999999637,398.69758787959336,3,-5242.873280616507,-7640.776131304261,-0.5242873280616508,-0.7640776131304261,2022
18,SHORT,2022-01-31 14:15:00+05:30,2022-01-31 15:15:00+05:30,7511.35,7543.8,2022-02-01 09:15:00+05:30,7587.25,Gap Outside Initial SL,-75.89999999999964,-81.93943999999964,399.3955813535516,3,-30314.124624734424,-32726.250274584316,-3.031412462473442,-3.2726250274584316,2022
19,SHORT,2022-02-01 10:15:00+05:30,2022-02-01 11:15:00+05:30,7560.35,7590.65,2022-02-01 14:15:00+05:30,7590.65,Initial SL Hit,-30.299999999999272,-36.360399999999274,396.80702612974267,3,-12023.252891730914,-14428.062192887606,-1.2023252891730913,-1.4428062192887605,2022
20,LONG,2022-02-01 14:15:00+05:30,2022-02-01 15:15:00+05:30,7610.15,7462.15,2022-02-03 15:15:00+05:30,7624.25,Reversed,14.100000000000364,8.006240000000364,394.21036379046404,3,5558.366129445686,3156.1427829939084,0.5558366129445687,0.31561427829939087,2022
21,SHORT,2022-02-03 14:15:00+05:30,2022-02-03 15:15:00+05:30,7624.25,7679.8,2022-02-07 12:15:00+05:30,7480.4,Reversed,143.85000000000036,137.80814000000038,393.48132603206875,3,56602.28874971323,54224.92966521312,5.660228874971324,5.422492966521313,2022
22,LONG,2022-02-07 11:15:00+05:30,2022-02-07 12:15:00+05:30,7480.4,7434.05,2022-02-07 13:15:00+05:30,7434.05,Initial SL Hit,-46.349999999999454,-52.31577999999946,401.0480722955992,3,-18588.578150900805,-20981.142719640444,-1.8588578150900805,-2.0981142719640444,2022
