,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year,DD%,Prof Loss Remark,Max High,Max Unrealised Profit,Value At Risk,Max nR,Booked nR,Booked nR w CS
0,LONG,2015-03-03 13:00:00+05:30,2015-03-03 17:00:00+05:30,26533,26135.005,2015-03-06 21:00:00+05:30,26135.005,Initial SL Hit,-397.994999999999,-413.795401499999,251.25943793263798,10,-100000.0,-103970.00000000001,-10.0,-10.397000000000002,2015,0.0,Lossy,26627.0,23618.38716566797,100000.0,0.2361838716566797,-1.0,-1.0397000000000003
1,LONG,2015-03-11 21:00:00+05:30,2015-03-12 09:00:00+05:30,25750,25363.75,2015-04-09 09:00:00+05:30,26506.0,Trailing SL Hit,756.0,740.3232,258.8996763754045,10,195728.15533980582,191669.43689320388,19.57281553398058,19.16694368932039,2015,0.0,Profitable,27095.0,348220.0647249191,99999.99999999999,3.4822006472491913,1.957281553398058,1.916694368932039
2,LONG,2015-04-23 09:00:00+05:30,2015-04-23 13:00:00+05:30,26755,26353.675,2015-04-24 17:00:00+05:30,26674.0,Trailing SL Hit,-81.0,-97.0287,249.17460910733152,10,-20183.143337693855,-24177.08839469254,-2.0183143337693856,-2.417708839469254,2015,-2.4177088394692543,Lossy,26959.0,50831.62025789563,100000.0,0.5083162025789563,-0.20183143337693857,-0.2417708839469254
3,LONG,2015-06-04 21:00:00+05:30,2015-06-05 09:00:00+05:30,26868,26464.98,2015-06-11 13:00:00+05:30,26853.0,Trailing SL Hit,-15.0,-31.1163,248.12664383901517,10,-3721.8996575852275,-7720.783087687948,-0.37218996575852276,-0.7720783087687948,2015,-3.1897871482380493,Lossy,27072.0,50617.835343159095,100000.0,0.5061783534315909,-0.03721899657585227,-0.07720783087687948
4,LONG,2015-06-11 21:00:00+05:30,2015-06-12 09:00:00+05:30,26906,26502.41,2015-06-15 13:00:00+05:30,26862.0,Trailing SL Hit,-44.0,-60.130399999999995,247.776208528457,10,-10902.153175252108,-14898.88252929953,-1.0902153175252107,-1.4898882529299529,2015,-4.679675401168002,Lossy,26975.0,17096.558388463534,100000.0,0.17096558388463534,-0.10902153175252108,-0.14898882529299529
5,LONG,2015-06-17 13:00:00+05:30,2015-06-17 17:00:00+05:30,26892,26488.62,2015-06-22 13:00:00+05:30,26915.0,Trailing SL Hit,23.0,6.857900000000001,247.90520105111742,10,5701.8196241757005,1700.1090782884582,0.57018196241757,0.17001090782884581,2015,-4.509664493339157,Profitable,27245.0,87510.53597104445,100000.0,0.8751053597104445,0.057018196241757,0.01700109078288458
6,LONG,2015-07-10 09:00:00+05:30,2015-07-10 13:00:00+05:30,26135,25742.975,2015-07-16 13:00:00+05:30,25742.975,Initial SL Hit,-392.02500000000146,-407.5883925000015,255.0857725910328,10,-100000.0,-103969.99999999999,-10.0,-10.396999999999998,2015,-14.906664493339155,Lossy,26158.0,5866.9727695937545,100000.0,0.05866972769593754,-1.0,-1.0396999999999998
7,LONG,2015-07-30 13:00:00+05:30,2015-07-30 17:00:00+05:30,24640,24270.4,2015-08-27 21:00:00+05:30,26291.0,Trailing SL Hit,1651.0,1635.7207,270.5627705627716,10,446699.13419913594,442565.1244588762,44.66991341991359,44.256512445887616,2015,0.0,Profitable,27833.0,863906.9264069297,100000.0,8.639069264069297,4.466991341991359,4.425651244588762
8,LONG,2015-09-03 21:00:00+05:30,2015-09-04 09:00:00+05:30,26430,26033.55,2015-09-07 13:00:00+05:30,26600.0,RSI Overbought,170.0,154.091,252.23861773237437,10,42880.56501450364,38867.7008449993,4.288056501450365,3.88677008449993,2015,0.0,Profitable,26683.0,63816.370286290716,100000.0,0.6381637028629071,0.42880565014503647,0.388677008449993
9,LONG,2015-09-22 21:00:00+05:30,2015-09-23 09:00:00+05:30,26280,25885.8,2015-09-30 09:00:00+05:30,26291.0,Trailing SL Hit,11.0,-4.771299999999998,253.67833587011623,10,2790.4616945712787,-1210.375443937085,0.27904616945712785,-0.12103754439370851,2015,-0.12103754439370817,Profitable,27100.0,208016.2354134953,100000.0,2.080162354134953,0.027904616945712786,-0.01210375443937085
10,LONG,2015-10-01 13:00:00+05:30,2015-10-01 17:00:00+05:30,26054,25663.19,2015-10-22 21:00:00+05:30,26855.0,Trailing SL Hit,801.0,785.1273,255.87881579283965,10,204958.93145006456,200897.44377062956,20.495893145006455,20.089744377062953,2015,0.0,Profitable,27368.0,336224.7639517913,100000.0,3.362247639517913,2.0495893145006456,2.0089744377062955
11,LONG,2015-10-22 21:00:00+05:30,2015-10-23 09:00:00+05:30,26923,26519.155,2015-10-23 17:00:00+05:30,26767.0,Trailing SL Hit,-156.0,-172.107,247.61975510406148,10,-38628.68179623359,-42617.09319169471,-3.8628681796233595,-4.261709319169471,2015,-4.261709319169469,Lossy,27095.0,42590.597877898574,100000.0,0.4259059787789857,-0.38628681796233594,-0.4261709319169471
12,LONG,2015-11-17 13:00:00+05:30,2015-11-17 17:00:00+05:30,25300,24920.5,2015-11-25 17:00:00+05:30,25190.0,RSI Overbought,-110.0,-125.14699999999999,263.5046113306983,10,-28985.507246376816,-32976.811594202896,-2.8985507246376816,-3.2976811594202897,2015,-7.559390478589762,Lossy,25491.0,50329.380764163376,100000.00000000001,0.5032938076416337,-0.2898550724637682,-0.329768115942029
13,LONG,2015-12-08 13:00:00+05:30,2015-12-08 17:00:00+05:30,25490,25107.65,2015-12-11 13:00:00+05:30,25312.0,Trailing SL Hit,-178.0,-193.2406,261.54047338825785,10,-46554.204263109896,-50540.23800183098,-4.65542042631099,-5.0540238001830975,2015,-12.613414278772858,Lossy,25747.0,67215.90166078227,100000.00000000001,0.6721590166078226,-0.46554204263109905,-0.5054023800183097
14,LONG,2015-12-17 21:00:00+05:30,2015-12-18 09:00:00+05:30,24905,24531.425,2016-02-11 09:00:00+05:30,28640.749999999996,Target Hit,3735.7499999999964,3719.6862749999964,267.6838653550152,10,999999.9999999971,995699.9999999971,99.9999999999997,99.56999999999971,2015,0.0,Profitable,28710.0,1018537.1076758328,100000.0,10.185371076758328,9.99999999999997,9.95699999999997
15,LONG,2016-03-02 13:00:00+05:30,2016-03-02 17:00:00+05:30,29240,28801.399999999998,2016-03-09 17:00:00+05:30,29381.0,Trailing SL Hit,141.0,123.4137,227.99817601459074,10,32147.742818057293,28138.0984952119,3.2147742818057297,2.81380984952119,2016,0.0,Profitable,30161.0,209986.32010943806,100000.0,2.0998632010943807,0.32147742818057295,0.281380984952119
16,LONG,2016-03-23 21:00:00+05:30,2016-03-24 17:00:00+05:30,28647,28217.295,2016-04-05 17:00:00+05:30,28740.0,RSI Overbought,93.0,75.7839,232.71779476617584,10,21642.754913254354,17636.262086780393,2.1642754913254354,1.7636262086780392,2016,0.0,Profitable,28947.0,69815.33842985275,100000.0,0.6981533842985276,0.21642754913254353,0.1763626208678039
17,LONG,2016-05-09 21:00:00+05:30,2016-05-10 09:00:00+05:30,29860,29412.1,2016-05-10 13:00:00+05:30,29781.0,Trailing SL Hit,-79.0,-96.8923,223.26412145568133,10,-17637.865594998824,-21632.574235320313,-1.7637865594998825,-2.1632574235320314,2016,-2.1632574235320305,Lossy,29864.0,893.0564858227253,100000.0,0.008930564858227253,-0.17637865594998825,-0.21632574235320315
18,LONG,2016-06-03 13:00:00+05:30,2016-06-03 17:00:00+05:30,28890,28456.649999999998,2016-06-22 21:00:00+05:30,30091.0,Trailing SL Hit,1201.0,1183.3057,230.76035537094612,10,277143.18680050626,273060.0438444661,27.714318680050628,27.30600438444661,2016,0.0,Profitable,31245.0,543440.6368985781,100000.0,5.4344063689857816,2.7714318680050627,2.730600438444661
19,LONG,2016-06-30 13:00:00+05:30,2016-06-30 17:00:00+05:30,31258,30789.13,2016-07-12 13:00:00+05:30,31421.0,Trailing SL Hit,163.0,144.1963,213.27873397743556,10,34764.433638322,30754.004308230495,3.4764433638322,3.0754004308230494,2016,0.0,Profitable,32455.0,255294.64457099038,100000.0,2.5529464457099036,0.34764433638322,0.3075400430823049
20,LONG,2016-08-25 21:00:00+05:30,2016-08-26 09:00:00+05:30,30945,30480.825,2016-09-14 21:00:00+05:30,31015.0,Trailing SL Hit,70.0,51.412000000000006,215.43598858189296,10,15080.519200732508,11075.995044972282,1.5080519200732507,1.1075995044972282,2016,0.0,Profitable,31466.0,112242.15005116623,100000.0,1.1224215005116622,0.15080519200732506,0.11075995044972282
21,LONG,2016-09-16 13:00:00+05:30,2016-09-16 17:00:00+05:30,30906,30442.41,2016-09-27 17:00:00+05:30,31006.0,Trailing SL Hit,100.0,81.4264,215.70784529433328,10,21570.784529433327,17564.313294074498,2.157078452943333,1.7564313294074498,2016,0.0,Profitable,31380.0,102245.51866951397,100000.0,1.0224551866951397,0.2157078452943333,0.175643132940745
22,LONG,2016-10-14 21:00:00+05:30,2016-10-17 09:00:00+05:30,29690,29244.649999999998,2016-10-18 21:00:00+05:30,29776.0,RSI Overbought,86.0,68.1602,224.54249466711465,10,19310.65454137186,15304.861345009469,1.931065454137186,1.5304861345009468,2016,0.0,Profitable,29840.0,33681.3742000672,100000.0,0.336813742000672,0.1931065454137186,0.15304861345009468
