,Trade Type,Signal Generated At,Entry Time,Entry Price,Initial SL,Exit Time,Exit Price,Remarks,Points Captured,Points w CS,Qty,Leverage,PnL,PnL w CS,ROI%,ROI% w CS,Trade Year
0,LONG,2017-01-27 13:00:00+05:30,2017-01-27 17:00:00+05:30,28168,27745.48,2017-02-01 13:00:00+05:30,28817.0,RSI Overbought,649.0,631.9045,355.01278046009656,10,230403.29451860266,224334.1735302471,23.040329451860266,22.43341735302471,2017
1,LONG,2017-05-02 13:00:00+05:30,2017-05-02 17:00:00+05:30,28630,28200.55,2017-05-04 09:00:00+05:30,28200.55,Initial SL Hit,-429.4500000000007,-446.49916500000074,349.28396786587496,10,-150000.00000000026,-155955.00000000026,-15.000000000000027,-15.595500000000026,2017
2,LONG,2017-05-04 21:00:00+05:30,2017-05-05 09:00:00+05:30,28155,27732.675,2017-05-18 17:00:00+05:30,28771.0,RSI Overbought,616.0,598.9222,355.1767004084532,10,218788.84745160717,212723.2107973717,21.87888474516072,21.272321079737168,2017
3,LONG,2017-05-24 13:00:00+05:30,2017-05-24 17:00:00+05:30,28720,28289.2,2017-05-25 17:00:00+05:30,28649.0,RSI Overbought,-71.0,-88.2107,348.18941504178275,10,-24721.448467966577,-30714.032033426185,-2.472144846796658,-3.0714032033426184,2017
4,LONG,2017-06-02 13:00:00+05:30,2017-06-02 17:00:00+05:30,28884,28450.739999999998,2017-06-05 21:00:00+05:30,29205.0,RSI Overbought,321.0,303.5733,346.21243595069933,10,111134.19194017448,105100.85168259245,11.113419194017448,10.510085168259245,2017
5,LONG,2017-06-15 21:00:00+05:30,2017-06-16 09:00:00+05:30,28785,28353.225,2017-06-26 17:00:00+05:30,28353.225,Initial SL Hit,-431.77500000000146,-448.91646750000143,347.40316136876845,10,-150000.0000000005,-155955.0000000005,-15.00000000000005,-15.595500000000051,2017
6,LONG,2017-07-10 13:00:00+05:30,2017-07-10 17:00:00+05:30,27734,27317.989999999998,2017-07-12 21:00:00+05:30,27842.0,RSI Overbought,108.0,91.3272,360.56825557077957,10,38941.37160164419,32929.6891901637,3.8941371601644192,3.2929689190163702,2017
7,LONG,2017-07-26 13:00:00+05:30,2017-07-26 17:00:00+05:30,28350,27924.75,2017-07-27 17:00:00+05:30,28450.0,RSI Overbought,100.0,82.96000000000001,352.7336860670194,10,35273.36860670194,29262.78659611993,3.5273368606701934,2.926278659611993,2017
8,LONG,2017-09-07 09:00:00+05:30,2017-09-07 13:00:00+05:30,30120,29668.2,2017-09-08 13:00:00+05:30,30364.0,RSI Overbought,244.0,225.8548,332.00531208499336,10,81009.29614873839,74984.99335989376,8.100929614873838,7.498499335989377,2017
9,LONG,2017-09-12 13:00:00+05:30,2017-09-12 17:00:00+05:30,29908,29459.38,2017-09-13 17:00:00+05:30,29842.0,RSI Overbought,-66.0,-83.925,334.35870001337435,10,-22067.674200882706,-28061.053898622442,-2.2067674200882705,-2.806105389862244,2017
