Key,Value
3.5981878550631485,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017     142.0249           27  59.2593               13.4709   
2018     -22.8077           37  45.9459                8.8830   
2019      80.9242           28  50.0000               12.1193   
2020      78.4440           32  31.2500               33.3403   
2021     178.4899           30  46.6667               20.5138   
2022      38.8733           31  38.7097               19.3806   
2023       8.9471           29  44.8276               11.1557   
2024      38.4487           20  55.0000                9.0645   
Overall  543.3444          234  44.8845               14.7200   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -6.6827     -30.7288       4.6219  8, 33, 90, 50  
2018                -8.6909     -58.5914      -0.3893  8, 33, 90, 50  
2019                -6.3390     -24.3679       3.3209  8, 33, 90, 50  
2020               -11.5890    -148.4455       0.5284  8, 33, 90, 50  
2021                -6.7939     -49.3617       3.6160  8, 33, 90, 50  
2022               -10.1944     -75.9848       0.5116  8, 33, 90, 50  
2023                -8.5049     -57.2840       0.1562  8, 33, 90, 50  
2024                -6.8068     -21.3233       1.8031  8, 33, 90, 50  
Overall             -8.9233    -151.0050       3.5982   8,33, 90, 50  "
3.478939268703254,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017     142.0249           27  59.2593               13.4709   
2018     -22.9230           37  45.9459                8.8762   
2019      81.4913           28  50.0000               12.1598   
2020      78.4440           32  31.2500               33.3403   
2021     168.8591           30  46.6667               20.5138   
2022      39.1096           31  38.7097               19.4003   
2023       1.6007           29  44.8276               11.1557   
2024      36.7306           20  55.0000                8.9083   
Overall  525.3373          234  44.8845               14.7451   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -6.6827     -30.7288       4.6219  8, 33, 93, 50  
2018                -8.6909     -58.5914      -0.3912  8, 33, 93, 50  
2019                -6.3390     -23.8008       3.4239  8, 33, 93, 50  
2020               -11.5890    -148.4455       0.5284  8, 33, 93, 50  
2021                -7.3959     -55.3449       3.0510  8, 33, 93, 50  
2022               -10.1944     -75.9848       0.5147  8, 33, 93, 50  
2023                -8.9640     -61.6693       0.0260  8, 33, 93, 50  
2024                -6.8068     -21.3233       1.7226  8, 33, 93, 50  
Overall             -9.0249    -151.0050       3.4789   8,33, 93, 50  "
3.4591924935331506,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017     100.3496           26  50.0000               13.9217   
2018     -24.0601           34  47.0588                8.9643   
2019      69.5499           24  45.8333               13.4589   
2020      80.5981           29  34.4828               31.0748   
2021     181.5997           28  50.0000               20.5138   
2022      33.4044           28  35.7143               21.6437   
2023      -3.2079           28  39.2857               11.7730   
2024      38.3870           17  52.9412               10.4674   
Overall  476.6208          214  43.4307               15.2493   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -6.2025     -37.9586       2.6437  8, 30, 90, 50  
2018                -9.3050     -53.3963      -0.4506  8, 30, 90, 50  
2019                -6.0383     -35.6698       1.9498  8, 30, 90, 50  
2020               -12.1132    -137.7838       0.5850  8, 30, 90, 50  
2021                -7.5424     -46.2519       3.9263  8, 30, 90, 50  
2022               -10.1685     -92.1154       0.3626  8, 30, 90, 50  
2023                -7.8065     -71.2933      -0.0450  8, 30, 90, 50  
2024                -6.9775     -23.1355       1.6592  8, 30, 90, 50  
Overall             -8.9137    -137.7838       3.4592   8,30, 90, 50  "
3.32438558149053,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017     100.3496           26  50.0000               13.9217   
2018     -24.1754           34  47.0588                8.9571   
2019      69.5499           24  45.8333               13.4589   
2020      80.5981           29  34.4828               31.0748   
2021     171.9689           28  50.0000               20.5138   
2022      33.6407           28  35.7143               21.6673   
2023     -10.5542           28  39.2857               11.7730   
2024      36.6689           17  52.9412               10.2765   
Overall  458.0466          214  43.4307               15.2732   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -6.2025     -37.9586       2.6437  8, 30, 93, 50  
2018                -9.3050     -53.3963      -0.4528  8, 30, 93, 50  
2019                -6.0383     -35.6698       1.9498  8, 30, 93, 50  
2020               -12.1132    -137.7838       0.5850  8, 30, 93, 50  
2021                -8.2303     -52.2352       3.2922  8, 30, 93, 50  
2022               -10.1685     -92.1154       0.3652  8, 30, 93, 50  
2023                -8.2387     -72.8039      -0.1450  8, 30, 93, 50  
2024                -6.9775     -23.1355       1.5850  8, 30, 93, 50  
Overall             -9.0232    -137.7838       3.3244   8,30, 93, 50  "
3.2163819545772747,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017      62.9855           28  64.2857                7.7928   
2018     -35.9798           38  47.3684                7.5273   
2019     101.8251           34  61.7647                8.9501   
2020      82.7706           30  30.0000               35.2717   
2021     137.1293           29  44.8276               20.2011   
2022      25.1009           33  45.4545               11.9950   
2023      10.6582           33  42.4242                9.6063   
2024      58.6755           18  50.0000               13.6680   
Overall  443.1654          243  47.6190               12.2077   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -7.7285     -31.1086       2.0247  8, 30, 87, 20  
2018                -8.5735     -78.9933      -0.4555  8, 30, 87, 20  
2019                -6.6252     -25.9808       3.9192  8, 30, 87, 20  
2020               -11.1750    -137.7838       0.6007  8, 30, 87, 20  
2021                -7.8428     -56.0422       2.4469  8, 30, 87, 20  
2022                -8.6013     -66.2287       0.3790  8, 30, 87, 20  
2023                -6.5174     -55.3075       0.1927  8, 30, 87, 20  
2024                -7.1485     -18.0363       3.2532  8, 30, 87, 20  
Overall             -8.4702    -137.7838       3.2164   8,30, 87, 20  "
3.1789724509261323,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017      62.9855           28  64.2857                7.7928   
2018     -35.9798           38  47.3684                7.5273   
2019     109.8156           34  61.7647                8.9501   
2020      82.7706           30  30.0000               35.2717   
2021     133.5146           29  44.8276               19.9231   
2022      25.1009           33  45.4545               11.9950   
2023      10.6582           33  42.4242                9.6063   
2024      49.1453           18  50.0000               12.4322   
Overall  438.0110          243  47.6190               12.1094   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -7.7285     -31.1086       2.0247  8, 30, 84, 20  
2018                -8.5735     -78.9933      -0.4555  8, 30, 84, 20  
2019                -6.0105     -25.9808       4.2268  8, 30, 84, 20  
2020               -11.1750    -137.7838       0.6007  8, 30, 84, 20  
2021                -7.8428     -59.6570       2.2380  8, 30, 84, 20  
2022                -8.6013     -66.2287       0.3790  8, 30, 84, 20  
2023                -6.5174     -55.3075       0.1927  8, 30, 84, 20  
2024                -6.9716     -18.0363       2.7248  8, 30, 84, 20  
Overall             -8.4122    -137.7838       3.1790   8,30, 84, 20  "
3.1689896515568003,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017     139.1408           27  66.6667               11.3152   
2018     -42.1766           38  47.3684                8.5231   
2019     111.5154           30  56.6667               10.9472   
2020      66.0210           33  30.3030               33.1642   
2021     207.5553           32  56.2500               17.9228   
2022      15.3558           34  44.1176               13.8954   
2023     -42.4724           31  38.7097                7.4285   
2024      54.0009           19  52.6316               12.8569   
Overall  508.9402          244  46.6667               13.4836   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -7.1702     -29.5335       4.7113  8, 33, 90, 40  
2018                -9.7796     -88.1554      -0.4784  8, 33, 90, 40  
2019                -5.7375     -18.0137       6.1906  8, 33, 90, 40  
2020               -11.5487    -148.4455       0.4447  8, 33, 90, 40  
2021                -8.2182     -56.0600       3.7024  8, 33, 90, 40  
2022               -10.1619     -66.2971       0.2316  8, 33, 90, 40  
2023                -6.9271     -54.6684      -0.7769  8, 33, 90, 40  
2024                -8.2854     -21.3233       2.5325  8, 33, 90, 40  
Overall             -9.0345    -160.6002       3.1690   8,33, 90, 40  "
3.1663805084448464,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017      91.0944           25  60.0000               11.0859   
2018     -48.0607           35  45.7143                9.0267   
2019      99.2828           26  53.8462               11.8297   
2020      68.0412           30  33.3333               30.8853   
2021     208.2124           29  55.1724               19.5230   
2022       3.5558           31  41.9355               14.3053   
2023     -51.3413           29  34.4828                7.6467   
2024      65.4914           16  56.2500               13.9317   
Overall  436.2761          221  45.2297               13.9280   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -7.5194     -40.8712       2.2288  8, 30, 90, 40  
2018               -10.1310     -86.4583      -0.5559  8, 30, 90, 40  
2019                -5.5277     -26.7500       3.7115  8, 30, 90, 40  
2020               -12.0406    -137.7838       0.4938  8, 30, 90, 40  
2021                -8.0120     -50.1626       4.1507  8, 30, 90, 40  
2022               -10.1341     -88.7589       0.0401  8, 30, 90, 40  
2023                -6.7267     -68.2563      -0.7522  8, 30, 90, 40  
2024                -8.5563     -21.3233       3.0714  8, 30, 90, 40  
Overall             -9.0398    -137.7838       3.1664   8,30, 90, 40  "
3.1536768830505384,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017      62.9855           28  64.2857                7.7928   
2018     -35.9798           38  47.3684                7.5273   
2019     101.8251           34  61.7647                8.9501   
2020      82.7706           30  30.0000               35.2717   
2021     137.1293           29  44.8276               20.2011   
2022      25.1009           33  45.4545               11.9950   
2023      10.6582           33  42.4242                9.6063   
2024      50.0357           18  50.0000               13.6680   
Overall  434.5257          243  47.6190               12.1901   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -7.7285     -31.1086       2.0247  8, 30, 99, 20  
2018                -8.5735     -78.9933      -0.4555  8, 30, 99, 20  
2019                -6.6252     -25.9808       3.9192  8, 30, 99, 20  
2020               -11.1750    -137.7838       0.6007  8, 30, 99, 20  
2021                -7.8428     -56.0422       2.4469  8, 30, 99, 20  
2022                -8.6013     -66.2287       0.3790  8, 30, 99, 20  
2023                -6.5174     -55.3075       0.1927  8, 30, 99, 20  
2024                -8.1085     -21.2515       2.3545  8, 30, 99, 20  
Overall             -8.5226    -137.7838       3.1537   8,30, 99, 20  "
3.089236433443821,"        Total ROI Total Trades Win Rate Avg Profit% per Trade  \
2017     142.0249           27  59.2593               13.4709   
2018     -42.4646           37  43.2432                8.8759   
2019      76.0743           28  46.4286               12.7848   
2020      56.6567           32  28.1250               35.8086   
2021     168.8591           30  46.6667               20.5138   
2022      39.1096           31  38.7097               19.4003   
2023       1.6007           29  44.8276               11.1557   
2024      49.6589           20  55.0000               10.0836   
Overall  491.5197          234  44.0397               15.1072   

        Avg Loss% per Trade Max Drawdown ROI/DD Ratio      Variation  
2017                -6.6827     -30.7288       4.6219  8, 33, 99, 50  
2018                -8.7847     -68.8080      -0.6171  8, 33, 99, 50  
2019                -6.0086     -29.2178       2.6037  8, 33, 99, 50  
2020               -11.5487    -159.1072       0.3561  8, 33, 99, 50  
2021                -7.3959     -55.3449       3.0510  8, 33, 99, 50  
2022               -10.1944     -75.9848       0.5147  8, 33, 99, 50  
2023                -8.9640     -61.6693       0.0260  8, 33, 99, 50  
2024                -6.8068     -21.3233       2.3289  8, 33, 99, 50  
Overall             -9.0421    -159.1072       3.0892   8,33, 99, 50  "
