,Stock Name,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
0,ASHOK LEYLAND,2012-11-01,28.55,2012-12-03,27.3,-1.25,35026.26970227671,-43782.83712784589,-4.378283712784588,-4.378283712784588,2012,1
1,ASHOK LEYLAND,2012-12-03,27.3,2013-01-01,24.65,-2.650000000000002,35026.26970227671,-92819.61471103335,-9.281961471103335,-9.706959706959713,2012,1
2,ASHOK LEYLAND,2013-01-01,24.65,2013-02-01,22.45,-2.1999999999999993,35026.26970227671,-77057.79334500873,-7.705779334500873,-8.92494929006085,2012,1
3,ASHOK LEYLAND,2013-02-01,22.45,2013-03-01,22.1,-0.34999999999999787,35026.26970227671,-12259.194395796774,-1.2259194395796775,-1.5590200445434204,2012,1
4,ASHOK LEYLAND,2013-12-02,17.4,2014-01-01,16.55,-0.8499999999999979,57471.2643678161,-48850.57471264356,-4.885057471264356,-4.885057471264356,2013,2
5,ASHOK LEYLAND,2014-01-01,16.55,2014-02-03,15.75,-0.8000000000000007,57471.2643678161,-45977.01149425292,-4.597701149425292,-4.8338368580060465,2013,2
6,ASHOK LEYLAND,2014-02-03,15.75,2014-03-03,23.35,7.600000000000001,57471.2643678161,436781.6091954024,43.67816091954025,48.25396825396827,2013,2
7,ASHOK LEYLAND,2014-03-03,23.35,2014-04-01,22.3,-1.0500000000000007,57471.2643678161,-60344.82758620694,-6.034482758620694,-4.496788008565313,2013,2
8,ASHOK LEYLAND,2014-04-01,22.3,2014-05-02,32.65,10.349999999999998,57471.2643678161,594827.5862068965,59.482758620689644,46.41255605381165,2013,2
9,ASHOK LEYLAND,2014-05-02,32.65,2014-06-02,36.9,4.25,57471.2643678161,244252.8735632184,24.42528735632184,13.016845329249618,2013,2
10,ASHOK LEYLAND,2014-06-02,36.9,2014-07-01,34.45,-2.4499999999999957,57471.2643678161,-140804.59770114918,-14.080459770114917,-6.6395663956639455,2013,2
11,ASHOK LEYLAND,2014-07-01,34.45,2014-08-01,36.8,2.3499999999999943,57471.2643678161,135057.4712643675,13.505747126436749,6.8214804063860495,2013,2
12,ASHOK LEYLAND,2014-08-01,36.8,2014-09-01,41.3,4.5,57471.2643678161,258620.68965517243,25.862068965517242,12.228260869565219,2013,2
13,ASHOK LEYLAND,2014-09-01,41.3,2014-10-01,46.65,5.350000000000001,57471.2643678161,307471.2643678162,30.74712643678162,12.953995157384993,2013,2
14,ASHOK LEYLAND,2014-10-01,46.65,2014-11-03,52.6,5.950000000000003,57471.2643678161,341954.02298850595,34.195402298850595,12.754555198285109,2013,2
15,ASHOK LEYLAND,2014-11-03,52.6,2014-12-01,51.6,-1.0,57471.2643678161,-57471.2643678161,-5.74712643678161,-1.9011406844106464,2013,2
16,ASHOK LEYLAND,2014-12-01,51.6,2015-01-01,66.2,14.600000000000001,57471.2643678161,839080.4597701151,83.90804597701151,28.294573643410853,2013,2
17,ASHOK LEYLAND,2015-01-01,66.2,2015-02-02,70.4,4.200000000000003,57471.2643678161,241379.31034482777,24.137931034482776,6.344410876132935,2013,2
18,ASHOK LEYLAND,2015-02-02,70.4,2015-03-02,73.85,3.4499999999999886,57471.2643678161,198275.86206896487,19.827586206896484,4.900568181818165,2013,2
19,ASHOK LEYLAND,2015-03-02,73.85,2015-04-01,70.2,-3.6499999999999915,57471.2643678161,-209770.11494252825,-20.977011494252825,-4.942450914014884,2013,2
20,ASHOK LEYLAND,2015-04-01,70.2,2015-05-04,71.65,1.4500000000000028,57471.2643678161,83333.3333333335,8.333333333333352,2.0655270655270694,2013,2
21,ASHOK LEYLAND,2015-05-04,71.65,2015-06-01,72.75,1.0999999999999943,57471.2643678161,63218.39080459738,6.321839080459737,1.5352407536636348,2013,2
22,ASHOK LEYLAND,2015-06-01,72.75,2015-07-01,85.0,12.25,57471.2643678161,704022.9885057472,70.40229885057472,16.83848797250859,2013,2
23,ASHOK LEYLAND,2015-07-01,85.0,2015-08-03,90.85,5.849999999999994,57471.2643678161,336206.8965517238,33.620689655172384,6.882352941176465,2013,2
24,ASHOK LEYLAND,2015-08-03,90.85,2015-09-01,92.85,2.0,57471.2643678161,114942.5287356322,11.49425287356322,2.2014309301045683,2013,2
25,ASHOK LEYLAND,2015-09-01,92.85,2015-10-01,93.65,0.8000000000000114,57471.2643678161,45977.01149425353,4.597701149425353,0.8616047388260759,2013,2
26,ASHOK LEYLAND,2015-10-01,93.65,2015-11-02,95.0,1.3499999999999943,57471.2643678161,77586.2068965514,7.758620689655141,1.4415376401494866,2013,2
27,ASHOK LEYLAND,2015-11-02,95.0,2015-12-01,88.4,-6.599999999999994,57471.2643678161,-379310.3448275859,-37.93103448275859,-6.947368421052626,2013,2
28,ASHOK LEYLAND,2015-12-01,88.4,2016-01-01,89.8,1.3999999999999915,57471.2643678161,80459.77011494205,8.045977011494204,1.5837104072398092,2013,2
29,ASHOK LEYLAND,2016-01-01,89.8,2016-02-01,88.1,-1.7000000000000028,57471.2643678161,-97701.14942528753,-9.770114942528753,-1.893095768374168,2013,2
30,ASHOK LEYLAND,2016-02-01,88.1,2016-03-01,108.85,20.75,57471.2643678161,1192528.735632184,119.25287356321839,23.552780930760502,2013,2
31,ASHOK LEYLAND,2016-03-01,108.85,2016-04-01,107.4,-1.4499999999999886,57471.2643678161,-83333.33333333269,-8.333333333333268,-1.3321084060633794,2013,2
32,ASHOK LEYLAND,2016-04-01,107.4,2016-05-02,109.8,2.3999999999999915,57471.2643678161,137931.03448275814,13.793103448275815,2.234636871508372,2013,2
33,ASHOK LEYLAND,2016-05-02,109.8,2016-06-01,98.25,-11.549999999999997,57471.2643678161,-663793.1034482757,-66.37931034482757,-10.519125683060107,2013,2
34,ASHOK LEYLAND,2016-06-01,98.25,2016-07-01,96.05,-2.200000000000003,57471.2643678161,-126436.78160919558,-12.643678160919558,-2.2391857506361355,2013,2
35,ASHOK LEYLAND,2017-02-01,91.15,2017-03-01,84.8,-6.3500000000000085,10970.927043335161,-69665.38672517837,-6.966538672517837,-6.966538672517837,2017,3
36,ASHOK LEYLAND,2017-03-01,84.8,2017-04-03,86.1,1.2999999999999972,10970.927043335161,14262.205156335678,1.4262205156335679,1.533018867924525,2017,3
37,ASHOK LEYLAND,2017-04-03,86.1,2017-05-02,95.15,9.050000000000011,10970.927043335161,99286.88974218334,9.928688974218334,10.511033681765403,2017,3
38,ASHOK LEYLAND,2017-05-02,95.15,2017-06-01,92.65,-2.5,10970.927043335161,-27427.317608337904,-2.7427317608337902,-2.627430373095113,2017,3
39,ASHOK LEYLAND,2017-06-01,92.65,2017-07-03,110.3,17.64999999999999,10970.927043335161,193636.8623148655,19.36368623148655,19.050188882892595,2017,3
40,ASHOK LEYLAND,2017-07-03,110.3,2017-08-01,107.7,-2.5999999999999943,10970.927043335161,-28524.410312671356,-2.8524410312671358,-2.35720761559383,2017,3
41,ASHOK LEYLAND,2017-08-01,107.7,2017-09-01,123.35,15.649999999999991,10970.927043335161,171695.0082281952,17.16950082281952,14.531104921077057,2017,3
