,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Exit Date,Exit Time,Exit Price,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
0,2012-01-09 12:15:00,BAJFINANCE,2012-01-09,13:15:00,60.9,2012-02-16,13:15:00,78.61,17.71,17.57049,16420.361247947454,288513.79310344823,28.85137931034482,2012,1
1,2012-02-17 11:15:00,BAJFINANCE,2012-02-17,12:15:00,80.61,2012-02-22,13:15:00,79.5,-1.1099999999999994,-1.2701099999999994,12405.408758218584,-15756.233717900997,-1.5756233717900998,2012,2
2,2012-02-29 13:15:00,BAJFINANCE,2012-02-29,14:15:00,79.0,2012-03-15,14:15:00,78.9,-0.09999999999999432,-0.25789999999999436,12658.227848101265,-3264.556962025245,-0.3264556962025245,2012,2
3,2012-03-21 14:15:00,BAJFINANCE,2012-03-21,15:15:00,81.24,2012-03-28,15:15:00,79.22,-2.019999999999996,-2.180459999999996,12309.207287050715,-26839.734121122554,-2.6839734121122554,2012,3
4,2012-04-02 11:15:00,BAJFINANCE,2012-04-02,12:15:00,81.68,2012-04-09,09:15:00,85.06,3.3799999999999955,3.2132599999999956,12242.899118511263,39339.618021547445,3.9339618021547444,2012,4
5,2012-04-13 10:15:00,BAJFINANCE,2012-04-13,11:15:00,87.68,2012-04-23,14:15:00,87.3,-0.38000000000000966,-0.5549800000000097,11405.109489051094,-6329.607664233687,-0.6329607664233686,2012,4
6,2012-04-27 09:15:00,BAJFINANCE,2012-04-27,10:15:00,87.485,2012-05-03,14:15:00,87.38,-0.10500000000000398,-0.279865000000004,11430.530948162543,-3199.005543807556,-0.3199005543807556,2012,4
7,2012-05-07 13:15:00,BAJFINANCE,2012-05-07,14:15:00,88.55,2012-05-09,13:15:00,85.1,-3.450000000000003,-3.6236500000000027,11293.054771315641,-40922.07792207795,-4.092207792207795,2012,5
8,2012-05-16 12:15:00,BAJFINANCE,2012-05-16,13:15:00,88.0,2012-05-17,09:15:00,83.605,-4.394999999999996,-4.5666049999999965,11363.636363636364,-51893.238636363596,-5.18932386363636,2012,5
9,2012-06-06 15:15:00,BAJFINANCE,2012-06-07,09:15:00,85.32,2012-06-18,12:15:00,87.0,1.6800000000000068,1.5076800000000068,11720.581340834506,17670.886075949446,1.7670886075949446,2012,6
10,2012-06-28 09:15:00,BAJFINANCE,2012-06-28,10:15:00,88.3,2012-07-04,15:15:00,91.7,3.4000000000000057,3.2200000000000055,11325.028312570781,36466.59116647798,3.6466591166477977,2012,6
11,2012-07-10 15:15:00,BAJFINANCE,2012-07-11,09:15:00,92.8,2012-07-27,10:15:00,103.255,10.454999999999998,10.258944999999999,10775.862068965518,110548.97629310345,11.054897629310345,2012,7
12,2012-08-07 12:15:00,BAJFINANCE,2012-08-07,14:15:00,106.5,2012-08-14,14:15:00,108.055,1.5550000000000068,1.3404450000000068,9389.671361502347,12586.338028169077,1.2586338028169077,2012,8
13,2012-09-07 13:15:00,BAJFINANCE,2012-09-07,14:15:00,106.995,2012-09-20,12:15:00,108.42,1.4249999999999972,1.209584999999997,9346.231132295901,11305.06098415811,1.130506098415811,2012,9
14,2012-09-25 09:15:00,BAJFINANCE,2012-09-25,10:15:00,113.5,2012-10-26,14:15:00,130.0,16.5,16.2565,8810.572687224669,143229.07488986783,14.322907488986782,2012,9
15,2012-11-06 15:15:00,BAJFINANCE,2012-11-07,09:15:00,130.1,2012-11-19,13:15:00,133.7,3.5999999999999943,3.3361999999999945,7686.395080707149,25643.351268255148,2.564335126825515,2012,11
16,2012-11-23 11:15:00,BAJFINANCE,2012-11-23,12:15:00,136.7,2012-12-06,12:15:00,133.65,-3.049999999999983,-3.320349999999983,7315.28895391368,-24289.319678127165,-2.4289319678127166,2012,11
17,2012-12-19 10:15:00,BAJFINANCE,2012-12-19,11:15:00,137.5,2012-12-19,15:15:00,130.2,-7.300000000000011,-7.567700000000011,7272.727272727273,-55037.818181818264,-5.503781818181826,2012,12
18,2012-12-26 10:15:00,BAJFINANCE,2012-12-26,11:15:00,132.8,2013-01-16,14:15:00,138.39,5.589999999999975,5.318809999999975,7530.12048192771,40051.28012048174,4.005128012048174,2012,12
19,2013-02-14 10:15:00,BAJFINANCE,2013-02-14,11:15:00,127.5,2013-02-21,13:15:00,126.18,-1.3199999999999932,-1.5736799999999933,7843.137254901961,-12342.588235294064,-1.2342588235294063,2013,2
20,2013-02-25 10:15:00,BAJFINANCE,2013-02-25,12:15:00,127.0,2013-03-01,12:15:00,127.5,0.5,0.2455,7874.0157480314965,1933.0708661417323,0.19330708661417323,2013,2
21,2013-03-08 09:15:00,BAJFINANCE,2013-03-08,10:15:00,128.5,2013-03-13,12:15:00,125.815,-2.6850000000000023,-2.9393150000000023,7782.101167315175,-22874.046692607022,-2.2874046692607024,2013,3
22,2013-03-15 14:15:00,BAJFINANCE,2013-03-15,15:15:00,131.28,2013-03-21,09:15:00,124.81,-6.469999999999999,-6.726089999999999,7617.306520414381,-51234.68921389396,-5.123468921389396,2013,3
23,2013-04-01 09:15:00,BAJFINANCE,2013-04-01,10:15:00,118.0,2013-04-08,15:15:00,116.315,-1.6850000000000023,-1.9193150000000023,8474.57627118644,-16265.381355932224,-1.6265381355932225,2013,4
24,2013-04-17 11:15:00,BAJFINANCE,2013-04-17,12:15:00,114.55,2013-04-29,11:15:00,121.2,6.650000000000006,6.414250000000005,8729.812309035357,55995.198603230085,5.599519860323008,2013,4
25,2013-05-02 14:15:00,BAJFINANCE,2013-05-02,15:15:00,127.4,2013-05-21,14:15:00,148.7,21.299999999999983,21.023899999999983,7849.293563579277,165022.76295133424,16.502276295133424,2013,5
26,2013-05-29 10:15:00,BAJFINANCE,2013-05-29,11:15:00,148.5,2013-06-04,15:15:00,144.33,-4.1699999999999875,-4.462829999999988,6734.006734006734,-30052.727272727192,-3.005272727272719,2013,5
27,2013-06-07 13:15:00,BAJFINANCE,2013-06-07,14:15:00,150.8,2013-06-12,11:15:00,145.78,-5.02000000000001,-5.316580000000011,6631.29973474801,-35255.83554376665,-3.5255835543766647,2013,6
28,2013-06-18 15:15:00,BAJFINANCE,2013-06-19,09:15:00,144.4,2013-06-19,11:15:00,142.56,-1.8400000000000034,-2.1269600000000035,6925.207756232687,-14729.6398891967,-1.47296398891967,2013,6
29,2013-06-25 15:15:00,BAJFINANCE,2013-06-26,09:15:00,139.0,2013-07-16,10:15:00,144.475,5.474999999999994,5.191524999999994,7194.244604316546,37349.100719424416,3.734910071942442,2013,6
