,Stock Name,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
0,BHARAT FORGE,2012-02-01,155.475006,2012-03-01,161.100006,5.625,6431.901986869838,36179.44867614284,3.617944867614284,3.617944867614284,2012,1
1,BHARAT FORGE,2012-03-01,161.100006,2012-04-02,161.725006,0.625,6431.901986869838,4019.9387417936487,0.4019938741793649,0.3879577757433479,2012,1
2,BHARAT FORGE,2012-04-02,161.725006,2012-05-02,157.399994,-4.325012000000015,6431.901986869838,-27818.05327603599,-2.7818053276035988,-2.6743001017418515,2012,1
3,BHARAT FORGE,2012-05-02,157.399994,2012-06-01,149.550003,-7.849990999999989,6431.901986869838,-50490.372709810275,-5.049037270981028,-4.98728799189153,2012,1
4,BHARAT FORGE,2012-06-01,149.550003,2012-07-02,150.925003,1.375,6431.901986869838,8843.865231946027,0.8843865231946028,0.91942492304731,2012,1
5,BHARAT FORGE,2012-07-02,150.925003,2012-08-01,139.899994,-11.025009000000011,6431.901986869838,-70911.77729235792,-7.091177729235791,-7.304958609144445,2012,1
6,BHARAT FORGE,2013-09-02,126.449997,2013-10-01,151.100006,24.65000900000001,7908.264323644073,194938.7867522054,19.49387867522054,19.49387867522054,2013,2
7,BHARAT FORGE,2013-10-01,151.100006,2013-11-01,150.550003,-0.5500030000000038,7908.264323644073,-4349.569102797241,-0.43495691027972405,-0.36399932373265675,2013,2
8,BHARAT FORGE,2013-11-01,150.550003,2013-12-02,165.600006,15.050003000000004,7908.264323644073,119019.4017956363,11.90194017956363,9.996680637728053,2013,2
9,BHARAT FORGE,2013-12-02,165.600006,2014-01-01,174.199997,8.599990999999989,7908.264323644073,68011.00200896001,6.801100200896001,5.193231092032683,2013,2
10,BHARAT FORGE,2014-01-01,174.199997,2014-02-03,192.074997,17.875,7908.264323644073,141360.2247851378,14.13602247851378,10.261194206564769,2013,2
11,BHARAT FORGE,2014-02-03,192.074997,2014-03-03,212.475006,20.40000900000001,7908.264323644073,161328.6633767181,16.132866337671807,10.62085608154403,2013,2
12,BHARAT FORGE,2014-03-03,212.475006,2014-04-01,205.475006,-7.0,7908.264323644073,-55357.85026550851,-5.535785026550851,-3.2945051428778402,2013,2
13,BHARAT FORGE,2014-04-01,205.475006,2014-05-02,252.649994,47.174987999999985,7908.264323644073,373072.27456873714,37.30722745687372,22.958990934401037,2013,2
14,BHARAT FORGE,2014-05-02,252.649994,2014-06-02,313.5,60.85000600000001,7908.264323644073,481217.9315433278,48.12179315433278,24.084705103931256,2013,2
15,BHARAT FORGE,2014-06-02,313.5,2014-07-01,363.024994,49.52499399999999,7908.264323644073,391656.7431788867,39.16567431788867,15.79744625199362,2013,2
16,BHARAT FORGE,2014-07-01,363.024994,2014-08-01,398.700012,35.67501800000002,7908.264323644073,282127.4720947603,28.21274720947603,9.827152011467295,2013,2
17,BHARAT FORGE,2014-08-01,398.700012,2014-09-01,414.375,15.674987999999985,7908.264323644073,123961.94837394884,12.396194837394884,3.9315243361467433,2013,2
18,BHARAT FORGE,2014-09-01,414.375,2014-10-01,408.0,-6.375,7908.264323644073,-50415.185063230965,-5.041518506323096,-1.5384615384615385,2013,2
19,BHARAT FORGE,2014-10-01,408.0,2014-11-03,484.774994,76.77499399999999,7908.264323644073,607156.9459981876,60.71569459981876,18.817400490196075,2013,2
20,BHARAT FORGE,2014-11-03,484.774994,2014-12-01,475.625,-9.149993999999992,7908.264323644073,-72360.57111175726,-7.236057111175727,-1.887472355886408,2013,2
