,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
67,BOSCH LTD,SHORT,2010-12-01,6327.6,2011-01-03,6000.2,-327.40000000000055,158.03780264239205,-51741.57658511924,-5.174157658511924,-5.174157658511924,2010,1S
68,BOSCH LTD,SHORT,2011-01-03,6000.2,2011-02-01,5961.5,-38.69999999999982,158.03780264239205,-6116.062962260544,-0.6116062962260544,-0.6449785007166398,2010,1S
69,BOSCH LTD,SHORT,2011-02-01,5961.5,2011-03-01,6712.15,750.6499999999996,158.03780264239205,118631.07655351154,11.863107655351152,12.59162962341692,2010,1S
0,BOSCH LTD,LONG,2011-03-01,6712.15,2011-04-01,6720.0,7.850000000000364,148.98355966419106,1169.520943363954,0.1169520943363954,0.1169520943363954,2011,1L
1,BOSCH LTD,LONG,2011-04-01,6720.0,2011-05-02,7083.55,363.5500000000002,148.98355966419106,54162.97311591669,5.416297311591669,5.409970238095241,2011,1L
2,BOSCH LTD,LONG,2011-05-02,7083.55,2011-06-01,6914.0,-169.55000000000018,148.98355966419106,-25260.162541063622,-2.5260162541063624,-2.3935738436236096,2011,1L
3,BOSCH LTD,LONG,2011-06-01,6914.0,2011-07-01,7125.7,211.69999999999982,148.98355966419106,31539.81958090922,3.153981958090922,3.061903384437371,2011,1L
4,BOSCH LTD,LONG,2011-07-01,7125.7,2011-08-01,7236.5,110.80000000000018,148.98355966419106,16507.378410792397,1.6507378410792397,1.5549349537589316,2011,1L
5,BOSCH LTD,LONG,2011-08-01,7236.5,2011-09-02,7075.0,-161.5,148.98355966419106,-24060.844885766855,-2.4060844885766857,-2.2317418641608513,2011,1L
6,BOSCH LTD,LONG,2011-09-02,7075.0,2011-10-03,6990.0,-85.0,148.98355966419106,-12663.60257145624,-1.266360257145624,-1.2014134275618376,2011,1L
7,BOSCH LTD,LONG,2011-10-03,6990.0,2011-11-01,7031.6,41.600000000000364,148.98355966419106,6197.7160820304025,0.6197716082030402,0.5951359084406347,2011,1L
8,BOSCH LTD,LONG,2011-11-01,7031.6,2011-12-01,6798.0,-233.60000000000036,148.98355966419106,-34802.559537555084,-3.480255953755508,-3.3221457420786216,2011,1L
9,BOSCH LTD,LONG,2011-12-01,6798.0,2012-01-02,7335.0,537.0,148.98355966419106,80004.1715396706,8.00041715396706,7.899382171226832,2011,1L
10,BOSCH LTD,LONG,2012-01-02,7335.0,2012-02-01,7855.0,520.0,148.98355966419106,77471.45102537936,7.747145102537936,7.0892978868439,2011,1L
11,BOSCH LTD,LONG,2012-02-01,7855.0,2012-03-01,8142.6,287.60000000000036,148.98355966419106,42847.671759421406,4.28476717594214,3.6613621896881012,2011,1L
12,BOSCH LTD,LONG,2012-03-01,8142.6,2012-04-02,8722.5,579.8999999999996,148.98355966419106,86395.56624926435,8.639556624926435,7.121803846437251,2011,1L
