,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
103,DABUR,SHORT,2010-12-01,101.1,2011-01-03,94.0,-7.099999999999994,9891.196834817014,-70227.49752720074,-7.022749752720074,-7.022749752720074,2010,1S
104,DABUR,SHORT,2011-01-03,94.0,2011-02-01,99.35,5.349999999999994,9891.196834817014,52917.90306627097,5.291790306627097,5.691489361702121,2010,1S
105,DABUR,SHORT,2011-02-01,99.35,2011-03-01,96.95,-2.3999999999999915,9891.196834817014,-23738.87240356075,-2.373887240356075,-2.4157020634121706,2010,1S
106,DABUR,SHORT,2011-03-01,96.95,2011-04-01,101.6,4.6499999999999915,9891.196834817014,45994.06528189903,4.599406528189903,4.7962867457452205,2010,1S
107,DABUR,SHORT,2011-04-01,101.6,2011-05-02,114.2,12.600000000000009,9891.196834817014,124629.08011869446,12.462908011869446,12.401574803149614,2010,1S
108,DABUR,SHORT,2011-05-02,114.2,2011-06-01,114.75,0.5499999999999972,9891.196834817014,5440.15825914933,0.544015825914933,0.4816112084063022,2010,1S
109,DABUR,SHORT,2011-06-01,114.75,2011-07-01,104.65,-10.099999999999994,9891.196834817014,-99901.08803165179,-9.99010880316518,-8.801742919389973,2010,1S
110,DABUR,SHORT,2011-07-01,104.65,2011-08-01,110.75,6.099999999999994,9891.196834817014,60336.30069238373,6.033630069238373,5.828953655040606,2010,1S
111,DABUR,SHORT,2011-08-01,110.75,2011-09-02,102.9,-7.849999999999994,9891.196834817014,-77645.8951533135,-7.764589515331349,-7.088036117381484,2010,1S
112,DABUR,SHORT,2011-09-02,102.9,2011-10-03,101.35,-1.5500000000000114,9891.196834817014,-15331.355093966484,-1.5331355093966483,-1.5063168124392723,2010,1S
113,DABUR,SHORT,2011-10-03,101.35,2011-11-01,96.05,-5.299999999999997,9891.196834817014,-52423.343224530145,-5.242334322453014,-5.229403058707447,2010,1S
114,DABUR,SHORT,2011-11-01,96.05,2011-12-01,100.35,4.299999999999997,9891.196834817014,42532.14638971313,4.253214638971313,4.4768349817803195,2010,1S
115,DABUR,SHORT,2011-12-01,100.35,2012-01-02,95.05,-5.299999999999997,9891.196834817014,-52423.343224530145,-5.242334322453014,-5.281514698555054,2010,1S
116,DABUR,SHORT,2012-01-02,95.05,2012-02-01,105.3,10.25,9891.196834817014,101384.76755687439,10.138476755687439,10.783798001052078,2010,1S
117,DABUR,SHORT,2012-02-01,105.3,2012-03-01,107.8,2.5,9891.196834817014,24727.992087042534,2.472799208704253,2.3741690408357075,2010,1S
118,DABUR,SHORT,2012-03-01,107.8,2012-04-02,113.0,5.200000000000003,9891.196834817014,51434.2235410485,5.14342235410485,4.823747680890541,2010,1S
119,DABUR,SHORT,2012-04-02,113.0,2012-05-02,104.45,-8.549999999999997,9891.196834817014,-84569.73293768545,-8.456973293768545,-7.566371681415927,2010,1S
120,DABUR,SHORT,2012-05-02,104.45,2012-06-01,115.05,10.599999999999994,9891.196834817014,104846.68644906029,10.484668644906028,10.148396361895639,2010,1S
0,DABUR,LONG,2012-06-01,115.05,2012-07-02,120.5,5.450000000000003,8691.87309865276,47370.70838765757,4.737070838765757,4.7370708387657565,2012,1L
1,DABUR,LONG,2012-07-02,120.5,2012-08-01,123.6,3.0999999999999943,8691.87309865276,26944.80660582351,2.6944806605823506,2.5726141078838127,2012,1L
2,DABUR,LONG,2012-08-01,123.6,2012-09-03,128.85,5.25,8691.87309865276,45632.333767927,4.5632333767927,4.247572815533981,2012,1L
3,DABUR,LONG,2012-09-03,128.85,2012-10-01,125.45,-3.3999999999999915,8691.87309865276,-29552.36853541931,-2.955236853541931,-2.638727202173063,2012,1L
4,DABUR,LONG,2012-10-01,125.45,2012-11-01,128.75,3.299999999999997,8691.87309865276,28683.181225554086,2.868318122555409,2.6305300916699856,2012,1L
5,DABUR,LONG,2012-11-01,128.75,2012-12-03,130.25,1.5,8691.87309865276,13037.809647979142,1.3037809647979142,1.1650485436893203,2012,1L
