,Total ROI,Total Trades,Win Rate,Avg Profit% per Trade,Avg Loss% per Trade,Max Drawdown,ROI/DD Ratio
"(2011, 1)",-2.836938981736948,6,16.666666666666664,0.31974969474969456,-0.6313377352973285,-2.0885009393905403,-1.3583613625593172
"(2011, 2)",-0.8792020883671738,6,33.33333333333333,0.1859276576084124,-0.31276435089599963,-1.2099389825313673,-0.7266499394273221
"(2011, 3)",2.0307596074833443,6,66.66666666666666,0.5630015175960276,-0.11062323145038279,-0.22124646290076577,9.17872123629921
"(2011, 4)",0.7857485106982798,6,66.66666666666666,0.35890767640099136,-0.32494109745284283,-0.6498821949056857,1.2090629915046553
"(2011, 5)",-1.2116781744860787,6,33.33333333333333,0.42358551679144657,-0.5147123020172429,-1.4793367772284816,-0.819068513091483
"(2011, 6)",-0.3490708045451863,6,50.0,0.16033655398604532,-0.2766934888344407,-0.3607115595829396,-0.9677283559994236
"(2011, 7)",-0.3102686512445004,6,33.33333333333333,0.34857449357730474,-0.25185440959977745,-0.79372093687055,-0.39090395229816516
"(2011, 8)",-2.6872828005634783,9,33.33333333333333,0.48099736137670696,-0.6883791474489332,-3.5014059670947377,-0.7674867826861073
"(2011, 9)",0.22288855660650372,9,44.44444444444444,0.4901366152001097,-0.347531580838787,-1.052213501646114,0.2118282613346153
"(2011, 10)",2.1454240445167754,9,77.77777777777779,0.329347280816002,-0.08000346059761931,-0.09582096933729045,22.389922157485888
"(2011, 11)",-3.3259566877732873,9,22.22222222222222,0.5447896031797183,-0.6307908420189605,-3.0140888523046425,-1.1034700205437487
"(2011, 12)",-4.861975788146202,9,22.22222222222222,0.27725719212732747,-0.7737843103429795,-4.413739813594438,-1.1015546891031467
"(2012, 1)",4.6303002822122625,9,88.88888888888889,0.619743272170697,-0.3276458951533134,-0.3276458951533132,14.132025917936913
"(2012, 2)",2.8593980239329766,9,77.77777777777779,0.5796679453858246,-0.5991387968838976,-0.6316169393647737,4.52710788093922
"(2012, 3)",-1.1121811061586044,9,44.44444444444444,0.30802229605737996,-0.4688540580776249,-1.5146128678746889,-0.7343005792095386
"(2012, 4)",0.1730194251712025,9,44.44444444444444,0.4368802445147701,-0.39362538822196946,-1.196472409667328,0.14460795232153287
"(2012, 5)",-5.838713418802354,9,11.11111111111111,0.023662525292959605,-0.7327969930119141,-4.134530171479563,-1.412183047805149
"(2012, 6)",5.3600385438910925,9,100.0,0.5955598382101214,,0.0,inf
