,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
0,2013-01-31 15:15:00,ICICIBANK,2013-02-01,09:15:00,216.8361468,208.162700928,268.876822032,2013-02-01,12:15:00,214.636149,SuperTrend Reversed,-2.1999978000000056,-2.6314700958000055,4611.777209462938,-12135.753815193719,-1.213575381519372,2013,2
1,2013-03-05 10:15:00,ICICIBANK,2013-03-05,11:15:00,197.454348,189.55617408,244.84339152,2013-03-12,11:15:00,203.1725241,SuperTrend Reversed,5.718176099999994,5.317549227899994,5064.461786377072,26930.52486187842,2.693052486187842,2013,3
2,2013-03-21 10:15:00,ICICIBANK,2013-03-21,11:15:00,190.4907186,182.871089856,236.20849106400001,2013-03-26,09:15:00,182.871089856,Gapped Outside Initial SL,-7.619628744000011,-7.9929905524560105,5249.599599127136,-41960.00000000006,-4.196000000000006,2013,3
3,2013-03-26 10:15:00,ICICIBANK,2013-03-26,11:15:00,185.4361782,178.01873107199998,229.940860968,2013-03-28,10:15:00,183.5907255,SuperTrend Reversed,-1.8454527000000098,-2.21447960370001,5392.690950098539,-11942.004118050843,-1.1942004118050842,2013,3
4,2013-03-28 14:15:00,ICICIBANK,2013-03-28,15:15:00,190.8089001,183.176544096,236.60303612399997,2013-04-04,09:15:00,184.5998154,SuperTrend Reversed,-6.209084699999977,-6.584493415499977,5240.845681076278,-34508.313878698245,-3.4508313878698247,2013,3
5,2013-04-09 14:15:00,ICICIBANK,2013-04-10,14:15:00,182.999817,175.67982432,226.91977308,2013-04-10,15:15:00,182.908908,SuperTrend Reversed,-0.09090900000001056,-0.45681772500001055,5464.486338803278,-2496.2742175857506,-0.24962742175857508,2013,4
6,2013-04-11 10:15:00,ICICIBANK,2013-04-11,11:15:00,188.8725384,181.31763686399998,234.20194761599998,2013-05-03,10:15:00,208.1997918,SuperTrend Reversed,19.327253400000018,18.930181069800017,5294.575953028013,100227.28147862927,10.022728147862928,2013,4
7,2013-05-07 11:15:00,ICICIBANK,2013-05-07,12:15:00,211.6543338,203.188160448,262.451373912,2013-05-23,09:15:00,214.9543305,SuperTrend Reversed,3.2999967000000083,2.8733880357000086,4724.684734993128,13575.852589983719,1.357585258998372,2013,5
8,2013-05-27 11:15:00,ICICIBANK,2013-05-27,12:15:00,219.6270531,210.841970976,272.33754584400003,2013-05-30,09:15:00,217.0725102,SuperTrend Reversed,-2.5545429000000013,-2.991242463300001,4553.1731445883515,-13619.644852849873,-1.3619644852849873,2013,5
9,2013-06-17 10:15:00,ICICIBANK,2013-06-17,11:15:00,199.7088912,191.720535552,247.639025088,2013-06-20,09:15:00,189.7179921,SuperTrend Reversed,-9.990899100000007,-10.380325983300008,5007.288328482793,-51977.285142024804,-5.19772851420248,2013,6
10,2013-06-28 10:15:00,ICICIBANK,2013-06-28,11:15:00,192.7907163,185.079087648,239.06048821200002,2013-07-04,09:15:00,191.9725353,SuperTrend Reversed,-0.8181810000000098,-1.2029442516000097,5186.971754614514,-6239.637855425146,-0.6239637855425145,2013,6
