,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
11,ICICIGI,SHORT,2021-07-01,1478.45,2021-08-02,1596.75,-118.29999999999995,676.3840508640806,-80016.2332172207,-8.00162332172207,8.00162332172207,2021,1S
12,ICICIGI,SHORT,2021-08-02,1596.75,2021-09-01,1595.1,1.650000000000091,676.3840508640806,1116.0336839257945,0.11160336839257945,-0.10333489901362711,2021,1S
13,ICICIGI,SHORT,2021-09-01,1595.1,2021-10-01,1485.75,109.34999999999991,676.3840508640806,73962.59596198714,7.396259596198715,-6.855369569305994,2021,1S
14,ICICIGI,SHORT,2021-10-01,1485.75,2021-11-01,1441.15,44.59999999999991,676.3840508640806,30166.728668537933,3.0166728668537934,-3.001850917045257,2021,1S
15,ICICIGI,SHORT,2021-11-01,1441.15,2021-12-01,1404.4,36.75,676.3840508640806,24857.11386925496,2.485711386925496,-2.550046837594976,2021,1S
16,ICICIGI,SHORT,2021-12-01,1404.4,2022-01-03,1374.35,30.050000000000182,676.3840508640806,20325.340728465744,2.032534072846574,-2.1397037880945726,2021,1S
17,ICICIGI,SHORT,2022-01-03,1374.35,2022-02-01,1263.4,110.94999999999982,676.3840508640806,75044.81044336961,7.504481044336961,-8.072907192490982,2021,1S
18,ICICIGI,SHORT,2022-02-01,1263.4,2022-03-02,1334.25,-70.84999999999991,676.3840508640806,-47921.81000372005,-4.792181000372005,5.607883488997934,2021,1S
19,ICICIGI,SHORT,2022-03-02,1334.25,2022-04-01,1286.95,47.299999999999955,676.3840508640806,31992.96560587098,3.1992965605870984,-3.545062769346071,2021,1S
20,ICICIGI,SHORT,2022-04-01,1286.95,2022-05-02,1266.7,20.25,676.3840508640806,13696.777029997631,1.369677702999763,-1.573487703484984,2021,1S
21,ICICIGI,SHORT,2022-05-02,1266.7,2022-06-01,1124.25,142.45000000000005,676.3840508640806,96350.90804558831,9.63509080455883,-11.245756690613408,2021,1S
22,ICICIGI,SHORT,2022-06-01,1124.25,2022-07-01,1226.3,-102.04999999999995,676.3840508640806,-69024.99239067938,-6.9024992390679385,9.077162552812982,2021,1S
23,ICICIGI,SHORT,2022-07-01,1226.3,2022-08-01,1292.45,-66.15000000000009,676.3840508640806,-44742.80496465899,-4.4742804964659,5.394275462774206,2021,1S
24,ICICIGI,SHORT,2022-08-01,1292.45,2022-09-01,1154.3,138.1500000000001,676.3840508640806,93442.4566268728,9.34424566268728,-10.689001508762434,2021,1S
25,ICICIGI,SHORT,2022-09-01,1154.3,2022-10-03,1176.7,-22.40000000000009,676.3840508640806,-15151.002739355466,-1.5151002739355466,1.9405700424499777,2021,1S
26,ICICIGI,SHORT,2022-10-03,1176.7,2022-11-01,1217.95,-41.25,676.3840508640806,-27900.842098143323,-2.7900842098143324,3.5055664145491625,2021,1S
27,ICICIGI,SHORT,2022-11-01,1217.95,2022-12-01,1245.65,-27.700000000000045,676.3840508640806,-18735.838208935063,-1.8735838208935065,2.274313395459587,2021,1S
28,ICICIGI,SHORT,2022-12-01,1245.65,2023-01-02,1139.6,106.05000000000018,676.3840508640806,71730.52859413586,7.173052859413585,-8.513627423433563,2021,1S
29,ICICIGI,SHORT,2023-01-02,1139.6,2023-02-01,1106.35,33.25,676.3840508640806,22489.76969123068,2.248976969123068,-2.9176904176904177,2021,1S
30,ICICIGI,SHORT,2023-02-01,1106.35,2023-03-01,1077.2,29.149999999999864,676.3840508640806,19716.595082687858,1.9716595082687856,-2.6347900754733913,2021,1S
31,ICICIGI,SHORT,2023-03-01,1077.2,2023-04-03,1086.75,-9.549999999999955,676.3840508640806,-6459.467685751939,-0.6459467685751938,0.8865577422948343,2021,1S
32,ICICIGI,SHORT,2023-04-03,1086.75,2023-05-02,1190.8,-104.04999999999995,676.3840508640806,-70377.76049240756,-7.0377760492407555,9.574419139636527,2021,1S
33,ICICIGI,SHORT,2023-05-02,1190.8,2023-06-01,1351.5,-160.70000000000005,676.3840508640806,-108694.91697385778,-10.869491697385778,13.495129324823651,2021,1S
0,ICICIGI,LONG,2023-06-01,1351.5,2023-07-03,1394.85,43.34999999999991,739.9186089530152,32075.471698113142,3.2075471698113143,3.207547169811314,2023,1L
1,ICICIGI,LONG,2023-07-03,1394.85,2023-08-01,1323.3,-71.54999999999995,739.9186089530152,-52941.17647058821,-5.294117647058821,-5.1295838262178695,2023,1L
2,ICICIGI,LONG,2023-08-01,1323.3,2023-09-01,1312.25,-11.049999999999955,739.9186089530152,-8176.100628930784,-0.8176100628930785,-0.8350336280510811,2023,1L
3,ICICIGI,LONG,2023-09-01,1312.25,2023-10-03,1382.9,70.65000000000009,739.9186089530152,52275.24972253059,5.227524972253059,5.383882644313209,2023,1L
4,ICICIGI,LONG,2023-10-03,1382.9,2023-11-01,1489.0,106.09999999999991,739.9186089530152,78505.36440991485,7.850536440991485,7.672282883794916,2023,1L
5,ICICIGI,LONG,2023-11-01,1489.0,2023-12-01,1431.55,-57.450000000000045,739.9186089530152,-42508.32408435076,-4.250832408435076,-3.8582941571524545,2023,1L
6,ICICIGI,LONG,2023-12-01,1431.55,2024-01-01,1507.65,76.10000000000014,739.9186089530152,56307.80614132456,5.630780614132456,5.31591631448431,2023,1L
7,ICICIGI,LONG,2024-01-01,1507.65,2024-02-01,1720.7,213.04999999999995,739.9186089530152,157639.65963743985,15.763965963743983,14.131263887507043,2023,1L
8,ICICIGI,LONG,2024-02-01,1720.7,2024-03-01,1695.5,-25.200000000000045,739.9186089530152,-18645.94894561602,-1.8645948945616018,-1.4645202533852528,2023,1L
9,ICICIGI,LONG,2024-03-01,1695.5,2024-04-01,1722.2,26.700000000000045,739.9186089530152,19755.82685904554,1.975582685904554,1.5747567089354197,2023,1L
10,ICICIGI,LONG,2024-04-01,1722.2,2024-05-02,1677.4,-44.799999999999955,739.9186089530152,-33148.353681095046,-3.3148353681095046,-2.6013238880501657,2023,1L
