,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
0,ICICIPRULI,LONG,2020-01-01,513.6,2020-02-01,467.85,-45.75,1947.0404984423676,-89077.10280373832,-8.907710280373832,-8.907710280373832,2020,1L
1,ICICIPRULI,LONG,2020-02-01,467.85,2020-03-02,356.2,-111.65000000000003,1947.0404984423676,-217387.0716510904,-21.73870716510904,-23.864486480709633,2020,1L
31,ICICIPRULI,SHORT,2020-03-02,356.2,2020-04-01,412.25,-56.05000000000001,2807.4115665356544,-157355.41830432345,-15.735541830432345,15.735541830432345,2020,1S
32,ICICIPRULI,SHORT,2020-04-01,412.25,2020-05-04,388.25,24.0,2807.4115665356544,67377.8775968557,6.73778775968557,-5.821710127349909,2020,1S
33,ICICIPRULI,SHORT,2020-05-04,388.25,2020-06-01,424.5,-36.25,2807.4115665356544,-101768.66928691747,-10.176866928691746,9.336767546683838,2020,1S
34,ICICIPRULI,SHORT,2020-06-01,424.5,2020-07-01,453.5,-29.0,2807.4115665356544,-81414.93542953397,-8.141493542953397,6.831566548881036,2020,1S
2,ICICIPRULI,LONG,2020-07-01,453.5,2020-08-03,424.7,-28.80000000000001,2205.071664829107,-63506.0639470783,-6.350606394707829,-6.350606394707831,2020,2L
3,ICICIPRULI,LONG,2020-08-03,424.7,2020-09-01,422.5,-2.1999999999999886,2205.071664829107,-4851.15766262401,-0.48511576626240105,-0.5180127148575439,2020,2L
4,ICICIPRULI,LONG,2020-09-01,422.5,2020-10-01,404.6,-17.899999999999977,2205.071664829107,-39470.78280044096,-3.9470782800440958,-4.2366863905325385,2020,2L
5,ICICIPRULI,LONG,2020-10-01,404.6,2020-11-02,444.6,40.0,2205.071664829107,88202.86659316428,8.820286659316427,9.886307464162135,2020,2L
6,ICICIPRULI,LONG,2020-11-02,444.6,2020-12-01,499.9,55.299999999999955,2205.071664829107,121940.46306504951,12.194046306504951,12.438146648672955,2020,2L
7,ICICIPRULI,LONG,2020-12-01,499.9,2021-01-01,483.45,-16.44999999999999,2205.071664829107,-36273.42888643878,-3.627342888643878,-3.290658131626323,2020,2L
8,ICICIPRULI,LONG,2021-01-01,483.45,2021-02-01,464.45,-19.0,2205.071664829107,-41896.36163175303,-4.189636163175303,-3.9300858413486397,2020,2L
9,ICICIPRULI,LONG,2021-02-01,464.45,2021-03-01,446.4,-18.05000000000001,2205.071664829107,-39801.5435501654,-3.98015435501654,-3.8863171493163984,2020,2L
10,ICICIPRULI,LONG,2021-03-01,446.4,2021-04-01,524.8,78.39999999999998,2205.071664829107,172877.61852260193,17.287761852260193,17.562724014336915,2020,2L
11,ICICIPRULI,LONG,2021-04-01,524.8,2021-05-03,553.65,28.850000000000023,2205.071664829107,63616.31753031978,6.361631753031978,5.497332317073175,2020,2L
12,ICICIPRULI,LONG,2021-05-03,553.65,2021-06-01,615.45,61.80000000000007,2205.071664829107,136273.42888643895,13.627342888643895,11.16228664318614,2020,2L
13,ICICIPRULI,LONG,2021-06-01,615.45,2021-07-01,635.9,20.449999999999932,2205.071664829107,45093.71554575508,4.509371554575509,3.322771955479719,2020,2L
14,ICICIPRULI,LONG,2021-07-01,635.9,2021-08-02,661.05,25.149999999999977,2205.071664829107,55457.55237045199,5.545755237045199,3.9550243749017104,2020,2L
15,ICICIPRULI,LONG,2021-08-02,661.05,2021-09-01,674.2,13.150000000000091,2205.071664829107,28996.692392502955,2.8996692392502954,1.989259511383419,2020,2L
16,ICICIPRULI,LONG,2021-09-01,674.2,2021-10-01,621.15,-53.05000000000007,2205.071664829107,-116979.05181918427,-11.697905181918427,-7.868584989617333,2020,2L
17,ICICIPRULI,LONG,2021-10-01,621.15,2021-11-01,595.4,-25.75,2205.071664829107,-56780.5953693495,-5.678059536934951,-4.14553650487,2020,2L
35,ICICIPRULI,SHORT,2021-11-01,595.4,2021-12-01,563.15,32.25,1679.5431642593214,54165.267047363115,5.416526704736311,-5.416526704736311,2021,2S
36,ICICIPRULI,SHORT,2021-12-01,563.15,2022-01-03,561.75,1.3999999999999773,1679.5431642593214,2351.360429963012,0.2351360429963012,-0.24860161591049942,2021,2S
37,ICICIPRULI,SHORT,2022-01-03,561.75,2022-02-01,480.4,81.35000000000002,1679.5431642593214,136630.83641249585,13.663083641249585,-14.481530930129066,2021,2S
38,ICICIPRULI,SHORT,2022-02-01,480.4,2022-03-02,503.05,-22.650000000000034,1679.5431642593214,-38041.65267047369,-3.8041652670473693,4.714820982514579,2021,2S
39,ICICIPRULI,SHORT,2022-03-02,503.05,2022-04-01,528.95,-25.900000000000034,1679.5431642593214,-43500.16795431648,-4.350016795431648,5.148593579167087,2021,2S
40,ICICIPRULI,SHORT,2022-04-01,528.95,2022-05-02,521.6,7.350000000000023,1679.5431642593214,12344.64225730605,1.2344642257306049,-1.3895453256451502,2021,2S
41,ICICIPRULI,SHORT,2022-05-02,521.6,2022-06-01,490.3,31.30000000000001,1679.5431642593214,52569.70104131678,5.256970104131678,-6.000766871165646,2021,2S
42,ICICIPRULI,SHORT,2022-06-01,490.3,2022-07-01,557.1,-66.80000000000001,1679.5431642593214,-112193.48337252269,-11.219348337252269,13.624311645931064,2021,2S
18,ICICIPRULI,LONG,2022-07-01,557.1,2022-08-01,591.35,34.25,1795.009872554299,61479.08813498474,6.147908813498474,6.147908813498474,2022,3L
19,ICICIPRULI,LONG,2022-08-01,591.35,2022-09-01,528.85,-62.5,1795.009872554299,-112188.11703464368,-11.218811703464368,-10.569036949353174,2022,3L
20,ICICIPRULI,LONG,2022-09-01,528.85,2022-10-03,510.0,-18.850000000000023,1795.009872554299,-33835.93609764858,-3.3835936097648576,-3.5643377139075394,2022,3L
21,ICICIPRULI,LONG,2022-10-03,510.0,2022-11-01,478.75,-31.25,1795.009872554299,-56094.05851732184,-5.609405851732184,-6.127450980392156,2022,3L
43,ICICIPRULI,SHORT,2022-11-01,478.75,2022-12-01,453.35,25.399999999999977,2088.7728459530026,53054.83028720622,5.305483028720622,-5.305483028720622,2022,3S
44,ICICIPRULI,SHORT,2022-12-01,453.35,2023-01-02,456.35,-3.0,2088.7728459530026,-6266.318537859008,-0.6266318537859008,0.661740377192015,2022,3S
45,ICICIPRULI,SHORT,2023-01-02,456.35,2023-02-01,410.65,45.700000000000045,2088.7728459530026,95456.91906005231,9.545691906005231,-10.014243453489655,2022,3S
46,ICICIPRULI,SHORT,2023-02-01,410.65,2023-03-01,437.4,-26.75,2088.7728459530026,-55874.67362924282,-5.587467362924282,6.514063070741508,2022,3S
47,ICICIPRULI,SHORT,2023-03-01,437.4,2023-04-03,436.9,0.5,2088.7728459530026,1044.3864229765013,0.10443864229765012,-0.11431184270690445,2022,3S
48,ICICIPRULI,SHORT,2023-04-03,436.9,2023-05-02,469.7,-32.80000000000001,2088.7728459530026,-68511.7493472585,-6.851174934725851,7.507438773174642,2022,3S
49,ICICIPRULI,SHORT,2023-05-02,469.7,2023-06-01,576.2,-106.50000000000006,2088.7728459530026,-222454.30809399488,-22.245430809399487,22.67404726421121,2022,3S
22,ICICIPRULI,LONG,2023-06-01,576.2,2023-07-03,583.6,7.399999999999977,1735.5085039916694,12842.762929538314,1.2842762929538314,1.2842762929538316,2023,4L
23,ICICIPRULI,LONG,2023-07-03,583.6,2023-08-01,566.35,-17.25,1735.5085039916694,-29937.521693856295,-2.9937521693856297,-2.9557916381082934,2023,4L
24,ICICIPRULI,LONG,2023-08-01,566.35,2023-09-01,568.45,2.1000000000000227,1735.5085039916694,3644.567858382545,0.3644567858382545,0.37079544451311425,2023,4L
25,ICICIPRULI,LONG,2023-09-01,568.45,2023-10-03,528.85,-39.60000000000002,1735.5085039916694,-68726.13675807015,-6.872613675807014,-6.966311900782834,2023,4L
26,ICICIPRULI,LONG,2023-10-03,528.85,2023-11-01,566.65,37.799999999999955,1735.5085039916694,65602.22145088503,6.5602221450885025,7.147584381204491,2023,4L
27,ICICIPRULI,LONG,2023-11-01,566.65,2023-12-01,539.2,-27.449999999999932,1735.5085039916694,-47639.70843457121,-4.763970843457121,-4.844260125297791,2023,4L
