,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
10,IRCTC,SHORT,2021-11-01,797.4,2021-12-01,835.05,-37.64999999999998,1254.075746175069,-47215.95184349132,-4.721595184349132,4.721595184349132,2021,1S
11,IRCTC,SHORT,2021-12-01,835.05,2022-01-03,870.0,-34.950000000000045,1254.075746175069,-43829.94732881872,-4.382994732881873,4.1853781210706,2021,1S
12,IRCTC,SHORT,2022-01-03,870.0,2022-02-01,809.55,60.450000000000045,1254.075746175069,75808.87885628299,7.580887885628298,-6.9482758620689715,2021,1S
13,IRCTC,SHORT,2022-02-01,809.55,2022-03-02,775.2,34.34999999999991,1254.075746175069,43077.50188111351,4.307750188111351,-4.243098017417073,2021,1S
14,IRCTC,SHORT,2022-03-02,775.2,2022-04-01,727.25,47.950000000000045,1254.075746175069,60132.93202909462,6.013293202909463,-6.185500515995877,2021,1S
15,IRCTC,SHORT,2022-04-01,727.25,2022-05-02,679.25,48.0,1254.075746175069,60195.635816403315,6.019563581640332,-6.600206256445514,2021,1S
16,IRCTC,SHORT,2022-05-02,679.25,2022-06-01,573.85,105.39999999999998,1254.075746175069,132179.58364685226,13.217958364685225,-15.517114464482882,2021,1S
17,IRCTC,SHORT,2022-06-01,573.85,2022-07-01,638.85,-65.0,1254.075746175069,-81514.9235013795,-8.15149235013795,11.327001829746449,2021,1S
18,IRCTC,SHORT,2022-07-01,638.85,2022-08-01,709.25,-70.39999999999998,1254.075746175069,-88286.93253072484,-8.828693253072483,11.019801205290753,2021,1S
19,IRCTC,SHORT,2022-08-01,709.25,2022-09-01,683.45,25.799999999999955,1254.075746175069,32355.154251316726,3.235515425131673,-3.6376454000704905,2021,1S
20,IRCTC,SHORT,2022-09-01,683.45,2022-10-03,737.85,-54.39999999999998,1254.075746175069,-68221.72059192373,-6.822172059192373,7.959616650815711,2021,1S
0,IRCTC,LONG,2022-10-03,737.85,2022-11-01,733.25,-4.600000000000023,1355.2890153825304,-6234.329470759671,-0.623432947075967,-0.623432947075967,2022,1L
1,IRCTC,LONG,2022-11-01,733.25,2022-12-01,641.85,-91.39999999999998,1355.2890153825304,-123873.41600596324,-12.387341600596324,-12.46505284691442,2022,1L
2,IRCTC,LONG,2022-12-01,641.85,2023-01-02,638.35,-3.5,1355.2890153825304,-4743.511553838856,-0.47435115538388567,-0.5452987458128846,2022,1L
3,IRCTC,LONG,2023-01-02,638.35,2023-02-01,611.3,-27.050000000000068,1355.2890153825304,-36660.56786609754,-3.666056786609754,-4.237487271872808,2022,1L
21,IRCTC,SHORT,2023-02-01,611.3,2023-03-01,576.85,34.44999999999993,1635.858007524947,56355.30835923431,5.635530835923431,-5.635530835923431,2023,2S
22,IRCTC,SHORT,2023-03-01,576.85,2023-04-03,621.75,-44.89999999999998,1635.858007524947,-73450.02453787008,-7.345002453787009,7.7836525959954885,2023,2S
23,IRCTC,SHORT,2023-04-03,621.75,2023-05-02,654.3,-32.549999999999955,1635.858007524947,-53247.17814493695,-5.324717814493695,5.23522316043425,2023,2S
24,IRCTC,SHORT,2023-05-02,654.3,2023-06-01,639.55,14.75,1635.858007524947,24128.905610992966,2.412890561099297,-2.254317591318967,2023,2S
25,IRCTC,SHORT,2023-06-01,639.55,2023-07-03,644.6,-5.050000000000068,1635.858007524947,-8261.082938001095,-0.8261082938001094,0.7896176999452849,2023,2S
26,IRCTC,SHORT,2023-07-03,644.6,2023-08-01,677.05,-32.44999999999993,1635.858007524947,-53083.59234418442,-5.308359234418442,5.034129692832754,2023,2S
27,IRCTC,SHORT,2023-08-01,677.05,2023-09-01,684.7,-7.650000000000091,1635.858007524947,-12514.313757565993,-1.2514313757565994,1.129901779779941,2023,2S
28,IRCTC,SHORT,2023-09-01,684.7,2023-10-03,664.45,20.25,1635.858007524947,33126.124652380175,3.3126124652380176,-2.957499634876588,2023,2S
29,IRCTC,SHORT,2023-10-03,664.45,2023-11-01,709.55,-45.09999999999991,1635.858007524947,-73777.19613937497,-7.377719613937496,6.787568665813818,2023,2S
4,IRCTC,LONG,2023-11-01,709.55,2023-12-01,893.0,183.45000000000005,1409.3439503910931,258544.1476992461,25.85441476992461,25.85441476992461,2023,2L
5,IRCTC,LONG,2023-12-01,893.0,2024-01-01,985.05,92.04999999999995,1409.3439503910931,129730.11063350005,12.973011063350004,10.307950727883533,2023,2L
6,IRCTC,LONG,2024-01-01,985.05,2024-02-01,931.5,-53.549999999999955,1409.3439503910931,-75470.36854344298,-7.547036854344298,-5.43627227044312,2023,2L
7,IRCTC,LONG,2024-02-01,931.5,2024-03-01,936.65,5.149999999999977,1409.3439503910931,7258.1213445140975,0.7258121344514097,0.5528717122919997,2023,2L
8,IRCTC,LONG,2024-03-01,936.65,2024-04-01,1044.15,107.50000000000011,1409.3439503910931,151504.47466704267,15.150447466704268,11.477072545774849,2023,2L
9,IRCTC,LONG,2024-04-01,1044.15,2024-05-02,992.15,-52.000000000000114,1409.3439503910931,-73285.885420337,-7.3285885420337,-4.980127376334828,2023,2L
