,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
54,JINDALSTEL,SHORT,2017-01-02,80.2,2017-02-01,125.85,-45.64999999999999,12468.827930174562,-569201.9950124687,-56.92019950124687,56.92019950124687,2017,1S
0,JINDALSTEL,LONG,2017-02-01,125.85,2017-03-01,121.7,-4.1499999999999915,7945.967421533572,-32975.76479936425,-3.297576479936425,-3.297576479936425,2017,1L
1,JINDALSTEL,LONG,2017-03-01,121.7,2017-04-03,114.85,-6.8500000000000085,7945.967421533572,-54429.876837505035,-5.442987683750503,-5.628594905505348,2017,1L
2,JINDALSTEL,LONG,2017-04-03,114.85,2017-05-02,122.5,7.650000000000006,7945.967421533572,60786.65077473187,6.078665077473187,6.660861993905098,2017,1L
3,JINDALSTEL,LONG,2017-05-02,122.5,2017-06-01,123.9,1.4000000000000057,7945.967421533572,11124.354390147046,1.1124354390147047,1.1428571428571475,2017,1L
4,JINDALSTEL,LONG,2017-06-01,123.9,2017-07-03,154.45,30.549999999999983,7945.967421533572,242749.30472785048,24.274930472785048,24.65698143664244,2017,1L
5,JINDALSTEL,LONG,2017-07-03,154.45,2017-08-01,137.9,-16.549999999999983,7945.967421533572,-131505.7608263805,-13.150576082638048,-10.715441890579465,2017,1L
6,JINDALSTEL,LONG,2017-08-01,137.9,2017-09-01,135.3,-2.5999999999999943,7945.967421533572,-20659.515295987243,-2.065951529598724,-1.8854242204495968,2017,1L
7,JINDALSTEL,LONG,2017-09-01,135.3,2017-10-03,163.6,28.299999999999983,7945.967421533572,224870.87802939993,22.487087802939993,20.916481892091635,2017,1L
8,JINDALSTEL,LONG,2017-10-03,163.6,2017-11-01,173.2,9.599999999999994,7945.967421533572,76281.28724672225,7.628128724672225,5.867970660146696,2017,1L
9,JINDALSTEL,LONG,2017-11-01,173.2,2017-12-01,206.25,33.05000000000001,7945.967421533572,262614.2232816846,26.26142232816846,19.081986143187073,2017,1L
10,JINDALSTEL,LONG,2017-12-01,206.25,2018-01-01,267.9,61.64999999999998,7945.967421533572,489868.8915375445,48.98688915375445,29.89090909090908,2017,1L
11,JINDALSTEL,LONG,2018-01-01,267.9,2018-02-01,255.65,-12.249999999999972,7945.967421533572,-97338.10091378602,-9.733810091378603,-4.5726017170585935,2017,1L
