,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
0,2014-03-31 15:15:00,L_T,2014-04-01,09:15:00,848.665818,823.2058434599999,967.47903252,2014-04-01,10:15:00,839.8324935,SuperTrend Reversed,-8.83332449999989,-10.52182281149989,1178.320109977612,-12398.075412411497,-1.2398075412411498,2014,4
1,2014-04-02 13:15:00,L_T,2014-04-02,14:15:00,859.4324739,833.6494996829999,979.7530202460001,2014-04-04,09:15:00,845.999154,SuperTrend Reversed,-13.433319900000015,-15.138751527900014,1163.55854633014,-17614.823721056528,-1.761482372105653,2014,4
2,2014-04-10 13:15:00,L_T,2014-04-10,14:15:00,877.8657888,851.529815136,1000.7669992320001,2014-04-15,09:15:00,851.529815136,Initial SL Hit,-26.335973663999994,-28.065369267935992,1139.1262910096445,-31969.99999999999,-3.196999999999999,2014,4
3,2014-04-15 10:15:00,L_T,2014-04-15,11:15:00,863.33247,837.4324958999999,984.1990158000001,2014-04-16,11:15:00,856.999143,SuperTrend Reversed,-6.33332699999994,-8.05365861299994,1158.302316603475,-9328.571428571358,-0.9328571428571358,2014,4
4,2014-04-21 09:15:00,L_T,2014-04-21,10:15:00,861.332472,835.49249784,981.9190180800001,2014-04-28,09:15:00,895.6324377,SuperTrend Reversed,34.299965699999916,32.543000790299914,1160.9918730661764,37782.159442724354,3.7782159442724352,2014,4
5,2014-05-06 14:15:00,L_T,2014-05-06,15:15:00,867.332466,841.3124920199999,988.7590112400001,2014-05-15,10:15:00,922.0990779,SuperTrend Reversed,54.76661190000004,52.97718035610004,1152.9604150664875,61080.591852421276,6.108059185242127,2014,5
6,2014-05-16 15:15:00,L_T,2014-05-19,09:15:00,954.5990454,925.961074038,1088.2429117560002,2014-06-02,09:15:00,1088.2429117560002,Target Hit,133.64386635600022,131.6010243988442,1047.5602346543055,137860.00000000023,13.786000000000023,2014,5
7,2014-06-02 13:15:00,L_T,2014-06-02,14:15:00,1097.2989027,1064.379935619,1250.9207490780002,2014-06-13,13:15:00,1120.2988797,SuperTrend Reversed,22.999976999999944,20.782379217599946,911.3287159400345,18939.578966554218,1.8939578966554218,2014,6
8,2014-06-18 09:15:00,L_T,2014-06-18,10:15:00,1134.5988654,1100.560899438,1293.442706556,2014-06-19,15:15:00,1100.560899438,Initial SL Hit,-34.037965962000044,-36.273125726838046,881.3687643231094,-31970.00000000004,-3.197000000000004,2014,6
9,2014-06-24 15:15:00,L_T,2014-06-25,09:15:00,1116.6988833,1083.197916801,1273.036726962,2014-07-08,13:15:00,1138.6988613,SuperTrend Reversed,21.999978000000056,19.744580255400056,895.4965523426166,17681.20354616285,1.7681203546162851,2014,6
10,2014-07-16 14:15:00,L_T,2014-07-16,15:15:00,1104.665562,1071.52559514,1259.31874068,2014-07-24,09:15:00,1094.0989059,SuperTrend Reversed,-10.566656099999818,-12.765420567899818,905.2513578765843,-11555.914302956988,-1.1555914302956989,2014,7
11,2014-08-12 09:15:00,L_T,2014-08-12,10:15:00,991.2990087,961.5600384389999,1130.080869918,2014-08-13,11:15:00,969.7656969,SuperTrend Reversed,-21.53331179999998,-23.494376505599977,1008.7773630596188,-23700.595178049007,-2.3700595178049007,2014,8
12,2014-08-14 15:15:00,L_T,2014-08-18,09:15:00,993.1656735,963.370703295,1132.20886779,2014-08-26,09:15:00,1005.998994,SuperTrend Reversed,12.833320500000013,10.834155832500013,1006.8813559332102,10908.70951501931,1.090870951501931,2014,8
13,2014-09-01 09:15:00,L_T,2014-09-01,10:15:00,1045.998954,1014.6189853799999,1192.43880756,2014-09-10,09:15:00,1061.1322722,SuperTrend Reversed,15.133318200000076,13.026186973800076,956.0239005745699,12453.346080306,1.2453346080306,2014,9
14,2014-09-18 11:15:00,L_T,2014-09-18,12:15:00,1039.1322942,1007.9583253739999,1184.610815388,2014-09-19,14:15:00,1022.0323113,SuperTrend Reversed,-17.099982899999986,-19.161147505499986,962.3413742230706,-18439.56502213382,-1.8439565022133817,2014,9
15,2014-10-09 11:15:00,L_T,2014-10-09,12:15:00,981.8323515,952.3773809549999,1119.28888071,2014-10-13,09:15:00,962.665704,SuperTrend Reversed,-19.166647499999954,-21.111145555499952,1018.5038193865219,-21501.7823799015,-2.15017823799015,2014,10
16,2014-10-20 09:15:00,L_T,2014-10-20,10:15:00,991.999008,962.23903776,1130.8788691200002,2014-11-10,09:15:00,1082.1655845,SuperTrend Reversed,90.16657650000002,88.09241190750002,1008.0655241945565,88802.9233870968,8.88029233870968,2014,10
17,2014-11-18 14:15:00,L_T,2014-11-18,15:15:00,1099.2322341,1066.2552670769999,1253.124746874,2014-11-25,10:15:00,1090.665576,SuperTrend Reversed,-8.566658099999813,-10.756555910099813,909.7258695463505,-9785.517178639488,-0.9785517178639488,2014,11
18,2014-11-28 15:15:00,L_T,2014-12-01,09:15:00,1093.33224,1060.5322727999999,1246.3987536000002,2014-12-08,12:15:00,1065.5989344,SuperTrend Reversed,-27.733305599999994,-29.892236774399993,914.6350609765244,-27340.487804878045,-2.7340487804878046,2014,12
19,2014-12-19 09:15:00,L_T,2014-12-19,10:15:00,1026.2323071,995.445337887,1169.9048300940003,2014-12-23,14:15:00,999.8656668,SuperTrend Reversed,-26.366640300000086,-28.392738273900086,974.4382369191542,-27666.96982492619,-2.766696982492619,2014,12
20,2015-01-02 09:15:00,L_T,2015-01-02,10:15:00,1011.665655,981.31568535,1153.2988467000002,2015-01-06,09:15:00,1014.9656517,SuperTrend Reversed,3.2999966999999515,1.2733653932999514,988.4688632629325,1258.6820428335598,0.12586820428335596,2015,1
21,2015-01-12 15:15:00,L_T,2015-01-13,09:15:00,1024.4656422,993.731672934,1167.8908321080003,2015-01-28,15:15:00,1130.1655365,SuperTrend Reversed,105.69989429999987,103.54526312129987,976.1186308332791,101072.46046723485,10.107246046723485,2015,1
22,2015-02-12 14:15:00,L_T,2015-02-12,15:15:00,1102.7322306,1069.650263682,1257.1147428840002,2015-02-26,14:15:00,1116.0322173,SuperTrend Reversed,13.299986699999863,11.081222252099863,906.8384620044131,10048.878544223318,1.0048878544223319,2015,2
23,2015-02-27 09:15:00,L_T,2015-02-27,10:15:00,1155.232178,1120.57521266,1316.96468292,2015-03-05,11:15:00,1204.7321286,SuperTrend Reversed,49.49995059999992,47.13998629339992,865.6268575649042,40805.63820080843,4.080563820080843,2015,2
24,2015-03-19 12:15:00,L_T,2015-03-19,13:15:00,1153.998846,1119.37888062,1315.5586844400002,2015-03-19,14:15:00,1121.6322117,SuperTrend Reversed,-32.36663429999999,-34.64226535769998,866.5519930684576,-30019.324090121303,-3.0019324090121304,2015,3
