,Signal Generated At,Stock Name,Entry Date,Entry Time,Entry Price,Initial SL,Initial Target,Exit Date,Exit Time,Exit Price,Remark,Points Captured,After Costs,Qty,PnL,ROI%,Trade Year,Trade Month
0,2012-09-28 15:15:00,PERSISTENT,2012-10-01,09:15:00,107.125,102.83999999999999,119.98000000000002,2012-10-05,10:15:00,106.025,SuperTrend Reversed,-1.0999999999999943,-1.3131499999999943,9334.889148191365,-12258.109684947438,-1.2258109684947438,2012,10
1,2012-10-15 15:15:00,PERSISTENT,2012-10-16,09:15:00,108.5,104.16,121.52000000000001,2012-10-17,12:15:00,105.7375,SuperTrend Reversed,-2.762500000000003,-2.9767375000000027,9216.589861751152,-27435.368663594494,-2.7435368663594493,2012,10
2,2012-10-18 10:15:00,PERSISTENT,2012-10-18,11:15:00,107.25,102.96,120.12,2012-10-19,09:15:00,120.12,Target Hit,12.870000000000005,12.642630000000004,9324.009324009325,117880.00000000004,11.788000000000004,2012,10
3,2012-10-19 10:15:00,PERSISTENT,2012-10-19,11:15:00,115.975,111.33599999999998,129.892,2012-11-09,15:15:00,118.8125,SuperTrend Reversed,2.8375000000000057,2.6027125000000058,8622.547962923045,22442.013364949395,2.2442013364949394,2012,10
4,2012-11-26 12:15:00,PERSISTENT,2012-11-26,13:15:00,119.5,114.72,133.84,2012-12-05,14:15:00,122.25,SuperTrend Reversed,2.75,2.50825,8368.200836820084,20989.539748953976,2.0989539748953976,2012,11
5,2012-12-14 10:15:00,PERSISTENT,2012-12-14,11:15:00,124.5,119.52,139.44000000000003,2012-12-17,15:15:00,120.15,SuperTrend Reversed,-4.349999999999994,-4.594649999999994,8032.128514056225,-36904.819277108385,-3.6904819277108385,2012,12
6,2012-12-20 11:15:00,PERSISTENT,2012-12-20,12:15:00,125.725,120.69599999999998,140.812,2013-01-16,11:15:00,140.812,Target Hit,15.087000000000018,14.820463000000018,7953.867568104992,117880.00000000015,11.788000000000014,2012,12
7,2013-01-16 12:15:00,PERSISTENT,2013-01-16,13:15:00,142.475,136.77599999999998,159.572,2013-01-24,15:15:00,140.5,SuperTrend Reversed,-1.9749999999999943,-2.2579749999999943,7018.775223723461,-15848.218985786942,-1.5848218985786942,2013,1
8,2013-01-30 14:15:00,PERSISTENT,2013-01-30,15:15:00,139.9875,134.388,156.78600000000003,2013-02-01,09:15:00,135.125,SuperTrend Reversed,-4.862500000000011,-5.137612500000011,7143.494954906688,-36700.50897401561,-3.670050897401561,2013,1
9,2013-02-11 11:15:00,PERSISTENT,2013-02-11,12:15:00,134.3,128.928,150.41600000000003,2013-02-14,11:15:00,131.25,SuperTrend Reversed,-3.0500000000000114,-3.3155500000000115,7446.016381236038,-24687.63961280723,-2.468763961280723,2013,2
