,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
65,PIDILITE IND,SHORT,2016-02-01,589.05,2016-03-01,593.0,3.9500000000000455,1697.648756472286,6705.712588065608,0.6705712588065608,0.6705712588065607,2016,1S
66,PIDILITE IND,SHORT,2016-03-01,593.0,2016-04-01,607.95,14.950000000000045,1697.648756472286,25379.848909260756,2.537984890926076,2.521079258010126,2016,1S
67,PIDILITE IND,SHORT,2016-04-01,607.95,2016-05-02,707.3,99.34999999999991,1697.648756472286,168661.40395552147,16.866140395552147,16.341804424705963,2016,1S
0,PIDILITE IND,LONG,2016-05-02,707.3,2016-06-01,724.25,16.950000000000045,1413.8272303124559,23964.37155379619,2.396437155379619,2.396437155379619,2016,1L
1,PIDILITE IND,LONG,2016-06-01,724.25,2016-07-01,735.55,11.299999999999955,1413.8272303124559,15976.247702530687,1.5976247702530686,1.560234725578178,2016,1L
2,PIDILITE IND,LONG,2016-07-01,735.55,2016-08-01,704.2,-31.34999999999991,1413.8272303124559,-44323.48367029536,-4.432348367029537,-4.262116783359379,2016,1L
3,PIDILITE IND,LONG,2016-08-01,704.2,2016-09-01,685.45,-18.75,1413.8272303124559,-26509.260568358546,-2.650926056835855,-2.6625958534507244,2016,1L
4,PIDILITE IND,LONG,2016-09-01,685.45,2016-10-03,722.55,37.09999999999991,1413.8272303124559,52452.99024459199,5.245299024459199,5.412502735429267,2016,1L
5,PIDILITE IND,LONG,2016-10-03,722.55,2016-11-01,642.0,-80.54999999999995,1413.8272303124559,-113883.78340166826,-11.388378340166826,-11.148017438239563,2016,1L
68,PIDILITE IND,SHORT,2016-11-01,642.0,2016-12-01,591.15,-50.85000000000002,1557.632398753894,-79205.60747663555,-7.920560747663555,-7.920560747663555,2016,2S
69,PIDILITE IND,SHORT,2016-12-01,591.15,2017-01-02,675.4,84.25,1557.632398753894,131230.52959501557,13.123052959501557,14.251881925061321,2016,2S
70,PIDILITE IND,SHORT,2017-01-02,675.4,2017-02-01,686.25,10.850000000000023,1557.632398753894,16900.311526479785,1.6900311526479785,1.6064554338170007,2016,2S
6,PIDILITE IND,LONG,2017-02-01,686.25,2017-03-01,703.0,16.75,1457.1948998178507,24408.014571949,2.4408014571949,2.4408014571948997,2017,2L
7,PIDILITE IND,LONG,2017-03-01,703.0,2017-04-03,723.15,20.149999999999977,1457.1948998178507,29362.47723132966,2.936247723132966,2.866287339971547,2017,2L
8,PIDILITE IND,LONG,2017-04-03,723.15,2017-05-02,771.8,48.64999999999998,1457.1948998178507,70892.5318761384,7.089253187613839,6.7275115812763575,2017,2L
9,PIDILITE IND,LONG,2017-05-02,771.8,2017-06-01,807.5,35.700000000000045,1457.1948998178507,52021.85792349734,5.202185792349734,4.625550660792958,2017,2L
10,PIDILITE IND,LONG,2017-06-01,807.5,2017-07-03,795.65,-11.850000000000023,1457.1948998178507,-17267.759562841562,-1.7267759562841563,-1.4674922600619222,2017,2L
11,PIDILITE IND,LONG,2017-07-03,795.65,2017-08-01,841.25,45.60000000000002,1457.1948998178507,66448.08743169402,6.644808743169402,5.7311631998994566,2017,2L
12,PIDILITE IND,LONG,2017-08-01,841.25,2017-09-01,796.25,-45.0,1457.1948998178507,-65573.77049180328,-6.557377049180328,-5.349182763744428,2017,2L
13,PIDILITE IND,LONG,2017-09-01,796.25,2017-10-03,786.8,-9.450000000000045,1457.1948998178507,-13770.491803278755,-1.3770491803278755,-1.1868131868131924,2017,2L
14,PIDILITE IND,LONG,2017-10-03,786.8,2017-11-01,847.8,61.0,1457.1948998178507,88888.88888888889,8.88888888888889,7.7529232333502796,2017,2L
15,PIDILITE IND,LONG,2017-11-01,847.8,2017-12-01,907.8,60.0,1457.1948998178507,87431.69398907103,8.743169398907105,7.077140835102619,2017,2L
16,PIDILITE IND,LONG,2017-12-01,907.8,2018-01-01,897.8,-10.0,1457.1948998178507,-14571.948998178506,-1.4571948998178506,-1.1015642211940957,2017,2L
17,PIDILITE IND,LONG,2018-01-01,897.8,2018-02-01,900.7,2.900000000000091,1457.1948998178507,4225.865209471899,0.42258652094718985,0.3230118066384597,2017,2L
18,PIDILITE IND,LONG,2018-02-01,900.7,2018-03-01,922.5,21.799999999999955,1457.1948998178507,31766.84881602908,3.176684881602908,2.4203397357610696,2017,2L
19,PIDILITE IND,LONG,2018-03-01,922.5,2018-04-02,1092.15,169.6500000000001,1457.1948998178507,247213.1147540985,24.72131147540985,18.390243902439035,2017,2L
20,PIDILITE IND,LONG,2018-04-02,1092.15,2018-05-02,1147.6,55.44999999999982,1457.1948998178507,80801.45719489956,8.080145719489956,5.07714141830333,2017,2L
21,PIDILITE IND,LONG,2018-05-02,1147.6,2018-06-01,1067.45,-80.14999999999986,1457.1948998178507,-116794.17122040053,-11.679417122040054,-6.984140815615185,2017,2L
22,PIDILITE IND,LONG,2018-06-01,1067.45,2018-07-02,1124.65,57.200000000000045,1457.1948998178507,83351.54826958112,8.335154826958112,5.3585648039720875,2017,2L
23,PIDILITE IND,LONG,2018-07-02,1124.65,2018-08-01,1173.5,48.84999999999991,1457.1948998178507,71183.97085610188,7.118397085610188,4.343573556217482,2017,2L
24,PIDILITE IND,LONG,2018-08-01,1173.5,2018-09-03,1046.7,-126.79999999999995,1457.1948998178507,-184772.3132969034,-18.477231329690337,-10.805283340434594,2017,2L
25,PIDILITE IND,LONG,2018-09-03,1046.7,2018-10-01,960.0,-86.70000000000005,1457.1948998178507,-126338.79781420772,-12.633879781420774,-8.283175695041562,2017,2L
71,PIDILITE IND,SHORT,2018-10-01,960.0,2018-11-01,1163.65,203.6500000000001,1041.6666666666667,212135.41666666677,21.21354166666668,21.21354166666668,2018,3S
26,PIDILITE IND,LONG,2018-11-01,1163.65,2018-12-03,1115.2,-48.450000000000045,859.3649293172344,-41636.23082542005,-4.163623082542005,-4.163623082542005,2018,3L
27,PIDILITE IND,LONG,2018-12-03,1115.2,2019-01-01,1124.85,9.649999999999864,859.3649293172344,8292.871567911196,0.8292871567911195,0.8653156384504899,2018,3L
28,PIDILITE IND,LONG,2019-01-01,1124.85,2019-02-01,1159.4,34.55000000000018,859.3649293172344,29691.058307910607,2.9691058307910607,3.0715206471974206,2018,3L
29,PIDILITE IND,LONG,2019-02-01,1159.4,2019-03-01,1250.55,91.14999999999986,859.3649293172344,78331.1133072658,7.83311133072658,7.861825081938921,2018,3L
30,PIDILITE IND,LONG,2019-03-01,1250.55,2019-04-01,1237.7,-12.849999999999909,859.3649293172344,-11042.839341726385,-1.1042839341726385,-1.0275478789332622,2018,3L
31,PIDILITE IND,LONG,2019-04-01,1237.7,2019-05-02,1291.9,54.200000000000045,859.3649293172344,46577.57916899415,4.657757916899414,4.3790902480407246,2018,3L
32,PIDILITE IND,LONG,2019-05-02,1291.9,2019-06-03,1223.45,-68.45000000000005,859.3649293172344,-58823.529411764735,-5.882352941176474,-5.298397708800994,2018,3L
33,PIDILITE IND,LONG,2019-06-03,1223.45,2019-07-01,1247.8,24.34999999999991,859.3649293172344,20925.53602887458,2.0925536028874583,1.990273407168246,2018,3L
34,PIDILITE IND,LONG,2019-07-01,1247.8,2019-08-01,1384.45,136.6500000000001,859.3649293172344,117432.21759120017,11.743221759120017,10.951274242667102,2018,3L
35,PIDILITE IND,LONG,2019-08-01,1384.45,2019-09-03,1454.0,69.54999999999995,859.3649293172344,59768.830834013614,5.976883083401361,5.023655603308169,2018,3L
36,PIDILITE IND,LONG,2019-09-03,1454.0,2019-10-01,1405.0,-49.0,859.3649293172344,-42108.88153654449,-4.210888153654449,-3.370013755158184,2018,3L
37,PIDILITE IND,LONG,2019-10-01,1405.0,2019-11-01,1309.75,-95.25,859.3649293172344,-81854.50951746658,-8.185450951746658,-6.779359430604982,2018,3L
38,PIDILITE IND,LONG,2019-11-01,1309.75,2019-12-02,1397.15,87.40000000000009,859.3649293172344,75108.49482232636,7.5108494822326355,6.673029204046581,2018,3L
39,PIDILITE IND,LONG,2019-12-02,1397.15,2020-01-01,1518.25,121.09999999999991,859.3649293172344,104069.09294031702,10.406909294031703,8.667644848441464,2018,3L
