,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
95,SIEMENS,SHORT,2010-12-01,819.0,2011-01-03,860.9,41.89999999999998,1221.001221001221,51159.95115995113,5.115995115995113,5.115995115995113,2010,1S
96,SIEMENS,SHORT,2011-01-03,860.9,2011-02-01,845.7,-15.199999999999932,1221.001221001221,-18559.218559218476,-1.8559218559218476,-1.7655941456615092,2010,1S
97,SIEMENS,SHORT,2011-02-01,845.7,2011-03-01,836.15,-9.550000000000068,1221.001221001221,-11660.561660561743,-1.1660561660561743,-1.1292420480075758,2010,1S
98,SIEMENS,SHORT,2011-03-01,836.15,2011-04-01,870.1,33.950000000000045,1221.001221001221,41452.99145299151,4.145299145299151,4.060276266220182,2010,1S
0,SIEMENS,LONG,2011-04-01,870.1,2011-05-02,879.6,9.5,1149.2931846914148,10918.28525456844,1.091828525456844,1.091828525456844,2011,1L
1,SIEMENS,LONG,2011-05-02,879.6,2011-06-01,895.1,15.5,1149.2931846914148,17814.04436271693,1.781404436271693,1.7621646202819463,2011,1L
2,SIEMENS,LONG,2011-06-01,895.1,2011-07-01,924.85,29.75,1149.2931846914148,34191.47224456959,3.4191472244569585,3.3236509887163446,2011,1L
3,SIEMENS,LONG,2011-07-01,924.85,2011-08-01,889.8,-35.05000000000007,1149.2931846914148,-40282.726123434164,-4.028272612343416,-3.7898037519597847,2011,1L
4,SIEMENS,LONG,2011-08-01,889.8,2011-09-02,838.7,-51.09999999999991,1149.2931846914148,-58728.88173773119,-5.872888173773119,-5.742863564846023,2011,1L
5,SIEMENS,LONG,2011-09-02,838.7,2011-10-03,859.6,20.899999999999977,1149.2931846914148,24020.22756005054,2.402022756005054,2.4919518302134227,2011,1L
6,SIEMENS,LONG,2011-10-03,859.6,2011-11-01,691.6,-168.0,1149.2931846914148,-193081.2550281577,-19.30812550281577,-19.54397394136808,2011,1L
99,SIEMENS,SHORT,2011-11-01,691.6,2011-12-01,642.0,-49.60000000000002,1445.9224985540775,-71717.75592828228,-7.171775592828228,-7.171775592828228,2011,2S
100,SIEMENS,SHORT,2011-12-01,642.0,2012-01-02,734.6,92.60000000000002,1445.9224985540775,133892.4233661076,13.38924233661076,14.423676012461062,2011,2S
101,SIEMENS,SHORT,2012-01-02,734.6,2012-02-01,803.85,69.25,1445.9224985540775,100130.13302486987,10.013013302486987,9.426898992649061,2011,2S
7,SIEMENS,LONG,2012-02-01,803.85,2012-03-01,767.55,-36.30000000000007,1244.0131865397773,-45157.678671394,-4.515767867139401,-4.515767867139401,2012,2L
8,SIEMENS,LONG,2012-03-01,767.55,2012-04-02,780.4,12.850000000000023,1244.0131865397773,15985.569447036167,1.5985569447036168,1.674158035307149,2012,2L
9,SIEMENS,LONG,2012-04-02,780.4,2012-05-02,683.05,-97.35000000000002,1244.0131865397773,-121104.68370964735,-12.110468370964735,-12.47437211686315,2012,2L
102,SIEMENS,SHORT,2012-05-02,683.05,2012-06-01,740.75,57.700000000000045,1464.0216675206793,84474.05021594327,8.447405021594328,8.447405021594328,2012,3S
103,SIEMENS,SHORT,2012-06-01,740.75,2012-07-02,684.9,-55.85000000000002,1464.0216675206793,-81765.61013102997,-8.176561013102997,-7.539655754303075,2012,3S
104,SIEMENS,SHORT,2012-07-02,684.9,2012-08-01,679.4,-5.5,1464.0216675206793,-8052.119171363736,-0.8052119171363735,-0.8030369396992263,2012,3S
105,SIEMENS,SHORT,2012-08-01,679.4,2012-09-03,713.9,34.5,1464.0216675206793,50508.747529463435,5.050874752946344,5.078010008831322,2012,3S
106,SIEMENS,SHORT,2012-09-03,713.9,2012-10-01,691.4,-22.5,1464.0216675206793,-32940.48751921528,-3.2940487519215287,-3.1517019190362796,2012,3S
107,SIEMENS,SHORT,2012-10-01,691.4,2012-11-01,676.5,-14.899999999999977,1464.0216675206793,-21813.92284605809,-2.181392284605809,-2.1550477292450068,2012,3S
108,SIEMENS,SHORT,2012-11-01,676.5,2012-12-03,667.9,-8.600000000000023,1464.0216675206793,-12590.586340677875,-1.2590586340677876,-1.2712490761271282,2012,3S
