,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
65,SRF,SHORT,2016-02-01,212.13,2016-03-01,262.36,50.23000000000002,4714.090416254184,236788.76160844773,23.678876160844773,23.678876160844776,2016,1S
66,SRF,SHORT,2016-03-01,262.36,2016-04-01,273.86,11.5,4714.090416254184,54212.03978692312,5.421203978692311,4.383290135691416,2016,1S
0,SRF,LONG,2016-04-01,273.86,2016-05-02,260.26,-13.600000000000023,3651.5007668151607,-49660.41042868627,-4.966041042868627,-4.966041042868627,2016,1L
1,SRF,LONG,2016-05-02,260.26,2016-06-01,264.57,4.310000000000002,3651.5007668151607,15737.96830497335,1.573796830497335,1.6560362714208878,2016,1L
2,SRF,LONG,2016-06-01,264.57,2016-07-01,293.22,28.650000000000034,3651.5007668151607,104615.49696925448,10.461549696925449,10.82889216464453,2016,1L
3,SRF,LONG,2016-07-01,293.22,2016-08-01,344.68,51.45999999999998,3651.5007668151607,187906.2294603081,18.790622946030812,17.549962485505755,2016,1L
4,SRF,LONG,2016-08-01,344.68,2016-09-01,357.18,12.5,3651.5007668151607,45643.75958518951,4.5643759585189505,3.6265521643263314,2016,1L
5,SRF,LONG,2016-09-01,357.18,2016-10-03,366.58,9.399999999999977,3651.5007668151607,34324.10720806243,3.4324107208062427,2.631726300464745,2016,1L
6,SRF,LONG,2016-10-03,366.58,2016-11-01,316.28,-50.30000000000001,3651.5007668151607,-183670.4885708026,-18.367048857080263,-13.721425064106066,2016,1L
67,SRF,SHORT,2016-11-01,316.28,2016-12-01,308.75,-7.529999999999973,3161.7554066017456,-23808.018211711056,-2.3808018211711057,-2.3808018211711057,2016,2S
68,SRF,SHORT,2016-12-01,308.75,2017-01-02,342.42,33.670000000000016,3161.7554066017456,106456.30454028082,10.645630454028082,10.905263157894742,2016,2S
69,SRF,SHORT,2017-01-02,342.42,2017-02-01,313.12,-29.30000000000001,3161.7554066017456,-92639.43341343118,-9.263943341343118,-8.556743180888969,2016,2S
70,SRF,SHORT,2017-02-01,313.12,2017-03-01,326.75,13.629999999999995,3161.7554066017456,43094.726191981776,4.309472619198178,4.352963719979559,2016,2S
71,SRF,SHORT,2017-03-01,326.75,2017-04-03,357.01,30.25999999999999,3161.7554066017456,95674.7186037688,9.567471860376878,9.26090283091048,2016,2S
7,SRF,LONG,2017-04-03,357.01,2017-05-02,327.93,-29.079999999999984,2801.0419876193946,-81454.30099997195,-8.145430099997194,-8.145430099997194,2017,2L
8,SRF,LONG,2017-05-02,327.93,2017-06-01,310.08,-17.850000000000023,2801.0419876193946,-49998.599479006254,-4.999859947900625,-5.443234836702962,2017,2L
9,SRF,LONG,2017-06-01,310.08,2017-07-03,305.58,-4.5,2801.0419876193946,-12604.688944287276,-1.2604688944287277,-1.4512383900928794,2017,2L
10,SRF,LONG,2017-07-03,305.58,2017-08-01,307.88,2.3000000000000114,2801.0419876193946,6442.3965715246395,0.644239657152464,0.7526670593625275,2017,2L
11,SRF,LONG,2017-08-01,307.88,2017-09-01,309.06,1.1800000000000068,2801.0419876193946,3305.2295453909046,0.3305229545390905,0.3832662076133581,2017,2L
12,SRF,LONG,2017-09-01,309.06,2017-10-03,340.74,31.680000000000007,2801.0419876193946,88737.01016778244,8.873701016778245,10.250436808386723,2017,2L
13,SRF,LONG,2017-10-03,340.74,2017-11-01,368.17,27.430000000000007,2801.0419876193946,76832.58172040002,7.683258172040001,8.050126195926515,2017,2L
14,SRF,LONG,2017-11-01,368.17,2017-12-01,398.57,30.399999999999977,2801.0419876193946,85151.67642362953,8.515167642362954,8.257055164733677,2017,2L
15,SRF,LONG,2017-12-01,398.57,2018-01-01,358.05,-40.51999999999998,2801.0419876193946,-113498.22133833781,-11.349822133833781,-10.166344682239,2017,2L
16,SRF,LONG,2018-01-01,358.05,2018-02-01,382.27,24.21999999999997,2801.0419876193946,67841.23694014165,6.7841236940141645,6.7644183773215945,2017,2L
17,SRF,LONG,2018-02-01,382.27,2018-03-01,391.77,9.5,2801.0419876193946,26609.89888238425,2.660989888238425,2.4851544719700738,2017,2L
18,SRF,LONG,2018-03-01,391.77,2018-04-02,478.96,87.19,2801.0419876193946,244222.850900535,24.4222850900535,22.25540495699007,2017,2L
19,SRF,LONG,2018-04-02,478.96,2018-05-02,387.55,-91.40999999999997,2801.0419876193946,-256043.24808828876,-25.604324808828878,-19.085101052279935,2017,2L
20,SRF,LONG,2018-05-02,387.55,2018-06-01,340.12,-47.43000000000001,2801.0419876193946,-132853.42147278792,-13.285342147278792,-12.23842084892272,2017,2L
72,SRF,SHORT,2018-06-01,340.12,2018-07-02,346.88,6.759999999999991,2940.138774550159,19875.338115959046,1.9875338115959047,1.9875338115959047,2018,3S
73,SRF,SHORT,2018-07-02,346.88,2018-08-01,407.92,61.04000000000002,2940.138774550159,179466.07079854177,17.946607079854175,17.596863468634695,2018,3S
21,SRF,LONG,2018-08-01,407.92,2018-09-03,343.46,-64.46000000000004,2451.4610707981956,-158021.18062365177,-15.802118062365178,-15.802118062365178,2018,3L
22,SRF,LONG,2018-09-03,343.46,2018-10-01,384.68,41.22000000000003,2451.4610707981956,101049.2253383017,10.10492253383017,12.001397542654175,2018,3L
23,SRF,LONG,2018-10-01,384.68,2018-11-01,432.94,48.25999999999999,2451.4610707981956,118307.51127672089,11.83075112767209,12.545492357283974,2018,3L
