,Stock Name,Trade Type,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
58,TVS MOTORS,SHORT,2011-07-01,49.3,2011-08-01,55.5,6.200000000000003,20283.97565922921,125760.64908722116,12.576064908722115,12.576064908722115,2011,1S
59,TVS MOTORS,SHORT,2011-08-01,55.5,2011-09-02,61.1,5.600000000000001,20283.97565922921,113590.2636916836,11.359026369168362,10.090090090090092,2011,1S
60,TVS MOTORS,SHORT,2011-09-02,61.1,2011-10-03,69.25,8.149999999999999,20283.97565922921,165314.40162271803,16.531440162271803,13.33878887070376,2011,1S
0,TVS MOTORS,LONG,2011-10-03,69.25,2011-11-01,59.85,-9.399999999999999,14440.43321299639,-135740.07220216605,-13.574007220216606,-13.574007220216606,2011,1L
1,TVS MOTORS,LONG,2011-11-01,59.85,2011-12-01,51.95,-7.899999999999999,14440.43321299639,-114079.42238267146,-11.407942238267147,-13.199665831244776,2011,1L
61,TVS MOTORS,SHORT,2011-12-01,51.95,2012-01-02,52.65,0.6999999999999957,19249.278152069295,13474.494706448424,1.3474494706448423,1.3474494706448426,2011,2S
62,TVS MOTORS,SHORT,2012-01-02,52.65,2012-02-01,47.4,-5.25,19249.278152069295,-101058.7102983638,-10.105871029836381,-9.971509971509972,2011,2S
63,TVS MOTORS,SHORT,2012-02-01,47.4,2012-03-01,41.3,-6.100000000000001,19249.278152069295,-117420.59672762273,-11.742059672762274,-12.869198312236291,2011,2S
64,TVS MOTORS,SHORT,2012-03-01,41.3,2012-04-02,41.3,0.0,19249.278152069295,0.0,0.0,0.0,2011,2S
65,TVS MOTORS,SHORT,2012-04-02,41.3,2012-05-02,33.65,-7.649999999999999,19249.278152069295,-147256.97786333007,-14.725697786333008,-18.523002421307506,2011,2S
66,TVS MOTORS,SHORT,2012-05-02,33.65,2012-06-01,36.8,3.1499999999999986,19249.278152069295,60635.22617901825,6.063522617901826,9.361069836552744,2011,2S
67,TVS MOTORS,SHORT,2012-06-01,36.8,2012-07-02,38.05,1.25,19249.278152069295,24061.59769008662,2.4061597690086622,3.396739130434783,2011,2S
68,TVS MOTORS,SHORT,2012-07-02,38.05,2012-08-01,38.95,0.9000000000000057,19249.278152069295,17324.350336862473,1.7324350336862475,2.3653088042050086,2011,2S
