,Stock Name,Entry Date,Entry Price,Exit Date,Exit Price,Points Captured,Qty,PnL,ROI%,Pct Change on Stock,Trade Year,Trade Number
0,ZYDUS LIFE,2016-08-01,382.95,2016-09-01,390.2,7.25,2611.3069591330463,18931.975453714585,1.8931975453714587,1.8931975453714585,2016,1
1,ZYDUS LIFE,2016-09-01,390.2,2016-10-03,424.55,34.35000000000002,2611.3069591330463,89698.3940462202,8.96983940462202,8.803177857508976,2016,1
2,ZYDUS LIFE,2016-10-03,424.55,2016-11-01,403.35,-21.19999999999999,2611.3069591330463,-55359.70753362055,-5.535970753362055,-4.993522553291718,2016,1
3,ZYDUS LIFE,2016-11-01,403.35,2016-12-01,356.95,-46.400000000000034,2611.3069591330463,-121164.64290377343,-12.116464290377344,-11.503656873682914,2016,1
4,ZYDUS LIFE,2016-12-01,356.95,2017-01-02,350.55,-6.399999999999977,2611.3069591330463,-16712.36453845144,-1.671236453845144,-1.7929682028295215,2016,1
5,ZYDUS LIFE,2017-02-01,440.95,2017-03-01,444.4,3.4499999999999886,2267.8308198208415,7824.016328381877,0.7824016328381876,0.7824016328381876,2017,2
6,ZYDUS LIFE,2017-03-01,444.4,2017-04-03,443.25,-1.1499999999999773,2267.8308198208415,-2608.0054427939162,-0.2608005442793916,-0.25877587758775367,2017,2
7,ZYDUS LIFE,2017-04-03,443.25,2017-05-02,467.95,24.69999999999999,2267.8308198208415,56015.421249574756,5.601542124957476,5.5724760293288185,2017,2
8,ZYDUS LIFE,2017-05-02,467.95,2017-06-01,528.1,60.150000000000034,2267.8308198208415,136410.0238122237,13.64100238122237,12.853937386472921,2017,2
9,ZYDUS LIFE,2017-06-01,528.1,2017-07-03,545.8,17.699999999999932,2267.8308198208415,40140.60551082874,4.014060551082874,3.351637947358442,2017,2
10,ZYDUS LIFE,2017-07-03,545.8,2017-08-01,502.7,-43.099999999999966,2267.8308198208415,-97743.50833427819,-9.774350833427818,-7.896665445218024,2017,2
11,ZYDUS LIFE,2017-08-01,502.7,2017-09-01,471.5,-31.19999999999999,2267.8308198208415,-70756.32157841024,-7.0756321578410235,-6.206484981102047,2017,2
12,ZYDUS LIFE,2020-04-01,325.15,2020-05-04,343.55,18.400000000000034,3075.5036137167463,56589.26649238823,5.658926649238824,5.658926649238824,2020,3
13,ZYDUS LIFE,2020-05-04,343.55,2020-06-01,353.25,9.699999999999989,3075.5036137167463,29832.385053052403,2.9832385053052404,2.8234609227186693,2020,3
14,ZYDUS LIFE,2020-06-01,353.25,2020-07-01,390.8,37.55000000000001,3075.5036137167463,115485.16069506385,11.548516069506386,10.629865534324136,2020,3
