Day,Day High,Day Low,Daily Range,Current Day Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Previous Day,Trade Year
2017-01-02,8211.7,8134.3,77.40000000000055,8195.25,50%,8233.95,8156.549999999999,low,8250,2017-01-05,2,NIFTY171058250CE,CE,2017-01-03 09:20:00,,2017-01-03 11:27:00,,SL Hit,,,,9818.181818181818,,,,,,2017
,8218.45,8180.95,37.50000000000091,8226.65,50%,8245.4,8207.9,high,8200,2017-01-05,0,NIFTY171058200PE,PE,2017-01-05 09:40:00,,2017-01-05 15:30:00,,EOD Closing,,,,9878.048780487805,,,,,2017-01-04,2017
2017-01-05,8282.55,8223.9,58.649999999999636,8283.0,50%,8312.325,8253.675,low,8300,2017-01-12,6,NIFTY171128300CE,CE,2017-01-06 14:43:00,,2017-01-06 15:30:00,,EOD Closing,,,,9759.036144578313,,,,,,2017
,8260.3,8228.0,32.29999999999927,8262.7,50%,8278.85,8246.550000000001,high,8250,2017-01-12,2,NIFTY171128250PE,PE,2017-01-10 09:19:00,,2017-01-10 15:30:00,,EOD Closing,,,,9818.181818181818,,,,,2017-01-09,2017
,8293.55,8262.25,31.299999999999272,8329.85,50%,8345.5,8314.2,high,8300,2017-01-12,1,NIFTY171128300PE,PE,2017-01-11 12:07:00,,2017-01-11 15:30:00,,EOD Closing,,,,9759.036144578313,,,,,2017-01-10,2017
2017-01-12,8417.0,8382.35,34.649999999999636,8457.65,50%,8474.974999999999,8440.325,low,8450,2017-01-19,6,NIFTY171198450CE,CE,2017-01-13 09:15:00,,2017-01-13 09:16:00,,SL Hit,,,,9585.798816568047,,,,,,2017
2017-01-16,8426.7,8374.75,51.95000000000073,8415.05,50%,8441.025,8389.074999999999,low,8450,2017-01-19,2,NIFTY171198450CE,CE,2017-01-17 12:09:00,,2017-01-17 15:30:00,,EOD Closing,,,,9585.798816568047,,,,,,2017
,8440.85,8378.3,62.55000000000109,8408.95,50%,8440.225000000002,8377.675,high,8400,2017-01-19,1,NIFTY171198400PE,PE,2017-01-18 09:35:00,,2017-01-18 15:30:00,,EOD Closing,,,,9642.857142857143,,,,,2017-01-17,2017
2017-01-19,8445.05,8404.3,40.75,8404.35,50%,8424.725,8383.975,low,8400,2017-01-25,5,NIFTY17JAN8400CE,CE,2017-01-20 13:00:00,33.85,2017-01-20 15:30:00,201.6,EOD Closing,-167.75,2.3545,-170.1045,9642.857142857143,-1617589.2857142857,-1640293.392857143,-17.973214285714285,-18.225482142857143,,2017
,8423.45,8341.0,82.45000000000073,8329.6,50%,8370.825,8288.375,high,8300,2017-01-25,2,NIFTY17JAN8300PE,PE,2017-01-23 09:35:00,17.25,2017-01-23 15:30:00,0.05,EOD Closing,17.2,0.17300000000000001,17.027,9759.036144578313,167855.42168674697,166167.10843373495,1.865060240963855,1.846301204819277,2017-01-20,2017
,8403.95,8328.05,75.90000000000146,8407.05,50%,8445.0,8369.099999999999,high,8350,2017-01-25,1,NIFTY17JAN8350PE,PE,2017-01-24 12:39:00,4.5,2017-01-24 15:30:00,0.05,EOD Closing,4.45,0.0455,4.4045000000000005,9700.59880239521,43167.66467065869,42726.28742514971,0.4796407185628743,0.47473652694610796,2017-01-23,2017
,8480.75,8399.45,81.29999999999927,8499.45,50%,8540.1,8458.800000000001,high,8450,2017-01-25,0,NIFTY17JAN8450PE,PE,2017-01-25 13:05:00,0.45,2017-01-25 15:30:00,0.05,EOD Closing,0.4,0.005,0.395,9585.798816568047,3834.319526627219,3786.390532544379,0.04260355029585799,0.04207100591715976,2017-01-24,2017
,8612.15,8494.1,118.04999999999927,8610.5,50%,8669.525,8551.475,high,8550,2017-02-02,6,NIFTY172028550PE,PE,2017-01-27 11:32:00,,2017-01-27 15:30:00,,EOD Closing,,,,9473.684210526315,,,,,2017-01-25,2017
2017-01-30,8662.55,8617.8,44.75,8629.45,50%,8651.825,8607.075,low,8650,2017-02-02,2,NIFTY172028650CE,CE,2017-01-31 09:15:00,,2017-01-31 15:30:00,,EOD Closing,,,,9364.161849710983,,,,,,2017
