Previous Day,Day High,Day Low,Daily Range,Current Day Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Max High,Min Low,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2017-01-04,8218.45,8180.95,37.50000000000091,8226.65,125%,8273.525000000001,8179.774999999999,high,8250,2017-01-05,0,NIFTY171058250PE,PE,2017-01-05 13:55:00,,2017-01-05 15:30:00,,,,EOD Closing,,,,9818.181818181818,,,,,2017
2017-01-10,8293.55,8262.25,31.299999999999272,8329.85,125%,8368.974999999999,8290.725000000002,high,8350,2017-01-12,1,NIFTY171128350PE,PE,2017-01-11 13:35:00,,2017-01-11 15:30:00,,,,EOD Closing,,,,9700.59880239521,,,,,2017
2017-01-12,8417.0,8382.35,34.649999999999636,8457.65,125%,8500.9625,8414.3375,low,8450,2017-01-19,6,NIFTY171198450CE,CE,2017-01-13 09:30:00,,2017-01-13 09:31:00,,,,SL Hit,,,,9585.798816568047,,,,,2017
2017-01-19,8445.05,8404.3,40.75,8404.35,125%,8455.2875,8353.4125,low,8400,2017-01-25,5,NIFTY17JAN8400CE,CE,2017-01-20 13:56:00,30.4,2017-01-20 15:30:00,28.2,32.0,26.05,EOD Closing,2.1999999999999993,0.586,1.6139999999999994,9642.857142857143,21214.285714285706,15563.571428571424,0.2357142857142856,0.17292857142857138,2017
2017-01-24,8480.75,8399.45,81.29999999999927,8499.45,125%,8601.075,8397.825,high,8500,2017-01-25,0,NIFTY17JAN8500PE,PE,2017-01-25 15:07:00,0.05,2017-01-25 15:30:00,0.05,0.05,0.05,EOD Closing,0.0,0.001,-0.001,9529.411764705883,0.0,-9.529411764705882,0.0,-0.00010588235294117646,2017
2017-01-30,8662.55,8617.8,44.75,8629.45,125%,8685.3875,8573.5125,low,8650,2017-02-02,2,NIFTY172028650CE,CE,2017-01-31 11:31:00,,2017-01-31 15:30:00,,0.05,0.05,EOD Closing,,,,9364.161849710983,,,,,2017
2017-01-31,8629.45,8552.85,76.60000000000036,8570.35,125%,8666.1,8474.6,high,8550,2017-02-02,1,NIFTY172028550PE,PE,2017-02-01 13:50:00,,2017-02-01 15:30:00,,0.05,0.05,EOD Closing,,,,9473.684210526315,,,,,2017
2017-02-06,8814.0,8770.2,43.79999999999927,8805.7,125%,8860.45,8750.95,low,8800,2017-02-09,2,NIFTY172098800CE,CE,2017-02-07 14:40:00,,2017-02-07 15:30:00,,0.05,0.05,EOD Closing,,,,9204.545454545454,,,,,2017
2017-02-10,8821.65,8771.2,50.44999999999891,8818.85,125%,8881.912499999999,8755.787500000002,low,8800,2017-02-16,3,NIFTY172168800CE,CE,2017-02-13 12:54:00,,2017-02-13 15:30:00,,0.05,0.05,EOD Closing,,,,9204.545454545454,,,,,2017
2017-02-14,8819.9,8772.65,47.25,8777.65,125%,8836.7125,8718.5875,low,8800,2017-02-16,1,NIFTY172168800CE,CE,2017-02-15 12:41:00,,2017-02-15 15:30:00,,0.05,0.05,EOD Closing,,,,9204.545454545454,,,,,2017
