,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
0,2023-08-20,65913.77,64735.82,1177.9500000000044,64908.08,40%,65379.26,64436.9,high,64400,2023-09-01,2,SENSEX2390164400PE,PE,2023-08-30 09:16:00,22.1,2023-08-31 15:23:00,27.55,SL Hit,-5.449999999999999,0.49650000000000005,-5.9464999999999995,465.8385093167702,-2538.8198757763976,-2770.108695652174,-0.08462732919254658,-0.09233695652173912,2023,63100,SENSEX2390163100PE,0.0,0.0,0.0,0.0,-2770.108695652174,-0.2770108695652174
1,2023-08-27,65473.27,64726.88,746.3899999999994,65602.4,40%,65900.95599999999,65303.844,high,65300,2023-09-08,2,SENSEX2390865300PE,PE,2023-09-06 15:08:00,28.85,2023-09-08 15:30:00,0.3,Expiry Closing,28.55,0.29150000000000004,28.2585,459.41807044410416,13116.385911179173,12982.465543644717,0.43721286370597245,0.4327488514548239,2023,64000,SENSEX2390864000PE,4.45,0.05,-4.4,-2021.4395099540584,10961.02603369066,1.096102603369066
2,2023-08-27,65473.27,64726.88,746.3899999999994,65602.4,40%,65900.95599999999,65303.844,low,65900,2023-09-08,4,SENSEX2390865900CE,CE,2023-09-04 10:39:00,106.85,2023-09-04 11:53:00,153.05,SL Hit,-46.20000000000002,2.5989999999999998,-48.799000000000014,455.2352048558422,-21031.866464339917,-22215.02276176025,-0.7010622154779972,-0.7405007587253416,2023,67200,SENSEX2390867200CE,0.0,0.0,0.0,0.0,-22215.02276176025,-2.2215022761760252
3,2023-09-03,66766.92,65285.56,1481.3600000000006,66816.7,40%,67409.24399999999,66224.156,high,66200,2023-09-15,3,SENSEX2391566200PE,PE,2023-09-12 09:15:00,15.25,2023-09-15 15:30:00,0.15,Expiry Closing,15.1,0.154,14.946,453.1722054380665,6842.900302114804,6773.111782477342,0.22809667673716014,0.22577039274924474,2023,64900,SENSEX2391564900PE,15.6,0.1,-15.5,-7024.169184290031,-251.05740181268902,-0.0251057401812689
4,2023-09-10,67927.23,66754.36,1172.8699999999953,67685.55,40%,68154.698,67216.402,low,68200,2023-09-22,2,SENSEX2392268200CE,CE,2023-09-20 09:15:00,18.6,2023-09-22 15:30:00,0.05,Expiry Closing,18.55,0.18650000000000003,18.363500000000002,439.88269794721407,8159.824046920821,8077.785923753667,0.2719941348973607,0.2692595307917889,2023,69600,SENSEX2392269600CE,6.1,0.1,-6.0,-2639.296187683284,5438.489736070383,0.5438489736070382
5,2023-09-24,66406.01,65423.39,982.6199999999953,65813.42,40%,66206.468,65420.372,low,66200,2023-10-06,3,SENSEX23100666200CE,CE,2023-10-03 09:40:00,106.45,2023-10-06 15:30:00,0.1,Expiry Closing,106.35000000000001,1.0655,105.28450000000001,453.1722054380665,48194.86404833838,47712.009063444115,1.606495468277946,1.5904003021148039,2023,67500,SENSEX23100667500CE,10.5,0.05,-10.45,-4735.649546827794,42976.35951661632,4.297635951661633
6,2023-10-01,66095.81,64878.77,1217.0400000000009,65560.07,40%,66046.88600000001,65073.25400000001,high,65100,2023-10-13,3,SENSEX23101365100PE,PE,2023-10-10 12:38:00,64.45,2023-10-13 15:30:00,0.05,Expiry Closing,64.4,0.645,63.755,460.8294930875576,29677.419354838712,29380.184331797234,0.9892473118279571,0.9793394777265745,2023,63800,SENSEX23101363800PE,10.1,0.05,-10.049999999999999,-4631.3364055299535,24748.84792626728,2.474884792626728
7,2023-10-08,66592.16,65434.61,1157.550000000003,66238.15,40%,66701.17,65775.12999999999,low,66700,2023-10-20,1,SENSEX23102066700CE,CE,2023-10-19 09:15:00,8.0,2023-10-20 15:30:00,0.05,Expiry Closing,7.95,0.0805,7.8695,449.77511244377814,3575.7121439280363,3539.505247376312,0.11919040479760122,0.11798350824587708,2023,68000,SENSEX23102068000CE,1.65,0.05,-1.5999999999999999,-719.6401799100449,2819.865067466267,0.2819865067466267
8,2023-10-15,66559.82,65308.61,1251.2100000000064,65419.02,40%,65919.504,64918.53599999999,low,65900,2023-10-27,4,SENSEX23OCT65900CE,CE,2023-10-23 14:51:00,50.3,2023-10-27 15:30:00,0.05,Expiry Closing,50.25,0.5035,49.7465,455.2352048558422,22875.56904400607,22646.358118361153,0.7625189681335356,0.7548786039453717,2023,67200,SENSEX23OCT67200CE,0.0,0.0,0.0,0.0,22646.358118361153,2.264635811836115
9,2023-11-05,65124.0,64580.95,543.0500000000029,65353.58,40%,65570.8,65136.36,high,65100,2023-11-17,2,SENSEX23111765100PE,PE,2023-11-15 09:15:00,193.95,2023-11-17 15:30:00,0.05,Expiry Closing,193.89999999999998,1.94,191.95999999999998,460.8294930875576,89354.83870967741,88460.82949308754,2.9784946236559136,2.9486943164362516,2023,63800,SENSEX23111763800PE,2.65,0.05,-2.6,-1198.1566820276498,87262.67281105989,8.72626728110599
