,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
0,2018-03-05,33490.82,33219.52,271.3000000000029,34010.92,40%,34119.44,33902.399999999994,low,34100,2023-09-01,1998,SENSEX2390134100CE,CE,2018-03-13 13:55:00,,2018-03-13 13:56:00,,SL Hit,,,,6532.25806451613,,,,,2018,35000,SENSEX2390135000CE,0.0,0.0,0.0,0.0,,
1,2018-03-12,34068.3,33120.3,948.0,33258.83,40%,33638.03,32879.630000000005,low,33600,2023-09-01,1992,SENSEX2390133600CE,CE,2018-03-19 15:10:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6629.464285714286,,,,,2018,34500,SENSEX2390134500CE,0.0,0.0,0.0,0.0,,
2,2018-03-19,33354.77,32483.84,870.9299999999967,32561.91,40%,32910.282,32213.538,high,32200,2023-09-01,1985,SENSEX2390132200PE,PE,2018-03-26 13:51:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6917.701863354037,,,,,2018,31300,SENSEX2390131300PE,0.0,0.0,0.0,0.0,,
3,2018-03-26,33311.04,32515.17,795.8700000000026,33062.09,40%,33380.437999999995,32743.741999999995,high,32700,2023-09-01,1977,SENSEX2390132700PE,PE,2018-04-03 15:13:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6811.926605504587,,,,,2018,31800,SENSEX2390131800PE,0.0,0.0,0.0,0.0,,
4,2018-04-02,33697.02,32972.63,724.3899999999994,33597.15,40%,33886.906,33307.394,high,33300,2023-09-01,1970,SENSEX2390133300PE,PE,2018-04-10 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6689.189189189189,,,,,2018,32400,SENSEX2390132400PE,0.0,0.0,0.0,0.0,,
5,2018-04-09,34313.14,33581.36,731.7799999999988,33930.22,40%,34222.932,33637.508,high,33600,2023-09-01,1964,SENSEX2390133600PE,PE,2018-04-16 13:38:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6629.464285714286,,,,,2018,32700,SENSEX2390132700PE,0.0,0.0,0.0,0.0,,
6,2018-04-16,34585.39,33900.5,684.8899999999994,34476.02,40%,34749.975999999995,34202.064,high,34200,2023-09-01,1953,SENSEX2390134200PE,PE,2018-04-27 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6513.157894736842,,,,,2018,33300,SENSEX2390133300PE,0.0,0.0,0.0,0.0,,
7,2018-04-23,35064.8,34343.4,721.4000000000015,35020.17,40%,35308.729999999996,34731.61,high,34700,2023-09-01,1948,SENSEX2390134700PE,PE,2018-05-02 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6419.308357348704,,,,,2018,33700,SENSEX2390133700PE,0.0,0.0,0.0,0.0,,
8,2018-04-30,35347.59,34847.61,499.9799999999959,35033.9,40%,35233.892,34833.908,high,34800,2023-09-01,1943,SENSEX2390134800PE,PE,2018-05-07 15:23:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6400.862068965517,,,,,2018,33800,SENSEX2390133800PE,0.0,0.0,0.0,0.0,,
9,2018-05-07,35596.15,34977.84,618.310000000005,35570.02,40%,35817.344,35322.695999999996,high,35300,2023-09-01,1935,SENSEX2390135300PE,PE,2018-05-15 09:50:00,,2018-05-18 09:39:00,,SL Hit,,,,6310.198300283286,,,,,2018,34300,SENSEX2390134300PE,0.0,0.0,0.0,0.0,,
10,2018-05-07,35596.15,34977.84,618.310000000005,35570.02,40%,35817.344,35322.695999999996,low,35800,2023-09-01,1934,SENSEX2390135800CE,CE,2018-05-16 09:31:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6222.067039106145,,,,,2018,36800,SENSEX2390136800CE,0.0,0.0,0.0,0.0,,
11,2018-05-14,35993.53,34821.62,1171.9099999999962,34900.47,40%,35369.234,34431.706000000006,low,35400,2023-09-01,1927,SENSEX2390135400CE,CE,2018-05-23 14:50:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6292.372881355933,,,,,2018,36400,SENSEX2390136400CE,0.0,0.0,0.0,0.0,,
12,2018-05-21,35016.11,34302.89,713.2200000000012,35051.79,40%,35337.078,34766.502,high,34800,2023-09-01,1919,SENSEX2390134800PE,PE,2018-05-31 15:06:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6400.862068965517,,,,,2018,33800,SENSEX2390133800PE,0.0,0.0,0.0,0.0,,
13,2018-05-21,35016.11,34302.89,713.2200000000012,35051.79,40%,35337.078,34766.502,low,35300,2023-09-01,1920,SENSEX2390135300CE,CE,2018-05-30 09:15:00,,2018-05-30 13:14:00,,SL Hit,,,,6310.198300283286,,,,,2018,36300,SENSEX2390136300CE,0.0,0.0,0.0,0.0,,
14,2018-05-28,35438.12,34735.11,703.010000000002,35497.7,40%,35778.903999999995,35216.496,low,35800,2023-09-01,1915,SENSEX2390135800CE,CE,2018-06-04 09:43:00,,2018-06-07 09:22:00,,SL Hit,,,,6222.067039106145,,,,,2018,36800,SENSEX2390136800CE,0.0,0.0,0.0,0.0,,
15,2018-06-04,35628.38,34785.02,843.3600000000006,35475.63,40%,35812.973999999995,35138.286,high,35100,2023-09-01,1906,SENSEX2390135100PE,PE,2018-06-13 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6346.153846153846,,,,,2018,34100,SENSEX2390134100PE,0.0,0.0,0.0,0.0,,
16,2018-06-11,35875.75,35419.88,455.8700000000026,35712.13,40%,35894.477999999996,35529.782,low,35900,2023-09-01,1901,SENSEX2390135900CE,CE,2018-06-18 09:51:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6204.7353760445685,,,,,2018,36900,SENSEX2390136900CE,0.0,0.0,0.0,0.0,,
17,2018-06-18,35740.95,35249.25,491.6999999999971,35783.75,40%,35980.43,35587.07,low,36000,2023-09-01,1894,SENSEX2390136000CE,CE,2018-06-25 11:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6187.5,,,,,2018,37000,SENSEX2390137000CE,0.0,0.0,0.0,0.0,,
18,2018-06-25,35783.75,34937.15,846.5999999999985,35536.38,40%,35875.02,35197.74,low,35900,2023-09-01,1887,SENSEX2390135900CE,CE,2018-07-02 10:37:00,,2018-07-06 11:06:00,,SL Hit,,,,6204.7353760445685,,,,,2018,36900,SENSEX2390136900CE,0.0,0.0,0.0,0.0,,
19,2018-07-02,35799.71,35106.57,693.1399999999994,35923.48,40%,36200.736000000004,35646.224,high,35600,2023-09-01,1879,SENSEX2390135600PE,PE,2018-07-10 14:00:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6257.0224719101125,,,,,2018,34600,SENSEX2390134600PE,0.0,0.0,0.0,0.0,,
20,2018-07-09,36739.88,35781.3,958.5799999999945,36648.35,40%,37031.782,36264.918,low,37000,2023-09-01,1872,SENSEX2390137000CE,CE,2018-07-17 09:17:00,,2018-07-18 09:15:00,,SL Hit,,,,6020.27027027027,,,,,2018,38000,SENSEX2390138000CE,0.0,0.0,0.0,0.0,,
21,2018-07-16,36747.77,36261.78,485.98999999999796,36543.51,40%,36737.906,36349.114,high,36300,2023-09-01,1866,SENSEX2390136300PE,PE,2018-07-23 15:16:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6136.363636363636,,,,,2018,35300,SENSEX2390135300PE,0.0,0.0,0.0,0.0,,
22,2018-07-23,37368.49,36510.8,857.689999999995,37475.31,40%,37818.386,37132.234,low,37800,2023-09-01,1856,SENSEX2390137800CE,CE,2018-08-02 15:27:00,,2018-08-03 09:15:00,,SL Hit,,,,5892.857142857142,,,,,2018,38800,SENSEX2390138800CE,0.0,0.0,0.0,0.0,,
23,2018-07-30,37711.72,37128.99,582.7300000000032,37714.7,40%,37947.792,37481.60799999999,high,37500,2023-09-01,1849,SENSEX2390137500PE,PE,2018-08-09 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5940.0,,,,,2018,36500,SENSEX2390136500PE,0.0,0.0,0.0,0.0,,
24,2018-08-06,38075.81,37586.88,488.9300000000003,37655.17,40%,37850.742,37459.598,high,37500,2023-09-01,1844,SENSEX2390137500PE,PE,2018-08-14 12:19:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5940.0,,,,,2018,36500,SENSEX2390136500PE,0.0,0.0,0.0,0.0,,
25,2018-08-13,38022.32,37559.26,463.0599999999977,38101.05,40%,38286.274000000005,37915.826,high,37900,2023-09-01,1838,SENSEX2390137900PE,PE,2018-08-20 12:35:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5877.30870712401,,,,,2018,36900,SENSEX2390136900PE,0.0,0.0,0.0,0.0,,
26,2018-08-20,38474.81,38051.26,423.54999999999563,38504.63,40%,38674.049999999996,38335.21,high,38300,2023-09-01,1831,SENSEX2390138300PE,PE,2018-08-27 12:38:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5815.926892950391,,,,,2018,37200,SENSEX2390137200PE,0.0,0.0,0.0,0.0,,
27,2018-08-27,38975.29,38416.93,558.3600000000006,38918.45,40%,39141.793999999994,38695.106,low,39100,2023-09-01,1824,SENSEX2390139100CE,CE,2018-09-03 09:23:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5696.930946291561,,,,,2018,40200,SENSEX2390140200CE,0.0,0.0,0.0,0.0,,
28,2018-09-03,38918.45,37776.76,1141.689999999995,38344.58,40%,38801.256,37887.904,low,38800,2023-09-01,1817,SENSEX2390138800CE,CE,2018-09-10 15:28:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5740.979381443299,,,,,2018,39900,SENSEX2390139900CE,0.0,0.0,0.0,0.0,,
29,2018-09-10,38344.58,37342.0,1002.5800000000017,37986.05,40%,38387.082,37585.018000000004,low,38400,2023-09-01,1810,SENSEX2390138400CE,CE,2018-09-17 14:56:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5800.78125,,,,,2018,39500,SENSEX2390139500CE,0.0,0.0,0.0,0.0,,
30,2018-09-17,37986.05,36035.71,1950.3400000000038,36933.72,40%,37713.856,36153.584,low,37700,2023-09-01,1802,SENSEX2390137700CE,CE,2018-09-25 09:32:00,,2023-09-01 15:30:00,,Expiry Closing,,,,5908.488063660478,,,,,2018,38700,SENSEX2390138700CE,0.0,0.0,0.0,0.0,,
31,2018-09-24,36937.47,35987.23,950.239999999998,36274.49,40%,36654.585999999996,35894.394,low,36700,2023-09-01,1793,SENSEX2390136700CE,CE,2018-10-04 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6069.482288828338,,,,,2018,37700,SENSEX2390137700CE,0.0,0.0,0.0,0.0,,
32,2018-10-08,34856.47,33725.28,1131.1900000000023,34971.83,40%,35424.306000000004,34519.354,high,34500,2023-09-01,1780,SENSEX2390134500PE,PE,2018-10-17 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6456.521739130434,,,,,2018,33600,SENSEX2390133600PE,0.0,0.0,0.0,0.0,,
33,2018-10-08,34856.47,33725.28,1131.1900000000023,34971.83,40%,35424.306000000004,34519.354,low,35400,2023-09-01,1778,SENSEX2390135400CE,CE,2018-10-19 09:15:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6292.372881355933,,,,,2018,36400,SENSEX2390136400CE,0.0,0.0,0.0,0.0,,
34,2018-10-15,35574.46,34140.43,1434.0299999999988,34689.39,40%,35263.002,34115.778,low,35300,2023-09-01,1775,SENSEX2390135300CE,CE,2018-10-22 15:11:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6310.198300283286,,,,,2018,36300,SENSEX2390136300CE,0.0,0.0,0.0,0.0,,
35,2018-10-22,34694.31,33292.35,1401.9599999999991,33572.74,40%,34133.524,33011.956,high,33000,2023-09-01,1768,SENSEX2390133000PE,PE,2018-10-29 15:22:00,,2023-09-01 15:30:00,,Expiry Closing,,,,6750.0,,,,,2018,32100,SENSEX2390132100PE,0.0,0.0,0.0,0.0,,
