week_start,entry_time,current week open,previous week high,previous week low,previous week range,multiplier%,high level,low level,strike,type,expiry,tag,entry price,exit price,exit_time,dte,slippage,final points,portfolio,index leverage,qty,PnL,ROI%,Trade Year
2023-08-26,2023-08-26 09:16:00,64940.5703,65913.77,64735.82,1177.9500000000044,36.27778427440156,65176.1603,64704.980299999996,65200,CE,2023-09-01,STRANGLE,273.45,297.8,2023-08-30 09:15:00,6,5.7125,-30.06250000000002,2000000,9,276.07361963190186,-8299.463190184055,-0.41497315950920277,2023
2023-08-26,2023-08-26 09:16:00,64940.5703,65913.77,64735.82,1177.9500000000044,36.27778427440156,65176.1603,64704.980299999996,64700,PE,2023-09-01,STRANGLE,223.35,0.05,2023-09-01 15:15:00,6,2.234,221.06599999999997,2000000,8,247.29520865533232,54668.56259659969,2.733428129829984,2023
2023-08-26,2023-08-30 14:15:00,64940.5703,65913.77,64735.82,1177.9500000000044,36.27778427440156,65176.1603,64704.980299999996,65200,CE,2023-09-01,RE-ENTRY,166.7,67.5,2023-09-01 12:15:00,2,2.342,96.85799999999999,2000000,9,276.07361963190186,26739.938650306747,1.3369969325153375,2023
2023-09-02,2023-09-02 09:16:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65800,CE,2023-09-08,STRANGLE,220.1,227.6,2023-09-05 09:15:00,6,4.477,-11.977,2000000,9,273.5562310030395,-3276.382978723404,-0.16381914893617022,2023
2023-09-02,2023-09-02 09:16:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65500,PE,2023-09-08,STRANGLE,359.0,284.0,2023-09-04 10:15:00,6,6.43,68.57,2000000,8,244.27480916030535,16749.923664122136,0.8374961832061067,2023
2023-09-02,2023-09-04 11:15:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65500,PE,2023-09-08,RE-ENTRY,254.0,0.05,2023-09-08 15:15:00,4,2.5405,251.40949999999998,2000000,8,244.27480916030535,61413.00763358778,3.070650381679389,2023
2023-09-02,2023-09-05 11:15:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65800,CE,2023-09-08,RE-ENTRY,195.7,225.15,2023-09-05 14:15:00,3,4.2085,-33.65850000000002,2000000,9,273.5562310030395,-9207.49240121581,-0.4603746200607905,2023
2023-09-02,2023-09-06 09:15:00,65604.3672,65473.2695,64723.6289,749.6405999999988,22.853374919833048,65754.29531999999,65454.43908,65800,CE,2023-09-08,RE-ENTRY,183.65,187.55,2023-09-06 14:15:00,2,3.7120000000000006,-7.612000000000006,2000000,9,273.5562310030395,-2082.3100303951383,-0.10411550151975692,2023
2023-09-09,2023-09-09 09:16:00,66816.7031,66766.9219,65285.5586,1481.3633000000045,44.341107276213535,67112.97576,66520.43044,67100,CE,2023-09-15,STRANGLE,245.35,337.9,2023-09-11 14:15:00,6,5.8325000000000005,-98.38249999999998,2000000,9,268.2563338301043,-26391.72876304023,-1.3195864381520115,2023
2023-09-09,2023-09-09 09:16:00,66816.7031,66766.9219,65285.5586,1481.3633000000045,44.341107276213535,67112.97576,66520.43044,66500,PE,2023-09-15,STRANGLE,248.4,0.05,2023-09-15 15:15:00,6,2.4845,245.8655,2000000,8,240.6015037593985,59155.60902255639,2.957780451127819,2023
2023-09-16,2023-09-16 09:16:00,67685.5469,67927.2266,66735.8438,1191.3827999999921,35.20346232143667,67923.82346,67447.27034,67900,CE,2023-09-22,STRANGLE,283.45,0.1,2023-09-22 15:15:00,6,2.8355,280.51449999999994,2000000,9,265.0957290132548,74363.19587628865,3.7181597938144324,2023
2023-09-16,2023-09-16 09:16:00,67685.5469,67927.2266,66735.8438,1191.3827999999921,35.20346232143667,67923.82346,67447.27034,67400,PE,2023-09-22,STRANGLE,283.15,406.05,2023-09-20 09:15:00,6,6.892,-129.79200000000003,2000000,8,237.3887240356083,-30811.157270029682,-1.540557863501484,2023
2023-09-23,2023-09-23 09:16:00,66084.4609,67803.1484,65952.8281,1850.3203000000067,55.998650054812096,66454.52496000001,65714.39684,66500,CE,2023-09-29,STRANGLE,201.0,0.05,2023-09-29 15:15:00,6,2.0105,198.93949999999998,2000000,9,270.6766917293233,53848.28571428571,2.6924142857142854,2023
2023-09-23,2023-09-23 09:16:00,66084.4609,67803.1484,65952.8281,1850.3203000000067,55.998650054812096,66454.52496000001,65714.39684,65700,PE,2023-09-29,STRANGLE,224.85,370.0,2023-09-27 09:15:00,6,5.9485,-151.0985,2000000,8,243.53120243531203,-36797.19939117199,-1.8398599695585995,2023
2023-09-23,2023-09-27 10:15:00,66084.4609,67803.1484,65952.8281,1850.3203000000067,55.998650054812096,66454.52496000001,65714.39684,65700,PE,2023-09-29,RE-ENTRY,196.15,230.0,2023-09-28 13:15:00,2,4.2615,-38.11149999999999,2000000,8,243.53120243531203,-9281.339421613393,-0.4640669710806697,2023
2023-09-23,2023-09-29 09:15:00,66084.4609,67803.1484,65952.8281,1850.3203000000067,55.998650054812096,66454.52496000001,65714.39684,65700,PE,2023-09-29,RE-ENTRY,105.65,0.05,2023-09-29 15:15:00,0,1.057,104.543,2000000,8,243.53120243531203,25459.482496194825,1.2729741248097413,2023
2023-09-30,2023-09-30 09:16:00,65813.5,66304.2891,65423.3906,880.8984999999957,26.769538164662134,65989.6797,65637.3203,66000,CE,2023-10-06,STRANGLE,193.55,54.75,2023-10-06 13:15:00,6,2.483,136.317,2000000,9,272.72727272727275,37177.36363636364,1.8588681818181818,2023
2023-09-30,2023-09-30 09:16:00,65813.5,66304.2891,65423.3906,880.8984999999957,26.769538164662134,65989.6797,65637.3203,65600,PE,2023-10-06,STRANGLE,420.4,401.9,2023-10-03 10:15:00,6,8.222999999999999,10.277000000000001,2000000,8,243.90243902439025,2506.585365853659,0.12532926829268295,2023
2023-09-30,2023-10-05 10:15:00,65813.5,66304.2891,65423.3906,880.8984999999957,26.769538164662134,65989.6797,65637.3203,65600,PE,2023-10-06,RE-ENTRY,147.8,186.55,2023-10-05 12:15:00,1,3.3435,-42.0935,2000000,8,243.90243902439025,-10266.707317073171,-0.5133353658536586,2023
2023-09-30,2023-10-05 13:15:00,65813.5,66304.2891,65423.3906,880.8984999999957,26.769538164662134,65989.6797,65637.3203,65600,PE,2023-10-06,RE-ENTRY,173.15,167.0,2023-10-05 14:15:00,1,3.4015,2.7485000000000057,2000000,8,243.90243902439025,670.365853658538,0.0335182926829269,2023
2023-09-30,2023-10-06 09:15:00,65813.5,66304.2891,65423.3906,880.8984999999957,26.769538164662134,65989.6797,65637.3203,65600,PE,2023-10-06,RE-ENTRY,50.8,0.05,2023-10-06 15:15:00,0,0.5085,50.2415,2000000,8,243.90243902439025,12254.024390243903,0.6127012195121952,2023
2023-10-07,2023-10-07 09:16:00,65578.3828,66095.8125,64878.7695,1217.0429999999978,37.117200761467934,65821.7914,65334.974200000004,65800,CE,2023-10-13,STRANGLE,263.45,350.0,2023-10-10 09:15:00,6,6.134500000000001,-92.68450000000001,2000000,9,273.5562310030395,-25354.42249240122,-1.2677211246200608,2023
2023-10-07,2023-10-07 09:16:00,65578.3828,66095.8125,64878.7695,1217.0429999999978,37.117200761467934,65821.7914,65334.974200000004,65300,PE,2023-10-13,STRANGLE,310.75,0.05,2023-10-13 15:15:00,6,3.108,307.592,2000000,8,245.0229709035222,75367.1056661562,3.76835528330781,2023
2023-10-14,2023-10-14 09:16:00,66179.4375,66592.1562,65434.6094,1157.5467999999964,34.98206825949515,66410.94686,65947.92814,66400,CE,2023-10-20,STRANGLE,268.85,349.6,2023-10-17 09:15:00,6,6.184500000000001,-86.9345,2000000,9,271.0843373493976,-23566.581325301202,-1.17832906626506,2023
2023-10-14,2023-10-14 09:16:00,66179.4375,66592.1562,65434.6094,1157.5467999999964,34.98206825949515,66410.94686,65947.92814,65900,PE,2023-10-20,STRANGLE,274.5,177.5,2023-10-18 14:15:00,6,4.5200000000000005,92.48,2000000,8,242.79210925644915,22453.41426403642,1.1226707132018208,2023
2023-10-14,2023-10-17 13:15:00,66179.4375,66592.1562,65434.6094,1157.5467999999964,34.98206825949515,66410.94686,65947.92814,66400,CE,2023-10-20,RE-ENTRY,246.8,276.25,2023-10-17 14:15:00,3,5.230499999999999,-34.68049999999999,2000000,9,271.0843373493976,-9401.340361445778,-0.47006701807228896,2023
2023-10-14,2023-10-18 10:15:00,66179.4375,66592.1562,65434.6094,1157.5467999999964,34.98206825949515,66410.94686,65947.92814,66400,CE,2023-10-20,RE-ENTRY,145.3,0.05,2023-10-20 15:15:00,2,1.4535000000000002,143.7965,2000000,9,271.0843373493976,38980.97891566265,1.9490489457831324,2023
2023-10-21,2023-10-21 09:16:00,65369.3906,66559.8203,65308.6094,1251.2109000000055,38.28124718666126,65619.63278,65119.14842,65600,CE,2023-10-27,STRANGLE,278.0,0.05,2023-10-27 15:15:00,6,2.7805,275.16949999999997,2000000,9,274.390243902439,75503.82621951218,3.775191310975609,2023
2023-10-21,2023-10-21 09:16:00,65369.3906,66559.8203,65308.6094,1251.2109000000055,38.28124718666126,65619.63278,65119.14842,65100,PE,2023-10-27,STRANGLE,238.35,324.8,2023-10-23 12:15:00,6,5.6315,-92.08150000000002,2000000,8,245.77572964669739,-22631.39784946237,-1.1315698924731183,2023
2023-10-28,2023-10-28 09:16:00,63809.3984,65453.9219,63092.9805,2360.9414000000033,73.99980125811696,64281.58668,63337.210119999996,64300,CE,2023-11-03,STRANGLE,172.25,229.2,2023-11-03 09:15:00,6,4.0145,-60.96449999999999,2000000,9,279.93779160186625,-17066.26749611197,-0.8533133748055985,2023
2023-10-28,2023-10-28 09:16:00,63809.3984,65453.9219,63092.9805,2360.9414000000033,73.99980125811696,64281.58668,63337.210119999996,63300,PE,2023-11-03,STRANGLE,319.95,0.05,2023-11-03 15:15:00,6,3.2,316.7,2000000,8,252.76461295418642,80050.55292259084,4.002527646129542,2023
