,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown,Slippage in pts,PnL w cs,ROI% w cs
0,2016-12-30,18248.2,17831.75,416.4500000000007,18168.45,50%,18376.675000000003,17960.225,high,18000,2017-01-12,2,BANKNIFTY1711218000PE,PE,2017-01-10 09:17:00,15.9,2017-01-11 15:20:00,0.05,Friday Closing,15.85,353.70925371428723,5606.291671371452,0.5606291671371452,2017,0.5606291671371452,0.5606291671371452,0.0,0.1595,5549.875045404024,0.5549875045404024
1,2017-01-13,19276.25,18781.6,494.65000000000146,18996.6,50%,19243.925,18749.274999999998,high,18700,2017-01-25,0,BANKNIFTY17JAN18700PE,PE,2017-01-25 13:05:00,0.3,2017-01-24 15:20:00,0.05,Friday Closing,0.25,337.76893227343174,84.44223306835794,0.008444223306835794,2017,0.569073390443981,0.569073390443981,0.0,0.0034999999999999996,83.26004180540093,0.008326004180540093
2,2017-01-13,19276.25,18781.6,494.65000000000146,18996.6,50%,19243.925,18749.274999999998,low,19200,2017-01-25,2,BANKNIFTY17JAN19200CE,CE,2017-01-23 09:15:00,15.5,2017-01-25 13:38:00,58.45,SL Hit,-42.95,337.76893227343174,-14507.175641143895,-1.4507175641143895,2017,-1.4507175641143895,-1.4507175641143895,0.0,0.7395,-14756.955766560097,-1.4756955766560098
3,2017-01-20,19517.7,18725.05,792.6500000000015,19588.4,50%,19984.725000000002,19192.075,high,19200,2017-02-02,1,BANKNIFTY1720219200PE,PE,2017-02-01 14:53:00,1.95,2017-02-01 15:20:00,0.05,Friday Closing,1.9,325.24840847197044,617.9719760967438,0.06179719760967438,2017,0.6308705880536554,0.6308705880536554,0.0,0.02,611.4670079273044,0.061146700792730435
4,2017-01-27,20145.9,19435.75,710.1500000000015,20061.9,50%,20416.975000000002,19706.825,high,19700,2017-02-09,3,BANKNIFTY1720919700PE,PE,2017-02-06 09:24:00,10.75,2017-02-08 15:20:00,0.05,Friday Closing,10.7,318.3625390147169,3406.479167457471,0.34064791674574707,2017,0.9715185047994024,0.9715185047994024,0.0,0.10800000000000001,3372.0960132438813,0.3372096013243881
5,2017-02-10,20366.7,20088.4,278.2999999999993,20918.45,50%,21057.6,20779.300000000003,low,21100,2017-02-23,6,BANKNIFTY17FEB21100CE,CE,2017-02-17 09:40:00,17.95,2017-02-17 09:41:00,15.6,SL Hit,2.3499999999999996,308.6771521920827,725.3913076513942,0.07253913076513942,2017,-1.37817843334925,-1.37817843334925,0.0,0.33549999999999996,621.8301230909505,0.062183012309095044
6,2017-02-17,21031.65,20452.6,579.0500000000029,20853.45,50%,21142.975000000002,20563.925,low,21100,2017-03-02,2,BANKNIFTY1730221100CE,CE,2017-02-28 11:42:00,6.8,2017-03-01 15:20:00,0.05,Expiry Closing,6.75,307.430718713899,2075.157351318818,0.20751573513188182,2017,-1.1706626982173682,-1.1706626982173682,0.0,0.06849999999999999,2054.098347086916,0.2054098347086916
7,2017-03-03,20777.15,20423.7,353.4500000000007,20825.9,50%,21002.625,20649.175000000003,high,20600,2017-03-16,2,BANKNIFTY1731620600PE,PE,2017-03-14 09:15:00,12.0,2017-03-15 15:20:00,0.05,Friday Closing,11.95,309.4851238833241,3698.3472304057227,0.36983472304057224,2017,1.3413532278399747,1.3413532278399747,0.0,0.12050000000000001,3661.054272977782,0.3661054272977782
8,2017-03-10,21289.3,20653.5,635.7999999999993,21308.45,50%,21626.35,20990.550000000003,low,21600,2017-03-23,2,BANKNIFTY1732321600CE,CE,2017-03-21 12:32:00,1.5,2017-03-22 15:20:00,0.05,Expiry Closing,1.45,300.55927144432604,435.81094359427277,0.04358109435942727,2017,-1.127081603857941,-1.127081603857941,0.0,0.015500000000000002,431.1522748868857,0.043115227488688575
9,2017-03-17,21316.85,20755.15,561.6999999999971,20987.6,50%,21268.449999999997,20706.75,high,20700,2017-03-30,1,BANKNIFTY17MAR20700PE,PE,2017-03-29 09:15:00,2.95,2017-03-29 15:20:00,0.05,Friday Closing,2.9000000000000004,305.6170054705444,886.289315864579,0.08862893158645789,2017,1.4299821594264326,1.4299821594264326,0.0,0.03,877.1208057004626,0.08771208057004627
