,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
0,2022-01-05,18562.6,17981.5,581.0999999999985,18660.25,40%,18892.69,18427.81,low,18900,2022-01-18,4,FINNIFTY2211818900CE,CE,2022-01-14 09:15:00,50.05,2022-01-14 09:45:00,40.95,SL Hit,9.099999999999994,0.91,8.189999999999994,1269.8412698412699,11555.55555555555,10399.999999999993,0.3851851851851849,0.3466666666666664,2022,19300,FINNIFTY2211819300CE,0.0,0.0,0.0,0.0,10399.999999999993,1.0399999999999994
1,2022-01-12,18747.35,18412.75,334.59999999999854,18488.05,40%,18621.89,18354.21,low,18600,2022-01-25,6,FINNIFTY22JAN18600CE,CE,2022-01-19 10:25:00,,2022-01-25 15:30:00,,Expiry Closing,,,,1290.3225806451615,,,,,2022,18950,FINNIFTY22JAN18950CE,0.0,0.0,0.0,0.0,,
2,2022-01-19,18488.05,17325.7,1162.3499999999985,17509.3,40%,17974.239999999998,17044.36,high,17050,2022-02-01,4,FINNIFTY2220117050PE,PE,2022-01-28 09:58:00,,2022-02-01 15:30:00,,Expiry Closing,,,,1407.624633431085,,,,,2022,16700,FINNIFTY2220116700PE,12.0,0.05,-11.95,-16821.114369501465,,
3,2022-01-26,18217.35,17387.1,830.25,18207.1,40%,18539.199999999997,17875.0,low,18550,2022-02-08,1,FINNIFTY2220818550CE,CE,2022-02-07 10:58:00,,2022-02-08 15:30:00,,Expiry Closing,,,,1293.8005390835579,,,,,2022,18900,FINNIFTY2220818900CE,0.5,0.1,-0.4,-517.5202156334232,,
4,2022-02-02,18427.35,17379.9,1047.449999999997,17761.55,40%,18180.53,17342.57,low,18200,2022-02-15,1,FINNIFTY2221518200CE,CE,2022-02-14 09:16:00,0.1,2022-02-15 15:30:00,0.05,Expiry Closing,0.05,0.0015000000000000002,0.0485,1318.6813186813185,65.93406593406593,63.95604395604395,0.002197802197802198,0.002131868131868132,2022,18550,FINNIFTY2221518550CE,0.0,0.0,0.0,0.0,63.95604395604395,0.006395604395604395
5,2022-02-09,18145.45,16976.85,1168.6000000000022,17654.85,40%,18122.29,17187.409999999996,low,18100,2022-02-22,0,FINNIFTY22FEB18100CE,CE,2022-02-22 09:15:00,,2022-02-22 15:30:00,,Expiry Closing,,,,1325.9668508287293,,,,,2022,18450,FINNIFTY22FEB18450CE,0.0,0.0,0.0,0.0,,
6,2022-02-16,17772.05,17136.0,636.0499999999993,17586.35,40%,17840.769999999997,17331.93,low,17850,2022-02-28,4,FINNIFTY22FEB17850CE,CE,2022-02-24 09:15:00,,2022-02-28 15:30:00,,Expiry Closing,,,,1344.5378151260504,,,,,2022,18200,FINNIFTY22FEB18200CE,0.0,0.0,0.0,0.0,,
7,2022-02-23,17628.0,16451.7,1176.2999999999993,16573.65,40%,17044.170000000002,16103.130000000001,low,17050,2022-03-08,4,FINNIFTY2230817050CE,CE,2022-03-04 09:16:00,,2022-03-08 15:30:00,,Expiry Closing,,,,1407.624633431085,,,,,2022,17400,FINNIFTY2230817400CE,3.5,0.1,-3.4,-4785.923753665688,,
8,2022-03-02,16727.85,15043.9,1683.949999999999,15565.4,40%,16238.98,14891.82,high,14900,2022-03-15,5,FINNIFTY2231514900PE,PE,2022-03-10 09:15:00,37.5,2022-03-15 15:30:00,1.0,Expiry Closing,36.5,0.385,36.115,1610.7382550335572,58791.94630872484,58171.81208053692,1.9597315436241614,1.9390604026845637,2022,14600,FINNIFTY2231514600PE,4.95,0.05,-4.9,-7892.617449664431,50279.19463087249,5.027919463087248
9,2022-03-09,16651.6,15429.95,1221.6499999999978,16596.5,40%,17085.16,16107.84,high,16100,2022-03-22,5,FINNIFTY2232216100PE,PE,2022-03-17 10:08:00,0.5,2022-03-22 15:30:00,0.05,Expiry Closing,0.45,0.0055000000000000005,0.4445,1490.6832298136646,670.8074534161491,662.608695652174,0.02236024844720497,0.022086956521739132,2022,15800,FINNIFTY2232215800PE,5.35,0.05,-5.3,-7900.621118012422,-7238.012422360248,-0.7238012422360248
10,2022-03-16,17231.95,16570.95,661.0,17207.15,40%,17471.550000000003,16942.75,low,17450,2022-03-29,6,FINNIFTY22MAR17450CE,CE,2022-03-23 13:48:00,,2022-03-29 15:30:00,,Expiry Closing,,,,1375.3581661891117,,,,,2022,17800,FINNIFTY22MAR17800CE,0.0,0.0,0.0,0.0,,
