,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Cumulative ROI%,Running Max ROI%,Drawdown
0,2016-12-30,18248.2,17831.75,416.4500000000007,18168.45,50%,18376.675000000003,17960.225,high,18000,2017-01-12,2,BANKNIFTY1711218000PE,PE,2017-01-10 09:17:00,15.9,2017-01-12 15:30:00,0.05,Friday Closing,15.85,0.1595,15.6905,380.91765784615546,6037.544876861564,5976.788510435103,0.6037544876861564,0.5976788510435103,2017,0.6037544876861564,0.6037544876861564,0.0
1,2017-01-13,19276.25,18781.6,494.65000000000146,18996.6,50%,19243.925,18749.274999999998,high,18700,2017-01-25,0,BANKNIFTY17JAN18700PE,PE,2017-01-25 13:05:00,0.3,2017-01-25 15:30:00,0.05,Friday Closing,0.25,0.0034999999999999996,0.2465,363.7511578329265,90.93778945823162,89.66466040581638,0.009093778945823161,0.008966466040581638,2017,0.6128482666319796,0.6128482666319796,0.0
2,2017-01-13,19276.25,18781.6,494.65000000000146,18996.6,50%,19243.925,18749.274999999998,low,19200,2017-01-25,2,BANKNIFTY17JAN19200CE,CE,2017-01-23 09:15:00,15.5,2017-01-25 13:38:00,58.45,SL Hit,-42.95,0.7395,-43.6895,363.7511578329265,-15623.112228924194,-15892.106210141643,-1.5623112228924194,-1.5892106210141643,2017,-1.5623112228924194,-1.5623112228924194,0.0
3,2017-01-20,19517.7,18725.05,792.6500000000015,19588.4,50%,19984.725000000002,19192.075,high,19200,2017-02-02,1,BANKNIFTY1720219200PE,PE,2017-02-01 14:53:00,1.95,2017-02-02 15:30:00,0.05,Friday Closing,1.9,0.02,1.88,350.2675168159682,665.5082819503396,658.5029316140201,0.06655082819503395,0.06585029316140201,2017,0.6793990948270134,0.6793990948270134,0.0
4,2017-01-27,20145.9,19435.75,710.1500000000015,20061.9,50%,20416.975000000002,19706.825,high,19700,2017-02-09,3,BANKNIFTY1720919700PE,PE,2017-02-06 09:24:00,10.75,2017-02-09 15:30:00,0.05,Friday Closing,10.7,0.10800000000000001,10.591999999999999,342.85196509277205,3668.516026492661,3631.488014262641,0.3668516026492661,0.3631488014262641,2017,1.0462506974762795,1.0462506974762795,0.0
5,2017-02-10,20366.7,20088.4,278.2999999999993,20918.45,50%,21057.6,20779.300000000003,low,21100,2017-02-23,6,BANKNIFTY17FEB21100CE,CE,2017-02-17 09:40:00,17.95,2017-02-17 09:41:00,15.6,SL Hit,2.3499999999999996,0.33549999999999996,2.0144999999999995,332.4215485145506,781.1906390091938,669.663209482562,0.07811906390091938,0.0669663209482562,2017,-1.4841921589915001,-1.4841921589915001,0.0
6,2017-02-17,21031.65,20452.6,579.0500000000029,20853.45,50%,21142.975000000002,20563.925,low,21100,2017-03-02,2,BANKNIFTY1730221100CE,CE,2017-02-28 11:42:00,6.8,2017-03-02 15:30:00,0.05,Expiry Closing,6.75,0.06849999999999999,6.6815,331.0792355380451,2234.7848398818046,2212.1059122474485,0.22347848398818046,0.22121059122474485,2017,-1.2607136750033197,-1.2607136750033197,0.0
7,2017-03-03,20777.15,20423.7,353.4500000000007,20825.9,50%,21002.625,20649.175000000003,high,20600,2017-03-16,2,BANKNIFTY1731620600PE,PE,2017-03-14 09:15:00,12.0,2017-03-16 15:30:00,0.05,Friday Closing,11.95,0.12050000000000001,11.8295,333.29167187434905,3982.8354788984707,3942.673832437612,0.3982835478898471,0.3942673832437612,2017,1.4445342453661267,1.4445342453661267,0.0
8,2017-03-10,21289.3,20653.5,635.7999999999993,21308.45,50%,21626.35,20990.550000000003,low,21600,2017-03-23,2,BANKNIFTY1732321600CE,CE,2017-03-21 12:32:00,1.5,2017-03-23 15:30:00,0.05,Expiry Closing,1.45,0.015500000000000002,1.4344999999999999,323.67921540158187,469.3348623322937,464.31783449356914,0.04693348623322937,0.04643178344935692,2017,-1.2137801887700903,-1.2137801887700903,0.0
9,2017-03-17,21316.85,20755.15,561.6999999999971,20987.6,50%,21268.449999999997,20706.75,high,20700,2017-03-30,1,BANKNIFTY17MAR20700PE,PE,2017-03-29 09:15:00,2.95,2017-03-30 15:30:00,0.05,Friday Closing,2.9000000000000004,0.03,2.8700000000000006,329.12600589135553,954.4654170849311,944.5916369081906,0.09544654170849311,0.09445916369081905,2017,1.5399807870746198,1.5399807870746198,0.0
