,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Cumulative ROI%,Running Max ROI%,Drawdown
0,2016-12-30,18248.2,17831.75,416.4500000000007,18168.45,50%,18376.675000000003,17960.225,high,18000,2017-01-12,2,BANKNIFTY1711218000PE,PE,2017-01-10 09:17:00,15.9,2017-01-12 15:30:00,0.05,Friday Closing,15.85,0.1595,15.6905,761.8353156923109,12075.089753723129,11953.577020870203,1.2075089753723127,1.1953577020870203,2017,17300,BANKNIFTY1711217300PE,0.6,0.05,-0.5499999999999999,-419.009423630771,11534.567597239437,0.5767283798619718,BANKNIFTY,0.5767283798619718,0.5767283798619718,0.0
315,2016-12-30,8282.55,8134.3,148.2499999999991,8283.0,40%,8342.3,8223.7,high,8200,2017-01-12,1,NIFTY171128200PE,PE,2017-01-11 09:43:00,,2017-01-12 15:30:00,,Friday Closing,,,,2037.8073193244072,,,,,2017,7850,NIFTY171127850PE,,,,,,,NIFTY,,,
316,2017-01-06,8417.0,8228.0,189.0,8457.65,40%,8533.25,8382.05,low,8550,2017-01-19,6,NIFTY171198550CE,CE,2017-01-13 10:16:00,,2017-01-16 13:17:00,,SL Hit,,,,1992.2069551460463,,,,,2017,8900,NIFTY171198900CE,,,,,,,NIFTY,,,
318,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,low,8450,2017-01-25,5,NIFTY17JAN8450CE,CE,2017-01-20 13:05:00,16.85,2017-01-24 14:16:00,29.4,SL Hit,-12.549999999999995,0.4625,-13.012499999999998,2014.416109641114,-25280.922175995973,-26212.58962670499,-2.5280922175995975,-2.621258962670499,2017,8800,NIFTY17JAN8800CE,0.45,0.3,-0.15,-302.1624164461672,-26514.75204315116,-1.3257376021575578,NIFTY,-0.749009222295586,0.5767283798619718,-1.3257376021575578
2,2017-01-13,19276.25,18781.6,494.6500000000015,18996.6,50%,19243.925,18749.275,low,19200,2017-01-25,2,BANKNIFTY17JAN19200CE,CE,2017-01-23 09:15:00,15.5,2017-01-25 13:38:00,58.45,SL Hit,-42.95,0.7395,-43.6895,727.502315665853,-31246.224457848388,-31784.21242028329,-3.124622445784839,-3.178421242028329,2017,20000,BANKNIFTY17JAN20000CE,0.9,0.05,-0.85,-618.376968315975,-32402.58938859926,-1.620129469429963,BANKNIFTY,-2.3691386917255493,0.5767283798619718,-2.945867071587521
317,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,high,8350,2017-01-25,1,NIFTY17JAN8350PE,PE,2017-01-24 10:51:00,4.05,2017-01-25 15:30:00,0.05,Friday Closing,4.0,0.0409999999999999,3.959,2014.416109641114,8057.664438564456,7975.073378069171,0.8057664438564456,0.7975073378069171,2017,8000,NIFTY17JAN8000PE,0.4,0.05,-0.35,-705.0456383743899,7270.02773969478,0.36350138698473905,NIFTY,-2.00563730474081,0.5767283798619718,-2.582365684602782
1,2017-01-13,19276.25,18781.6,494.6500000000015,18996.6,50%,19243.925,18749.275,high,18700,2017-01-25,0,BANKNIFTY17JAN18700PE,PE,2017-01-25 13:05:00,0.3,2017-01-25 15:30:00,0.05,Friday Closing,0.25,0.0034999999999999,0.2465,727.502315665853,181.87557891646324,179.32932081163275,0.018187557891646323,0.017932932081163276,2017,18000,BANKNIFTY17JAN18000PE,0.05,0.05,0.0,0.0,179.32932081163275,0.008966466040581638,BANKNIFTY,-1.9966708387002283,0.5767283798619718,-2.5733992185622
3,2017-01-20,19517.7,18725.05,792.6500000000015,19588.4,50%,19984.725,19192.075,high,19200,2017-02-02,1,BANKNIFTY1720219200PE,PE,2017-02-01 14:53:00,1.95,2017-02-02 15:30:00,0.05,Friday Closing,1.9,0.02,1.88,700.5350336319364,1331.016563900679,1317.0058632280402,0.1331016563900679,0.13170058632280401,2017,18400,BANKNIFTY1720218400PE,0.55,0.05,-0.5,-350.2675168159682,966.738346412072,0.0483369173206036,BANKNIFTY,-1.9483339213796247,0.5767283798619718,-2.5250623012415963
319,2017-01-20,8612.15,8328.05,284.1000000000004,8610.5,40%,8724.14,8496.86,high,8500,2017-02-02,0,NIFTY172028500PE,PE,2017-02-02 09:15:00,,2017-02-02 15:30:00,,Friday Closing,,,,1948.6161386681092,,,,,2017,8150,NIFTY172028150PE,,,,,,,NIFTY,,,
4,2017-01-27,20145.9,19435.75,710.1500000000015,20061.9,50%,20416.975,19706.825,high,19700,2017-02-09,3,BANKNIFTY1720919700PE,PE,2017-02-06 09:24:00,10.75,2017-02-09 15:30:00,0.05,Friday Closing,10.7,0.108,10.592,685.7039301855441,7337.032052985322,7262.976028525282,0.7337032052985322,0.7262976028525282,2017,18900,BANKNIFTY1720918900PE,1.0,0.05,-0.95,-651.4187336762668,6611.557294849015,0.33057786474245077,BANKNIFTY,-1.617756056637174,0.5767283798619718,-2.194484436499146
